#
# Neutron Star Mass Function
#
# Source: www3.mpifr-bonn.mpg.de/staff/pfreire/NS_masses.html
#         neutron stars in binary systems with mass error < 15%
#
# ARAA article: Ozel, F., and Freire, P. 2016, "Masses, radii,
#               and the equation of state of neutron stars," ARAA, 54, 401
#
# PDF calculated using Kernel Density Estimation (KDE) by author BSR
#
# Mass is in Msun
# PDF - probability density function, dimensionless 0..1
# lower98/upper98 - 98% confidence intervals
#
Mass          PDF          lower98      upper98
  0.5018      0.62320E-09  0.70031E-14  0.22990E-08
  0.5070      0.82224E-09  0.88833E-14  0.30672E-08
  0.5122      0.10842E-08  0.11259E-13  0.40831E-08
  0.5174      0.14283E-08  0.14257E-13  0.54234E-08
  0.5226      0.18796E-08  0.18039E-13  0.71876E-08
  0.5278      0.24706E-08  0.22805E-13  0.95045E-08
  0.5330      0.32430E-08  0.28806E-13  0.12540E-07
  0.5382      0.42503E-08  0.36356E-13  0.16509E-07
  0.5434      0.55617E-08  0.45846E-13  0.21685E-07
  0.5486      0.72653E-08  0.57768E-13  0.28421E-07
  0.5538      0.94738E-08  0.72729E-13  0.37166E-07
  0.5590      0.12331E-07  0.91491E-13  0.48493E-07
  0.5642      0.16019E-07  0.11503E-12  0.63131E-07
  0.5694      0.20770E-07  0.14500E-12  0.82004E-07
  0.5746      0.26876E-07  0.18269E-12  0.10628E-06
  0.5798      0.34707E-07  0.23004E-12  0.13744E-06
  0.5850      0.44728E-07  0.28952E-12  0.17733E-06
  0.5902      0.57523E-07  0.36420E-12  0.22829E-06
  0.5954      0.73821E-07  0.45792E-12  0.29324E-06
  0.6006      0.94537E-07  0.57601E-12  0.37583E-06
  0.6058      0.12081E-06  0.72821E-12  0.48060E-06
  0.6110      0.15405E-06  0.92236E-12  0.61320E-06
  0.6162      0.19600E-06  0.11712E-11  0.78064E-06
  0.6214      0.24885E-06  0.14918E-11  0.99157E-06
  0.6266      0.31525E-06  0.19078E-11  0.12567E-05
  0.6318      0.39851E-06  0.24515E-11  0.15891E-05
  0.6370      0.50264E-06  0.31684E-11  0.20050E-05
  0.6422      0.63258E-06  0.41225E-11  0.25240E-05
  0.6474      0.79437E-06  0.54051E-11  0.31704E-05
  0.6526      0.99532E-06  0.68824E-11  0.39732E-05
  0.6578      0.12444E-05  0.91740E-11  0.49684E-05
  0.6630      0.15523E-05  0.11848E-10  0.61988E-05
  0.6682      0.19321E-05  0.15062E-10  0.77166E-05
  0.6734      0.23994E-05  0.20444E-10  0.95846E-05
  0.6786      0.29733E-05  0.28356E-10  0.11878E-04
  0.6838      0.36761E-05  0.40979E-10  0.14688E-04
  0.6890      0.45350E-05  0.59547E-10  0.18121E-04
  0.6942      0.55821E-05  0.86408E-10  0.22307E-04
  0.6994      0.68557E-05  0.11804E-09  0.27398E-04
  0.7046      0.84010E-05  0.16230E-09  0.33577E-04
  0.7098      0.10272E-04  0.20744E-09  0.41056E-04
  0.7150      0.12531E-04  0.25721E-09  0.50089E-04
  0.7202      0.15253E-04  0.32091E-09  0.60973E-04
  0.7254      0.18525E-04  0.40333E-09  0.74056E-04
  0.7306      0.22449E-04  0.51116E-09  0.89744E-04
  0.7358      0.27143E-04  0.72981E-09  0.10851E-03
  0.7410      0.32746E-04  0.10290E-08  0.13091E-03
  0.7462      0.39416E-04  0.14866E-08  0.15759E-03
  0.7514      0.47340E-04  0.20198E-08  0.18927E-03
  0.7566      0.56729E-04  0.24038E-08  0.22681E-03
  0.7618      0.67829E-04  0.34628E-08  0.27120E-03
  0.7670      0.80921E-04  0.43703E-08  0.32354E-03
  0.7722      0.96324E-04  0.55343E-08  0.38512E-03
  0.7774      0.11440E-03  0.71197E-08  0.45739E-03
  0.7826      0.13557E-03  0.97221E-08  0.54202E-03
  0.7878      0.16030E-03  0.12641E-07  0.64086E-03
  0.7930      0.18912E-03  0.17625E-07  0.75602E-03
  0.7982      0.22263E-03  0.24440E-07  0.88990E-03
  0.8034      0.26149E-03  0.31395E-07  0.10452E-02
  0.8086      0.30645E-03  0.42158E-07  0.12247E-02
  0.8138      0.35835E-03  0.56862E-07  0.14320E-02
  0.8190      0.41811E-03  0.78679E-07  0.16706E-02
  0.8242      0.48676E-03  0.10953E-06  0.19445E-02
  0.8294      0.56545E-03  0.14551E-06  0.22584E-02
  0.8346      0.65541E-03  0.20187E-06  0.26171E-02
  0.8398      0.75803E-03  0.27120E-06  0.30260E-02
  0.8450      0.87481E-03  0.35381E-06  0.34911E-02
  0.8502      0.10074E-02  0.46143E-06  0.40186E-02
  0.8554      0.11576E-02  0.61151E-06  0.46156E-02
  0.8606      0.13273E-02  0.83652E-06  0.52896E-02
  0.8658      0.15187E-02  0.11119E-05  0.60486E-02
  0.8710      0.17340E-02  0.15377E-05  0.69012E-02
  0.8762      0.19757E-02  0.20940E-05  0.78567E-02
  0.8814      0.22465E-02  0.27271E-05  0.89247E-02
  0.8866      0.25491E-02  0.36499E-05  0.10116E-01
  0.8918      0.28868E-02  0.49062E-05  0.11441E-01
  0.8970      0.32627E-02  0.66093E-05  0.12911E-01
  0.9022      0.36804E-02  0.89319E-05  0.14539E-01
  0.9074      0.41437E-02  0.12028E-04  0.16337E-01
  0.9126      0.46568E-02  0.16166E-04  0.18317E-01
  0.9178      0.52239E-02  0.21702E-04  0.20494E-01
  0.9230      0.58499E-02  0.29083E-04  0.22881E-01
  0.9282      0.65400E-02  0.38888E-04  0.25493E-01
  0.9334      0.72997E-02  0.51864E-04  0.28344E-01
  0.9386      0.81352E-02  0.68971E-04  0.31448E-01
  0.9438      0.90533E-02  0.91433E-04  0.34822E-01
  0.9490      0.10061E-01  0.12041E-03  0.38480E-01
