M_30_tams,X_30_tams,M_10_tams,X_10_tams,M_3_tams,X_3_tams,M_1_tams,X_1_tams,M_0.3_tams,X_0.3_tams
27.72200024,0.711512923,9.752705839,0.711512992,2.96763249,0.711512996,0.944659802,0.731779425,0.288272212,0.54118631
27.66899937,0.711512917,9.74571745,0.711512991,2.966580359,0.711512996,0.943031356,0.731523844,0.287917826,0.54118631
27.60720371,0.71151291,9.742705936,0.711512991,2.965495384,0.711512995,0.941359192,0.73126883,0.287553421,0.54118631
27.53822417,0.711512903,9.736508294,0.71151299,2.964376602,0.711512995,0.939642309,0.731014925,0.287178744,0.54118631
27.47047533,0.711512896,9.728642121,0.711512989,2.963223027,0.711512994,0.937879687,0.730762703,0.286793539,0.54118631
27.42170794,0.71151289,9.721616911,0.711512989,2.962033646,0.711512993,0.936070287,0.73051265,0.286397543,0.54118631
27.35626046,0.711512882,9.715025426,0.711512988,2.960807423,0.711512993,0.934213051,0.730265023,0.285990489,0.54118631
27.3049815,0.711512876,9.708523055,0.711512987,2.959543294,0.711512992,0.932306904,0.730019813,0.285572103,0.54118631
27.25833636,0.711512869,9.702202143,0.711512987,2.958240173,0.711512991,0.930350748,0.729776963,0.285142108,0.54118631
27.20542793,0.71151286,9.696061639,0.711512986,2.956896943,0.71151299,0.928343465,0.729536457,0.284700221,0.54118631
27.12407963,0.71151285,9.686184675,0.711512984,2.955512463,0.711512989,0.926283919,0.729299007,0.284246155,0.54118631
27.07581895,0.711512844,9.675996485,0.711512983,2.954085566,0.711512988,0.92417095,0.729066262,0.283779616,0.54118631
27.03656177,0.711512836,9.668314037,0.711512982,2.952615054,0.711512986,0.922003379,0.728840522,0.283300305,0.54118631
26.97683996,0.711512825,9.664292258,0.711512982,2.951099704,0.711512985,0.919780002,0.728629634,0.28280792,0.54118631
26.8948632,0.711512812,9.65734868,0.71151298,2.949538264,0.711512984,0.917499595,0.728355383,0.282302152,0.54118631
26.82986085,0.711512799,9.645021922,0.711512978,2.947929452,0.711512982,0.916330253,0.7282373,0.281782686,0.54118631
26.74564173,0.711512784,9.635096633,0.711512977,2.946271958,0.71151298,0.915160911,0.728163065,0.281249203,0.54118631
26.6688487,0.711512768,9.627795399,0.711512975,2.944564443,0.711512978,0.912762681,0.727951416,0.280701378,0.54118631
26.57129356,0.711512753,9.614833735,0.711512973,2.942805536,0.711512976,0.910303611,0.727748337,0.280138881,0.54118631
26.51694837,0.711512741,9.603140192,0.711512971,2.940993837,0.711512974,0.907782384,0.727553568,0.279561378,0.54118631
26.46260318,0.711512722,9.596778711,0.711512969,2.939127914,0.711512971,0.90519766,0.727282962,0.278968528,0.54118631
26.34010113,0.711512698,9.58666402,0.711512966,2.937206303,0.711512968,0.903872867,0.727170754,0.278359983,0.54118631
26.24299455,0.711512676,9.574179036,0.711512964,2.935227511,0.711512965,0.902548075,0.727115,0.277735394,0.54118631
26.15696566,0.711512653,9.56443298,0.711512961,2.93319001,0.711512961,0.899832241,0.726921879,0.277094403,0.54118631
26.05037309,0.711512627,9.551377137,0.711512958,2.93109224,0.711512957,0.897048745,0.726734,0.276436649,0.54118631
25.94432298,0.711512601,9.543735425,0.711512955,2.928932608,0.711512953,0.894196151,0.726551303,0.275761762,0.54118631
25.85558763,0.711512574,9.531601387,0.711512952,2.926709489,0.711512948,0.891272998,0.726248531,0.275069372,0.54118631
25.73748563,0.711512537,9.517389281,0.711512947,2.92442122,0.711512943,0.8897754,0.72613351,0.274359098,0.54118631
25.58636901,0.711512503,9.503247544,0.711512943,2.922066108,0.711512937,0.888277802,0.726044847,0.273630558,0.54118631
25.49344973,0.711512481,9.491150989,0.711512939,2.919642422,0.71151293,0.88596221,0.725907989,0.272883361,0.54118631
25.43085352,0.711512452,9.480057343,0.711512935,2.917148397,0.711512923,0.883646617,0.72579943,0.272117113,0.54118631
25.29216963,0.711512412,9.466463425,0.71151293,2.914582231,0.711512915,0.880464655,0.725546924,0.271529684,0.54118631
25.15085997,0.711512378,9.456433723,0.711512925,2.911942086,0.711512906,0.878027456,0.725395232,0.270931143,0.54118631
25.05595124,0.71151235,9.440526282,0.711512919,2.909226087,0.711512897,0.875546032,0.725291305,0.270115503,0.54118631
24.95125085,0.711512324,9.429280223,0.711512914,2.906432319,0.711512886,0.872167498,0.725050517,0.269279387,0.54118631
24.86424699,0.711512291,9.414898091,0.711512908,2.90355883,0.711512874,0.870437502,0.724944059,0.268422375,0.54118631
24.70516387,0.711512261,9.402988726,0.711512901,2.900603629,0.711512862,0.868707506,0.724895681,0.267544041,0.54118631
24.63448025,0.655418866,9.388526676,0.711512894,2.897564681,0.711512847,0.865164407,0.724711486,0.266643954,0.54118631
24.51055832,0.655418653,9.373821994,0.711512888,2.894439912,0.711512832,0.861536527,0.724528438,0.265721679,0.54118631
24.45732003,0.655418479,9.364616167,0.711512881,2.891227203,0.711512815,0.85782217,0.72425594,0.264776773,0.54118631
24.36193563,0.655418225,9.35062082,0.711512871,2.887924392,0.711512796,0.855920896,0.724146988,0.263808789,0.54118631
24.26655124,0.655418013,9.327097644,0.711512858,2.884529269,0.711512775,0.854019621,0.724038026,0.262817274,0.54118631
24.22113898,0.65541787,9.31036806,0.711512848,2.881039577,0.711512752,0.852073382,0.723923912,0.26180177,0.54118631
24.17572672,0.655417669,9.293903898,0.711512836,2.877453009,0.711512727,0.850127143,0.723860613,0.260761812,0.54118631
24.0987603,0.655417474,9.27516295,0.711512822,2.873767209,0.711512699,0.84614298,0.723654992,0.259696931,0.54118631
24.0641587,0.65541735,9.255550046,0.711512809,2.869979765,0.711512668,0.842065354,0.723451193,0.258606654,0.54118631
24.02955709,0.65541716,9.242375539,0.7115128,2.866088213,0.711512635,0.837892472,0.723253628,0.2574905,0.54118631
23.96035387,0.65541691,9.232683982,0.711512789,2.862090031,0.711512598,0.833622524,0.722959467,0.256347983,0.54118631
