#
# Lane-Emden Polytrope
# n=0
#
  xi            theta         r/R*           rho/rho*
  0.834914      0.883820      0.340852       1.00000    
  0.841053      0.882105      0.343358       1.00000    
  0.847192      0.880378      0.345865       1.00000    
  0.853331      0.878638      0.348371       1.00000    
  0.859470      0.876885      0.350877       1.00000    
  0.865609      0.875120      0.353383       1.00000    
  0.871748      0.873343      0.355890       1.00000    
  0.877887      0.871552      0.358396       1.00000    
  0.884026      0.869750      0.360902       1.00000    
  0.890166      0.867934      0.363409       1.00000    
  0.896305      0.866106      0.365915       1.00000    
  0.902444      0.864266      0.368421       1.00000    
  0.908583      0.862413      0.370927       1.00000    
  0.914722      0.860547      0.373434       1.00000    
  0.920861      0.858669      0.375940       1.00000    
  0.927000      0.856779      0.378446       1.00000    
  0.933139      0.854875      0.380952       1.00000    
  0.939278      0.852959      0.383459       1.00000    
  0.945417      0.851031      0.385965       1.00000    
  0.951556      0.849090      0.388471       1.00000    
  0.957695      0.847137      0.390977       1.00000    
  0.963834      0.845171      0.393484       1.00000    
  0.969973      0.843192      0.395990       1.00000    
  0.976112      0.841201      0.398496       1.00000    
  0.982252      0.839197      0.401002       1.00000    
  0.988391      0.837181      0.403509       1.00000    
  0.994530      0.835152      0.406015       1.00000    
   1.00067      0.833110      0.408521       1.00000    
   1.00681      0.831056      0.411028       1.00000    
   1.01295      0.828990      0.413534       1.00000    
   1.01909      0.826911      0.416040       1.00000    
   1.02523      0.824819      0.418546       1.00000    
   1.03136      0.822715      0.421053       1.00000    
   1.03750      0.820598      0.423559       1.00000    
   1.04364      0.818468      0.426065       1.00000    
   1.04978      0.816326      0.428571       1.00000    
   1.05592      0.814172      0.431078       1.00000    
   1.06206      0.812005      0.433584       1.00000    
   1.06820      0.809825      0.436090       1.00000    
   1.07434      0.807633      0.438596       1.00000    
   1.08048      0.805428      0.441103       1.00000    
   1.08662      0.803211      0.443609       1.00000    
   1.09275      0.800981      0.446115       1.00000    
   1.09889      0.798739      0.448622       1.00000    
   1.10503      0.796484      0.451128       1.00000    
   1.11117      0.794216      0.453634       1.00000    
   1.11731      0.791936      0.456140       1.00000    
   1.12345      0.789643      0.458647       1.00000    
   1.12959      0.787338      0.461153       1.00000    
   1.13573      0.785020      0.463659       1.00000    
   1.14187      0.782690      0.466165       1.00000    
   1.14801      0.780347      0.468672       1.00000    
   1.15415      0.777991      0.471178       1.00000    
   1.16028      0.775623      0.473684       1.00000    
   1.16642      0.773243      0.476190       1.00000    
   1.17256      0.770849      0.478697       1.00000    
   1.17870      0.768444      0.481203       1.00000    
