# 14N(p,gamma)15O S-factor potential model data
# Source: Xu et al. 2013
#
# data = SC87, IM05, RU05, BE06b, LE06b
#
# Units:
#  E - keV
#  S - keV barn
#
     E              S              S_min          S_max
     3.7200e+02     1.5364e+00     1.3984e+00     1.6744e+00
     3.7250e+02     1.5326e+00     1.3948e+00     1.6704e+00
     3.7300e+02     1.5288e+00     1.3911e+00     1.6665e+00
     3.7350e+02     1.5250e+00     1.3875e+00     1.6625e+00
     3.7400e+02     1.5213e+00     1.3839e+00     1.6586e+00
     3.7450e+02     1.5175e+00     1.3803e+00     1.6548e+00
     3.7500e+02     1.5139e+00     1.3768e+00     1.6510e+00
     3.7550e+02     1.5102e+00     1.3732e+00     1.6472e+00
     3.7600e+02     1.5066e+00     1.3697e+00     1.6434e+00
     3.7650e+02     1.5030e+00     1.3663e+00     1.6397e+00
     3.7700e+02     1.4994e+00     1.3628e+00     1.6360e+00
     3.7750e+02     1.4960e+00     1.3595e+00     1.6324e+00
     3.7800e+02     1.4926e+00     1.3563e+00     1.6289e+00
     3.7850e+02     1.4892e+00     1.3530e+00     1.6253e+00
     3.7900e+02     1.4858e+00     1.3498e+00     1.6218e+00
     3.7950e+02     1.4825e+00     1.3466e+00     1.6184e+00
     3.8000e+02     1.4792e+00     1.3434e+00     1.6150e+00
     3.8050e+02     1.4759e+00     1.3403e+00     1.6115e+00
     3.8100e+02     1.4726e+00     1.3371e+00     1.6082e+00
     3.8150e+02     1.4694e+00     1.3340e+00     1.6048e+00
     3.8200e+02     1.4662e+00     1.3309e+00     1.6015e+00
     3.8250e+02     1.4630e+00     1.3279e+00     1.5981e+00
     3.8300e+02     1.4599e+00     1.3249e+00     1.5949e+00
     3.8350e+02     1.4568e+00     1.3219e+00     1.5917e+00
     3.8400e+02     1.4538e+00     1.3190e+00     1.5886e+00
     3.8450e+02     1.4508e+00     1.3161e+00     1.5854e+00
     3.8500e+02     1.4478e+00     1.3133e+00     1.5823e+00
     3.8550e+02     1.4448e+00     1.3104e+00     1.5792e+00
     3.8600e+02     1.4418e+00     1.3076e+00     1.5761e+00
     3.8650e+02     1.4389e+00     1.3048e+00     1.5731e+00
     3.8700e+02     1.4360e+00     1.3020e+00     1.5700e+00
     3.8750e+02     1.4331e+00     1.2992e+00     1.5670e+00
     3.8800e+02     1.4302e+00     1.2964e+00     1.5640e+00
     3.8850e+02     1.4274e+00     1.2937e+00     1.5610e+00
     3.8900e+02     1.4246e+00     1.2911e+00     1.5582e+00
     3.8950e+02     1.4219e+00     1.2884e+00     1.5553e+00
     3.9000e+02     1.4192e+00     1.2858e+00     1.5525e+00
     3.9050e+02     1.4165e+00     1.2833e+00     1.5497e+00
     3.9100e+02     1.4138e+00     1.2807e+00     1.5469e+00
     3.9150e+02     1.4112e+00     1.2782e+00     1.5442e+00
     3.9200e+02     1.4085e+00     1.2757e+00     1.5414e+00
     3.9250e+02     1.4059e+00     1.2731e+00     1.5386e+00
     3.9300e+02     1.4033e+00     1.2706e+00     1.5359e+00
     3.9350e+02     1.4007e+00     1.2681e+00     1.5332e+00
     3.9400e+02     1.3981e+00     1.2657e+00     1.5305e+00
     3.9450e+02     1.3955e+00     1.2632e+00     1.5278e+00
     3.9500e+02     1.3930e+00     1.2608e+00     1.5252e+00
     3.9550e+02     1.3906e+00     1.2585e+00     1.5227e+00
     3.9600e+02     1.3881e+00     1.2562e+00     1.5201e+00
     3.9650e+02     1.3857e+00     1.2538e+00     1.5176e+00
     3.9700e+02     1.3833e+00     1.2515e+00     1.5150e+00
     3.9750e+02     1.3809e+00     1.2492e+00     1.5125e+00
     3.9800e+02     1.3785e+00     1.2469e+00     1.5100e+00
     3.9850e+02     1.3761e+00     1.2447e+00     1.5075e+00
     3.9900e+02     1.3737e+00     1.2424e+00     1.5050e+00
     3.9950e+02     1.3714e+00     1.2402e+00     1.5026e+00
     4.0000e+02     1.3690e+00     1.2379e+00     1.5001e+00
     4.0050e+02     1.3667e+00     1.2357e+00     1.4977e+00
     4.0100e+02     1.3645e+00     1.2336e+00     1.4954e+00
     4.0150e+02     1.3622e+00     1.2315e+00     1.4930e+00
     4.0200e+02     1.3600e+00     1.2293e+00     1.4907e+00
     4.0250e+02     1.3578e+00     1.2272e+00     1.4883e+00
     4.0300e+02     1.3556e+00     1.2251e+00     1.4860e+00
     4.0350e+02     1.3534e+00     1.2231e+00     1.4838e+00
     4.0400e+02     1.3512e+00     1.2210e+00     1.4815e+00
     4.0450e+02     1.3490e+00     1.2189e+00     1.4792e+00
     4.0500e+02     1.3469e+00     1.2168e+00     1.4770e+00
     4.0550e+02     1.3447e+00     1.2148e+00     1.4747e+00
     4.0600e+02     1.3426e+00     1.2127e+00     1.4724e+00
     4.0650e+02     1.3405e+00     1.2108e+00     1.4702e+00
     4.0700e+02     1.3384e+00     1.2087e+00     1.4680e+00
     4.0750e+02     1.3363e+00     1.2068e+00     1.4659e+00
     4.0800e+02     1.3359e+00     1.2113e+00     1.4877e+00
     4.0850e+02     1.3347e+00     1.2102e+00     1.4866e+00
     4.0900e+02     1.3336e+00     1.2090e+00     1.4854e+00
     4.0950e+02     1.3325e+00     1.2078e+00     1.4843e+00
     4.1000e+02     1.3314e+00     1.2067e+00     1.4831e+00
     4.1050e+02     1.3303e+00     1.2056e+00     1.4821e+00
     4.1100e+02     1.3292e+00     1.2044e+00     1.4809e+00
     4.1150e+02     1.3281e+00     1.2033e+00     1.4798e+00
     4.1200e+02     1.3271e+00     1.2022e+00     1.4788e+00
     4.1250e+02     1.3260e+00     1.2011e+00     1.4777e+00
     4.1300e+02     1.3250e+00     1.2000e+00     1.4766e+00
     4.1350e+02     1.3238e+00     1.1988e+00     1.4755e+00
     4.1400e+02     1.3228e+00     1.1978e+00     1.4744e+00
     4.1450e+02     1.3218e+00     1.1967e+00     1.4735e+00
     4.1500e+02     1.3209e+00     1.1957e+00     1.4724e+00
     4.1550e+02     1.3199e+00     1.1947e+00     1.4715e+00
     4.1600e+02     1.3189e+00     1.1937e+00     1.4705e+00
     4.1650e+02     1.3180e+00     1.1927e+00     1.4695e+00
     4.1700e+02     1.3170e+00     1.1917e+00     1.4686e+00
     4.1750e+02     1.3161e+00     1.1907e+00     1.4677e+00
     4.1800e+02     1.3152e+00     1.1897e+00     1.4667e+00
     4.1850e+02     1.3143e+00     1.1887e+00     1.4658e+00
     4.1900e+02     1.3134e+00     1.1878e+00     1.4649e+00
     4.1950e+02     1.3124e+00     1.1868e+00     1.4639e+00
     4.2000e+02     1.3115e+00     1.1858e+00     1.4629e+00
     4.2050e+02     1.3107e+00     1.1849e+00     1.4621e+00
     4.2100e+02     1.3098e+00     1.1840e+00     1.4612e+00
     4.2150e+02     1.3090e+00     1.1831e+00     1.4604e+00
     4.2200e+02     1.3082e+00     1.1822e+00     1.4596e+00
     4.2250e+02     1.3074e+00     1.1813e+00     1.4588e+00
     4.2300e+02     1.3066e+00     1.1805e+00     1.4580e+00
     4.2350e+02     1.3058e+00     1.1796e+00     1.4571e+00
     4.2400e+02     1.3050e+00     1.1787e+00     1.4563e+00
     4.2450e+02     1.3041e+00     1.1778e+00     1.4554e+00
     4.2500e+02     1.3033e+00     1.1770e+00     1.4546e+00
     4.2550e+02     1.3025e+00     1.1761e+00     1.4539e+00
     4.2600e+02     1.3018e+00     1.1753e+00     1.4531e+00
     4.2650e+02     1.3010e+00     1.1744e+00     1.4522e+00
     4.2700e+02     1.3003e+00     1.1736e+00     1.4515e+00
     4.2750e+02     1.2995e+00     1.1728e+00     1.4508e+00
     4.2800e+02     1.2988e+00     1.1720e+00     1.4501e+00
     4.2850e+02     1.2981e+00     1.1713e+00     1.4494e+00
     4.2900e+02     1.2974e+00     1.1705e+00     1.4487e+00
     4.2950e+02     1.2967e+00     1.1697e+00     1.4479e+00
     4.3000e+02     1.2960e+00     1.1689e+00     1.4472e+00
     4.3050e+02     1.2953e+00     1.1682e+00     1.4465e+00
     4.3100e+02     1.2946e+00     1.1674e+00     1.4458e+00
     4.3150e+02     1.2940e+00     1.1667e+00     1.4451e+00
     4.3200e+02     1.2933e+00     1.1659e+00     1.4445e+00
     4.3250e+02     1.2926e+00     1.1652e+00     1.4437e+00
     4.3300e+02     1.2920e+00     1.1644e+00     1.4430e+00
     4.3350e+02     1.2913e+00     1.1637e+00     1.4424e+00
     4.3400e+02     1.2907e+00     1.1630e+00     1.4418e+00
     4.3450e+02     1.2901e+00     1.1623e+00     1.4412e+00
     4.3500e+02     1.2895e+00     1.1616e+00     1.4405e+00
     4.3550e+02     1.2889e+00     1.1609e+00     1.4399e+00
     4.3600e+02     1.2883e+00     1.1603e+00     1.4393e+00
     4.3650e+02     1.2877e+00     1.1596e+00     1.4387e+00
     4.3700e+02     1.2871e+00     1.1589e+00     1.4381e+00
     4.3750e+02     1.2865e+00     1.1582e+00     1.4375e+00
     4.3800e+02     1.2859e+00     1.1576e+00     1.4369e+00
     4.3850e+02     1.2854e+00     1.1570e+00     1.4364e+00
     4.3900e+02     1.2848e+00     1.1563e+00     1.4358e+00
     4.3950e+02     1.2843e+00     1.1557e+00     1.4352e+00
     4.4000e+02     1.2837e+00     1.1550e+00     1.4347e+00
     4.4050e+02     1.2831e+00     1.1543e+00     1.4340e+00
     4.4100e+02     1.2826e+00     1.1537e+00     1.4335e+00
     4.4150e+02     1.2821e+00     1.1531e+00     1.4330e+00
     4.4200e+02     1.2815e+00     1.1525e+00     1.4324e+00
     4.4250e+02     1.2810e+00     1.1519e+00     1.4319e+00
     4.4300e+02     1.2805e+00     1.1513e+00     1.4314e+00
     4.4350e+02     1.2800e+00     1.1507e+00     1.4309e+00
     4.4400e+02     1.2796e+00     1.1502e+00     1.4304e+00
     4.4450e+02     1.2791e+00     1.1496e+00     1.4299e+00
     4.4500e+02     1.2786e+00     1.1490e+00     1.4294e+00
     4.4550e+02     1.2781e+00     1.1484e+00     1.4289e+00
     4.4600e+02     1.2776e+00     1.1478e+00     1.4284e+00
     4.4650e+02     1.2771e+00     1.1473e+00     1.4279e+00
     4.4700e+02     1.2766e+00     1.1467e+00     1.4274e+00
     4.4750e+02     1.2762e+00     1.1461e+00     1.4270e+00
     4.4800e+02     1.2757e+00     1.1456e+00     1.4265e+00
     4.4850e+02     1.2753e+00     1.1451e+00     1.4260e+00
     4.4900e+02     1.2748e+00     1.1445e+00     1.4256e+00
     4.4950e+02     1.2744e+00     1.1440e+00     1.4251e+00
     4.5000e+02     1.2740e+00     1.1435e+00     1.4247e+00
     4.5050e+02     1.2735e+00     1.1429e+00     1.4242e+00
     4.5100e+02     1.2731e+00     1.1424e+00     1.4238e+00
     4.5150e+02     1.2727e+00     1.1419e+00     1.4234e+00
     4.5200e+02     1.2723e+00     1.1414e+00     1.4229e+00
     4.5250e+02     1.2718e+00     1.1409e+00     1.4225e+00
     4.5300e+02     1.2714e+00     1.1403e+00     1.4221e+00
     4.5350e+02     1.2710e+00     1.1398e+00     1.4217e+00
     4.5400e+02     1.2706e+00     1.1393e+00     1.4212e+00
     4.5450e+02     1.2702e+00     1.1388e+00     1.4208e+00
     4.5500e+02     1.2699e+00     1.1384e+00     1.4204e+00
     4.5550e+02     1.2695e+00     1.1379e+00     1.4201e+00
     4.5600e+02     1.2692e+00     1.1375e+00     1.4197e+00
     4.5650e+02     1.2688e+00     1.1370e+00     1.4194e+00
     4.5700e+02     1.2684e+00     1.1365e+00     1.4190e+00
     4.5750e+02     1.2681e+00     1.1361e+00     1.4186e+00
     4.5800e+02     1.2677e+00     1.1356e+00     1.4182e+00
     4.5850e+02     1.2674e+00     1.1351e+00     1.4179e+00
     4.5900e+02     1.2670e+00     1.1347e+00     1.4175e+00
     4.5950e+02     1.2667e+00     1.1342e+00     1.4172e+00
     4.6000e+02     1.2663e+00     1.1338e+00     1.4168e+00
     4.6050e+02     1.2659e+00     1.1333e+00     1.4164e+00
     4.6100e+02     1.2657e+00     1.1329e+00     1.4162e+00
     4.6150e+02     1.2653e+00     1.1325e+00     1.4158e+00
     4.6200e+02     1.2650e+00     1.1321e+00     1.4155e+00
     4.6250e+02     1.2647e+00     1.1316e+00     1.4151e+00
     4.6300e+02     1.2644e+00     1.1312e+00     1.4148e+00
     4.6350e+02     1.2641e+00     1.1308e+00     1.4145e+00
     4.6400e+02     1.2638e+00     1.1304e+00     1.4141e+00
     4.6450e+02     1.2635e+00     1.1300e+00     1.4139e+00
     4.6500e+02     1.2632e+00     1.1295e+00     1.4136e+00
     4.6550e+02     1.2629e+00     1.1291e+00     1.4132e+00
     4.6600e+02     1.2626e+00     1.1288e+00     1.4130e+00
     4.6650e+02     1.2623e+00     1.1284e+00     1.4127e+00
     4.6700e+02     1.2620e+00     1.1280e+00     1.4124e+00
     4.6750e+02     1.2617e+00     1.1276e+00     1.4121e+00
     4.6800e+02     1.2615e+00     1.1272e+00     1.4117e+00
     4.6850e+02     1.2612e+00     1.1268e+00     1.4114e+00
     4.6900e+02     1.2609e+00     1.1264e+00     1.4113e+00
     4.6950e+02     1.2606e+00     1.1260e+00     1.4110e+00
     4.7000e+02     1.2604e+00     1.1256e+00     1.4107e+00
     4.7050e+02     1.2601e+00     1.1253e+00     1.4104e+00
     4.7100e+02     1.2599e+00     1.1250e+00     1.4102e+00
     4.7150e+02     1.2597e+00     1.1246e+00     1.4099e+00
     4.7200e+02     1.2594e+00     1.1242e+00     1.4096e+00
     4.7250e+02     1.2591e+00     1.1239e+00     1.4093e+00
     4.7300e+02     1.2589e+00     1.1235e+00     1.4092e+00
     4.7350e+02     1.2587e+00     1.1231e+00     1.4089e+00
     4.7400e+02     1.2584e+00     1.1228e+00     1.4086e+00
     4.7450e+02     1.2582e+00     1.1224e+00     1.4083e+00
     4.7500e+02     1.2579e+00     1.1220e+00     1.4081e+00
     4.7550e+02     1.2577e+00     1.1217e+00     1.4079e+00
     4.7600e+02     1.2575e+00     1.1214e+00     1.4077e+00
     4.7650e+02     1.2573e+00     1.1211e+00     1.4075e+00
     4.7700e+02     1.2571e+00     1.1207e+00     1.4072e+00
     4.7750e+02     1.2569e+00     1.1204e+00     1.4070e+00
     4.7800e+02     1.2567e+00     1.1201e+00     1.4069e+00
     4.7850e+02     1.2565e+00     1.1198e+00     1.4066e+00
     4.7900e+02     1.2563e+00     1.1194e+00     1.4064e+00
     4.7950e+02     1.2561e+00     1.1191e+00     1.4061e+00
     4.8000e+02     1.2559e+00     1.1188e+00     1.4060e+00
     4.8050e+02     1.2557e+00     1.1185e+00     1.4058e+00
     4.8100e+02     1.2555e+00     1.1181e+00     1.4055e+00
     4.8150e+02     1.2553e+00     1.1178e+00     1.4053e+00
     4.8200e+02     1.2551e+00     1.1175e+00     1.4051e+00
     4.8250e+02     1.2549e+00     1.1172e+00     1.4049e+00
     4.8300e+02     1.2548e+00     1.1169e+00     1.4048e+00
     4.8350e+02     1.2546e+00     1.1166e+00     1.4046e+00
     4.8400e+02     1.2544e+00     1.1163e+00     1.4044e+00
     4.8450e+02     1.2542e+00     1.1160e+00     1.4042e+00
     4.8500e+02     1.2541e+00     1.1158e+00     1.4041e+00
     4.8550e+02     1.2539e+00     1.1155e+00     1.4038e+00
     4.8600e+02     1.2538e+00     1.1152e+00     1.4037e+00
     4.8650e+02     1.2536e+00     1.1149e+00     1.4035e+00
     4.8700e+02     1.2534e+00     1.1146e+00     1.4033e+00
     4.8750e+02     1.2533e+00     1.1143e+00     1.4031e+00
     4.8800e+02     1.2531e+00     1.1140e+00     1.4030e+00
     4.8850e+02     1.2530e+00     1.1138e+00     1.4029e+00
     4.8900e+02     1.2528e+00     1.1135e+00     1.4027e+00
     4.8950e+02     1.2527e+00     1.1132e+00     1.4026e+00
     4.9000e+02     1.2525e+00     1.1129e+00     1.4024e+00
     4.9050e+02     1.2524e+00     1.1126e+00     1.4022e+00
     4.9100e+02     1.2522e+00     1.1124e+00     1.4021e+00
     4.9150e+02     1.2521e+00     1.1121e+00     1.4019e+00
     4.9200e+02     1.2520e+00     1.1119e+00     1.4018e+00
     4.9250e+02     1.2519e+00     1.1116e+00     1.4016e+00
     4.9300e+02     1.2517e+00     1.1113e+00     1.4015e+00
     4.9350e+02     1.2516e+00     1.1111e+00     1.4014e+00
     4.9400e+02     1.2515e+00     1.1109e+00     1.4013e+00
     4.9450e+02     1.2514e+00     1.1106e+00     1.4012e+00
     4.9500e+02     1.2513e+00     1.1103e+00     1.4010e+00
     4.9550e+02     1.2511e+00     1.1101e+00     1.4008e+00
     4.9600e+02     1.2510e+00     1.1098e+00     1.4008e+00
     4.9650e+02     1.2509e+00     1.1096e+00     1.4007e+00
     4.9700e+02     1.2508e+00     1.1094e+00     1.4005e+00
     4.9750e+02     1.2507e+00     1.1091e+00     1.4004e+00
     4.9800e+02     1.2506e+00     1.1089e+00     1.4002e+00
     4.9850e+02     1.2504e+00     1.1086e+00     1.4001e+00
     4.9900e+02     1.2503e+00     1.1084e+00     1.4000e+00
     4.9950e+02     1.2503e+00     1.1082e+00     1.4000e+00
     5.0000e+02     1.2502e+00     1.1079e+00     1.3998e+00
     5.0050e+02     1.2501e+00     1.1077e+00     1.3998e+00
     5.0100e+02     1.2500e+00     1.1075e+00     1.3996e+00
     5.0150e+02     1.2499e+00     1.1072e+00     1.3995e+00
     5.0200e+02     1.2498e+00     1.1070e+00     1.3994e+00
     5.0250e+02     1.2497e+00     1.1068e+00     1.3993e+00
     5.0300e+02     1.2496e+00     1.1066e+00     1.3993e+00
     5.0350e+02     1.2495e+00     1.1063e+00     1.3991e+00
     5.0400e+02     1.2494e+00     1.1061e+00     1.3990e+00
     5.0450e+02     1.2494e+00     1.1059e+00     1.3989e+00
     5.0500e+02     1.2493e+00     1.1057e+00     1.3989e+00
     5.0550e+02     1.2493e+00     1.1055e+00     1.3989e+00
     5.0600e+02     1.2492e+00     1.1053e+00     1.3987e+00
     5.0650e+02     1.2491e+00     1.1051e+00     1.3986e+00
     5.0700e+02     1.2490e+00     1.1049e+00     1.3985e+00
     5.0750e+02     1.2489e+00     1.1046e+00     1.3985e+00
     5.0800e+02     1.2489e+00     1.1044e+00     1.3983e+00
     5.0850e+02     1.2489e+00     1.1043e+00     1.3983e+00
     5.0900e+02     1.2488e+00     1.1041e+00     1.3982e+00
     5.0950e+02     1.2487e+00     1.1038e+00     1.3982e+00
     5.1000e+02     1.2486e+00     1.1036e+00     1.3981e+00
     5.1050e+02     1.2486e+00     1.1034e+00     1.3980e+00
     5.1100e+02     1.2485e+00     1.1032e+00     1.3979e+00
     5.1150e+02     1.2484e+00     1.1030e+00     1.3978e+00
     5.1200e+02     1.2484e+00     1.1029e+00     1.3978e+00
     5.1250e+02     1.2483e+00     1.1026e+00     1.3977e+00
     5.1300e+02     1.2483e+00     1.1024e+00     1.3976e+00
     5.1350e+02     1.2482e+00     1.1022e+00     1.3976e+00
     5.1400e+02     1.2482e+00     1.1021e+00     1.3976e+00
     5.1450e+02     1.2482e+00     1.1019e+00     1.3975e+00
     5.1500e+02     1.2482e+00     1.1018e+00     1.3975e+00
     5.1550e+02     1.2481e+00     1.1016e+00     1.3975e+00
     5.1600e+02     1.2481e+00     1.1014e+00     1.3974e+00
     5.1650e+02     1.2480e+00     1.1012e+00     1.3973e+00
     5.1700e+02     1.2480e+00     1.1010e+00     1.3973e+00
     5.1750e+02     1.2480e+00     1.1008e+00     1.3972e+00
     5.1800e+02     1.2479e+00     1.1007e+00     1.3972e+00
     5.1850e+02     1.2479e+00     1.1005e+00     1.3971e+00
     5.1900e+02     1.2478e+00     1.1003e+00     1.3970e+00
     5.1950e+02     1.2478e+00     1.1001e+00     1.3970e+00
     5.2000e+02     1.2478e+00     1.1000e+00     1.3971e+00
     5.2050e+02     1.2478e+00     1.0998e+00     1.3970e+00
     5.2100e+02     1.2478e+00     1.0996e+00     1.3970e+00
     5.2150e+02     1.2477e+00     1.0995e+00     1.3970e+00
     5.2200e+02     1.2477e+00     1.0993e+00     1.3969e+00
     5.2250e+02     1.2477e+00     1.0991e+00     1.3968e+00
     5.2300e+02     1.2476e+00     1.0989e+00     1.3968e+00
     5.2350e+02     1.2476e+00     1.0987e+00     1.3968e+00
     5.2400e+02     1.2477e+00     1.0986e+00     1.3968e+00
     5.2450e+02     1.2476e+00     1.0984e+00     1.3967e+00
     5.2500e+02     1.2476e+00     1.0983e+00     1.3968e+00
     5.2550e+02     1.2476e+00     1.0982e+00     1.3968e+00
     5.2600e+02     1.2476e+00     1.0980e+00     1.3967e+00
     5.2650e+02     1.2476e+00     1.0979e+00     1.3967e+00
     5.2700e+02     1.2476e+00     1.0977e+00     1.3967e+00
     5.2750e+02     1.2476e+00     1.0975e+00     1.3967e+00
     5.2800e+02     1.2476e+00     1.0974e+00     1.3966e+00
     5.2850e+02     1.2476e+00     1.0972e+00     1.3967e+00
     5.2900e+02     1.2476e+00     1.0971e+00     1.3966e+00
     5.2950e+02     1.2476e+00     1.0969e+00     1.3966e+00
     5.3000e+02     1.2476e+00     1.0968e+00     1.3967e+00
     5.3050e+02     1.2476e+00     1.0967e+00     1.3966e+00
     5.3100e+02     1.2476e+00     1.0965e+00     1.3966e+00
     5.3150e+02     1.2476e+00     1.0963e+00     1.3966e+00
     5.3200e+02     1.2476e+00     1.0962e+00     1.3965e+00
     5.3250e+02     1.2476e+00     1.0961e+00     1.3966e+00
     5.3300e+02     1.2476e+00     1.0959e+00     1.3966e+00
     5.3350e+02     1.2476e+00     1.0958e+00     1.3966e+00
     5.3400e+02     1.2477e+00     1.0957e+00     1.3966e+00
     5.3450e+02     1.2477e+00     1.0955e+00     1.3966e+00
     5.3500e+02     1.2477e+00     1.0953e+00     1.3966e+00
     5.3550e+02     1.2477e+00     1.0952e+00     1.3966e+00
     5.3600e+02     1.2477e+00     1.0951e+00     1.3966e+00
     5.3650e+02     1.2477e+00     1.0949e+00     1.3967e+00
     5.3700e+02     1.2477e+00     1.0948e+00     1.3966e+00
     5.3750e+02     1.2477e+00     1.0946e+00     1.3966e+00
     5.3800e+02     1.2478e+00     1.0946e+00     1.3966e+00
     5.3850e+02     1.2478e+00     1.0944e+00     1.3967e+00
     5.3900e+02     1.2478e+00     1.0943e+00     1.3966e+00
     5.3950e+02     1.2478e+00     1.0941e+00     1.3966e+00
     5.4000e+02     1.2479e+00     1.0940e+00     1.3967e+00
     5.4050e+02     1.2479e+00     1.0939e+00     1.3967e+00
     5.4100e+02     1.2480e+00     1.0938e+00     1.3968e+00
     5.4150e+02     1.2480e+00     1.0937e+00     1.3967e+00
     5.4200e+02     1.2480e+00     1.0935e+00     1.3968e+00
     5.4250e+02     1.2481e+00     1.0934e+00     1.3968e+00
     5.4300e+02     1.2481e+00     1.0933e+00     1.3968e+00
     5.4350e+02     1.2481e+00     1.0931e+00     1.3969e+00
     5.4400e+02     1.2482e+00     1.0931e+00     1.3969e+00
     5.4450e+02     1.2482e+00     1.0929e+00     1.3969e+00
     5.4500e+02     1.2482e+00     1.0928e+00     1.3969e+00
     5.4550e+02     1.2482e+00     1.0926e+00     1.3969e+00
     5.4600e+02     1.2482e+00     1.0925e+00     1.3969e+00
     5.4650e+02     1.2483e+00     1.0924e+00     1.3970e+00
     5.4700e+02     1.2484e+00     1.0923e+00     1.3971e+00
     5.4750e+02     1.2484e+00     1.0922e+00     1.3971e+00
     5.4800e+02     1.2485e+00     1.0921e+00     1.3971e+00
     5.4850e+02     1.2486e+00     1.0920e+00     1.3972e+00
     5.4900e+02     1.2486e+00     1.0919e+00     1.3973e+00
     5.4950e+02     1.2486e+00     1.0918e+00     1.3972e+00
     5.5000e+02     1.2486e+00     1.0916e+00     1.3972e+00
     5.5050e+02     1.2487e+00     1.0916e+00     1.3973e+00
     5.5100e+02     1.2487e+00     1.0914e+00     1.3973e+00
     5.5150e+02     1.2488e+00     1.0913e+00     1.3973e+00
     5.5200e+02     1.2489e+00     1.0912e+00     1.3974e+00
     5.5250e+02     1.2489e+00     1.0911e+00     1.3975e+00
     5.5300e+02     1.2489e+00     1.0910e+00     1.3975e+00
     5.5350e+02     1.2490e+00     1.0909e+00     1.3975e+00
     5.5400e+02     1.2491e+00     1.0908e+00     1.3975e+00
     5.5450e+02     1.2491e+00     1.0907e+00     1.3976e+00
     5.5500e+02     1.2492e+00     1.0906e+00     1.3977e+00
     5.5550e+02     1.2492e+00     1.0905e+00     1.3977e+00
     5.5600e+02     1.2493e+00     1.0904e+00     1.3978e+00
     5.5650e+02     1.2494e+00     1.0903e+00     1.3979e+00
     5.5700e+02     1.2494e+00     1.0902e+00     1.3979e+00
     5.5750e+02     1.2495e+00     1.0901e+00     1.3979e+00
     5.5800e+02     1.2496e+00     1.0900e+00     1.3980e+00
     5.5850e+02     1.2496e+00     1.0899e+00     1.3980e+00
     5.5900e+02     1.2497e+00     1.0898e+00     1.3981e+00
     5.5950e+02     1.2498e+00     1.0897e+00     1.3982e+00
     5.6000e+02     1.2498e+00     1.0896e+00     1.3982e+00
     5.6050e+02     1.2499e+00     1.0895e+00     1.3983e+00
     5.6100e+02     1.2500e+00     1.0894e+00     1.3984e+00
     5.6150e+02     1.2500e+00     1.0893e+00     1.3984e+00
     5.6200e+02     1.2501e+00     1.0892e+00     1.3984e+00
     5.6250e+02     1.2502e+00     1.0892e+00     1.3985e+00
     5.6300e+02     1.2502e+00     1.0890e+00     1.3986e+00
     5.6350e+02     1.2503e+00     1.0889e+00     1.3986e+00
     5.6400e+02     1.2504e+00     1.0889e+00     1.3987e+00
     5.6450e+02     1.2504e+00     1.0888e+00     1.3988e+00
     5.6500e+02     1.2506e+00     1.0887e+00     1.3989e+00
     5.6550e+02     1.2506e+00     1.0886e+00     1.3989e+00
     5.6600e+02     1.2507e+00     1.0885e+00     1.3990e+00
     5.6650e+02     1.2508e+00     1.0885e+00     1.3991e+00
     5.6700e+02     1.2508e+00     1.0884e+00     1.3991e+00
     5.6750e+02     1.2509e+00     1.0882e+00     1.3992e+00
     5.6800e+02     1.2510e+00     1.0882e+00     1.3993e+00
     5.6850e+02     1.2511e+00     1.0881e+00     1.3993e+00
     5.6900e+02     1.2511e+00     1.0880e+00     1.3993e+00
     5.6950e+02     1.2512e+00     1.0879e+00     1.3995e+00
     5.7000e+02     1.2513e+00     1.0878e+00     1.3995e+00
     5.7050e+02     1.2514e+00     1.0877e+00     1.3995e+00
     5.7100e+02     1.2515e+00     1.0877e+00     1.3997e+00
     5.7150e+02     1.2515e+00     1.0876e+00     1.3997e+00
     5.7200e+02     1.2516e+00     1.0875e+00     1.3997e+00
     5.7250e+02     1.2517e+00     1.0875e+00     1.3998e+00
     5.7300e+02     1.2518e+00     1.0874e+00     1.3999e+00
     5.7350e+02     1.2519e+00     1.0873e+00     1.4000e+00
     5.7400e+02     1.2520e+00     1.0872e+00     1.4001e+00
     5.7450e+02     1.2521e+00     1.0871e+00     1.4002e+00
     5.7500e+02     1.2522e+00     1.0871e+00     1.4003e+00
     5.7550e+02     1.2523e+00     1.0870e+00     1.4003e+00
     5.7600e+02     1.2523e+00     1.0869e+00     1.4004e+00
     5.7650e+02     1.2525e+00     1.0869e+00     1.4005e+00
     5.7700e+02     1.2525e+00     1.0868e+00     1.4005e+00
     5.7750e+02     1.2526e+00     1.0867e+00     1.4007e+00
     5.7800e+02     1.2527e+00     1.0866e+00     1.4008e+00
     5.7850e+02     1.2528e+00     1.0865e+00     1.4008e+00
     5.7900e+02     1.2529e+00     1.0865e+00     1.4009e+00
     5.7950e+02     1.2530e+00     1.0864e+00     1.4010e+00
     5.8000e+02     1.2532e+00     1.0864e+00     1.4011e+00
     5.8050e+02     1.2532e+00     1.0863e+00     1.4012e+00
     5.8100e+02     1.2533e+00     1.0862e+00     1.4013e+00
     5.8150e+02     1.2534e+00     1.0862e+00     1.4014e+00
     5.8200e+02     1.2535e+00     1.0861e+00     1.4014e+00
