# 14N(p,gamma)15O S-factor experimental data
# Source: Xu et al. 2013
#
# data = SC87, IM05, RU05, BE06b, LE06b
#
# Units:
#  E - keV
#  S - keV barn
#
    E           S            upper-limit  lower-limit 
    2.090E+03   5.7970E+00   6.3340E+00   5.2600E+00
    2.136E+03   8.0770E+00   8.7420E+00   7.4120E+00
    2.160E+03   9.6020E+00   1.0464E+01   8.7400E+00
    2.227E+03   6.3340E+00   6.9210E+00   5.7470E+00
    2.252E+03   6.8190E+00   7.4080E+00   6.2300E+00
    2.462E+03   1.4670E+00   1.6170E+00   1.3170E+00
    2.508E+03   1.2780E+00   1.4100E+00   1.1460E+00
    2.556E+03   1.0880E+00   1.2130E+00   9.6300E-01
    2.599E+03   1.4980E+00   1.6470E+00   1.3490E+00
    2.696E+03   1.2440E+00   1.3860E+00   1.1020E+00
    2.741E+03   1.0690E+00   1.2150E+00   9.2300E-01
    2.787E+03   1.2170E+00   1.3550E+00   1.0790E+00
    2.882E+03   1.4020E+00   1.5190E+00   1.2850E+00
    2.929E+03   1.6270E+00   1.8300E+00   1.4240E+00
    3.020E+03   1.9600E+00   2.1670E+00   1.7530E+00
    3.207E+03   2.3470E+00   2.5750E+00   2.1190E+00
