#
# Lane-Emden Polytrope
# n=1.5
#
  xi            theta         r/R*           rho/rho*
   1.24539      0.769155      0.340852       4.04130    
   1.25455      0.766128      0.343358       4.01746    
   1.26370      0.763089      0.345865       3.99358    
   1.27286      0.760038      0.348371       3.96965    
   1.28202      0.756975      0.350877       3.94568    
   1.29117      0.753901      0.353383       3.92167    
   1.30033      0.750816      0.355890       3.89762    
   1.30949      0.747720      0.358396       3.87354    
   1.31865      0.744613      0.360902       3.84942    
   1.32780      0.741495      0.363409       3.82527    
   1.33696      0.738367      0.365915       3.80109    
   1.34612      0.735228      0.368421       3.77688    
   1.35528      0.732080      0.370927       3.75264    
   1.36443      0.728922      0.373434       3.72839    
   1.37359      0.725753      0.375940       3.70410    
   1.38275      0.722576      0.378446       3.67980    
   1.39190      0.719389      0.380952       3.65548    
   1.40106      0.716192      0.383459       3.63115    
   1.41022      0.712987      0.385965       3.60680    
   1.41938      0.709773      0.388471       3.58244    
   1.42853      0.706551      0.390977       3.55807    
   1.43769      0.703319      0.393484       3.53369    
   1.44685      0.700080      0.395990       3.50931    
   1.45601      0.696833      0.398496       3.48492    
   1.46516      0.693578      0.401002       3.46052    
   1.47432      0.690315      0.403509       3.43613    
   1.48348      0.687044      0.406015       3.41174    
   1.49263      0.683766      0.408521       3.38736    
   1.50179      0.680481      0.411028       3.36298    
   1.51095      0.677189      0.413534       3.33860    
   1.52011      0.673891      0.416040       3.31424    
   1.52926      0.670585      0.418546       3.28989    
   1.53842      0.667274      0.421053       3.26554    
   1.54758      0.663956      0.423559       3.24121    
   1.55674      0.660632      0.426065       3.21691    
   1.56589      0.657302      0.428571       3.19262    
   1.57505      0.653966      0.431078       3.16834    
   1.58421      0.650625      0.433584       3.14409    
   1.59336      0.647278      0.436090       3.11987    
   1.60252      0.643927      0.438596       3.09566    
   1.61168      0.640570      0.441103       3.07149    
   1.62084      0.637209      0.443609       3.04735    
   1.62999      0.633842      0.446115       3.02323    
   1.63915      0.630472      0.448622       2.99915    
   1.64831      0.627097      0.451128       2.97510    
   1.65747      0.623718      0.453634       2.95108    
   1.66662      0.620335      0.456140       2.92711    
   1.67578      0.616948      0.458647       2.90317    
   1.68494      0.613558      0.461153       2.87927    
   1.69409      0.610164      0.463659       2.85541    
   1.70325      0.606767      0.466165       2.83160    
   1.71241      0.603367      0.468672       2.80783    
   1.72157      0.599964      0.471178       2.78411    
   1.73072      0.596558      0.473684       2.76044    
   1.73988      0.593150      0.476190       2.73681    
   1.74904      0.589739      0.478697       2.71325    
   1.75820      0.586326      0.481203       2.68973    
   1.76735      0.582911      0.483709       2.66626    
   1.77651      0.579494      0.486216       2.64285    
   1.78567      0.576075      0.488722       2.61949    
   1.79482      0.572654      0.491228       2.59620    
   1.80398      0.569233      0.493734       2.57297    
   1.81314      0.565809      0.496241       2.54979    
   1.82230      0.562385      0.498747       2.52668    
   1.83145      0.558960      0.501253       2.50363    
   1.84061      0.555534      0.503759       2.48065    
   1.84977      0.552108      0.506266       2.45774    
   1.85892      0.548680      0.508772       2.43489    
   1.86808      0.545253      0.511278       2.41211    
   1.87724      0.541826      0.513784       2.38940    
   1.88640      0.538398      0.516291       2.36676    
   1.89555      0.534971      0.518797       2.34420    
   1.90471      0.531544      0.521303       2.32171    
   1.91387      0.528117      0.523810       2.29929    
   1.92303      0.524691      0.526316       2.27696    
   1.93218      0.521266      0.528822       2.25469    
   1.94134      0.517841      0.531328       2.23252    
   1.95050      0.514418      0.533835       2.21042    
   1.95965      0.510996      0.536341       2.18839    
   1.96881      0.507575      0.538847       2.16646    
   1.97797      0.504156      0.541353       2.14460    
   1.98713      0.500738      0.543860       2.12283    
   1.99628      0.497323      0.546366       2.10115    
   2.00544      0.493909      0.548872       2.07955    
   2.01460      0.490497      0.551378       2.05804    
