#
# Lane-Emden Polytrope
# n=3
#
  xi            theta         r/R*           rho/rho*
   2.36812      0.491364      0.343358       6.42759    
   2.38541      0.487321      0.345865       6.27025    
   2.40269      0.483302      0.348371       6.11638    
   2.41998      0.479307      0.350877       5.96598    
   2.43726      0.475336      0.353383       5.81888    
   2.45455      0.471389      0.355890       5.67514    
   2.47184      0.467466      0.358396       5.53465    
   2.48912      0.463567      0.360902       5.39730    
   2.50641      0.459693      0.363409       5.26309    
   2.52369      0.455842      0.365915       5.13195    
   2.54098      0.452016      0.368421       5.00381    
   2.55826      0.448214      0.370927       4.87862    
   2.57555      0.444437      0.373434       4.75630    
   2.59283      0.440684      0.375940       4.63682    
   2.61012      0.436955      0.378446       4.52011    
   2.62741      0.433250      0.380952       4.40612    
   2.64469      0.429570      0.383459       4.29478    
   2.66198      0.425914      0.385965       4.18606    
   2.67926      0.422282      0.388471       4.07988    
   2.69655      0.418675      0.390977       3.97622    
   2.71383      0.415092      0.393484       3.87499    
   2.73112      0.411532      0.395990       3.77616    
   2.74840      0.407997      0.398496       3.67968    
   2.76569      0.404486      0.401002       3.58550    
   2.78298      0.400999      0.403509       3.49356    
   2.80026      0.397536      0.406015       3.40382    
   2.81755      0.394096      0.408521       3.31623    
   2.83483      0.390680      0.411028       3.23075    
   2.85212      0.387288      0.413534       3.14733    
   2.86940      0.383920      0.416040       3.06592    
   2.88669      0.380575      0.418546       2.98649    
   2.90397      0.377254      0.421053       2.90897    
   2.92126      0.373956      0.423559       2.83335    
   2.93855      0.370681      0.426065       2.75956    
   2.95583      0.367429      0.428571       2.68758    
   2.97312      0.364201      0.431078       2.61735    
   2.99040      0.360995      0.433584       2.54885    
   3.00769      0.357813      0.436090       2.48202    
   3.02497      0.354653      0.438597       2.41685    
   3.04226      0.351516      0.441103       2.35328    
   3.05955      0.348401      0.443609       2.29127    
   3.07683      0.345309      0.446115       2.23080    
   3.09412      0.342239      0.448622       2.17183    
   3.11140      0.339191      0.451128       2.11433    
   3.12869      0.336165      0.453634       2.05824    
   3.14597      0.333162      0.456140       2.00357    
   3.16326      0.330180      0.458647       1.95025    
   3.18054      0.327219      0.461153       1.89826    
   3.19783      0.324281      0.463659       1.84758    
   3.21512      0.321364      0.466165       1.79816    
   3.23240      0.318468      0.468672       1.74999    
   3.24969      0.315593      0.471178       1.70303    
   3.26697      0.312740      0.473684       1.65725    
   3.28426      0.309907      0.476190       1.61263    
   3.30154      0.307096      0.478697       1.56913    
   3.31883      0.304305      0.481203       1.52674    
   3.33611      0.301534      0.483709       1.48542    
   3.35340      0.298784      0.486216       1.44514    
   3.37069      0.296054      0.488722       1.40590    
   3.38797      0.293345      0.491228       1.36764    
   3.40526      0.290655      0.493734       1.33037    
   3.42254      0.287985      0.496241       1.29405    
   3.43983      0.285335      0.498747       1.25865    
   3.45711      0.282705      0.501253       1.22416    
   3.47440      0.280094      0.503759       1.19055    
   3.49168      0.277502      0.506266       1.15781    
   3.50897      0.274929      0.508772       1.12590    
   3.52626      0.272376      0.511278       1.09483    
   3.54354      0.269841      0.513784       1.06454    
   3.56083      0.267326      0.516291       1.03505    
   3.57811      0.264828      0.518797       1.00631    
   3.59540      0.262350      0.521303      0.978317    
   3.61268      0.259889      0.523810      0.951054    
   3.62997      0.257447      0.526316      0.924495    
   3.64725      0.255023      0.528822      0.898624    
   3.66454      0.252617      0.531328      0.873425    
   3.68183      0.250229      0.533835      0.848887    
   3.69911      0.247858      0.536341      0.824988    
   3.71640      0.245505      0.538847      0.801712    
   3.73368      0.243169      0.541353      0.779049    
   3.75097      0.240851      0.543860      0.756976    
   3.76825      0.238549      0.546366      0.735483    
   3.78554      0.236265      0.548872      0.714558    
   3.80282      0.233997      0.551378      0.694181    
   3.82011      0.231747      0.553885      0.674341    
   3.83740      0.229512      0.556391      0.655025    
   3.85468      0.227294      0.558897      0.636220    
   3.87197      0.225093      0.561404      0.617907    
   3.88925      0.222908      0.563910      0.600087    
   3.90654      0.220738      0.566416      0.582738    
   3.92382      0.218585      0.568922      0.565850    
   3.94111      0.216447      0.571429      0.549407    
   3.95839      0.214325      0.573935      0.533409    
   3.97568      0.212219      0.576441      0.517835    
   3.99297      0.210128      0.578947      0.502679    
   4.01025      0.208052      0.581454      0.487928    
   4.02754      0.205992      0.583960      0.473574    
   4.04482      0.203946      0.586466      0.459605    
   4.06211      0.201915      0.588972      0.446012    
   4.07939      0.199899      0.591479      0.432786    
   4.09668      0.197898      0.593985      0.419917    
   4.11396      0.195911      0.596491      0.407396    
   4.13125      0.193939      0.598997      0.395214    
   4.14854      0.191981      0.601504      0.383364    
   4.16582      0.190037      0.604010      0.371835    
   4.18311      0.188107      0.606516      0.360621    
   4.20039      0.186190      0.609023      0.349713    
   4.21768      0.184288      0.611529      0.339103    
   4.23496      0.182400      0.614035      0.328784    
   4.25225      0.180524      0.616541      0.318748    
   4.26953      0.178663      0.619048      0.308988    
   4.28682      0.176814      0.621554      0.299497    
   4.30411      0.174979      0.624060      0.290268    
   4.32139      0.173157      0.626566      0.281295    
   4.33868      0.171348      0.629073      0.272570    
   4.35596      0.169552      0.631579      0.264087    
   4.37325      0.167769      0.634085      0.255841    
   4.39053      0.165998      0.636591      0.247825    
   4.40782      0.164239      0.639098      0.240033    
   4.42510      0.162494      0.641604      0.232460    
   4.44239      0.160760      0.644110      0.225099    
   4.45968      0.159039      0.646617      0.217945    
   4.47696      0.157329      0.649123      0.210993    
   4.49425      0.155632      0.651629      0.204238    
   4.51153      0.153947      0.654135      0.197674    
   4.52882      0.152273      0.656642      0.191297    
   4.54610      0.150611      0.659148      0.185102    
   4.56339      0.148961      0.661654      0.179083    
   4.58067      0.147322      0.664160      0.173237    
   4.59796      0.145694      0.666667      0.167559    
   4.61525      0.144078      0.669173      0.162044    
   4.63253      0.142473      0.671679      0.156689    
   4.64982      0.140879      0.674185      0.151488    
   4.66710      0.139296      0.676692      0.146438    
   4.68439      0.137724      0.679198      0.141536    
   4.70167      0.136162      0.681704      0.136776    
   4.71896      0.134612      0.684211      0.132156    
   4.73624      0.133072      0.686717      0.127672    
   4.75353      0.131542      0.689223      0.123320    
   4.77082      0.130023      0.691729      0.119096    
   4.78810      0.128514      0.694236      0.114998    
   4.80539      0.127015      0.696742      0.111021    
   4.82267      0.125527      0.699248      0.107164    
   4.83996      0.124048      0.701754      0.103421    
   4.85724      0.122580      0.704261      0.997920E-01
   4.87453      0.121121      0.706767      0.962719E-01
   4.89181      0.119672      0.709273      0.928580E-01
   4.90910      0.118233      0.711779      0.895482E-01
   4.92639      0.116804      0.714286      0.863391E-01
   4.94367      0.115383      0.716792      0.832281E-01
   4.96096      0.113973      0.719298      0.802130E-01
   4.97824      0.112572      0.721804      0.772905E-01
   4.99553      0.111180      0.724311      0.744585E-01
   5.01281      0.109797      0.726817      0.717148E-01
   5.03010      0.108423      0.729323      0.690567E-01
   5.04738      0.107059      0.731830      0.664816E-01
   5.06467      0.105703      0.734336      0.639882E-01
   5.08196      0.104356      0.736842      0.615729E-01
   5.09924      0.103018      0.739348      0.592350E-01
   5.11653      0.101689      0.741855      0.569714E-01
   5.13381      0.100368      0.744361      0.547803E-01
   5.15110      0.990558E-01  0.746867      0.526598E-01
   5.16838      0.977522E-01  0.749373      0.506079E-01
   5.18567      0.964570E-01  0.751880      0.486228E-01
   5.20295      0.951701E-01  0.754386      0.467026E-01
   5.22024      0.938915E-01  0.756892      0.448454E-01
   5.23753      0.926210E-01  0.759399      0.430495E-01
   5.25481      0.913587E-01  0.761905      0.413132E-01
   5.27210      0.901045E-01  0.764411      0.396349E-01
   5.28938      0.888582E-01  0.766917      0.380130E-01
   5.30667      0.876199E-01  0.769424      0.364457E-01
   5.32395      0.863894E-01  0.771930      0.349317E-01
   5.34124      0.851666E-01  0.774436      0.334693E-01
   5.35853      0.839516E-01  0.776942      0.320572E-01
   5.37581      0.827442E-01  0.779449      0.306938E-01
   5.39310      0.815443E-01  0.781955      0.293779E-01
   5.41038      0.803520E-01  0.784461      0.281079E-01
   5.42767      0.791671E-01  0.786967      0.268828E-01
   5.44495      0.779896E-01  0.789474      0.257009E-01
   5.46224      0.768194E-01  0.791980      0.245613E-01
   5.47952      0.756564E-01  0.794486      0.234626E-01
   5.49681      0.745007E-01  0.796992      0.224037E-01
   5.51409      0.733520E-01  0.799499      0.213833E-01
   5.53138      0.722105E-01  0.802005      0.204004E-01
   5.54867      0.710759E-01  0.804511      0.194539E-01
   5.56595      0.699482E-01  0.807018      0.185425E-01
   5.58324      0.688275E-01  0.809524      0.176654E-01
   5.60052      0.677135E-01  0.812030      0.168215E-01
   5.61781      0.666064E-01  0.814536      0.160098E-01
   5.63509      0.655059E-01  0.817043      0.152293E-01
   5.65238      0.644121E-01  0.819549      0.144791E-01
   5.66967      0.633248E-01  0.822055      0.137581E-01
   5.68695      0.622441E-01  0.824561      0.130657E-01
   5.70424      0.611699E-01  0.827068      0.124009E-01
   5.72152      0.601021E-01  0.829574      0.117627E-01
   5.73881      0.590407E-01  0.832080      0.111505E-01
   5.75609      0.579855E-01  0.834587      0.105633E-01
   5.77338      0.569367E-01  0.837093      0.100003E-01
   5.79066      0.558940E-01  0.839599      0.946097E-02
   5.80795      0.548575E-01  0.842105      0.894431E-02
   5.82524      0.538271E-01  0.844612      0.844975E-02
   5.84252      0.528028E-01  0.847118      0.797643E-02
   5.85981      0.517844E-01  0.849624      0.752381E-02
   5.87709      0.507720E-01  0.852130      0.709108E-02
   5.89438      0.497655E-01  0.854637      0.667769E-02
   5.91166      0.487649E-01  0.857143      0.628293E-02
   5.92895      0.477700E-01  0.859649      0.590616E-02
   5.94623      0.467810E-01  0.862155      0.554684E-02
   5.96352      0.457976E-01  0.864662      0.520435E-02
   5.98080      0.448198E-01  0.867168      0.487809E-02
   5.99809      0.438477E-01  0.869674      0.456750E-02
   6.01538      0.428811E-01  0.872180      0.427206E-02
   6.03266      0.419201E-01  0.874687      0.399122E-02
   6.04995      0.409645E-01  0.877193      0.372445E-02
   6.06723      0.400143E-01  0.879699      0.347125E-02
   6.08452      0.390696E-01  0.882205      0.323113E-02
   6.10180      0.381301E-01  0.884712      0.300361E-02
   6.11909      0.371960E-01  0.887218      0.278822E-02
   6.13638      0.362671E-01  0.889724      0.258450E-02
   6.15366      0.353434E-01  0.892231      0.239201E-02
   6.17095      0.344248E-01  0.894737      0.221032E-02
   6.18823      0.335114E-01  0.897243      0.203900E-02
   6.20552      0.326031E-01  0.899749      0.187765E-02
   6.22280      0.316998E-01  0.902256      0.172587E-02
   6.24009      0.308015E-01  0.904762      0.158326E-02
   6.25737      0.299081E-01  0.907268      0.144946E-02
   6.27466      0.290197E-01  0.909774      0.132409E-02
   6.29195      0.281361E-01  0.912281      0.120679E-02
   6.30923      0.272574E-01  0.914787      0.109721E-02
   6.32652      0.263834E-01  0.917293      0.995021E-03
   6.34380      0.255143E-01  0.919800      0.899886E-03
   6.36109      0.246498E-01  0.922306      0.811481E-03
   6.37837      0.237900E-01  0.924812      0.729496E-03
   6.39566      0.229349E-01  0.927318      0.653628E-03
   6.41294      0.220844E-01  0.929825      0.583567E-03
   6.43023      0.212384E-01  0.932331      0.519044E-03
   6.44752      0.203970E-01  0.934837      0.459766E-03
   6.46480      0.195601E-01  0.937343      0.405461E-03
   6.48209      0.187276E-01  0.939850      0.355865E-03
   6.49937      0.178995E-01  0.942356      0.310717E-03
   6.51666      0.170759E-01  0.944862      0.269768E-03
   6.53394      0.162566E-01  0.947368      0.232770E-03
   6.55123      0.154416E-01  0.949875      0.199489E-03
   6.56851      0.146309E-01  0.952381      0.169690E-03
   6.58580      0.138245E-01  0.954887      0.143150E-03
   6.60309      0.130223E-01  0.957393      0.119647E-03
   6.62037      0.122243E-01  0.959900      0.989717E-04
   6.63766      0.114304E-01  0.962406      0.809146E-04
   6.65494      0.106407E-01  0.964912      0.652750E-04
   6.67223      0.985505E-02  0.967419      0.518579E-04
   6.68951      0.907346E-02  0.969925      0.404724E-04
   6.70680      0.829591E-02  0.972431      0.309336E-04
   6.72408      0.752235E-02  0.974937      0.230621E-04
   6.74137      0.675274E-02  0.977444      0.166832E-04
   6.75866      0.598709E-02  0.979950      0.116275E-04
   6.77594      0.522534E-02  0.982456      0.773008E-05
   6.79323      0.446747E-02  0.984962      0.483085E-05
   6.81051      0.371344E-02  0.987469      0.277441E-05
   6.82780      0.296324E-02  0.989975      0.140974E-05
   6.84508      0.221680E-02  0.992481      0.590226E-06
   6.86237      0.147415E-02  0.994987      0.173565E-06
   6.87965      0.735221E-03  0.997494      0.215324E-07
   6.89694      0.00000       1.00000       0.00000    
