MG,BP-RP,MG0,BP-RP0
13.250859,0.639314,-0.039461,-0.082076
13.191791,0.735992,-0.098529,0.014602
14.736835,0.842018,1.446515,0.120628
14.202146,0.654248,0.911826,-0.067142
14.837726,0.6625,1.547406,-0.05889
16.739567,1.392709,3.449247,0.671319
12.523183,0.619685,-0.767137,-0.101705
12.98807,0.58445,-0.30225,-0.13694
14.841224,0.720616,1.550904,-7.74E-04
16.11333,1.334438,2.82301,0.613048
13.714511,0.577245,0.424191,-0.144145
15.388432,1.005596,2.098112,0.284206
14.471223,0.774453,1.180903,0.053063
12.168809,0.44968,-1.121511,-0.27171
15.286654,0.899235,1.996334,0.177845
14.540841,0.655651,1.250521,-0.065739
14.753518,0.706537,1.463198,-0.014853
15.852049,1.142112,2.561729,0.420722
15.724185,1.147144,2.433865,0.425754
14.692457,0.852315,1.402137,0.130925
14.05429,0.755041,0.76397,0.033651
16.54154,1.614976,3.25122,0.893586
14.644902,0.785128,1.354582,0.063738
15.155363,0.799806,1.865043,0.078416
15.646639,0.941294,2.356319,0.219904
13.539215,0.693172,0.248895,-0.028218
13.838891,0.665896,0.548571,-0.055494
14.629354,0.770005,1.339034,0.048615
15.191295,0.898189,1.900975,0.176799
14.284006,0.817364,0.993686,0.095974
14.98203,0.683326,1.69171,-0.038064
16.438469,1.416846,3.148149,0.695456
15.336162,0.894255,2.045842,0.172865
13.646791,0.614552,0.356471,-0.106838
16.402828,1.234244,3.112508,0.512854
16.296267,1.075953,3.005947,0.354563
16.303036,1.282598,3.012716,0.561208
12.277204,0.532137,-1.013116,-0.189253
15.588414,0.973768,2.298094,0.252378
15.725924,1.134934,2.435604,0.413544
16.813847,1.30154,3.523527,0.58015
15.093505,0.829053,1.803185,0.107663
13.56107,0.781848,0.27075,0.060458
16.194168,1.246779,2.903848,0.525389
16.096045,1.243094,2.805725,0.521704
14.788864,0.756544,1.498544,0.035154
15.131225,1.027931,1.840905,0.306541
15.879901,1.174969,2.589581,0.453579
13.517262,0.606336,0.226942,-0.115054
14.501112,0.688271,1.210792,-0.033119
15.539561,0.911006,2.249241,0.189616
14.779912,0.805887,1.489592,0.084497
15.743211,1.106715,2.452891,0.385325
16.11802,1.168766,2.8277,0.447376
13.000031,0.746882,-0.290289,0.025492
15.365124,0.923347,2.074804,0.201957
11.56899,0.532047,-1.72133,-0.189343
16.062855,1.168355,2.772535,0.446965
15.647054,0.92499,2.356734,0.2036
15.003252,1.05482,1.712932,0.33343
12.742118,0.550051,-0.548202,-0.171339
15.042767,0.848902,1.752447,0.127512
14.210698,0.791742,0.920378,0.070352
14.813823,0.861142,1.523503,0.139752
15.035222,0.93048,1.744902,0.20909
15.478745,0.998761,2.188425,0.277371
13.630214,0.672493,0.339894,-0.048897
16.743284,1.576445,3.452964,0.855055
14.704161,0.818352,1.413841,0.096962
13.416924,0.483825,0.126604,-0.237565
13.80048,0.748697,0.51016,0.027307
16.081728,1.299075,2.791408,0.577685
15.013081,1.085437,1.722761,0.364047
14.848074,1.128508,1.557754,0.407118
13.212851,0.599802,-0.077469,-0.121588
14.379248,0.672602,1.088928,-0.048788
16.374563,1.393847,3.084243,0.672457
15.414854,1.278855,2.124534,0.557465
14.627472,0.793276,1.337152,0.071886
14.174841,0.739777,0.884521,0.018387
15.425126,0.905422,2.134806,0.184032
14.700109,0.832208,1.409789,0.110818
14.550651,0.851425,1.260331,0.130035
12.424173,0.606568,-0.866147,-0.114822
12.366285,0.355731,-0.924035,-0.365659
15.311072,0.873475,2.020752,0.152085
15.529733,0.918098,2.239413,0.196708
15.287068,0.94454,1.996748,0.22315
16.219782,1.286916,2.929462,0.565526
9.902083,0.448507,-3.388237,-0.272883
15.410661,0.850303,2.120341,0.128913
16.321987,1.241242,3.031667,0.519852
14.179003,0.52267,0.888683,-0.19872
15.588001,0.943394,2.297681,0.222004
14.276447,0.930481,0.986127,0.209091
16.844473,1.597671,3.554153,0.876281
14.00881,0.585129,0.71849,-0.136261
16.153168,1.280734,2.862848,0.559344
16.564064,1.284696,3.273744,0.563306
15.445813,0.947759,2.155493,0.226369
16.143768,1.204175,2.853448,0.482785
14.184947,0.675548,0.894627,-0.045842
14.992246,0.861019,1.701926,0.139629
11.976246,0.2959,-1.314074,-0.42549
14.450215,0.852205,1.159895,0.130815
14.607652,0.68343,1.317332,-0.03796
15.480168,0.91305,2.189848,0.19166
14.537692,0.674505,1.247372,-0.046885
13.352068,0.668437,0.061748,-0.052953
13.959706,0.58559,0.669386,-0.1358
14.256217,0.607287,0.965897,-0.114103
12.058635,0.579727,-1.231685,-0.141663
10.793612,0.42954,-2.496708,-0.29185
13.643906,0.657043,0.353586,-0.064347
14.82383,0.834029,1.53351,0.112639
10.363597,0.448786,-2.926723,-0.272604
17.120102,1.528633,3.829782,0.807243
15.159422,1.113778,1.869102,0.392388
13.855842,0.6492,0.565522,-0.07219
14.753922,0.750437,1.463602,0.029047
15.796033,1.1229,2.505713,0.40151
13.399304,0.666983,0.108984,-0.054407
13.337334,0.660909,0.047014,-0.060481
15.119806,0.947754,1.829486,0.226364
13.907654,0.712042,0.617334,-9.35E-03
16.858908,1.388861,3.568588,0.667471
15.418736,0.890257,2.128416,0.168867
9.180675,0.584131,-4.109645,-0.137259
12.69788,0.602343,-0.59244,-0.119047
9.460826,0.491665,-3.829494,-0.229725
6.436751,0.712499,-6.853569,-8.89E-03
15.422078,0.825151,2.131758,0.103761
15.18828,0.857819,1.89796,0.136429
14.464466,0.749877,1.174146,0.028487
15.419971,0.888193,2.129651,0.166803
14.247444,0.63484,0.957124,-0.08655
15.397819,0.959188,2.107499,0.237798
14.251283,0.925409,0.960963,0.204019
14.795597,0.981459,1.505277,0.260069
14.1717,0.783443,0.88138,0.062053
14.879683,0.6964,1.589363,-0.02499
12.968885,1.435611,-0.321435,0.714221
14.738588,0.72262,1.448268,1.23E-03
14.61176,0.904888,1.32144,0.183498
16.839033,1.382858,3.548713,0.661468
16.481697,1.283112,3.191377,0.561722
15.330275,0.846999,2.039955,0.125609
14.513446,0.82256,1.223126,0.10117
15.206911,0.886609,1.916591,0.165219
15.117753,0.819795,1.827433,0.098405
15.756528,1.043307,2.466208,0.321917
15.277979,0.803887,1.987659,0.082497
14.08882,0.637618,0.7985,-0.083772
13.165512,0.467731,-0.124808,-0.253659
12.332922,0.3745,-0.957398,-0.34689
14.887027,0.70239,1.596707,-0.019
13.200358,0.4739,-0.089962,-0.24749
15.049094,0.810872,1.758774,0.089482
10.874249,0.808113,-2.416071,0.086723
10.843237,0.67086,-2.447083,-0.05053
13.888949,0.673204,0.598629,-0.048186
15.881798,1.051065,2.591478,0.329675
14.688034,0.821545,1.397714,0.100155
11.914189,0.454329,-1.376131,-0.267061
10.738786,0.574515,-2.551534,-0.146875
14.413548,0.832359,1.123228,0.110969
14.203247,0.671657,0.912927,-0.049733
12.205882,0.466682,-1.084438,-0.254708
10.690744,0.517375,-2.599576,-0.204015
14.550006,0.667422,1.259686,-0.053968
12.559162,0.558958,-0.731158,-0.162432
14.045328,0.75153,0.755008,0.03014
16.728186,1.356342,3.437866,0.634952
14.632925,0.648737,1.342605,-0.072653
15.037821,0.655386,1.747501,-0.066004
15.823562,1.155753,2.533242,0.434363
13.539227,0.62201,0.248907,-0.09938
16.125486,0.987398,2.835166,0.266008
14.952297,0.748241,1.661977,0.026851
14.175489,0.752422,0.885169,0.031032
14.476894,0.616002,1.186574,-0.105388
16.167284,1.291218,2.876964,0.569828
14.860081,0.758204,1.569761,0.036814
14.660718,0.754398,1.370398,0.033008
14.21101,0.856276,0.92069,0.134886
14.356748,0.774108,1.066428,0.052718
16.301374,1.316983,3.011054,0.595593
15.667397,0.929465,2.377077,0.208075
14.853823,0.929754,1.563503,0.208364
13.997642,0.7005,0.707322,-0.02089
12.771394,0.591131,-0.518926,-0.130259
15.80838,1.108696,2.51806,0.387306
15.731916,0.969255,2.441596,0.247865
12.185251,0.497782,-1.105069,-0.223608
13.437068,0.609903,0.146748,-0.111487
13.116046,0.668833,-0.174274,-0.052557
14.53012,0.810927,1.2398,0.089537
15.846233,1.115472,2.555913,0.394082
15.767952,1.042387,2.477632,0.320997
14.955384,0.811117,1.665064,0.089727
14.235569,0.705973,0.945249,-0.015417
14.408327,0.786853,1.118007,0.065463
16.206787,1.2361,2.916467,0.51471
14.083702,0.789874,0.793382,0.068484
14.079779,0.651675,0.789459,-0.069715
15.292467,0.955224,2.002147,0.233834
16.638483,1.373869,3.348163,0.652479
16.368181,1.516007,3.077861,0.794617
12.800557,0.582827,-0.489763,-0.138563
16.882202,1.37488,3.591882,0.65349
15.293024,0.944663,2.002704,0.223273
14.950513,0.863357,1.660193,0.141967
17.031878,1.374737,3.741558,0.653347
13.509884,0.797907,0.219564,0.076517
12.451392,0.723219,-0.838928,1.83E-03
12.551526,0.674622,-0.738794,-0.046768
14.64294,0.755703,1.35262,0.034313
16.69018,1.308666,3.39986,0.587276
15.932288,1.231496,2.641968,0.510106
15.829257,1.172807,2.538937,0.451417
15.818768,1.071696,2.528448,0.350306
12.371753,0.396996,-0.918567,-0.324394
15.127928,1.337235,1.837608,0.615845
13.906486,0.727378,0.616166,5.99E-03
16.63714,1.408118,3.34682,0.686728
13.69085,0.639626,0.40053,-0.081764
15.045806,0.869677,1.755486,0.148287
16.433378,1.199047,3.143058,0.477657
14.361598,0.777548,1.071278,0.056158
15.281182,0.874241,1.990862,0.152851
9.856458,0.530775,-3.433862,-0.190615
11.979924,0.521793,-1.310396,-0.199597
14.934951,0.894903,1.644631,0.173513
14.730847,0.705045,1.440527,-0.016345
14.198398,0.719464,0.908078,-1.93E-03
14.76138,0.874647,1.47106,0.153257
14.92877,0.810276,1.63845,0.088886
14.694643,0.630779,1.404323,-0.090611
13.721268,0.919579,0.430948,0.198189
13.309151,0.596942,0.018831,-0.124448
14.564317,0.952698,1.273997,0.231308
11.765206,0.533718,-1.525114,-0.187672
13.775965,0.706265,0.485645,-0.015125
15.008821,0.815302,1.718501,0.093912
15.65974,1.262372,2.36942,0.540982
15.504312,1.156951,2.213992,0.435561
12.656115,0.591495,-0.634205,-0.129895
12.448749,0.36508,-0.841571,-0.35631
13.968918,0.773353,0.678598,0.051963
16.531456,1.530227,3.241136,0.808837
14.199967,0.645464,0.909647,-0.075926
14.518541,0.682245,1.228221,-0.039145
12.415597,0.622253,-0.874723,-0.099137
13.51616,0.547248,0.22584,-0.174142
15.425939,0.883055,2.135619,0.161665
15.621483,1.065087,2.331163,0.343697
14.902902,0.784824,1.612582,0.063434
17.35044,1.693407,4.06012,0.972017
13.051249,0.605767,-0.239071,-0.115623
15.41075,1.011484,2.12043,0.290094
11.754906,0.478647,-1.535414,-0.242743
16.756237,1.320814,3.465917,0.599424
13.643722,0.722693,0.353402,1.30E-03
15.871607,1.122444,2.581287,0.401054
15.787244,1.15015,2.496924,0.42876
15.024152,0.867818,1.733832,0.146428
10.940348,0.743849,-2.349972,0.022459
16.752594,1.594562,3.462274,0.873172
16.614616,1.286516,3.324296,0.565126
15.682079,1.035523,2.391759,0.314133
13.509857,0.629548,0.219537,-0.091842
13.91334,0.767711,0.62302,0.046321
13.735223,0.557469,0.444903,-0.163921
15.583075,1.233484,2.292755,0.512094
15.802978,1.094864,2.512658,0.373474
12.024322,0.533467,-1.265998,-0.187923
11.89788,0.613584,-1.39244,-0.107806
15.069276,0.892212,1.778956,0.170822
15.120427,0.863434,1.830107,0.142044
15.65747,0.985896,2.36715,0.264506
16.251993,1.189937,2.961673,0.468547
12.685178,0.532481,-0.605142,-0.188909
12.941776,0.614918,-0.348544,-0.106472
16.25498,1.399725,2.96466,0.678335
10.376754,0.516979,-2.913566,-0.204411
15.397651,1.010214,2.107331,0.288824
14.234862,0.589827,0.944542,-0.131563
15.591507,0.87699,2.301187,0.1556
15.651332,1.058325,2.361012,0.336935
14.304873,0.638786,1.014553,-0.082604
14.842765,0.927266,1.552445,0.205876
14.627401,0.733134,1.337081,0.011744
15.449705,0.880357,2.159385,0.158967
15.109352,0.753693,1.819032,0.032303
15.501703,0.913127,2.211383,0.191737
12.629443,0.407101,-0.660877,-0.314289
14.072046,0.803754,0.781726,0.082364
14.815103,0.790728,1.524783,0.069338
15.722234,0.968924,2.431914,0.247534
14.104042,0.727522,0.813722,6.13E-03
13.610375,0.576872,0.320055,-0.144518
15.496396,0.892774,2.206076,0.171384
12.289188,0.414031,-1.001132,-0.307359
12.531539,0.531239,-0.758781,-0.190151
15.132721,0.789845,1.842401,0.068455
16.346169,1.201313,3.055849,0.479923
15.691253,1.015367,2.400933,0.293977
10.795519,0.502305,-2.494801,-0.219085
16.296804,1.209661,3.006484,0.488271
16.041536,1.331079,2.751216,0.609689
15.31952,0.790589,2.0292,0.069199
14.537078,0.732224,1.246758,0.010834
14.253201,0.681645,0.962881,-0.039745
13.962101,0.60974,0.671781,-0.11165
14.531237,0.727902,1.240917,6.51E-03
17.467705,1.62014,4.177385,0.89875
14.856339,0.842992,1.566019,0.121602
12.37149,0.583151,-0.91883,-0.138239
12.483051,0.763213,-0.807269,0.041823
12.777803,0.884609,-0.512517,0.163219
16.145021,1.224236,2.854701,0.502846
17.078897,1.608257,3.788577,0.886867
15.908384,1.264621,2.618064,0.543231
16.7908,1.370461,3.50048,0.649071
10.631181,0.525068,-2.659139,-0.196322
