MG,BP-RP0,MG0
9.68812,0.617695,3.33812
13.977336,1.754459,7.627336
6.159,1.138159,-0.191
17.267296,2.90218,10.917296
17.804335,3.007132,11.454335
14.64477,1.995602,8.29477
10.517451,0.750014,4.167451
9.375362,0.564481,3.025362
12.866198,1.308156,6.516198
15.21257,2.205129,8.86257
6.78613,0.28249,0.43613
8.322207,0.333133,1.972207
8.590657,0.395798,2.240657
13.057513,1.349633,6.707513
15.805157,2.470064,9.455157
8.915397,0.44596,2.565397
12.36487,1.185489,6.01487
16.820024,2.716922,10.470024
13.80527,1.771441,7.45527
16.245087,2.65266,9.895087
7.75802,0.307437,1.40802
12.577033,1.206859,6.227033
14.42487,2.045304,8.07487
7.981543,0.308851,1.631543
13.822029,1.835456,7.472029
17.275818,2.730469,10.925818
11.973501,1.061222,5.623501
17.980059,3.098383,11.630059
16.145971,2.516072,9.795971
13.259915,1.465643,6.909915
7.989249,0.299076,1.639249
16.693493,2.723896,10.343493
11.008219,0.83011,4.658219
15.652394,2.385242,9.302394
12.571798,1.251121,6.221798
15.662463,2.408021,9.312463
12.76994,1.2831,6.41994
11.268625,0.908432,4.918625
11.219938,0.909319,4.869938
14.421679,1.91357,8.071679
9.717248,0.616374,3.367248
15.969485,2.464511,9.619485
17.077059,3.067526,10.727059
17.97987,2.901106,11.62987
14.743064,2.017162,8.393064
10.86291,0.815494,4.51291
17.096947,2.862141,10.746947
12.661921,1.241,6.311921
6.355789,1.102195,5.79E-03
7.487116,0.321221,1.137116
11.928089,1.05264,5.578089
11.630432,0.965743,5.280432
16.04603,2.544601,9.69603
10.172423,0.68082,3.822423
15.769218,2.502765,9.419218
8.645911,0.415552,2.295911
15.963691,2.547483,9.613691
15.113562,2.257166,8.763562
11.43092,0.929016,5.08092
15.27003,2.253398,8.92003
17.011026,2.81413,10.661026
16.137327,2.767294,9.787327
17.342476,2.816902,10.992476
17.102587,2.902584,10.752587
15.303267,2.458956,8.953267
11.877113,1.037735,5.527113
16.191168,2.712658,9.841168
9.741808,0.621139,3.391808
12.452263,1.171502,6.102263
10.162404,0.6757,3.812404
12.846568,1.315727,6.496568
11.168357,0.872294,4.818357
9.450672,0.566181,3.100672
15.195505,2.205445,8.845505
14.497636,1.946795,8.147636
10.545065,0.749501,4.195065
15.918444,1.276808,9.568444
16.828465,2.812668,10.478465
13.796629,1.691218,7.446629
10.697074,0.875033,4.347074
17.66541,2.932289,11.31541
16.415354,2.735826,10.065354
6.251231,0.225389,-0.098769
13.394865,1.611192,7.044865
11.375244,1.090774,5.025244
17.777925,3.012819,11.427925
17.320652,2.842884,10.970652
9.982521,0.662797,3.632521
14.043833,1.851121,7.693833
7.499503,0.202658,1.149503
11.908672,1.036347,5.558672
16.652584,2.738792,10.302584
15.031652,2.148128,8.681652
13.025415,1.498033,6.675415
16.155714,2.574875,9.805714
12.180412,1.112011,5.830412
8.944861,0.478542,2.594861
9.433238,0.678913,3.083238
10.588556,0.754954,4.238556
17.687504,3.081013,11.337504
13.096282,1.417069,6.746282
11.434957,0.938342,5.084957
10.803354,0.941247,4.453354
12.122607,1.119274,5.772607
10.818336,0.909855,4.468336
10.041986,0.674253,3.691986
9.232459,0.531901,2.882459
13.444594,1.525509,7.094594
17.187498,2.902623,10.837498
10.338463,0.742765,3.988463
6.726763,0.250297,0.376763
14.513931,1.926156,8.163931
15.489465,2.507394,9.139465
16.911535,2.871886,10.561535
15.078538,2.20315,8.728538
7.616751,0.274636,1.266751
15.381603,2.575596,9.031603
10.517456,0.892219,4.167456
14.593724,1.978004,8.243724
14.006324,1.755127,7.656324
16.127626,2.669965,9.777626
9.179134,0.646797,2.829134
12.283896,1.128947,5.933896
13.63673,1.600196,7.28673
10.896122,0.829124,4.546122
15.997236,2.603681,9.647236
16.887236,3.036419,10.537236
9.468747,0.585568,3.118747
15.591555,2.374358,9.241555
16.011837,2.827754,9.661837
17.453918,3.158567,11.103918
16.278917,2.659756,9.928917
16.915716,2.823385,10.565716
17.106636,3.10448,10.756636
13.233579,1.473409,6.883579
11.979385,1.046925,5.629385
10.299312,0.75038,3.949312
17.67224,3.064608,11.32224
10.111774,0.676996,3.761774
17.681662,-0.290409,11.331662
15.040217,2.146178,8.690217
9.272019,0.558545,2.922019
10.611017,0.879151,4.261017
13.161329,1.420624,6.811329
17.511324,2.917036,11.161324
17.54304,3.006464,11.19304
17.13185,2.833687,10.78185
10.327291,0.771757,3.977291
11.31113,0.910652,4.96113
7.911688,0.286192,1.561688
11.802105,0.997243,5.452105
16.72721,2.795457,10.37721
10.780605,0.794159,4.430605
16.586912,2.769302,10.236912
16.185865,2.73115,9.835865
17.212725,2.850984,10.862725
10.004918,0.664437,3.654918
13.699285,1.64769,7.349285
16.09962,2.739047,9.74962
13.130247,1.440974,6.780247
17.048374,2.807761,10.698374
12.608421,1.257665,6.258421
17.879969,3.132992,11.529969
9.578424,0.587917,3.228424
8.276146,0.287999,1.926146
17.376284,2.922731,11.026284
10.578912,0.758055,4.228912
17.490414,2.76446,11.140414
11.508884,0.945519,5.158884
15.765918,2.55857,9.415918
16.857738,2.821375,10.507738
16.353266,2.737163,10.003266
15.356056,2.267646,9.006056
15.253603,2.256147,8.903603
16.27697,2.612144,9.92697
16.786312,2.828268,10.436312
15.478314,2.308111,9.128314
17.745138,3.033554,11.395138
16.569553,2.739658,10.219553
17.4716,2.952272,11.1216
16.354136,2.648008,10.004136
13.70989,1.642743,7.35989
17.248764,2.990164,10.898764
17.564,2.906998,11.214
13.910039,2.003122,7.560039
9.225971,0.540646,2.875971
8.747283,0.426842,2.397283
15.386737,2.650024,9.036737
6.581832,0.026585,0.231832
16.95824,3.00718,10.60824
16.76435,2.845803,10.41435
15.654278,2.364832,9.304278
13.947892,1.724279,7.597892
10.350761,0.726695,4.000761
16.311468,2.850575,9.961468
15.156143,2.194579,8.806143
11.820469,1.02842,5.470469
8.466562,0.413331,2.116562
16.478537,2.847554,10.128537
12.870566,1.332412,6.520566
17.549889,3.216549,11.199889
14.438608,1.921701,8.088608
15.832973,2.701473,9.482973
9.956601,0.662691,3.606601
9.772018,0.621973,3.422018
16.358217,2.622776,10.008217
16.5768,2.645213,10.2268
12.108118,1.081764,5.758118
17.384491,2.933641,11.034491
6.645986,1.109288,0.295986
11.830334,1.194401,5.480334
11.611212,1.03207,5.261212
12.092301,1.106805,5.742301
17.411238,2.99266,11.061238
16.785547,3.02321,10.435547
12.948668,1.348678,6.598668
13.235211,1.466561,6.885211
11.259017,0.896448,4.909017
13.746807,1.656746,7.396807
13.206443,1.454368,6.856443
15.723408,2.684536,9.373408
16.606977,2.643519,10.256977
15.853858,2.59809,9.503858
6.135683,1.104796,-0.214317
16.728275,2.81066,10.378275
9.124775,0.526549,2.774775
13.485536,1.57199,7.135536
12.156006,1.130758,5.806006
17.374935,2.973761,11.024935
11.598381,0.937915,5.248381
13.838399,1.699089,7.488399
11.721272,0.978574,5.371272
15.186316,2.208549,8.836316
13.588256,1.625951,7.238256
17.163666,2.857516,10.813666
17.446798,2.9191,11.096798
17.623762,3.040888,11.273762
15.765182,2.715579,9.415182
15.142887,2.235213,8.792887
16.411106,2.880816,10.061106
17.699947,3.005991,11.349947
8.450657,0.381466,2.100657
13.66073,1.680433,7.31073
14.147637,1.818473,7.797637
10.244328,0.691419,3.894328
11.718737,0.989238,5.368737
15.598496,2.400998,9.248496
13.60524,1.651442,7.25524
12.613876,1.245251,6.263876
17.97559,3.048542,11.62559
17.238192,2.977417,10.888192
15.589306,2.413918,9.239306
16.828918,3.024377,10.478918
17.593288,3.062168,11.243288
17.699846,3.129515,11.349846
12.734434,1.302082,6.384434
9.392725,0.569209,3.042725
9.720362,0.605391,3.370362
16.350925,2.605865,10.000925
16.246347,2.592248,9.896347
17.253117,2.751223,10.903117
15.77016,2.459169,9.42016
15.866408,2.624994,9.516408
12.388916,1.403611,6.038916
15.469457,2.2845,9.119457
16.180782,2.542337,9.830782
16.292591,2.703548,9.942591
16.082705,2.528281,9.732705
12.985446,1.371749,6.635446
17.649048,2.908806,11.299048
16.274403,2.584816,9.924403
17.415495,2.860174,11.065495
12.760685,1.293263,6.410685
12.869772,1.316278,6.519772
15.785989,2.599935,9.435989
13.554179,1.545448,7.204179
14.893888,2.071975,8.543888
12.975932,1.365706,6.625932
13.360302,1.509873,7.010302
12.32316,1.140952,5.97316
