#  
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-07-12T23:48:21 [V1.99+ (14-Oct-2013)]
#
# nav=cat:J/AcA/49/223&tab:{J/AcA/49/223/lmc_sc}&key:source=J/AcA/49/223/lmc_sc&HTTPPRM:&
# source=J/AcA/49/223/lmc_sc
# RESOURCE=yCat_120490223
# Name: J/AcA/49/223
# Title: BVI photometry of OGLE LMC Cepheids (Udalski+, 1999)
# Table J_AcA_49_223_lmc_sc:
# Name: J/AcA/49/223/lmc_sc
# Title: *Catalog of Cepheids from the LMC_SC fields
#---Details of Columns:
#    Field      (a8)    LMC-SC field designation (LMC-SC) [ucd=obs.field]
#    Seq        (I6)    Sequential number in the field [ucd=meta.id]
#    Per (d)    (F8.5)  Period [ucd=time.period]
#    Imag (mag) (F6.3)  ? Mean I magnitude [ucd=phot.mag;em.opt.I]
#    Type       (A2)    Classification type (1) [ucd=meta.code;src.var]
Field     Seq    Per     Imag   Type
LMC-SC2  349919  4.01578 14.988 FU
LMC-SC2  357821  4.29598 14.973 FU
LMC-SC2  357849  3.77557 14.996 FU
LMC-SC2  357856  4.65487 14.836 FU
LMC-SC2  365468  5.73729 14.561 FU
LMC-SC2  365487  2.69999 14.923 FO
LMC-SC2  365517  2.94251 15.295 FU
LMC-SC2  385297  3.50854 14.688 FO
LMC-SC2  385301  3.34383 15.196 FU
LMC-SC2  385324  2.97119 15.441 FU
LMC-SC2  396425  3.71275 15.122 FU
LMC-SC2  407032  1.27138 16.278 FO
LMC-SC3    5709  2.49501 15.688 FU
LMC-SC3    5715  2.11632 15.132 BR
LMC-SC3   11987  2.76209 15.492 FU
LMC-SC3   26910 15.84364 13.152 FU
LMC-SC3   35233  4.01553 14.265 FO
LMC-SC3   35297  3.70896 15.163 FU
LMC-SC3   35307  2.76772 14.845 FO
LMC-SC3   44256  7.32001 14.046 FU
LMC-SC3   44391  2.53947 15.762 FU
LMC-SC3   53226  7.49502 13.869 FU
LMC-SC3   53242  4.58472 14.076 FO
LMC-SC3   62624  7.44175 14.075 FU
LMC-SC3   62742  1.47000 15.797 FO
LMC-SC3  108113 12.74848 16.106 FA
LMC-SC3  153951 12.26284 13.658 FU
LMC-SC3  153982  5.04483 14.718 FU
LMC-SC3  153983  3.42085 15.260 FU
LMC-SC3  162132  7.22656 14.191 FU
LMC-SC3  162135  6.51736 14.406 FU
LMC-SC3  162180  2.57930 14.810 FO
LMC-SC3  170203  6.89411 14.280 FU
LMC-SC3  170205  7.57042 14.284 FU
LMC-SC3  170223  2.08788 15.267 FO
LMC-SC3  170246  2.62452 14.913 FO
LMC-SC3  170248  5.29412 14.717 FU
LMC-SC3  194729  5.84811 14.670 FU
LMC-SC3  194754  3.55740 15.025 FU
LMC-SC3  194767  2.95984 15.199 FU
LMC-SC3  201460  2.72805 14.943 FO
LMC-SC3  201465  4.01090 15.228 FU
LMC-SC3  213991  1.59818 15.868 FO
LMC-SC3  230821  3.09365 15.305 FU
LMC-SC3  243445  2.18766 15.386 FO
LMC-SC3  243639  1.04468 16.604 FO
LMC-SC3  250696  2.36932 14.961 FO
LMC-SC3  250776  4.61320 15.582 FU
LMC-SC3  266664 10.01176 15.841 FA
LMC-SC3  274376  4.04369 14.535 FO
LMC-SC3  274410  2.44614 15.050 FO
LMC-SC3  282040  4.11585 14.792 FU
LMC-SC3  282042  2.35730 15.132 FO
LMC-SC3  290130  4.07487 16.290 FA
LMC-SC3  317016  7.41376 14.313 FU
LMC-SC3  317051  2.35018 14.962 FO
LMC-SC3  322990  4.68196 14.642 FU
LMC-SC3  328748  2.57431 15.456 FU
LMC-SC3  368172  4.92028 14.807 FU
LMC-SC3  368185  2.17687 15.077 FO
LMC-SC3  376576  6.29183 14.301 FU
LMC-SC3  384972 15.99180 13.579 FU
LMC-SC3  384989  5.93843 14.547 FU
LMC-SC3  393051  5.33739 14.627 FU
LMC-SC3  393065  2.03046 15.256 FO
LMC-SC3  400608  3.53219 14.544 FO
LMC-SC3  408692  2.17345 15.270 FO
LMC-SC3  421504  4.40963 14.929 FU
LMC-SC3  421512  3.18618 14.858 FO
LMC-SC3  444282  6.22700 14.497 FU
LMC-SC4      41  3.37454 15.342 FU
LMC-SC4      65  1.67930 15.742 FO
LMC-SC4    6353  4.07697 15.046 FU
LMC-SC4   13514  5.00702 14.852 FU
LMC-SC4   20960  2.91625 14.691 FO
LMC-SC4   36200  3.47660 14.502 FO
LMC-SC4   36266  6.80614 14.563 FU
LMC-SC4   44867  7.18188 14.132 FU
LMC-SC4   44876  6.05549 14.577 FU
LMC-SC4   45203  1.15916 16.547 FU
LMC-SC4   53458  6.61962 14.462 FU
LMC-SC4   53463  5.39550 14.392 FO
LMC-SC4   53468  5.93565 14.407 FU
LMC-SC4   53514  5.97551 14.642 FU
LMC-SC4   53518  5.56684 14.998 FU
LMC-SC4   53527  7.68466 14.834 FU
LMC-SC4   53528  9.37703 15.003 FU
LMC-SC4   53546  6.40602 14.435 FU
LMC-SC4   53552  5.22583 14.569 FU
LMC-SC4   62567  2.94654 15.166 FU
LMC-SC4   71658  2.86812 15.325 FU
LMC-SC4   80546  4.49008 14.366 FO
LMC-SC4   98151  1.38239 15.864 FO
LMC-SC4  105767  3.98662 14.962 FU
LMC-SC4  105884  1.87451 16.048 FU
LMC-SC4  105933  1.05932 16.312 FO
LMC-SC4  131738  3.12224 14.643 FO
LMC-SC4  138319  2.01815 15.478 FO
LMC-SC4  145322  2.14355 15.110 FO
LMC-SC4  152290  1.88788 15.671 FO
LMC-SC4  167923 12.36042 13.785 FU
LMC-SC4  167947  4.68002 14.949 FU
LMC-SC4  167975  3.13584 14.898 FO
LMC-SC4  167981  3.08351 14.902 FO
LMC-SC4  168269  0.72922 16.837 FO
LMC-SC4  176263  6.81389 13.946 BR
LMC-SC4  176264  7.29458 14.301 FU
LMC-SC4  176266  8.80196 14.295 FU
LMC-SC4  176276  5.60185 14.623 FU
LMC-SC4  176307  2.97632 14.637 FO
LMC-SC4  176354  6.81587 15.728 FA
LMC-SC4  194399  5.04519 14.620 FU
LMC-SC4  203556  3.19095 14.606 FO
LMC-SC4  203564  2.81381 14.811 FO
LMC-SC4  219811  6.31046 14.516 FU
LMC-SC4  234256  1.30851 17.063 FA
LMC-SC4  245640  4.15738 15.051 FU
LMC-SC4  257644  3.13230 15.444 FU
LMC-SC4  257661  2.18459 15.448 FO
LMC-SC4  257687  2.70653 15.601 FU
LMC-SC4  264185  7.17089 14.376 FU
LMC-SC4  271200 28.09916 12.675 FU
LMC-SC4  271225  4.94263 14.615 FU
LMC-SC4  272276  1.26372 17.261 FA
LMC-SC4  287407  3.20784 14.484 FO
LMC-SC4  287408  2.23768 15.046 FO
LMC-SC4  295932  4.16628 14.338 FO
LMC-SC4  295958  5.28458 14.591 FU
LMC-SC4  295966  7.51664 14.219 FU
LMC-SC4  296000  4.13355 14.939 FU
LMC-SC4  296023  3.54545 15.194 FU
LMC-SC4  296040  4.04370 14.998 FU
LMC-SC4  296047  3.08651 15.298 FU
LMC-SC4  305691  7.45743 14.173 FU
LMC-SC4  305701  5.99939 14.665 FO
LMC-SC4  314629  4.15579 14.892 FU
LMC-SC4  331610  7.75408 13.999 FU
LMC-SC4  346169  3.89528 14.465 FO
LMC-SC4  363465  3.16597 15.135 FU
LMC-SC4  369698  2.11649 15.128 FO
LMC-SC4  369748  2.49486 15.696 FU
LMC-SC4  391223  4.46457 14.632 FU
LMC-SC4  391242  4.47607 14.916 FU
LMC-SC4  391255  3.47904 14.667 FO
LMC-SC4  391365  1.58177 16.103 FU
LMC-SC4  399359  4.01450 14.297 FO
LMC-SC4  399429  3.70882 15.163 FU
LMC-SC4  399434  2.59668 14.857 FO
LMC-SC4  408738  7.32026 14.028 FU
LMC-SC4  408742  7.07075 14.208 FU
LMC-SC4  417847  7.49402 13.870 FU
LMC-SC4  417848  5.88305 14.373 FU
LMC-SC4  417850  7.37301 14.303 FU
LMC-SC4  417853  8.07404 14.036 FU
LMC-SC4  417864  4.58446 14.076 FO
LMC-SC4  427313  0.67413 16.881 FO
