#  
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-07-12T23:48:21 [V1.99+ (14-Oct-2013)]
#
# nav=cat:J/AcA/49/223&tab:{J/AcA/49/223/lmc_sc}&key:source=J/AcA/49/223/lmc_sc&HTTPPRM:&
# source=J/AcA/49/223/lmc_sc
# RESOURCE=yCat_120490223
# Name: J/AcA/49/223
# Title: BVI photometry of OGLE LMC Cepheids (Udalski+, 1999)
# Table J_AcA_49_223_lmc_sc:
# Name: J/AcA/49/223/lmc_sc
# Title: *Catalog of Cepheids from the LMC_SC fields
#---Details of Columns:
#    Field      (a8)    LMC-SC field designation (LMC-SC) [ucd=obs.field]
#    Seq        (I6)    Sequential number in the field [ucd=meta.id]
#    Per (d)    (F8.5)  Period [ucd=time.period]
#    Imag (mag) (F6.3)  ? Mean I magnitude [ucd=phot.mag;em.opt.I]
#    Type       (A2)    Classification type (1) [ucd=meta.code;src.var]
Field     Seq    Per     Imag   Type
LMC-SC7  234267  1.03822 16.463 FO
LMC-SC7  239698 17.50730 15.145 FA
LMC-SC7  262785  5.58236 14.615 FU
LMC-SC7  262801  5.50738 14.425 FU
LMC-SC7  262813  4.20540 14.875 FU
LMC-SC7  270379 13.28339 13.407 FU
LMC-SC7  278113  3.72421 15.175 FU
LMC-SC7  286532 21.60845 12.993 FU
LMC-SC7  286535  5.10046 14.696 FU
LMC-SC7  295263  1.98396 16.074 FU
LMC-SC7  295775  1.25797 17.178 FA
LMC-SC7  303743  3.49735 15.185 FU
LMC-SC7  303837  2.96047 15.350 FU
LMC-SC7  303841  2.72814 15.643 FU
LMC-SC7  311535  4.32379 14.373 FO
LMC-SC7  318528  5.57234 14.630 FU
LMC-SC7  318535  3.78799 15.230 FU
LMC-SC7  318572  3.64694 15.169 FU
LMC-SC7  325281  1.93168 15.205 FO
LMC-SC7  325360  2.64961 15.643 FU
LMC-SC7  331967  3.29933 15.483 FU
LMC-SC7  332035  2.93890 15.884 FU
LMC-SC7  344559  2.06312 15.387 FO
LMC-SC7  356873  0.51360 17.200 FO
LMC-SC7  363953  2.04151 15.188 FO
LMC-SC7  372083  1.90663 15.444 FO
LMC-SC7  388032  5.66859 14.574 FU
LMC-SC7  388163  1.91369 15.772 FO
LMC-SC7  397050  3.53205 15.360 FU
LMC-SC7  406371  2.19281 15.148 FO
LMC-SC7  415723  1.73676 15.418 FO
LMC-SC7  424850  3.08814 14.583 FO
LMC-SC7  424890  2.61978 15.458 FU
LMC-SC7  424946  3.10548 15.387 FU
LMC-SC7  425296  0.40354 17.537 FO
LMC-SC7  432869  4.79696 14.565 FU
LMC-SC7  440072  3.35898 15.068 FU
LMC-SC7  440093  3.15579 14.755 FO
LMC-SC7  447509 15.54851 13.671 FU
LMC-SC7  447521  4.73475 14.852 FU
LMC-SC7  447530  4.50969 15.274 FU
LMC-SC7  460292  1.27491 16.614 FU
LMC-SC7  472701  5.10290 14.627 FU
LMC-SC7  472718  1.19021 16.242 FO
LMC-SC8   21319  5.42859 14.440 FU
LMC-SC8   27430  3.91829 15.062 FU
LMC-SC8   33629  7.88292 14.104 FU
LMC-SC8   33692  1.87650 15.943 FU
LMC-SC8   33708  3.21865 15.327 FU
LMC-SC8   39745  6.89000 14.463 FU
LMC-SC8   52582  7.97858 14.130 FU
LMC-SC8   52604  4.43522 14.963 FU
LMC-SC8   52641  3.18348 15.326 FU
LMC-SC8   52668  2.29822 15.270 FO
LMC-SC8   64709  5.39627 14.605 FU
LMC-SC8   64724  4.62280 14.914 FU
LMC-SC8   64734  3.53975 15.263 FU
LMC-SC8   64736  3.44635 15.148 FU
LMC-SC8   70430  4.07425 14.315 BR
LMC-SC8   70457  3.27744 14.605 FO
LMC-SC8   76174  2.90619 14.658 FO
LMC-SC8   76176  2.46017 14.812 FO
LMC-SC8   76179  2.46242 14.925 FO
LMC-SC8   82008  1.15217 17.834 FA
LMC-SC8   86096  3.82230 15.081 FU
LMC-SC8   95310  7.90667 14.364 FU
LMC-SC8  100541  1.41211 15.986 FO
LMC-SC8  111955 10.25259 13.891 FU
LMC-SC8  111959  8.67357 14.005 FU
LMC-SC8  112083  2.98282 15.164 FU
LMC-SC8  112084  3.24218 15.295 FU
LMC-SC8  118587  6.16522 14.387 FU
LMC-SC8  118595  6.45160 14.430 FU
LMC-SC8  118657  1.66408 15.323 FO
LMC-SC8  132537  4.28705 14.938 FU
LMC-SC8  132547  3.59942 14.494 FO
LMC-SC8  132583  4.15491 15.153 FU
LMC-SC8  138878  2.55727 15.132 FO
LMC-SC8  145094  7.28978 14.178 FU
LMC-SC8  145100  6.77663 14.675 FU
LMC-SC8  145110  3.44680 15.267 FU
LMC-SC8  145136  2.81786 15.482 FU
LMC-SC8  151151  2.03362 15.322 FO
LMC-SC8  156629  2.28996 15.085 FO
LMC-SC8  162069 11.08945 13.809 FU
LMC-SC8  162072  4.37816 14.250 FO
LMC-SC8  162087  4.81002 14.777 FU
LMC-SC8  162101  2.91970 14.826 FO
LMC-SC8  162104  2.78110 14.892 FO
LMC-SC8  162155  2.29501 15.737 FU
LMC-SC8  162176  3.48603 15.187 FU
LMC-SC8  167797  5.68496 14.592 FU
LMC-SC8  167854  3.02822 15.318 FU
LMC-SC8  167984  1.31601 17.179 FA
LMC-SC8  173028  3.08807 15.253 FU
LMC-SC8  173034  2.89577 15.527 FU
LMC-SC8  186984  2.38015 15.026 FO
LMC-SC8  192761  3.97680 15.051 FU
LMC-SC8  193607 16.83266 18.059 FA
LMC-SC8  194670  1.21387 17.776 FA
LMC-SC8  205092  4.20069 14.218 FO
LMC-SC8  205108  3.51585 14.495 FO
LMC-SC8  218916  6.71230 16.192 FA
LMC-SC8  224901  7.52789 14.189 FU
LMC-SC8  224912  4.71766 14.948 FU
LMC-SC8  224941  3.86176 14.381 FO
LMC-SC8  224964  2.86626 15.345 FO
LMC-SC8  230925  7.67915 14.291 FU
LMC-SC8  236976  1.27013 15.954 FO
LMC-SC8  254032  9.20290 14.029 FU
LMC-SC8  278827  1.25068 16.043 FO
LMC-SC8  285174  4.87298 13.815 BR
LMC-SC8  298699  4.79323 14.642 FU
LMC-SC8  298804  3.56955 15.255 FU
LMC-SC8  306227  1.77079 17.796 FA
LMC-SC8  312191  5.38328 14.381 FU
LMC-SC8  312226  6.15394 14.627 FU
LMC-SC8  318671  8.17005 13.852 FU
LMC-SC8  318777  1.76457 15.597 FO
LMC-SC8  318794  3.60737 15.436 FU
LMC-SC8  319101  0.65244 16.983 BR
LMC-SC8  326025  3.28918 15.310 FU
LMC-SC8  326028  1.41331 15.769 FO
LMC-SC8  331753  2.88734 15.739 FU
LMC-SC8  331762  2.05855 15.925 FO
LMC-SC8  331780  3.02532 15.478 FU
LMC-SC8  331791  2.90381 15.534 FU
LMC-SC8  337497  3.07789 15.163 FU
LMC-SC8  337513  2.97955 15.272 FU
LMC-SC8  337546  3.41976 15.122 FU
LMC-SC8  363511  0.92234 16.550 FO
LMC-SC9   19849  1.45380 15.948 FO
LMC-SC9   26114  1.07810 16.293 FO
LMC-SC9   38558  3.03363 15.518 FU
LMC-SC9   45301  3.99572 15.069 FU
LMC-SC9   52800  1.18161 17.937 FA
LMC-SC9   58697  6.87866 14.130 FU
LMC-SC9   65304  9.99343 13.690 FU
LMC-SC9   65307  9.30352 14.003 FU
LMC-SC9   65316  4.42434 14.216 FO
LMC-SC9   65386  1.92847 16.091 FU
LMC-SC9   71784  3.48752 15.201 FU
LMC-SC9   90526  3.19764 15.326 FU
LMC-SC9  140763  2.32314 15.116 FO
LMC-SC9  146976  1.98730 16.432 FU
LMC-SC9  153398  0.94751 16.434 FO
LMC-SC9  159993 35.33761 17.608 FA
LMC-SC9  166047  2.77928 15.512 FU
LMC-SC9  183616  1.97522 15.555 FO
LMC-SC9  198335  5.19144 15.106 FU
LMC-SC9  204218  6.83291 14.324 FU
LMC-SC9  210651  4.45944 14.331 FO
LMC-SC9  216934  4.00097 14.295 FO
LMC-SC9  216937  3.82270 14.356 FO
LMC-SC9  223837  5.12530 14.031 FO
LMC-SC9  223849  2.25885 15.331 FO
LMC-SC9  223916  1.85809 16.169 FU
LMC-SC9  230584  4.39514 14.463 FO
LMC-SC9  237192  4.00835 15.140 FU
LMC-SC9  250286  4.90836 14.581 FU
LMC-SC9  250306  1.99022 15.264 FO
LMC-SC9  250313  3.35977 15.233 FU
LMC-SC9  257189  5.14870 14.845 FU
LMC-SC9  257206  2.91639 15.531 FU
LMC-SC9  257262  2.90817 15.663 FU
LMC-SC9  263475  2.03191 15.286 FO
LMC-SC9  264013  1.60931 17.703 FA
LMC-SC9  269513  3.51548 14.610 FO
LMC-SC9  269545  3.71317 15.227 FU
LMC-SC9  304820  2.42952 14.830 FO
LMC-SC9  304869  2.55341 15.634 FU
LMC-SC9  326454  3.36818 15.236 FU
LMC-SC9  326516  2.31107 15.862 FU
LMC-SC9  342082  2.29819 15.267 FO
LMC-SC9  342099  1.97100 15.319 FO
LMC-SC9  349881  5.39603 14.614 FU
LMC-SC9  349918  3.88027 15.169 FU
LMC-SC9  357563  2.61219 14.904 FO
LMC-SC9  365050  2.01206 15.139 FO
LMC-SC9  372259  2.46019 14.846 FO
LMC-SC9  372261  2.46226 14.924 BR
LMC-SC9  372286  3.17634 15.301 FU
LMC-SC9  379131  3.33832 15.335 FU
LMC-SC9  379149  3.83652 15.205 FU
LMC-SC9  379150  3.61618 15.204 FU
LMC-SC9  385549  2.31348 15.237 FO
LMC-SC9  391734  4.15370 14.977 FU
LMC-SC10   8660  2.15758 15.442 FO
LMC-SC10   8695  3.65546 15.718 FU
LMC-SC10  17041  0.60685 16.384 BR
LMC-SC10  27261  3.07489 15.415 FU
LMC-SC10  31368  1.95515 15.520 FO
LMC-SC10  35590 13.90912 13.463 FU
LMC-SC10  35605  5.79145 14.516 FU
LMC-SC10  35651  1.76263 15.230 BR
LMC-SC10  44984  3.34135 15.107 FU
LMC-SC10  49743  2.29575 15.080 FO
LMC-SC10  49799  1.56520 15.635 FO
LMC-SC10  54641  2.71388 15.452 FU
LMC-SC10  95782  2.48383 15.028 FO
LMC-SC10  95827  1.97458 15.445 FO
LMC-SC10 100658  2.84513 15.985 FU
LMC-SC10 105186  3.12911 15.319 FU
LMC-SC10 109838  5.39189 15.110 FU
LMC-SC10 109937  1.41358 16.313 FO
LMC-SC10 119173 15.12761 13.363 FU
LMC-SC10 132645  1.57675 15.691 FO
LMC-SC10 132771  1.73874 16.824 FA
LMC-SC10 172729  1.11901 16.244 FO
LMC-SC10 181906  8.77211 13.861 FU
LMC-SC10 190380  1.48564 15.952 BR
LMC-SC10 204083  0.52628 17.194 FO
LMC-SC10 208170  3.65240 15.072 FU
LMC-SC10 235307  9.30428 13.913 FU
LMC-SC10 235391  3.25721 15.399 FO
LMC-SC10 245236 10.34961 13.714 FU
LMC-SC10 245266  3.96572 14.852 FU
LMC-SC10 250300  2.29583 14.994 FO
LMC-SC10 250322  3.99537 15.042 FU
LMC-SC10 250332  2.01253 15.185 FO
LMC-SC10 256258  1.18157 17.940 FA
LMC-SC10 259946  5.07477 13.970 FO
LMC-SC10 269402  1.91303 15.372 FO
LMC-SC10 274140  8.21060 13.846 FU
LMC-SC10 274214  1.79458 16.058 FU
LMC-SC10 278750  2.99712 15.286 FU
LMC-SC11  32393 18.46834 13.258 FU
LMC-SC11  37982  4.09891 15.131 FU
LMC-SC11  54739  1.90275 15.389 FO
LMC-SC11  71294  0.41464 17.410 FO
LMC-SC11 108797  2.03229 16.723 FO
LMC-SC11 118714  3.09884 15.486 FU
LMC-SC11 124360  1.81221 15.551 FO
LMC-SC11 130198  3.38118 15.395 FU
LMC-SC11 130217  2.78894 15.527 FU
LMC-SC11 130342  0.66086 16.978 FO
LMC-SC11 130631 10.04062 17.254 FA
LMC-SC11 156885  2.71017 15.644 FU
LMC-SC11 162232 30.38915 12.494 FU
LMC-SC11 200817  1.51637 15.552 FO
LMC-SC11 206018  3.58675 15.308 FU
LMC-SC11 217088  4.21163 14.992 FU
LMC-SC11 217136  3.03768 15.481 FU
LMC-SC11 227948 13.87551 13.396 FU
LMC-SC11 244566  4.36871 14.779 FU
LMC-SC11 250872 18.65508 13.056 FU
LMC-SC11 250925  5.56688 13.879 FO
LMC-SC11 250938  8.55890 13.913 FU
LMC-SC11 257240 11.86131 13.607 FU
LMC-SC11 257269  7.01083 14.306 FU
LMC-SC11 263536  3.23435 17.108 FA
LMC-SC11 290549  3.77929 15.139 FU
LMC-SC11 290607  2.75749 15.574 FU
LMC-SC11 300939  1.94308 15.696 FO
LMC-SC11 306294  5.79172 14.539 FU
LMC-SC11 306838  1.06752 16.534 FO
LMC-SC11 320035  8.18673 13.820 FU
LMC-SC11 325522  4.45726 14.968 FU
LMC-SC11 325558  1.71431 15.739 FO
LMC-SC11 331546 11.90536 13.720 FU
LMC-SC11 331601 56.49819 14.959 FA
LMC-SC11 338248  2.77380 15.486 FU
LMC-SC11 338308  1.74277 15.609 FO
LMC-SC12   7813  3.16829 14.778 FU
LMC-SC12  37629  3.51006 15.231 FU
LMC-SC12  37723  2.47581 16.894 FA
LMC-SC12  42626  3.39255 15.280 FU
LMC-SC12  46999  7.70723 13.990 FU
LMC-SC12  47109  1.27660 16.107 FO
LMC-SC12  51598  2.26957 15.225 FO
LMC-SC12  61156  2.94964 14.743 FO
LMC-SC12  88171 24.07331 17.592 FA
LMC-SC12 100127  4.92235 16.353 FA
LMC-SC12 116618  2.80844 15.524 FU
LMC-SC12 130327  0.97647 16.552 FO
LMC-SC12 133630  1.51770 15.846 FO
LMC-SC12 156517  0.83401 16.641 FO
LMC-SC12 166141  0.82206 16.582 FO
LMC-SC12 190467  1.16376 16.255 FO
LMC-SC12 202153  4.03285 15.185 FU
LMC-SC12 210606  4.09846 15.119 FU
LMC-SC12 210640  2.15840 15.233 FO
LMC-SC13     12  2.26788 15.235 FO
LMC-SC13  30676  4.01446 16.126 FA
LMC-SC13  35127  4.38057 14.833 FU
LMC-SC13  35171  2.07045 15.690 FO
LMC-SC13  40244  1.75470 15.444 FO
LMC-SC13  40265  2.01707 15.526 FO
LMC-SC13  40648 36.86378 17.353 FA
LMC-SC13  45261 53.74804 16.710 FA
LMC-SC13  57077  4.92289 14.076 FO
LMC-SC13  57113  2.63520 15.757 FU
LMC-SC13  60078  2.41563 15.586 FU
LMC-SC13  69033  4.67615 14.890 FU
LMC-SC13  74156 21.11477 12.953 FU
LMC-SC13  74204  1.36986 16.079 FO
LMC-SC13  83859  1.62316 16.235 FO
LMC-SC13  88334  1.41758 16.105 BR
LMC-SC13  88764 10.75562 17.491 FA
LMC-SC13  93279  7.39560 14.164 FU
LMC-SC13 106993  3.50896 15.201 FU
LMC-SC13 111968  8.33337 14.138 FU
LMC-SC13 125152  5.81349 14.380 FU
LMC-SC13 134718  4.86568 14.725 FU
LMC-SC13 151864  3.71113 15.162 FU
LMC-SC13 160626  4.65340 14.118 FO
LMC-SC13 160750 13.86896 16.445 FA
LMC-SC13 165223  2.04316 15.364 FO
LMC-SC13 173734 12.72593 13.694 FU
LMC-SC13 173745 12.91746 13.563 FU
LMC-SC13 173938 36.93455 16.699 FA
LMC-SC13 178831 17.45740 13.276 FU
LMC-SC13 184117 13.64083 17.322 FA
LMC-SC13 194103  8.71306 13.902 FU
LMC-SC13 194404  1.29583 17.199 FA
LMC-SC13 197484  1.98766 15.351 FO
LMC-SC13 203493  2.15855 15.233 FO
LMC-SC13 203944 31.72475 17.567 FA
LMC-SC13 214116 10.45938 12.861 BR
LMC-SC13 214195  1.83616 15.807 FO
LMC-SC13 228645 31.05378 12.394 FU
LMC-SC13 228660  4.20424 14.952 FU
LMC-SC13 228682  1.46615 15.851 FO
LMC-SC13 242678  5.30079 13.993 FO
LMC-SC13 242700  3.45201 14.735 FO
LMC-SC13 247787 12.62336 13.640 FU
LMC-SC13 247801  3.74480 15.104 FU
LMC-SC13 247806  4.81260 14.835 FU
LMC-SC13 257356  4.67023 14.788 FU
LMC-SC13 261045  5.19039 14.704 FU
LMC-SC13 261046  4.90730 14.767 FU
LMC-SC13 267454 14.46339 13.362 FU
LMC-SC14   3442  2.56084 15.488 FU
LMC-SC14   7198  2.15161 15.148 FO
LMC-SC14  11554  4.99399 14.791 FU
LMC-SC14  15873  3.09048 15.328 FU
LMC-SC14  24402  0.91893 16.424 FO
LMC-SC14  46315  2.31572 15.134 FO
LMC-SC14  50505 10.85126 13.713 FU
LMC-SC14  50506  3.07326 15.225 FU
LMC-SC14  54419  2.57481 15.386 FU
LMC-SC14  57956  6.89372 14.014 FU
LMC-SC14  80463 33.34324 17.580 FA
LMC-SC14  84259 17.52233 13.192 FU
LMC-SC14  85203 46.95222 18.118 FA
LMC-SC14  88441 21.26254 12.846 FU
LMC-SC14  96614 12.19526 13.689 FU
LMC-SC14 100794 10.70792 13.887 FU
LMC-SC14 109640 22.31242 13.030 FU
LMC-SC14 109671  2.77603 14.847 FO
LMC-SC14 109715  1.91300 15.337 FO
LMC-SC14 109863 47.23979 17.141 FA
LMC-SC14 113861  5.91519 13.816 FO
LMC-SC14 114046  0.90940 17.394 FA
LMC-SC14 117525 12.63728 13.584 FU
LMC-SC14 117534  3.40834 14.620 FO
LMC-SC14 139172  9.87615 16.262 FA
LMC-SC14 143866  2.04587 15.391 FO
LMC-SC14 148402  2.19344 15.236 FO
LMC-SC14 156632  5.77768 13.900 FU
LMC-SC14 156647  8.36401 14.484 FU
LMC-SC14 156720  3.02722 16.036 FU
LMC-SC14 156721 14.90657 16.234 FA
LMC-SC14 160625 17.21144 13.031 FU
LMC-SC14 160642  0.97211 15.140 BR
LMC-SC14 170002 25.80555 12.695 FU
LMC-SC14 170005 20.64642 13.344 FA
LMC-SC14 170192  6.37263 16.710 FA
LMC-SC14 174756  7.84219 14.134 FU
LMC-SC14 174795  9.40162 15.776 FA
LMC-SC14 178619  9.71192 13.845 FU
LMC-SC14 182466 15.98098 13.350 FU
LMC-SC14 189342  7.48374 14.414 FU
LMC-SC14 200768 14.87020 15.790 FA
LMC-SC14 211257  3.44944 15.121 FU
LMC-SC14 216164  3.11592 14.744 FO
LMC-SC14 216179  3.04003 15.452 FU
LMC-SC14 216182  1.27636 16.095 FA
LMC-SC14 216197  3.21159 15.327 FU
LMC-SC14 221178 16.74144 17.666 FA
LMC-SC14 244304  3.27580 15.506 FU
LMC-SC14 252799  2.07046 15.690 FA
LMC-SC15     10  4.34973 15.085 FU
LMC-SC15  12701  5.32959 14.744 FU
LMC-SC15  20323  0.87911 16.494 FO
LMC-SC15  24114  3.60023 14.428 FO
LMC-SC15  31540  2.88832 15.416 FU
LMC-SC15  31558  1.55498 15.550 FO
LMC-SC15  31591  2.13596 15.446 FO
LMC-SC15  35181  3.75013 15.080 FU
LMC-SC15  35335 17.77652 17.889 FA
LMC-SC15  38601  3.50951 15.235 FU
LMC-SC15  45780  3.58788 15.227 FU
LMC-SC15  56087 13.62635 13.682 FU
LMC-SC15  62069  2.95859 15.517 FU
LMC-SC15  65685  1.88732 15.372 FO
LMC-SC15  81394  5.02656 14.698 FU
LMC-SC15  81421  1.33888 16.048 FO
LMC-SC15  85604  0.64280 16.951 FO
LMC-SC15  92639  3.42862 15.660 FU
LMC-SC15  96001  1.98274 15.282 FO
LMC-SC15 106135  1.88157 15.287 FO
LMC-SC15 106154  2.47410 15.682 FU
LMC-SC15 112511  0.92908 16.583 FO
LMC-SC15 118594 10.41318 13.718 FU
LMC-SC15 125710  3.81213 15.255 FU
LMC-SC15 129437  3.14851 15.427 FU
LMC-SC15 145087  3.78858 15.395 FU
LMC-SC15 148920 20.70509 12.741 FU
LMC-SC15 152481  1.11025 16.038 FO
LMC-SC15 158906  4.58020 14.988 FU
LMC-SC15 158999  1.10098 16.138 FO
LMC-SC15 161924  4.94406 15.049 FU
LMC-SC15 162144 14.59487 17.177 FA
LMC-SC15 164992  2.26621 15.236 FO
LMC-SC15 167787 14.49096 13.220 FU
LMC-SC15 170744  4.99307 14.129 FO
LMC-SC15 181509  4.99509 14.799 FU
LMC-SC15 181694  2.98237 17.755 FA
LMC-SC15 185375 10.79456 13.503 FU
LMC-SC15 185437  3.08076 15.359 FU
LMC-SC15 185524  1.26561 16.014 FO
LMC-SC15 193155  2.88446 15.761 FU
LMC-SC15 196999  2.92668 15.930 FU
LMC-SC15 204548 12.18740 13.901 FU
LMC-SC15 208019  2.68752 15.530 FU
LMC-SC15 214740  2.46810 14.974 FO
LMC-SC15 214750  3.26546 15.249 FU
LMC-SC15 214783  2.26298 15.889 FU
LMC-SC15 220878 60.53943 16.750 FA
LMC-SC16    291 74.25581 17.353 FA
LMC-SC16  11573  2.98273 15.272 FU
LMC-SC16  20992  2.38258 15.724 FU
LMC-SC16  26109  4.76996 14.716 FU
LMC-SC16  26114  2.45436 15.015 FO
LMC-SC16  26139  0.88236 15.940 BR
LMC-SC16  26258  1.35353 16.093 FO
LMC-SC16  26339 10.83713 17.766 FA
LMC-SC16  31555  2.89982 15.517 FU
LMC-SC16  31925 94.83452 17.023 FA
LMC-SC16  37097  2.60456 15.001 FO
LMC-SC16  37107  2.85225 14.859 FO
LMC-SC16  37119  2.79619 14.878 FO
LMC-SC16  37131  2.83960 15.287 FU
LMC-SC16  37183  2.39182 15.185 FO
LMC-SC16  42892  3.64601 15.233 FU
LMC-SC16  42920  3.20014 15.232 FU
LMC-SC16  42945  1.97588 15.317 FO
LMC-SC16  47997  2.81091 14.927 FO
LMC-SC16  48261 36.25750 17.521 FA
LMC-SC16  52602  4.51890 15.080 FU
LMC-SC16  52627  2.94280 15.496 FU
LMC-SC16  52628  4.22542 15.617 FU
LMC-SC16  52633  3.22123 15.244 FU
LMC-SC16  57446  2.20943 15.062 FO
LMC-SC16  70661  6.93523 14.280 FU
LMC-SC16  75033  1.27572 16.977 FA
LMC-SC16  99240  2.43760 15.098 FO
LMC-SC16  99253  3.21026 15.197 FU
LMC-SC16  99255  3.63447 15.073 FU
LMC-SC16  99257  2.25531 15.083 FO
LMC-SC16  99259  2.54551 14.921 FO
LMC-SC16  99294  2.05606 15.181 FO
LMC-SC16 104483  4.18017 15.013 FU
LMC-SC16 104503  3.51432 15.333 FU
LMC-SC16 104536  4.00513 15.144 FU
LMC-SC16 109909  2.87449 15.771 FU
LMC-SC16 109928  3.64773 15.369 FU
LMC-SC16 115248  2.62883 15.188 FO
LMC-SC16 115249  4.32412 15.224 FU
LMC-SC16 115254  3.88261 15.247 FU
LMC-SC16 115256  2.26512 15.388 FO
LMC-SC16 119929  3.69464 14.727 FO
LMC-SC16 119952  2.03517 15.750 BR
LMC-SC16 119992  1.34047 16.511 FO
LMC-SC16 123683  3.66054 15.179 FU
LMC-SC16 123687  2.25831 15.780 FO
LMC-SC16 127788  9.60918 13.927 FU
LMC-SC16 132436  3.61866 15.268 FU
LMC-SC16 136842  0.55873 16.741 BR
LMC-SC16 140770  1.85742 15.567 FO
LMC-SC16 144538  2.25518 15.122 FO
LMC-SC16 147847  4.08807 14.883 FU
LMC-SC16 158727  2.72229 14.836 FO
LMC-SC16 158733  2.55410 15.104 FO
LMC-SC16 158740  4.86736 14.799 FU
LMC-SC16 158770  3.10900 15.425 FU
LMC-SC16 163196  9.86536 17.361 FA
LMC-SC16 167363  4.72921 14.849 FU
LMC-SC16 167373  4.41278 14.801 FU
LMC-SC16 167391  4.71377 14.597 FO
LMC-SC16 167416  3.19467 15.263 FU
LMC-SC16 167429  2.88135 15.386 FU
LMC-SC16 167441  2.10518 15.231 FO
LMC-SC16 167464  2.08324 15.964 FU
LMC-SC16 172348  2.15958 15.127 FO
LMC-SC16 172354  3.44908 15.254 FU
LMC-SC16 172383  5.33924 14.776 FU
LMC-SC16 172435  2.27102 15.285 FO
LMC-SC16 172438  3.67029 15.423 FU
LMC-SC16 172447  3.64388 15.154 FU
LMC-SC16 172450  2.12318 15.307 FO
LMC-SC16 172452  2.12037 15.212 FO
LMC-SC16 172455  1.97267 15.295 FO
LMC-SC16 172459  2.08792 15.276 FO
LMC-SC16 172460  3.34067 15.249 FU
LMC-SC16 172738 11.93626 17.385 FA
LMC-SC16 177773  4.14658 15.054 FU
LMC-SC16 177774  4.97643 14.761 FU
LMC-SC16 177777  4.67694 14.792 FU
LMC-SC16 177781  5.34543 14.800 FU
LMC-SC16 177801  3.06831 14.790 FO
LMC-SC16 177804  4.42742 14.872 FU
LMC-SC16 177811  4.88909 14.761 FU
LMC-SC16 177823  1.91792 15.415 FO
LMC-SC16 177829  2.70457 15.554 FU
LMC-SC16 177834  2.72760 15.617 FU
LMC-SC16 183017  2.00056 15.597 FO
LMC-SC16 183021  4.41642 15.054 FU
LMC-SC16 183037  2.91707 15.503 FU
LMC-SC16 183052  2.58079 15.290 FO
LMC-SC16 187442  4.30287 15.530 FU
LMC-SC16 187525  1.80495 15.882 FO
LMC-SC16 190978  4.85207 14.981 FU
LMC-SC16 190985  1.97337 15.690 FO
LMC-SC16 191050  2.83064 15.865 FU
LMC-SC16 191418 15.46073 17.938 FA
LMC-SC16 194262  2.14536 15.619 FO
LMC-SC16 194279  2.06555 15.394 FO
LMC-SC16 198114 10.07403 13.862 FU
LMC-SC16 198355 27.78095 17.427 FA
LMC-SC16 211276  2.52122 15.084 FO
LMC-SC16 214736  4.23338 14.968 FU
LMC-SC16 218459  3.72007 15.164 FU
LMC-SC16 218499  4.66255 14.870 FU
LMC-SC16 218823  7.26909 18.151 FA
LMC-SC16 222446  4.65036 14.862 FU
LMC-SC16 222451  5.05309 14.720 FU
LMC-SC16 222476  3.26946 15.251 FU
LMC-SC16 222482  2.58937 15.574 FU
LMC-SC16 222497  4.29904 15.091 FU
LMC-SC16 226230  3.14576 15.348 FU
LMC-SC16 230207  3.41787 14.693 FO
LMC-SC16 230222  4.82044 14.742 FU
LMC-SC16 230224  4.39460 14.982 FU
LMC-SC16 230228  4.04413 15.045 FU
LMC-SC16 230273  1.85403 15.338 FO
LMC-SC16 230281  2.21544 15.137 FO
LMC-SC16 230290  3.64453 15.139 FU
LMC-SC16 235434  3.73701 15.038 FU
LMC-SC16 235440  2.21133 15.219 FO
LMC-SC16 235460  3.15507 15.328 FU
LMC-SC16 235480  2.04557 15.367 FO
LMC-SC16 235485  1.93584 15.320 FO
LMC-SC16 240459  5.57865 14.702 FU
LMC-SC16 240460  4.12065 15.051 FU
LMC-SC16 240469  3.30523 14.862 FO
LMC-SC16 240480  4.10999 14.229 BR
LMC-SC16 240497  3.17330 15.387 FU
LMC-SC16 240517  2.23872 15.290 FO
LMC-SC16 240518  2.12913 15.347 FO
LMC-SC16 240524  2.21601 15.212 FO
LMC-SC16 240525  1.86071 15.419 FO
LMC-SC16 240725 17.56780 17.212 FA
LMC-SC16 245458  1.89445 15.171 FO
LMC-SC16 245478  2.26473 15.042 FO
LMC-SC16 245481  3.92922 15.022 FU
LMC-SC16 245490  1.89381 15.715 FO
LMC-SC16 253780  2.54167 15.044 FO
LMC-SC16 253789  3.59188 15.353 FU
LMC-SC16 253794  2.11243 15.570 FO
LMC-SC16 253980  0.88326 16.964 FO
LMC-SC16 257336  2.40550 15.552 FO
LMC-SC16 257563 15.53234 16.855 FA
LMC-SC16 266808  1.35296 16.494 FO
LMC-SC17   3542  2.16283 15.059 FO
LMC-SC17   3549  2.04958 15.380 FO
LMC-SC17  11199  2.52110 15.095 FO
LMC-SC17  11204  6.13334 14.698 FU
LMC-SC17  15426  4.23326 14.984 FU
LMC-SC17  15475  2.01262 15.577 FO
LMC-SC17  19793  4.66227 14.881 FU
LMC-SC17  19805  4.55847 15.279 FU
LMC-SC17  24561  5.05309 14.726 FU
LMC-SC17  24574  4.29905 15.114 FU
LMC-SC17  24582  2.02664 15.569 FO
LMC-SC17  24585  3.26936 15.267 FU
