 time        mag       err
1588.62936   14.908    0.007
1591.59321   15.030    0.009
1595.58646   15.029    0.007
1599.65242   15.014    0.007
1600.61932   14.803    0.007
1601.61246   14.834    0.007
1602.67891   14.990    0.007
1604.61050   14.804    0.007
1606.56749   14.967    0.007
1609.52370   14.855    0.007
1610.53864   14.983    0.009
1611.59872   14.985    0.007
1613.57910   14.901    0.007
1614.65019   15.007    0.007
1616.50780   14.767    0.006
1618.65702   15.031    0.007
1619.54706   14.981    0.007
1621.54319   14.915    0.007
1623.64036   14.885    0.007
1625.62140   14.928    0.007
1627.59168   14.903    0.009
1628.53160   14.813    0.007
1630.50324   15.015    0.009
1631.50104   14.847    0.006
1633.61649   14.953    0.007
1635.49949   14.855    0.007
1645.50857   14.972    0.009
1653.49390   14.999    0.007
1655.53783   14.771    0.007
1657.54730   15.007    0.007
1660.52214   14.922    0.007
1662.52948   14.867    0.006
1664.55257   14.931    0.007
1669.52248   15.011    0.009
1672.49518   14.958    0.007
1687.49283   14.872    0.007
1695.47816   14.896    0.007
1766.87092   15.018    0.007
1768.85657   14.812    0.007
1773.91490   14.979    0.007
1782.84613   14.972    0.007
1788.85457   14.896    0.007
1804.84979   14.935    0.007
1811.87035   14.852    0.006
1815.84653   14.853    0.006
1822.72824   14.796    0.007
1829.87749   14.905    0.007
1844.78533   15.009    0.006
1850.76671   14.851    0.007
1854.82373   14.867    0.006
1858.77084   14.861    0.007
1860.81318   14.951    0.007
1863.78631   15.002    0.006
1866.73700   14.886    0.006
1868.71810   14.941    0.006
1870.83913   14.930    0.007
1872.85496   14.883    0.007
1874.75992   14.920    0.006
2166.89956   14.946    0.006
2173.81998   14.841    0.006
2189.89136   14.902    0.006
2192.79375   14.779    0.006
2201.80654   14.932    0.006
2212.83820   14.842    0.006
2223.84281   14.802    0.006
2226.82280   14.931    0.006
2228.85981   14.911    0.006
2230.77333   14.923    0.006
2232.79308   14.904    0.006
2234.78727   14.910    0.006
2238.75098   14.874    0.006
2241.63430   15.012    0.006
2243.69273   14.829    0.006
2248.76063   14.945    0.006
2251.72256   14.860    0.006
2253.80666   14.969    0.006
2255.68162   14.840    0.006
2261.70187   14.951    0.006
2264.78294   14.988    0.006
2269.81635   14.897    0.006
2271.76374   14.901    0.006
2273.84879   14.866    0.006
2274.63345   14.816    0.006
2276.74058   15.017    0.006
2278.63909   14.797    0.006
2280.63730   15.014    0.006
2282.64586   14.823    0.006
2289.77951   14.788    0.006
2291.78759   14.972    0.006
2293.75335   14.802    0.006
2295.77527   14.972    0.006
2297.76860   14.788    0.006
2299.80916   14.997    0.006
2301.70327   14.775    0.006
2303.69947   14.993    0.006
2321.65014   14.833    0.006
2327.52864   15.005    0.006
2332.56153   14.788    0.006
2333.52559   14.853    0.006
2339.51379   14.961    0.006
2347.50846   14.918    0.006
2402.50247   14.802    0.006
2524.89819   14.923    0.006
2537.89815   14.985    0.006
2542.86048   14.807    0.006
2552.80779   14.994    0.006
2556.80103   15.011    0.006
2559.84920   14.927    0.006
2563.89447   14.938    0.006
2564.81717   15.009    0.006
2573.81877   14.814    0.006
2578.74295   14.851    0.006
2583.77842   14.971    0.006
2589.82139   14.791    0.006
2596.70963   14.914    0.006
2605.71088   14.802    0.006
2609.70163   14.845    0.006
2614.63639   14.945    0.006
2618.69412   14.985    0.006
2620.82200   14.788    0.006
2623.79288   14.960    0.006
2627.65745   14.954    0.006
2629.68099   14.889    0.006
2631.70096   14.951    0.006
2634.72923   14.993    0.006
2635.60118   14.915    0.006
2637.80023   14.932    0.006
2639.62614   14.899    0.006
2641.69181   14.930    0.006
2643.70058   14.835    0.006
2645.68981   14.948    0.006
2647.64754   14.844    0.006
2650.86314   14.964    0.006
2651.60211   14.829    0.006
2653.62912   14.958    0.006
2655.74240   14.796    0.006
2657.59509   14.952    0.006
2659.61008   14.780    0.006
2661.82808   15.005    0.006
2663.84215   14.805    0.006
2665.84805   15.018    0.006
2668.59704   14.908    0.006
2670.60218   14.950    0.006
2672.58876   14.904    0.006
2674.61015   14.900    0.006
2676.59663   14.906    0.006
2678.66939   14.878    0.006
2680.59512   14.923    0.006
2682.64410   14.844    0.006
2686.63864   14.827    0.006
2695.62102   14.879    0.006
2700.57515   14.979    0.006
2706.59396   14.799    0.006
2713.55904   14.900    0.006
2840.93682   14.991    0.006
2868.87654   14.960    0.006
2885.84151   14.799    0.006
2892.87107   14.841    0.006
2897.84039   14.849    0.006
2903.88620   14.997    0.006
2906.88933   14.991    0.006
2911.76914   14.990    0.006
2916.81318   14.777    0.006
2922.80307   14.999    0.006
2925.89160   14.940    0.006
2930.80421   14.996    0.006
2933.84857   14.949    0.006
2939.85686   14.812    0.006
2942.80646   14.994    0.006
2944.85089   14.875    0.006
2946.85280   14.955    0.006
2949.76744   15.001    0.006
2952.84332   14.903    0.006
2956.68254   14.903    0.006
2958.70925   14.932    0.006
2962.72012   14.893    0.006
2965.73920   15.003    0.006
2967.83876   14.835    0.006
2970.80410   14.822    0.006
2974.74194   14.814    0.006
2976.77661   14.980    0.006
2978.75671   14.798    0.006
2980.69677   14.961    0.006
2982.65616   14.813    0.006
2984.70675   14.978    0.006
2986.79003   14.776    0.006
2988.75408   14.999    0.006
2990.62624   14.811    0.006
2992.77684   14.993    0.006
2994.62311   14.783    0.006
2995.63267   14.892    0.006
2997.64165   14.924    0.006
2999.76136   14.935    0.006
3001.73316   14.863    0.006
3003.70670   14.954    0.006
3005.69746   14.870    0.006
3007.71188   14.957    0.006
3009.70994   14.825    0.006
3011.67926   14.927    0.006
3013.68248   14.828    0.006
3017.69291   14.798    0.006
3019.62047   14.970    0.006
