 time      mag    err
1588.62936 14.977 0.007
1591.59321 15.108 0.009
1595.58646 14.930 0.007
1599.65242 15.130 0.007
1600.61932 14.682 0.007
1601.61246 14.888 0.007
1602.67891 15.074 0.007
1604.61050 14.902 0.007
1606.56749 14.877 0.007
1609.52370 14.808 0.007
1610.53864 15.059 0.009
1611.59872 14.927 0.007
1613.57910 14.982 0.007
1614.65019 14.941 0.007
1616.50780 14.828 0.006
1618.65702 15.055 0.007
1619.54706 15.025 0.007
1621.54319 14.982 0.007
1623.64036 14.836 0.007
1625.62140 14.877 0.007
1627.59168 15.007 0.009
1628.53160 14.696 0.007
1630.50324 15.128 0.009
1631.50104 14.731 0.006
1633.61649 14.992 0.007
1635.49949 14.959 0.007
1645.50857 14.896 0.009
1653.49390 14.991 0.007
1655.53783 14.856 0.007
1657.54730 14.974 0.007
1660.52214 14.964 0.007
1662.52948 14.769 0.006
1664.55257 14.918 0.007
1669.52248 15.127 0.009
1672.49518 15.040 0.007
1687.49283 14.785 0.007
1695.47816 14.837 0.007
1766.87092 15.053 0.007
1768.85657 14.757 0.007
1773.91490 14.932 0.007
1782.84613 14.872 0.007
1788.85457 14.900 0.007
1804.84979 14.862 0.007
1811.87035 14.949 0.006
1815.84653 14.760 0.006
1822.72824 14.898 0.007
1829.87749 14.803 0.007
1844.78533 14.961 0.006
1850.76671 14.939 0.007
1854.82373 14.794 0.006
1858.77084 14.879 0.007
1860.81318 14.844 0.007
1863.78631 14.907 0.006
1866.73700 14.822 0.006
1868.71810 14.901 0.006
1870.83913 15.018 0.007
1872.85496 14.921 0.007
1874.75992 14.844 0.006
2166.89956 15.005 0.006
2173.81998 14.737 0.006
2189.89136 14.953 0.006
2192.79375 14.769 0.006
2201.80654 14.868 0.006
2212.83820 14.751 0.006
2223.84281 14.714 0.006
2226.82280 14.857 0.006
2228.85981 14.990 0.006
2230.77333 14.938 0.006
2232.79308 14.823 0.006
2234.78727 14.929 0.006
2238.75098 14.808 0.006
2241.63430 14.920 0.006
2243.69273 14.716 0.006
2248.76063 15.002 0.006
2251.72256 14.809 0.006
2253.80666 15.081 0.006
2255.68162 14.834 0.006
2261.70187 14.986 0.006
2264.78294 15.046 0.006
2269.81635 14.897 0.006
2271.76374 14.828 0.006
2273.84879 14.901 0.006
2274.63345 14.701 0.006
2276.74058 15.087 0.006
2278.63909 14.904 0.006
2280.63730 14.911 0.006
2282.64586 14.729 0.006
2289.77951 14.894 0.006
2291.78759 14.879 0.006
2293.75335 14.717 0.006
2295.77527 15.067 0.006
2297.76860 14.827 0.006
2299.80916 14.923 0.006
2301.70327 14.812 0.006
2303.69947 15.000 0.006
2321.65014 14.770 0.006
2327.52864 14.958 0.006
2332.56153 14.806 0.006
2333.52559 14.768 0.006
2339.51379 14.887 0.006
2347.50846 14.808 0.006
2402.50247 14.818 0.006
2524.89819 14.995 0.006
2537.89815 14.885 0.006
2542.86048 14.688 0.006
2552.80779 15.051 0.006
2556.80103 14.986 0.006
2559.84920 14.851 0.006
2563.89447 14.986 0.006
2564.81717 15.068 0.006
2573.81877 14.693 0.006
2578.74295 14.840 0.006
2583.77842 15.062 0.006
2589.82139 14.799 0.006
2596.70963 14.842 0.006
2605.71088 14.897 0.006
2609.70163 14.775 0.006
2614.63639 15.039 0.006
2618.69412 14.904 0.006
2620.82200 14.728 0.006
2623.79288 14.918 0.006
2627.65745 14.908 0.006
2629.68099 14.806 0.006
2631.70096 15.027 0.006
2634.72923 15.054 0.006
2635.60118 14.808 0.006
2637.80023 14.902 0.006
2639.62614 15.014 0.006
2641.69181 14.899 0.006
2643.70058 14.718 0.006
2645.68981 15.023 0.006
2647.64754 14.930 0.006
2650.86314 15.074 0.006
2651.60211 14.781 0.006
2653.62912 15.039 0.006
2655.74240 14.839 0.006
2657.59509 14.902 0.006
2659.61008 14.833 0.006
2661.82808 15.054 0.006
2663.84215 14.782 0.006
2665.84805 14.995 0.006
2668.59704 14.845 0.006
2670.60218 15.064 0.006
2672.58876 14.916 0.006
2674.61015 14.788 0.006
2676.59663 14.937 0.006
2678.66939 14.990 0.006
2680.59512 14.859 0.006
2682.64410 14.743 0.006
2686.63864 14.887 0.006
2695.62102 14.971 0.006
2700.57515 14.945 0.006
2706.59396 14.916 0.006
2713.55904 14.794 0.006
2840.93682 15.070 0.006
2868.87654 15.057 0.006
2885.84151 14.896 0.006
2892.87107 14.740 0.006
2897.84039 14.763 0.006
2903.88620 14.895 0.006
2906.88933 14.898 0.006
2911.76914 14.968 0.006
2916.81318 14.837 0.006
2922.80307 15.049 0.006
2925.89160 14.901 0.006
2930.80421 15.110 0.006
2933.84857 15.007 0.006
2939.85686 14.705 0.006
2942.80646 14.920 0.006
2944.85089 14.925 0.006
2946.85280 15.000 0.006
2949.76744 15.031 0.006
2952.84332 14.989 0.006
2956.68254 14.834 0.006
2958.70925 15.037 0.006
2962.72012 14.783 0.006
2965.73920 14.900 0.006
2967.83876 14.734 0.006
2970.80410 14.704 0.006
2974.74194 14.891 0.006
2976.77661 14.892 0.006
2978.75671 14.746 0.006
2980.69677 15.025 0.006
2982.65616 14.784 0.006
2984.70675 14.941 0.006
2986.79003 14.821 0.006
2988.75408 14.993 0.006
2990.62624 14.702 0.006
2992.77684 15.028 0.006
2994.62311 14.901 0.006
2995.63267 14.856 0.006
2997.64165 15.040 0.006
2999.76136 14.931 0.006
3001.73316 14.748 0.006
3003.70670 15.007 0.006
3005.69746 14.968 0.006
3007.71188 14.881 0.006
3009.70994 14.738 0.006
3011.67926 15.018 0.006
3013.68248 14.861 0.006
3017.69291 14.810 0.006
3019.62047 14.992 0.006
3021.73963 14.749 0.006
3023.60160 14.986 0.006
3024.80263 14.908 0.006
3026.79893 14.819 0.006
3028.81091 14.999 0.006
3031.67288 15.066 0.006
3033.73681 14.906 0.006
3035.74317 14.923 0.006
3038.72155 14.882 0.006
3041.58973 14.827 0.006
3043.62513 14.950 0.006
3045.65881 14.818 0.006
3047.61289 15.033 0.006
3049.61850 14.782 0.006
3051.58578 15.012 0.006
3053.58090 14.936 0.006
3055.58005 14.944 0.006
3057.60487 14.752 0.006
3060.62738 14.697 0.006
3064.63170 14.899 0.006
3067.68869 15.040 0.006
3070.53704 15.097 0.006
3073.60455 14.955 0.006
3075.65295 14.975 0.006
3078.57307 15.056 0.006
3082.56244 14.991 0.006
3084.63936 14.864 0.006
3087.60102 14.824 0.006
3090.56480 15.054 0.006
3102.53126 14.861 0.006
3105.56506 14.895 0.006
3108.54352 14.838 0.006
3112.51488 15.004 0.006
3116.50217 14.843 0.006
3126.50789 14.931 0.006
3146.47041 14.766 0.006
3241.89543 14.975 0.006
3256.90680 14.916 0.006
3263.88165 14.842 0.006
3268.89723 15.064 0.006
3273.87249 14.969 0.006
3277.86169 14.974 0.006
3281.85180 14.846 0.006
3287.71335 14.897 0.006
3289.86552 14.749 0.006
3294.86098 14.769 0.006
3296.86873 15.102 0.006
3301.71972 14.877 0.006
3304.78236 15.009 0.006
3306.86337 14.804 0.006
3311.69048 14.969 0.006
3320.73326 14.822 0.006
3327.70228 15.101 0.006
3329.85289 14.888 0.006
3334.75886 14.867 0.006
3338.80898 15.041 0.006
3350.64080 15.022 0.006
3354.64096 14.925 0.006
3358.69444 15.099 0.006
3361.79990 14.948 0.006
3363.74966 14.991 0.006
3367.70345 14.774 0.006
3372.72188 14.859 0.006
3378.63462 15.043 0.006
3387.62096 14.689 0.006
3391.70218 14.894 0.006
3395.69360 14.690 0.006
3399.66970 14.852 0.006
3402.68655 14.938 0.006
3404.61712 14.839 0.006
3408.56773 14.993 0.006
3412.61316 14.874 0.006
3416.59656 14.960 0.006
3424.59964 14.910 0.006
3437.51229 14.885 0.006
3445.51702 14.904 0.006
3453.53876 14.939 0.006
3462.51404 14.828 0.006
3589.92743 14.892 0.006
3629.85249 14.920 0.006
3634.81785 14.996 0.006
3639.87075 14.886 0.006
3641.86165 14.821 0.006
3650.85697 14.912 0.006
3653.88483 14.890 0.006
3657.83807 15.027 0.006
3661.82193 14.875 0.006
3671.85100 14.833 0.006
3675.83358 14.731 0.006
3683.85468 14.688 0.006
3687.74740 14.854 0.006
3689.84788 14.916 0.006
3692.77174 14.877 0.006
3694.78665 14.747 0.006
3696.72911 15.043 0.006
3699.73167 14.907 0.006
3701.78467 14.997 0.006
3704.69173 14.976 0.006
3706.82053 14.760 0.006
3711.69418 14.796 0.006
3713.70793 15.090 0.006
3716.80707 15.076 0.006
3719.78797 14.916 0.006
3725.77965 14.778 0.006
3730.64976 14.827 0.006
3732.67426 15.041 0.006
3734.77223 14.792 0.006
3736.78863 14.984 0.006
3737.67718 14.802 0.006
3739.77619 14.925 0.006
3742.59918 14.751 0.006
3745.71066 14.704 0.006
3747.74024 15.019 0.006
3749.62305 14.926 0.006
3751.72719 14.915 0.006
3753.59883 14.693 0.006
3755.63638 15.104 0.006
3757.66982 14.863 0.006
3759.73347 14.918 0.006
3762.72180 14.858 0.006
3765.74033 14.820 0.006
3770.58185 14.862 0.006
3773.58921 14.732 0.006
3776.58825 14.747 0.006
3779.57829 14.909 0.006
3782.62802 14.930 0.006
3787.55289 14.888 0.006
3791.60009 15.050 0.006
3799.52460 14.943 0.006
3821.50264 14.885 0.006
3945.92731 15.038 0.006
3963.92344 14.736 0.006
3969.85388 14.921 0.006
3975.90392 14.884 0.006
3981.83314 15.087 0.006
3995.88353 14.955 0.006
4001.83662 15.077 0.006
4005.81447 14.819 0.006
4007.81852 14.896 0.006
4011.81867 14.885 0.006
4018.81020 14.809 0.006
4023.84229 15.033 0.006
4026.74864 14.932 0.006
4040.84855 15.076 0.006
4042.86429 14.929 0.006
4046.73927 14.951 0.006
4048.82882 14.993 0.006
4052.67097 14.863 0.006
4056.71550 14.909 0.006
4058.65356 14.852 0.006
4063.64759 15.075 0.006
4066.64538 14.958 0.006
4069.71101 14.766 0.006
4071.63962 15.099 0.006
4076.71188 14.914 0.006
4079.72459 15.060 0.006
4083.64150 14.881 0.006
4085.70678 14.989 0.006
4092.82410 14.818 0.006
4104.87092 14.973 0.006
4112.69561 14.896 0.006
4117.68446 14.907 0.006
4121.66051 15.075 0.006
4124.74335 15.015 0.006
4129.75593 15.046 0.006
4142.61494 14.706 0.006
4150.60341 14.696 0.006
4155.51674 14.943 0.006
4166.54560 14.898 0.006
4196.49509 14.936 0.006
4341.87111 14.833 0.006
4347.82102 15.010 0.006
4351.86695 15.010 0.006
