Mass,Radius
1.9842,9.2898
2.3049,8.7165
1.9973,9.1679
2.0807,8.8654
1.0182,10.2815
1.1293,10.997
1.1126,10.8005
0.9602,11.548
1.0467,11.19
0.949,10.4402
2.8264,11.3871
2.3083,10.4303
1.7029,10.5229
1.3421,10.8982
1.074,11.0412
1.6031,11.0189
1.2281,12.3838
1.1587,10.9733
1.14,10.4675
1.3333,11.1328
1.427,11.3485
1.1593,10.8009
1.5471,11.7685
1.2099,10.6703
1.674,10.8041
1.2344,10.6878
1.8191,11.6118
2.4164,8.8469
2.0546,8.2153
1.4377,10.7448
1.2502,10.7461
1.1975,10.9179
2.1751,8.9016
2.1518,9.5784
1.306,11.098
1.9014,10.4432
2.0121,8.0148
2.0659,8.1114
1.4309,11.0305
2.0208,8.447
2.0668,8.101
1.8244,11.1301
2.0273,9.3444
1.6809,10.6386
2.2415,8.864
2.586,11.5546
1.0419,10.2875
1.3469,11.0522
1.8215,10.479
1.7603,10.9216
1.9713,9.6016
1.5572,10.577
1.9716,9.7534
1.5471,10.6535
1.6031,10.5614
1.7004,10.7941
1.7299,10.9658
1.7787,10.1311
2.2697,11.6489
1.6842,11.1811
2.086,14.263
1.8075,10.6519
1.4382,10.8677
1.2583,10.7871
1.627,10.8609
1.1095,11.0166
1.5646,10.7705
1.4875,10.7348
1.218,10.811
1.3177,10.9545
1.0755,10.5822
1.4252,10.8593
1.4691,12.4456
1.1077,10.5384
1.245,12.1512
1.3927,11.7517
1.0338,10.4307
1.0682,10.6952
1.1772,11.2892
1.4345,11.2696
1.0389,10.4926
0.9867,10.31
0.9844,10.3716
0.9028,9.9469
0.8603,9.7416
0.9123,9.966
1.7106,10.7935
1.8078,10.0437
1.8552,10.954
1.4637,10.958
2.0212,12.2027
1.5275,10.7564
1.7975,10.2533
1.4616,10.8338
1.1313,9.4158
1.5135,11.0708
1.7371,11.9593
1.193,11.2824
1.7235,10.7683
1.528,11.2387
1.4769,11.3319
1.6205,10.8531
1.445,11.0232
1.4958,10.9232
1.7429,11.6457
1.452,10.7214
1.3314,10.7229
1.4878,11.1657
1.3904,10.9669
1.5709,10.8285
1.6002,10.7311
