logTeff_1,logL_1,State_1
3.758228479,0.055045417,1
3.758722099,0.062794318,1
3.759199746,0.070503938,1
3.759658157,0.078179478,1
3.760097572,0.085825979,1
3.760517539,0.093431175,1
3.760915259,0.100973061,1
3.761294352,0.108464028,1
3.761655007,0.115927875,1
3.761999761,0.123351604,1
3.762331423,0.130732772,1
3.762650653,0.138101414,1
3.762961682,0.145477622,1
3.763261516,0.152821656,1
3.763549318,0.160161716,1
3.763827008,0.167485468,1
3.764093141,0.174802897,1
3.764327573,0.182116324,1
3.764564243,0.189508109,1
3.764780853,0.197128892,1
3.76498082,0.204703569,1
3.765160883,0.212223391,1
3.76531979,0.219679551,1
3.765456842,0.227073917,1
3.765575809,0.234401331,1
3.765672554,0.241657872,1
3.765743752,0.248836325,1
3.765795976,0.255936923,2
3.765826563,0.262960456,2
3.765834641,0.26989035,2
3.765817014,0.276527967,2
3.765779719,0.283099873,2
3.765714983,0.289593986,2
3.76563387,0.296016206,2
3.76552384,0.302353934,2
3.76539624,0.308611946,2
3.765245063,0.314810653,2
3.76506683,0.320935743,2
3.764861669,0.326978937,2
3.764636656,0.332905442,2
3.764384609,0.338739355,2
3.764105054,0.3444517,2
3.763806704,0.350049009,2
3.763478965,0.355510861,2
3.763130257,0.360866185,2
3.762739346,0.366197244,2
3.762325156,0.371410733,2
3.761881669,0.376473887,2
3.761415251,0.381376832,2
3.76093714,0.3858615,2
3.76043644,0.390137322,2
3.759902157,0.394294204,2
3.759332294,0.398327802,2
3.758735591,0.402250371,2
3.756573575,0.414352346,2
3.754156427,0.42465204,2
3.751518809,0.433001696,2
3.748671802,0.439301872,2
3.745664761,0.443689045,2
3.742509205,0.446244901,2
3.739239971,0.447298599,2
3.735838911,0.447083545,2
3.73231534,0.445882037,2
3.728682083,0.444046667,2
3.724963563,0.442011014,2
3.721153815,0.440195948,2
3.717267581,0.439146874,2
3.713367626,0.439650434,2
3.709500913,0.442478132,2
3.705775676,0.448471355,2
3.702358095,0.458250405,2
3.699387981,0.471740604,2
3.696920414,0.488288953,2
3.694903309,0.506999138,2
3.693252645,0.527151573,2
3.691910094,0.548285784,2
3.690783771,0.570067918,2
3.689829763,0.59229875,2
3.688972806,0.614833166,2
3.688211599,0.637610261,2
3.687519473,0.660562117,2
3.686849911,0.683646683,2
3.686220157,0.706839178,2
3.685585274,0.73010614,2
3.684964395,0.753438077,2
3.684340637,0.776823783,2
3.683689124,0.800245088,2
3.683045829,0.823705071,2
3.682370554,0.847181776,2
3.681675013,0.870665464,2
3.68097496,0.894161197,2
3.680244144,0.917663819,2
3.679479211,0.941168805,2
3.678693262,0.964680426,2
3.6778844,0.988192636,2
3.677040226,1.011696539,2
3.676175941,1.035200348,2
3.675298335,1.058708038,2
3.67439007,1.082204179,2
3.673453042,1.105689148,2
3.672498184,1.129172524,2
3.671485643,1.15261789,2
3.670483478,1.176079912,2
3.669453246,1.1995252,2
3.6684006,1.222958246,2
3.667313893,1.246368069,2
3.666224902,1.269780183,2
3.665107863,1.293171604,2
3.663961658,1.316541124,2
3.66278471,1.339882597,2
3.661612862,1.363230353,2
3.660407265,1.386546562,2
3.65916523,1.409823018,2
3.657951435,1.43311937,2
3.656698197,1.456351863,2
3.655468042,1.479550736,2
3.654287839,1.502390166,2
3.655260489,1.491605467,2
3.65679309,1.468803671,2
3.657049481,1.468028763,2
3.655934437,1.488916102,2
3.654612783,1.512187553,2
3.653248906,1.535421756,2
3.651875919,1.558650108,2
3.650474953,1.581855481,2
3.649067076,1.605056138,2
3.647642108,1.628241878,2
3.646197133,1.651410125,2
3.644747453,1.674577661,2
3.643268519,1.697707181,2
3.641772831,1.720823835,2
3.640267923,1.743936532,2
3.638732818,1.767009213,2
3.637195286,1.790086067,2
3.635624967,1.813126065,2
3.634061518,1.836163426,2
3.63247555,1.859182796,2
3.63088142,1.88218945,2
3.629266432,1.905155317,2
3.627646445,1.928136215,2
3.625992173,1.951074803,2
3.624307663,1.973980988,2
3.622619231,1.996883514,2
3.620904591,2.019747559,2
3.61919201,2.042621198,2
3.617450087,2.06544846,2
3.615699598,2.088261969,2
3.613948528,2.111085966,2
3.612164153,2.133859564,2
3.610381549,2.156642544,2
3.608559775,2.179369465,2
3.606729878,2.202089876,2
3.604880983,2.224785992,2
3.603015759,2.247459536,2
3.601143845,2.270124708,2
3.599256592,2.29276797,2
3.59734915,2.315381082,2
3.595436696,2.337987757,2
3.593511573,2.36057567,2
3.591566847,2.383133405,2
3.589610102,2.405676071,2
3.587627364,2.428175904,2
3.585619673,2.450627226,2
3.583628438,2.473082463,2
3.58160452,2.495500051,2
3.579578743,2.517902077,2
3.577552898,2.54030112,2
3.575524053,2.562714867,2
3.573483014,2.585095879,2
3.57143049,2.607443934,2
3.56935084,2.629774976,2
3.567262865,2.652053447,2
3.565166379,2.674328709,2
3.563020833,2.69653653,2
3.5609006,2.718748624,2
3.558765654,2.740935968,2
3.55663094,2.763118601,2
3.554459936,2.785269806,2
3.552329121,2.807454748,2
3.550180173,2.829577898,2
3.5479902,2.851664815,2
3.545819704,2.873790858,2
3.543615002,2.895855798,2
3.541408413,2.917927085,2
3.539176759,2.939960214,2
3.536950817,2.962005713,2
3.534701732,2.983990478,2
3.532456677,3.005991344,2
3.530209875,3.027989704,2
3.527954195,3.049976705,2
3.525694033,3.071936097,2
3.523410871,3.093853165,2
3.521122322,3.115755668,2
3.518840318,3.137611356,2
3.51652866,3.159467543,2
3.514195038,3.181298843,2
3.511837986,3.203074011,2
3.509471652,3.224839895,2
3.507092451,3.24655153,2
3.504697594,3.268221891,2
3.502292204,3.289876498,2
3.499871489,3.311513875,2
3.497412214,3.332980039,2
3.494949096,3.354401331,2
3.492473182,3.375632933,2
3.663532515,1.696417437,3
3.66353283,1.696413533,3
3.663533089,1.696410425,3
3.663533298,1.69640787,3
3.66353361,1.696403904,3
3.663533967,1.696400099,3
3.663534501,1.696393207,3
3.663535158,1.696385384,3
3.663536232,1.69637255,3
3.663539524,1.696332459,3
3.663594073,1.695690057,3
3.663907286,1.692226188,3
3.663897553,1.692007135,3
3.663592551,1.695554533,3
3.663856221,1.695239058,3
3.664300265,1.693759772,3
3.664666324,1.692987633,3
3.664816959,1.693925744,3
3.664955705,1.693390882,3
3.665640244,1.686258809,3
3.665385806,1.68853628,3
3.66425655,1.70092849,3
3.663838616,1.709728901,3
3.664794214,1.707207778,3
3.665478308,1.7074341,3
3.666523354,1.704590901,3
3.66628208,1.712342038,3
3.66539611,1.723223247,3
3.664492914,1.733277183,3
3.663470683,1.74425382,3
3.662495618,1.754545011,3
3.661369629,1.766370293,3
3.660235959,1.778263243,3
3.659645692,1.784725273,3
3.660463813,1.776767454,3
3.660211562,1.779246195,3
3.659932683,1.782267796,3
3.659592596,1.785964412,3
3.659254791,1.789911098,3
3.659504846,1.788083738,3
3.660605134,1.777609408,3
3.661751674,1.76618229,3
3.66288683,1.753496742,3
3.662467962,1.757028227,3
3.66135342,1.768694978,3
3.66022278,1.780372355,3
3.659078474,1.792135699,3
3.657942098,1.804007157,3
3.656791625,1.815944859,3
3.655638545,1.827910045,3
3.65450279,1.839970276,3
3.653350095,1.852023249,3
3.652193263,1.864119574,3
3.651046388,1.876257554,3
3.649874955,1.888377964,3
3.648733418,1.900548234,3
3.64758611,1.912710672,3
3.646434251,1.924856766,3
3.645271742,1.936971666,3
3.644135264,1.94910134,3
3.642989213,1.961178629,3
3.64183276,1.973196001,3
3.640712717,1.985209793,3
3.639585598,1.997149923,3
3.63845955,2.009025574,3
3.637346055,2.02084229,3
3.636246591,2.0325735,4
3.635240489,2.043412511,4
3.634232668,2.054211242,4
3.6332015,2.065205905,4
3.632155623,2.076339069,4
3.631102549,2.087563357,4
3.630069749,2.098899373,4
3.628999524,2.110238227,4
3.62792765,2.121606823,4
3.626868942,2.13299438,4
3.625942343,2.142976623,4
3.625505668,2.147446612,4
3.625099248,2.15186915,4
3.624641376,2.156697804,4
3.624020751,2.163188786,4
3.623199855,2.171865433,4
3.622263381,2.181964185,4
3.621755253,2.187665655,4
3.622274312,2.1822301,4
3.622810241,2.177000421,4
3.623268646,2.171989293,4
3.623756711,2.167419697,4
3.624151197,2.163208853,4
3.62455284,2.158900601,4
3.625012855,2.154252226,4
3.62555733,2.148970846,4
3.625405347,2.150570047,4
3.625339202,2.151196998,4
3.625010766,2.154251577,4
