logTeff_10,logL_10,State_10
4.302868789,3.98017831,1
4.301811377,3.985506074,1
4.30075614,3.990829086,1
4.299702967,3.996142499,1
4.298663839,4.001494431,1
4.297644145,4.006891378,1
4.296662968,4.012391065,1
4.295737875,4.01803059,1
4.294919739,4.023903452,1
4.294272209,4.030048866,1
4.293939965,4.036418107,1
4.293996738,4.042698814,1
4.294511219,4.048595216,1
4.295484782,4.053804149,1
4.296779292,4.058080365,1
4.298251044,4.061515002,1
4.299805358,4.064394648,1
4.30140096,4.066909627,1
4.303024435,4.069153928,1
4.304662189,4.071226283,1
4.306307224,4.073178924,1
4.30795778,4.075043092,1
4.309610884,4.076841632,1
4.311263504,4.078593672,1
4.312912748,4.080334175,1
4.314559181,4.082066519,1
4.316199834,4.083800773,1
4.317832217,4.085558408,1
4.319456488,4.08733988,1
4.321070709,4.089153419,1
4.322671655,4.091015639,1
4.324257011,4.092917454,1
4.325826107,4.094865466,1
4.327376109,4.096864726,1
4.328899459,4.098925127,1
4.330396763,4.101036685,1
4.331863819,4.103191793,1
4.333294934,4.105383047,1
4.334685864,4.107601524,1
4.336030426,4.109827264,1
4.337321121,4.112035445,1
4.338543388,4.114202346,1
4.339693446,4.116300144,1
4.340756573,4.118279427,1
4.341720949,4.120093992,1
4.34256635,4.121676471,2
4.343282797,4.122998524,2
4.343847947,4.123958177,2
4.344246108,4.124499084,2
4.344504572,4.124699825,2
4.344592177,4.124502041,2
4.344372151,4.123399398,2
4.343878445,4.121433071,2
4.343160014,4.118908926,2
4.342263659,4.116007797,2
4.341234208,4.112896513,2
4.340105288,4.109717463,2
4.338901268,4.106555039,2
4.337649519,4.103415123,2
4.333272186,4.094341432,2
4.328528255,4.087024597,2
4.323515326,4.081839618,2
4.318312619,4.079115196,2
4.31301192,4.078689633,2
4.307674625,4.080278724,2
4.3023363,4.083399043,2
4.297002552,4.087500536,2
4.291665685,4.092116632,2
4.286314271,4.096879347,2
4.280938047,4.101539447,2
4.275530644,4.105925429,2
4.270091395,4.109949784,2
4.264621001,4.113578947,2
4.259121943,4.116817759,2
4.253595597,4.119673736,2
4.248045214,4.12217675,2
4.242473197,4.124353641,2
4.2368812,4.126232244,2
4.231271434,4.127846881,2
4.225646162,4.129228942,2
4.220005041,4.130375242,2
4.214350367,4.131318207,2
4.208683223,4.13207667,2
4.203003999,4.132649025,2
4.197312127,4.133063035,2
4.191611606,4.133309239,2
4.185901908,4.133416387,2
4.18018303,4.133378929,2
4.174456237,4.133211706,2
4.168721788,4.132918999,2
4.162980333,4.132502227,2
4.157232521,4.131972359,2
4.151478855,4.1313393,2
4.145719635,4.130603255,2
4.139955226,4.129757506,2
4.134186097,4.128814087,2
4.128412517,4.127775222,2
4.122634622,4.126649838,2
4.116852683,4.125445876,2
4.111067021,4.124177367,2
4.105277994,4.122828412,2
4.09948613,4.121401942,2
4.093691869,4.119895566,2
