logTeff_1,logL_1,Stage_1,logTeff_3,logL_3,Stage_3,logTeff_10,logL_10,Stage_10,logTeff_30,logL_30,Stage_30
3.761415251,0.381376832,2,4.016593256,2.248076596,2,4.344246108,4.124499084,2,4.450857736,5.491746693,2
3.76093714,0.3858615,2,4.014373598,2.247098841,2,4.344504572,4.124699825,2,4.447799545,5.498722742,2
3.76043644,0.390137322,2,4.012154031,2.247794854,2,4.344592177,4.124502041,2,4.444798617,5.505596641,2
3.759902157,0.394294204,2,4.010000809,2.250115319,2,4.344372151,4.123399398,2,4.44205399,5.511475575,2
3.759332294,0.398327802,2,4.007924921,2.253481502,2,4.343878445,4.121433071,2,4.43988587,5.51374267,2
3.758735591,0.402250371,2,4.005920895,2.257561697,2,4.343160014,4.118908926,2,4.437753699,5.51227634,2
3.756573575,0.414352346,2,4.003943136,2.261894193,2,4.342263659,4.116007797,2,4.434779953,5.510255295,2
3.754156427,0.42465204,2,4.001971347,2.266248352,2,4.341234208,4.112896513,2,4.431805885,5.509180562,2
3.751518809,0.433001696,2,3.999975183,2.270392357,2,4.340105288,4.109717463,2,4.428603214,5.50848014,2
3.748671802,0.439301872,2,3.997941392,2.274181984,2,4.338901268,4.106555039,2,4.425300827,5.507976667,2
3.745664761,0.443689045,2,3.995868798,2.277560853,2,4.337649519,4.103415123,2,4.421967037,5.507715925,2
3.742509205,0.446244901,2,3.993761128,2.280541243,2,4.333272186,4.094341432,2,4.418563493,5.50740359,2
3.739239971,0.447298599,2,3.991626143,2.283159197,2,4.328528255,4.087024597,2,4.415107298,5.50710768,2
3.735838911,0.447083545,2,3.989461869,2.285385246,2,4.323515326,4.081839618,2,4.411652404,5.506917746,2
3.73231534,0.445882037,2,3.987278541,2.287319557,2,4.318312619,4.079115196,2,4.408171294,5.50687743,2
3.728682083,0.444046667,2,3.985084141,2.289062844,2,4.31301192,4.078689633,2,4.404674035,5.506759301,2
3.724963563,0.442011014,2,3.982876842,2.290569126,2,4.307674625,4.080278724,2,4.401083089,5.506103154,2
3.721153815,0.440195948,2,3.98065898,2.29187965,2,4.3023363,4.083399043,2,4.39755849,5.506406019,2
3.717267581,0.439146874,2,3.97843467,2.293006767,2,4.297002552,4.087500536,2,4.394051685,5.507401351,2
3.713367626,0.439650434,2,3.976201389,2.293956807,2,4.291665685,4.092116632,2,4.390542935,5.508753216,2
3.709500913,0.442478132,2,3.973969138,2.294765618,2,4.286314271,4.096879347,2,4.387032286,5.510264849,2
3.705775676,0.448471355,2,3.970919031,2.295660309,2,4.280938047,4.101539447,2,4.38352367,5.511817153,2
3.702358095,0.458250405,2,3.967855275,2.296297118,2,4.275530644,4.105925429,2,4.381563565,5.512604311,2
3.699387981,0.471740604,2,3.96477814,2.296733696,2,4.270091395,4.109949784,2,4.379605116,5.513365585,2
3.696920414,0.488288953,2,3.961690154,2.296980903,2,4.264621001,4.113578947,2,4.377646453,5.5140656,2
3.694903309,0.506999138,2,3.958591379,2.297087538,2,4.259121943,4.116817759,2,4.375686068,5.514697964,2
3.693252645,0.527151573,2,3.955479086,2.297000403,2,4.253595597,4.119673736,2,4.373726008,5.515260302,2
3.691910094,0.548285784,2,3.952355931,2.296800065,2,4.248045214,4.12217675,2,4.371764301,5.515747159,2
3.690783771,0.570067918,2,3.949221519,2.296486445,2,4.242473197,4.124353641,2,4.369801798,5.516160265,2
3.689829763,0.59229875,2,3.946077186,2.29608478,2,4.2368812,4.126232244,2,4.367839707,5.516507192,2
3.688972806,0.614833166,2,3.942920934,2.29547637,2,4.231271434,4.127846881,2,4.365875318,5.516786526,2
3.688211599,0.637610261,2,3.939753342,2.294793433,2,4.225646162,4.129228942,2,4.363909018,5.517007553,2
3.687519473,0.660562117,2,3.936575682,2.294012415,2,4.220005041,4.130375242,2,4.361942713,5.517179094,2
3.686849911,0.683646683,2,3.933389118,2.293149753,2,4.214350367,4.131318207,2,4.35997471,5.5173062,2
3.686220157,0.706839178,2,3.930193765,2.29218799,2,4.208683223,4.13207667,2,4.358003682,5.517396307,2
3.685585274,0.73010614,2,3.926990238,2.291135278,2,4.203003999,4.132649025,2,4.356035617,5.517459573,2
3.684964395,0.753438077,2,3.923778223,2.289991648,2,4.197312127,4.133063035,2,4.354061401,5.517498001,2
3.684340637,0.776823783,2,3.920559007,2.288751223,2,4.191611606,4.133309239,2,4.352084998,5.51751979,2
3.683689124,0.800245088,2,3.917332546,2.287449929,2,4.185901908,4.133416387,2,4.350106802,5.517529093,2
3.683045829,0.823705071,2,3.914099416,2.286073573,2,4.18018303,4.133378929,2,4.348127047,5.517529399,2
3.682370554,0.847181776,2,3.91085973,2.284601938,2,4.174456237,4.133211706,2,4.346145203,5.517524686,2
3.681675013,0.870665464,2,3.907614182,2.283036536,2,4.168721788,4.132918999,2,4.344160746,5.517517905,2
3.68097496,0.894161197,2,3.904362838,2.281434186,2,4.162980333,4.132502227,2,4.342177995,5.5175105,2
3.680244144,0.917663819,2,3.901107105,2.27973696,2,4.157232521,4.131972359,2,4.340192208,5.517504798,2
3.679479211,0.941168805,2,3.897846291,2.278006553,2,4.151478855,4.1313393,2,4.338201343,5.517501657,2
3.678693262,0.964680426,2,3.894581847,2.276173417,2,4.145719635,4.130603255,2,4.336210963,5.517502444,2
3.6778844,0.988192636,2,3.891313715,2.274273082,2,4.139955226,4.129757506,2,4.334217783,5.517507351,2
3.677040226,1.011696539,2,3.888041833,2.272311264,2,4.134186097,4.128814087,2,4.332224114,5.517517528,2
3.676175941,1.035200348,2,3.884766776,2.270288503,2,4.128412517,4.127775222,2,4.330228807,5.51753298,2
3.675298335,1.058708038,2,3.881488953,2.268201882,2,4.122634622,4.126649838,2,4.328234231,5.517553884,2
3.67439007,1.082204179,2,3.878208477,2.266046425,2,4.116852683,4.125445876,2,4.326235847,5.517578867,2
3.673453042,1.105689148,2,3.874925302,2.263846305,2,4.111067021,4.124177367,2,4.324236206,5.517609479,2
3.672498184,1.129172524,2,3.871639928,2.2615894,2,4.105277994,4.122828412,2,4.322234591,5.517644195,2
3.671485643,1.15261789,2,3.86835315,2.259264961,2,4.09948613,4.121401942,2,4.320234566,5.517685738,2
3.670483478,1.176079912,2,3.865064965,2.256877827,2,4.093691869,4.119895566,2,4.31823036,5.517729949,2
3.669453246,1.1995252,2,3.861775244,2.254440025,2,4.087895322,4.118315396,2,4.316225579,5.51777875,2
3.6684006,1.222958246,2,3.858484143,2.251952173,2,4.082096571,4.116663941,2,4.314219066,5.517831612,2
3.667313893,1.246368069,2,3.855191614,2.249419538,2,4.076295893,4.114943592,2,4.312211367,5.517888533,2
3.666224902,1.269780183,2,3.851896065,2.24688984,2,4.070493293,4.113161719,2,4.31020328,5.517950712,2
3.665107863,1.293171604,2,3.848602046,2.24426111,2,4.064688937,4.111324322,2,4.308194273,5.518015631,2
3.663961658,1.316541124,2,3.84531011,2.241525184,2,4.058882916,4.10943017,2,4.306183362,5.518084025,2
3.66278471,1.339882597,2,3.842017348,2.238747277,2,4.053075418,4.107484413,2,4.304170958,5.518155826,2
3.661612862,1.363230353,2,3.838723077,2.235946155,2,4.047266544,4.105488972,2,4.302156756,5.518229973,2
3.660407265,1.386546562,2,3.83542817,2.233109055,2,4.041456441,4.103444388,2,4.300142361,5.518309228,2
3.65916523,1.409823018,2,3.832133451,2.230222248,2,4.035645207,4.101353528,2,4.298125936,5.518389976,2
3.657951435,1.43311937,2,3.828839519,2.227277243,2,4.029832947,4.099217342,2,4.296109343,5.518476294,2
3.656698197,1.456351863,2,3.825545652,2.224292422,2,4.024019822,4.097037478,2,4.294090648,5.518564355,2
3.655468042,1.479550736,2,3.822251199,2.221283517,2,4.018205865,4.094817167,2,4.292071048,5.518656744,2
3.654287839,1.502390166,2,3.818958392,2.218210626,2,4.012391198,4.092555291,2,4.290049632,5.518748391,2
3.655260489,1.491605467,2,3.815667644,2.215072119,2,4.006575958,4.090252245,2,4.288029116,5.51885445,2
3.65679309,1.468803671,2,3.81237751,2.211890452,2,4.000760209,4.087911392,2,4.286004744,5.518952306,2
3.657049481,1.468028763,2,3.809088376,2.208664895,2,3.994944057,4.085530505,2,4.283979753,5.519059194,2
3.655934437,1.488916102,2,3.805801345,2.205381308,2,3.989127549,4.083113054,2,4.281953179,5.519167292,2
3.654612783,1.512187553,2,3.802516728,2.20203637,2,3.983310799,4.080658104,2,4.279925463,5.519279502,2
3.653248906,1.535421756,2,3.799234743,2.198634635,2,3.977493825,4.07816762,2,4.277896739,5.519398027,2
3.651875919,1.558650108,2,3.79595528,2.1951758,2,3.971676695,4.075642881,2,4.275866971,5.519521215,2
