#
# White Dwarf final and initial masses
# Cummings et al. 2018, ApJ, 866, 21
# Table 1 - converted from ApJ ASCII into a machine readable format
#
# Units:
#  Teff  -  K
#  tcool - Myr
#  M_x   - Msun
#  initial mass estimates: P = PARSEC isochrones, M = MESA isochrones
#
starID            Teff  errT  log_g  errlg  M_f    errMf  tcool etm   etp  M_iP    eMiPm   eMiPp   M_iM   eMiMm   eMiMp   SN
NGC2168-LAWDS27   30700  400  8.72   0.06   1.071  0.031   78   11    12   5.35    0.24    0.30   5.24    0.24    0.31  125     
NGC2168-LAWDS29   33500  450  8.56   0.06   0.984  0.034   34   8     8    4.56    0.10    0.11   4.52    0.09    0.10   94      
NGC2168-LAWDS30   29700  500  8.39   0.08   0.878  0.048   33   10    12   4.55    0.12    0.16   4.51    0.12    0.15   60      
NGC2287-2         25900  350  8.45   0.05   0.909  0.028   76   9     10   4.82    0.13    0.17   4.83    0.14    0.17  164     
NGC2287-4         26500  350  8.71   0.05   1.065  0.027  127   13    14   6.02    0.41    0.65   6.06    0.43    0.64  144     
NGC2287-5         25600  350  8.44   0.04   0.901  0.028   77   9     10   4.85    0.14    0.17   4.86    0.14    0.18  189     
NGC2323-WD10      52800 1350  8.68   0.09   1.068  0.045  1.6   0.6   1.2  5.06    0.01    0.02   4.90    0.01    0.02   87      
NGC2323-WD11      54100 1000  8.69   0.07   1.075  0.032  1.3   0.4   0.6  5.05    0.01    0.01   4.89    0.01    0.01  126     
NGC2516-1         30100  350  8.47   0.04   0.925  0.027   42   7     7    4.62    0.09    0.11   4.29    0.06    0.08  270     
NGC2516-2         35500  550  8.55   0.07   0.981  0.040   24   7     8    4.83    0.09    0.11   4.44    0.06    0.08   83      
NGC2516-3         29100  350  8.46   0.04   0.918  0.027   48   7     8    4.89    0.11    0.12   4.49    0.08    0.08  207     
NGC2516-5         32200  400  8.54   0.05   0.970  0.027   38   6     7    4.98    0.12    0.15   4.55    0.08    0.10  213     
NGC3532-1         23100  300  8.52   0.04   0.950  0.026  131   12    13   3.95    0.08    0.09   3.86    0.07    0.08  210     
NGC3532-5         27700  350  8.28   0.05   0.804  0.028   31   6     7    3.44    0.02    0.03   3.39    0.02    0.03  232     
NGC3532-9         31900  400  8.18   0.04   0.752  0.026  9.3   1     2    3.36    0.01    0.01   3.31    0.01    0.01  236     
NGC3532-10        26300  350  8.34   0.04   0.838  0.027   51   8     8    3.52    0.03    0.03   3.46    0.03    0.03  234     
NGC3532-J1106-584 20200  300  8.52   0.05   0.945  0.029  197   18    20   4.54    0.20    0.27   4.38    0.17    0.23  149     
NGC3532-J1106-590 21100  350  8.48   0.05   0.922  0.031  163   17    18   4.20    0.14    0.17   4.07    0.12    0.15  124     
NGC3532-J1107-584 20700  300  8.59   0.05   0.990  0.028  211   20    21   4.73    0.25    0.34   4.54    0.22    0.29  193     
VPHASJ1103-5837   23900  450  8.87   0.06   1.11   0.03   223   30    40   4.91    0.41    0.90   4.69    0.35    0.73  cdots   
Sirius_B          26000  400  8.57   0.04   0.982  0.024   99   10    11   4.58    0.12    0.14   4.88    0.14    0.18  cdots   
Pleiades-LB1497   32700  500  8.67   0.05   1.046  0.028   54   8     9    6.61    0.34    0.51   5.86    0.23    0.31  187     
#GD50              42700  800  9.20   0.07   1.26   0.02    76   11    17   8.21    0.99    2.86   6.74    0.52    1.21  cdots   
PG0136+251        41400  800  9.03   0.07   1.20   0.03    52   12    14   6.49    0.45    0.80   5.78    0.33    0.48  cdots   
Hya_HS0400+1451   14620   60  8.25   0.01   0.765  0.006  316   9     10   3.26    0.02    0.02   3.36    0.02    0.02  cdots   
Hya_WD0348+339    14820  350  8.31   0.05   0.804  0.032  331   36    40   3.32    0.10    0.12   3.42    0.10    0.13  cdots   
Hya_WD0352+096    14670  380  8.30   0.05   0.797  0.032  339   37    41   3.33    0.10    0.13   3.44    0.11    0.13  cdots   
Hya_WD0406+169    15810  290  8.38   0.05   0.850  0.032  316   28    31   3.26    0.08    0.10   3.36    0.09    0.10  cdots   
Hya_WD0421+162    20010  320  8.13   0.05   0.700  0.03    93   12    14   2.80    0.02    0.02   2.84    0.02    0.02  cdots   
Hya_WD0425+168    25130  380  8.12   0.05   0.704  0.029   31   5     6    2.71    0.01    0.01   2.74    0.01    0.01  cdots   
Hya_WD0431+126    21890  350  8.11   0.05   0.691  0.03    60   9     11   2.75    0.01    0.01   2.79    0.02    0.02  cdots   
Hya_WD0437+138    15120  360  8.25   0.09   0.766  0.057  295   44    52   3.18    0.10    0.14   3.28    0.12    0.15  cdots   
Hya_WD0438+108    27540  400  8.15   0.05   0.726  0.03    20   4     5    2.70    0.00    0.01   2.73    0.01    0.01  cdots   
Hya_WD0625+415    17610  280  8.07   0.05   0.659  0.03   132   14    16   2.86    0.02    0.03   2.91    0.03    0.03  cdots   
Hya_WD0637+477    14650  590  8.30   0.06   0.797  0.039  339   44    50   3.34    0.14    0.19   3.44    0.15    0.19  cdots   
