Mr  xH
7.813154e-08 5.574563e-01
1.562631e-07 5.574563e-01
3.125262e-07 5.574563e-01
6.250525e-07 5.574563e-01
1.250105e-06 5.574563e-01
2.500210e-06 5.574563e-01
5.000420e-06 5.574563e-01
1.000084e-05 5.574563e-01
1.724356e-05 5.574563e-01
2.448628e-05 5.574563e-01
3.897171e-05 5.574563e-01
6.794259e-05 5.574563e-01
1.258843e-04 5.574563e-01
2.417678e-04 5.574563e-01
4.735348e-04 5.574563e-01
8.582557e-04 5.574563e-01
1.726195e-03 5.574563e-01
2.530928e-03 5.574563e-01
3.335662e-03 5.574563e-01
4.598600e-03 5.574563e-01
6.036047e-03 5.574563e-01
6.754770e-03 5.574563e-01
7.473493e-03 5.574563e-01
9.192540e-03 5.574563e-01
1.091159e-02 5.574563e-01
1.263063e-02 5.574563e-01
1.434968e-02 5.574563e-01
1.636319e-02 5.574563e-01
1.736994e-02 5.574563e-01
1.837669e-02 5.574563e-01
2.039020e-02 5.574563e-01
2.240371e-02 5.574563e-01
2.459707e-02 5.574563e-01
2.569375e-02 5.574563e-01
2.679044e-02 5.574563e-01
2.908768e-02 5.574563e-01
3.138493e-02 5.574563e-01
3.377629e-02 5.574563e-01
3.497198e-02 5.574563e-01
3.616766e-02 5.574563e-01
3.864468e-02 5.574563e-01
4.112171e-02 5.574563e-01
4.367695e-02 5.574563e-01
4.495457e-02 5.574563e-01
4.623219e-02 5.574563e-01
4.885904e-02 5.574563e-01
5.148589e-02 5.574563e-01
5.417841e-02 5.574563e-01
5.552468e-02 5.574563e-01
5.687094e-02 5.574563e-01
5.962377e-02 5.574563e-01
6.237661e-02 5.574563e-01
6.518487e-02 5.574563e-01
6.658901e-02 5.574563e-01
6.799314e-02 5.574563e-01
7.085238e-02 5.574563e-01
7.371162e-02 5.574563e-01
7.661772e-02 5.574563e-01
7.807077e-02 5.574563e-01
7.952382e-02 5.574563e-01
8.247300e-02 5.574563e-01
8.542218e-02 5.574563e-01
8.841092e-02 5.574563e-01
8.990529e-02 5.574563e-01
9.139966e-02 5.574563e-01
9.442470e-02 5.574563e-01
9.744975e-02 5.574563e-01
1.005080e-01 5.574563e-01
