Mr  xH
7.813154e-08 4.575154e-43
1.562631e-07 0.000000e+00
3.125262e-07 0.000000e+00
6.250525e-07 0.000000e+00
1.250105e-06 2.701636e-42
2.500210e-06 0.000000e+00
5.000420e-06 0.000000e+00
1.000084e-05 0.000000e+00
1.724356e-05 0.000000e+00
2.448628e-05 0.000000e+00
3.897171e-05 0.000000e+00
6.794259e-05 0.000000e+00
1.258843e-04 0.000000e+00
2.417678e-04 0.000000e+00
4.735348e-04 0.000000e+00
8.582557e-04 0.000000e+00
1.810985e-03 0.000000e+00
2.631520e-03 6.526944e-43
3.191754e-03 0.000000e+00
4.124998e-03 0.000000e+00
4.778281e-03 0.000000e+00
5.586845e-03 0.000000e+00
6.575089e-03 0.000000e+00
7.418853e-03 0.000000e+00
8.028295e-03 0.000000e+00
9.299980e-03 1.261666e-43
1.058926e-02 0.000000e+00
1.155623e-02 0.000000e+00
1.241575e-02 0.000000e+00
1.391992e-02 0.000000e+00
1.460137e-02 0.000000e+00
1.510474e-02 0.000000e+00
1.611150e-02 0.000000e+00
1.762163e-02 0.000000e+00
1.888007e-02 0.000000e+00
2.039020e-02 0.000000e+00
2.139695e-02 0.000000e+00
2.240371e-02 0.000000e+00
2.350039e-02 0.000000e+00
2.459707e-02 0.000000e+00
2.569375e-02 0.000000e+00
2.707759e-02 0.000000e+00
2.851337e-02 0.000000e+00
2.994915e-02 0.000000e+00
3.140846e-02 0.000000e+00
3.199453e-02 0.000000e+00
3.258061e-02 0.000000e+00
3.377629e-02 0.000000e+00
3.497198e-02 0.000000e+00
3.618907e-02 0.000000e+00
3.740617e-02 0.000000e+00
3.856728e-02 0.000000e+00
3.934135e-02 0.000000e+00
4.011542e-02 0.000000e+00
4.168800e-02 2.486955e-44
4.271874e-02 0.000000e+00
4.399636e-02 0.000000e+00
4.463517e-02 0.000000e+00
4.527398e-02 0.000000e+00
4.656055e-02 0.000000e+00
4.787397e-02 0.000000e+00
4.885904e-02 0.000000e+00
5.017247e-02 0.000000e+00
5.115754e-02 0.000000e+00
5.249559e-02 0.000000e+00
5.350528e-02 0.000000e+00
5.417841e-02 0.000000e+00
5.518811e-02 0.000000e+00
5.586124e-02 0.000000e+00
5.687094e-02 0.000000e+00
5.790325e-02 0.000000e+00
5.893556e-02 0.000000e+00
5.962377e-02 0.000000e+00
6.065609e-02 0.000000e+00
6.134776e-02 1.094681e-40
6.239047e-02 7.264887e-39
6.343317e-02 9.263283e-37
6.413177e-02 4.492738e-35
6.553591e-02 4.297028e-33
6.658901e-02 6.369854e-31
6.729745e-02 1.934225e-29
6.800588e-02 2.750274e-28
6.871432e-02 3.554884e-27
6.978017e-02 7.878809e-26
7.067368e-02 1.964800e-24
7.120978e-02 1.818388e-23
7.192459e-02 1.441248e-22
7.263940e-02 1.647479e-21
7.371162e-02 2.647520e-20
7.443814e-02 3.331340e-19
7.534630e-02 3.069691e-18
7.625446e-02 2.974171e-17
7.698098e-02 1.809860e-16
7.752588e-02 6.910477e-16
7.879730e-02 5.915353e-15
7.934219e-02 3.809461e-14
8.026112e-02 1.806057e-13
8.099841e-02 7.347798e-13
8.136706e-02 1.762068e-12
8.192003e-02 3.635981e-12
8.321029e-02 1.911555e-11
8.394759e-02 8.669135e-11
8.431623e-02 1.734542e-10
8.468488e-02 2.766120e-10
8.486921e-02 3.894424e-10
8.505353e-02 4.869617e-10
8.542218e-02 6.772895e-10
8.560897e-02 1.074778e-09
8.579577e-02 1.383298e-09
8.598257e-02 1.749609e-09
8.616936e-02 2.215156e-09
8.654296e-02 3.112394e-09
8.672975e-02 4.379144e-09
8.691655e-02 5.546190e-09
8.710334e-02 7.105028e-09
8.729014e-02 8.843975e-09
8.747694e-02 1.086065e-08
8.766373e-02 1.316420e-08
8.785053e-02 1.569764e-08
8.803733e-02 1.881409e-08
8.841092e-02 2.468064e-08
8.859772e-02 3.225958e-08
8.878451e-02 3.841556e-08
8.897131e-02 4.572070e-08
8.915810e-02 5.424228e-08
8.934490e-02 6.429801e-08
8.953170e-02 7.592588e-08
8.990529e-02 9.706856e-08
9.009209e-02 1.330581e-07
9.027888e-02 1.607840e-07
9.065248e-02 2.084873e-07
9.083927e-02 2.671356e-07
9.102607e-02 3.139589e-07
9.121286e-02 3.686643e-07
9.139966e-02 4.288292e-07
9.177779e-02 5.322878e-07
9.196686e-02 6.651650e-07
9.215592e-02 7.734598e-07
9.234499e-02 9.026366e-07
9.253405e-02 1.048124e-06
9.291218e-02 1.311711e-06
9.310125e-02 1.634439e-06
9.319578e-02 1.822647e-06
9.329031e-02 1.964133e-06
9.347938e-02 2.188373e-06
9.366844e-02 2.530716e-06
9.385751e-02 2.921988e-06
9.404657e-02 3.376033e-06
