Mr  xH
7.813154e-08 6.360541e-01
1.562631e-07 6.360541e-01
3.125262e-07 6.360541e-01
6.250525e-07 6.360541e-01
1.250105e-06 6.360541e-01
2.500210e-06 6.360541e-01
5.000420e-06 6.360541e-01
1.000084e-05 6.360541e-01
1.724356e-05 6.360541e-01
2.448628e-05 6.360541e-01
3.897171e-05 6.360541e-01
6.794259e-05 6.360541e-01
1.258843e-04 6.360541e-01
2.417678e-04 6.360541e-01
4.735348e-04 6.360541e-01
8.582557e-04 6.360541e-01
1.726195e-03 6.360541e-01
2.530928e-03 6.360541e-01
3.335662e-03 6.360541e-01
4.598600e-03 6.360541e-01
6.036047e-03 6.360541e-01
6.754770e-03 6.360541e-01
7.473493e-03 6.360541e-01
9.192540e-03 6.360541e-01
1.091159e-02 6.360541e-01
1.263063e-02 6.360541e-01
1.434968e-02 6.360541e-01
1.636319e-02 6.360541e-01
1.736994e-02 6.360541e-01
1.837669e-02 6.360541e-01
2.039020e-02 6.360541e-01
2.240371e-02 6.360541e-01
2.459707e-02 6.360541e-01
2.569375e-02 6.360541e-01
2.679044e-02 6.360541e-01
2.908768e-02 6.360541e-01
3.138493e-02 6.360541e-01
3.377629e-02 6.360541e-01
3.497198e-02 6.360541e-01
3.616766e-02 6.360541e-01
3.864468e-02 6.360541e-01
4.112171e-02 6.360541e-01
4.367695e-02 6.360541e-01
4.495457e-02 6.360541e-01
4.623219e-02 6.360541e-01
4.885904e-02 6.360541e-01
5.148589e-02 6.360541e-01
5.417841e-02 6.360541e-01
5.552468e-02 6.360541e-01
5.687094e-02 6.360541e-01
5.962377e-02 6.360541e-01
6.237661e-02 6.360541e-01
6.518487e-02 6.360541e-01
6.658901e-02 6.360541e-01
6.799314e-02 6.360541e-01
7.085238e-02 6.360541e-01
7.371162e-02 6.360541e-01
7.661772e-02 6.360541e-01
7.807077e-02 6.360541e-01
7.952382e-02 6.360541e-01
8.247300e-02 6.360541e-01
8.542218e-02 6.360541e-01
8.841092e-02 6.360541e-01
8.990529e-02 6.360541e-01
9.139966e-02 6.360541e-01
9.442470e-02 6.360541e-01
9.744975e-02 6.360541e-01
1.005080e-01 6.360541e-01
1.020372e-01 6.360541e-01
1.035663e-01 6.360541e-01
1.066551e-01 6.360541e-01
1.097438e-01 6.360541e-01
1.144185e-01 6.360541e-01
1.191184e-01 6.360541e-01
1.222601e-01 6.360541e-01
1.254247e-01 6.360541e-01
1.285893e-01 6.360541e-01
1.317746e-01 6.360541e-01
1.349599e-01 6.360541e-01
1.381637e-01 6.360541e-01
1.413759e-01 6.360541e-01
1.445881e-01 6.360541e-01
1.461983e-01 6.360541e-01
1.478086e-01 6.360541e-01
1.510438e-01 6.360541e-01
1.542790e-01 6.360541e-01
1.575272e-01 6.360541e-01
1.591513e-01 6.360541e-01
1.607754e-01 6.360541e-01
1.640349e-01 6.360541e-01
1.672945e-01 6.360541e-01
1.705637e-01 6.360541e-01
1.721983e-01 6.360541e-01
1.738329e-01 6.360541e-01
1.771103e-01 6.360541e-01
1.803878e-01 6.360541e-01
1.836720e-01 6.360541e-01
1.853140e-01 6.360541e-01
1.869561e-01 6.360541e-01
1.902457e-01 6.360541e-01
1.935353e-01 6.360541e-01
1.968290e-01 6.360541e-01
1.984759e-01 6.360541e-01
2.001227e-01 6.360541e-01
2.034193e-01 6.360541e-01
2.067159e-01 6.360541e-01
2.100141e-01 6.360541e-01
2.116633e-01 6.360541e-01
2.133124e-01 6.360541e-01
2.166112e-01 6.360541e-01
2.199098e-01 6.460803e-01
2.232084e-01 6.576857e-01
2.248575e-01 6.697953e-01
2.265067e-01 6.760800e-01
2.298035e-01 6.879044e-01
2.363947e-01 6.977080e-01
2.429799e-01 6.978648e-01
2.462709e-01 6.979680e-01
2.528441e-01 6.980575e-01
2.594071e-01 6.981658e-01
2.643204e-01 6.982507e-01
2.692270e-01 6.983171e-01
2.724958e-01 6.983682e-01
2.790185e-01 6.984254e-01
2.855250e-01 6.984948e-01
2.903916e-01 6.985499e-01
2.928201e-01 6.985828e-01
2.984786e-01 6.986175e-01
3.017085e-01 6.986532e-01
3.081477e-01 6.986898e-01
3.145649e-01 6.987348e-01
3.177679e-01 6.987661e-01
3.241506e-01 6.987955e-01
3.305087e-01 6.988322e-01
3.368414e-01 6.988663e-01
3.431477e-01 6.988986e-01
3.462873e-01 6.989219e-01
3.541152e-01 6.989486e-01
3.587890e-01 6.989789e-01
3.619001e-01 6.989980e-01
3.680928e-01 6.990214e-01
3.742551e-01 6.990536e-01
3.803864e-01 6.990875e-01
3.864860e-01 6.991231e-01
3.925534e-01 6.991606e-01
3.985880e-01 6.991995e-01
4.015886e-01 6.992296e-01
4.075728e-01 6.992601e-01
4.135228e-01 6.993012e-01
4.194382e-01 6.993423e-01
4.253185e-01 6.993829e-01
4.311633e-01 6.994226e-01
4.369722e-01 6.994609e-01
4.427448e-01 6.994975e-01
4.484807e-01 6.995323e-01
4.570198e-01 6.995729e-01
4.654652e-01 6.996173e-01
4.738350e-01 6.996570e-01
4.793639e-01 6.996866e-01
4.848544e-01 6.997081e-01
4.903063e-01 6.997278e-01
4.957193e-01 6.997458e-01
5.010932e-01 6.997622e-01
5.064280e-01 6.997771e-01
5.117235e-01 6.997908e-01
5.169795e-01 6.998032e-01
5.221960e-01 6.998145e-01
5.273729e-01 6.998248e-01
5.325100e-01 6.998342e-01
5.376073e-01 6.998428e-01
5.426648e-01 6.998507e-01
5.476823e-01 6.998579e-01
5.526599e-01 6.998645e-01
5.575976e-01 6.998706e-01
5.624953e-01 6.998763e-01
5.673530e-01 6.998816e-01
5.721708e-01 6.998865e-01
5.769486e-01 6.998911e-01
5.816864e-01 6.998955e-01
