Mr  xH
8.031988e-01 6.997389e-01
8.081453e-01 6.997648e-01
8.129827e-01 6.997881e-01
8.177128e-01 6.998091e-01
8.223376e-01 6.998280e-01
8.268588e-01 6.998451e-01
8.312785e-01 6.998605e-01
8.355983e-01 6.998743e-01
8.398202e-01 6.998868e-01
8.439460e-01 6.998981e-01
8.479775e-01 6.999083e-01
8.519164e-01 6.999174e-01
8.557645e-01 6.999256e-01
8.595236e-01 6.999331e-01
8.631955e-01 6.999398e-01
8.667817e-01 6.999458e-01
8.702840e-01 6.999512e-01
8.737040e-01 6.999561e-01
8.770435e-01 6.999605e-01
8.794961e-01 6.999640e-01
8.834870e-01 6.999676e-01
8.865942e-01 6.999712e-01
8.896271e-01 6.999741e-01
8.925873e-01 6.999767e-01
8.954761e-01 6.999791e-01
8.982952e-01 6.999812e-01
9.010460e-01 6.999831e-01
9.037298e-01 6.999848e-01
9.063481e-01 6.999863e-01
9.089023e-01 6.999877e-01
9.113937e-01 6.999890e-01
9.138236e-01 6.999901e-01
9.161934e-01 6.999911e-01
9.185042e-01 6.999920e-01
9.207575e-01 6.999928e-01
9.229544e-01 6.999936e-01
9.250961e-01 6.999942e-01
9.271839e-01 6.999948e-01
9.292188e-01 6.999954e-01
9.312021e-01 6.999958e-01
9.331348e-01 6.999963e-01
9.350181e-01 6.999967e-01
9.368531e-01 6.999970e-01
9.386408e-01 6.999973e-01
9.403822e-01 6.999976e-01
9.420785e-01 6.999979e-01
9.437305e-01 6.999981e-01
9.453393e-01 6.999983e-01
9.469060e-01 6.999985e-01
9.484313e-01 6.999986e-01
9.499163e-01 6.999988e-01
9.517172e-01 6.999989e-01
9.527583e-01 6.999990e-01
9.537995e-01 6.999991e-01
9.551413e-01 6.999992e-01
9.564469e-01 6.999993e-01
9.577174e-01 6.999994e-01
9.589534e-01 6.999994e-01
9.601558e-01 6.999995e-01
9.613253e-01 6.999996e-01
9.624629e-01 6.999996e-01
9.635692e-01 6.999996e-01
9.646450e-01 6.999997e-01
9.656911e-01 6.999997e-01
9.667081e-01 6.999998e-01
9.676969e-01 6.999998e-01
9.686580e-01 6.999998e-01
9.695923e-01 6.999998e-01
9.705003e-01 6.999999e-01
9.713827e-01 6.999999e-01
9.722402e-01 6.999999e-01
9.730735e-01 6.999999e-01
9.738830e-01 6.999999e-01
9.746695e-01 6.999999e-01
9.754336e-01 7.000000e-01
9.761757e-01 7.000000e-01
9.768966e-01 7.000000e-01
9.775967e-01 7.000000e-01
9.782766e-01 7.000000e-01
9.789369e-01 7.000000e-01
9.795780e-01 7.000000e-01
9.802005e-01 7.000000e-01
9.808049e-01 7.000000e-01
9.813917e-01 7.000000e-01
9.819612e-01 7.000000e-01
9.825141e-01 7.000000e-01
9.830508e-01 7.000000e-01
9.835717e-01 7.000000e-01
9.840772e-01 7.000000e-01
9.845678e-01 7.000000e-01
9.850439e-01 7.000000e-01
9.855059e-01 7.000000e-01
9.859541e-01 7.000000e-01
9.863890e-01 7.000000e-01
9.868110e-01 7.000000e-01
9.872204e-01 7.000000e-01
9.876175e-01 7.000000e-01
9.880027e-01 7.000000e-01
9.883764e-01 7.000000e-01
9.887388e-01 7.000000e-01
9.890904e-01 7.000000e-01
9.894313e-01 7.000000e-01
9.897620e-01 7.000000e-01
9.900826e-01 7.000000e-01
