Mr  xH
7.813022e-08 3.992744e-01
1.562604e-07 3.992893e-01
3.125209e-07 3.993070e-01
6.250417e-07 3.993350e-01
1.250083e-06 3.993796e-01
2.500167e-06 3.994503e-01
5.000334e-06 3.995626e-01
1.000067e-05 3.997409e-01
1.719914e-05 3.999710e-01
2.439761e-05 4.001976e-01
3.879455e-05 4.005001e-01
6.758843e-05 4.010181e-01
1.251762e-04 4.018782e-01
2.403517e-04 4.032761e-01
4.707027e-04 4.055095e-01
8.530151e-04 4.086697e-01
1.715487e-03 4.138614e-01
3.314756e-03 4.218779e-01
5.944316e-03 4.326522e-01
9.186666e-03 4.445717e-01
1.533109e-02 4.604103e-01
1.823316e-02 4.726785e-01
2.441587e-02 4.839490e-01
3.121241e-02 4.979095e-01
3.596374e-02 5.088543e-01
4.338744e-02 5.194531e-01
4.853971e-02 5.293140e-01
5.653544e-02 5.388714e-01
6.477154e-02 5.495799e-01
7.327260e-02 5.596169e-01
7.904963e-02 5.674665e-01
8.491254e-02 5.734808e-01
9.085434e-02 5.792420e-01
9.686856e-02 5.847979e-01
1.029491e-01 5.901076e-01
1.090904e-01 5.951514e-01
1.152870e-01 5.999756e-01
1.215341e-01 6.045885e-01
1.278269e-01 6.089984e-01
1.341610e-01 6.132131e-01
1.405323e-01 6.172405e-01
1.469368e-01 6.210880e-01
1.501469e-01 6.238495e-01
1.565948e-01 6.265367e-01
1.630670e-01 6.299678e-01
1.695603e-01 6.332451e-01
1.760715e-01 6.363758e-01
1.825978e-01 6.393668e-01
1.891364e-01 6.422247e-01
1.956845e-01 6.449556e-01
1.989621e-01 6.469186e-01
2.055197e-01 6.488254e-01
2.087997e-01 6.506580e-01
2.153620e-01 6.524371e-01
2.219246e-01 6.547091e-01
2.284853e-01 6.568767e-01
2.350423e-01 6.589440e-01
2.383179e-01 6.604275e-01
2.448653e-01 6.618642e-01
2.514044e-01 6.636965e-01
2.546716e-01 6.650107e-01
2.611951e-01 6.662823e-01
2.677063e-01 6.679028e-01
2.709549e-01 6.690642e-01
2.774443e-01 6.701870e-01
2.806853e-01 6.712654e-01
2.871503e-01 6.723076e-01
2.935974e-01 6.736352e-01
2.968113e-01 6.745865e-01
3.032288e-01 6.755053e-01
3.096253e-01 6.766764e-01
3.128182e-01 6.775160e-01
3.191812e-01 6.783267e-01
3.255205e-01 6.793593e-01
3.286779e-01 6.800990e-01
3.349797e-01 6.808130e-01
3.412554e-01 6.817231e-01
3.443867e-01 6.823755e-01
3.506218e-01 6.830050e-01
3.568288e-01 6.838065e-01
3.599178e-01 6.843807e-01
3.660809e-01 6.849342e-01
3.722140e-01 6.856397e-01
3.752730e-01 6.861454e-01
3.813599e-01 6.866328e-01
3.874151e-01 6.872531e-01
3.934380e-01 6.878420e-01
3.994281e-01 6.884008e-01
4.053849e-01 6.889317e-01
4.113077e-01 6.894351e-01
4.171962e-01 6.899123e-01
4.230499e-01 6.903652e-01
4.288683e-01 6.907942e-01
4.346511e-01 6.912004e-01
4.403979e-01 6.915855e-01
4.461083e-01 6.919496e-01
4.517819e-01 6.922938e-01
4.546003e-01 6.925396e-01
4.602183e-01 6.927749e-01
4.657988e-01 6.930733e-01
4.685797e-01 6.932864e-01
4.741037e-01 6.934900e-01
4.795895e-01 6.937476e-01
4.850371e-01 6.939901e-01
4.904462e-01 6.942180e-01
4.958167e-01 6.944332e-01
5.011483e-01 6.946355e-01
5.037947e-01 6.947796e-01
5.090678e-01 6.949174e-01
5.116946e-01 6.950503e-01
5.169089e-01 6.951778e-01
5.220839e-01 6.953408e-01
5.246517e-01 6.954584e-01
5.272195e-01 6.955349e-01
5.323157e-01 6.956470e-01
5.348440e-01 6.957568e-01
5.373722e-01 6.958287e-01
5.423892e-01 6.959350e-01
5.473666e-01 6.960744e-01
5.498354e-01 6.961775e-01
5.523042e-01 6.962457e-01
5.547532e-01 6.963136e-01
5.572022e-01 6.963810e-01
5.620605e-01 6.964815e-01
5.668791e-01 6.966143e-01
5.692686e-01 6.967130e-01
5.716580e-01 6.967782e-01
5.740277e-01 6.968431e-01
5.763973e-01 6.969073e-01
5.787471e-01 6.969711e-01
5.810970e-01 6.970343e-01
5.857571e-01 6.971279e-01
5.903776e-01 6.972503e-01
5.949587e-01 6.973697e-01
5.995005e-01 6.974858e-01
6.040029e-01 6.975984e-01
6.084661e-01 6.977073e-01
6.128901e-01 6.978123e-01
6.172751e-01 6.979135e-01
6.216211e-01 6.980107e-01
6.259284e-01 6.981040e-01
6.301969e-01 6.981935e-01
6.344268e-01 6.982791e-01
6.386183e-01 6.983610e-01
6.427715e-01 6.984393e-01
6.468864e-01 6.985140e-01
6.509634e-01 6.985854e-01
6.550025e-01 6.986534e-01
6.629676e-01 6.987496e-01
6.707831e-01 6.988676e-01
6.746168e-01 6.989488e-01
6.784504e-01 6.989998e-01
6.822107e-01 6.990483e-01
6.859710e-01 6.990945e-01
6.933462e-01 6.991598e-01
7.005778e-01 6.992396e-01
7.041224e-01 6.992944e-01
7.076671e-01 6.993288e-01
7.146160e-01 6.993773e-01
7.214261e-01 6.994366e-01
7.280990e-01 6.994903e-01
7.346367e-01 6.995389e-01
7.410407e-01 6.995829e-01
7.473130e-01 6.996228e-01
7.534554e-01 6.996588e-01
7.594697e-01 6.996914e-01
7.653577e-01 6.997210e-01
7.711215e-01 6.997477e-01
7.767627e-01 6.997719e-01
7.822835e-01 6.997938e-01
7.876855e-01 6.998136e-01
7.929708e-01 6.998315e-01
7.981413e-01 6.998477e-01
8.031988e-01 6.998623e-01
8.081453e-01 6.998756e-01
8.129827e-01 6.998876e-01
8.177128e-01 6.998984e-01
8.223376e-01 6.999082e-01
8.268588e-01 6.999171e-01
8.312785e-01 6.999251e-01
8.355983e-01 6.999324e-01
8.398202e-01 6.999389e-01
8.439460e-01 6.999448e-01
8.479775e-01 6.999502e-01
8.519164e-01 6.999550e-01
8.557645e-01 6.999594e-01
8.595236e-01 6.999634e-01
8.631955e-01 6.999669e-01
8.667817e-01 6.999701e-01
8.702840e-01 6.999731e-01
8.737040e-01 6.999757e-01
8.770435e-01 6.999781e-01
8.794961e-01 6.999800e-01
8.834870e-01 6.999819e-01
8.865942e-01 6.999839e-01
8.896271e-01 6.999855e-01
8.925873e-01 6.999869e-01
8.954761e-01 6.999882e-01
8.982952e-01 6.999894e-01
9.010460e-01 6.999904e-01
9.037298e-01 6.999914e-01
9.063481e-01 6.999922e-01
9.089023e-01 6.999930e-01
9.113937e-01 6.999937e-01
9.138236e-01 6.999943e-01
9.161934e-01 6.999949e-01
9.185042e-01 6.999954e-01
9.207575e-01 6.999959e-01
9.229544e-01 6.999963e-01
9.250961e-01 6.999966e-01
9.271839e-01 6.999970e-01
9.292188e-01 6.999973e-01
9.312021e-01 6.999976e-01
9.331348e-01 6.999978e-01
9.350181e-01 6.999980e-01
9.368531e-01 6.999982e-01
9.386408e-01 6.999984e-01
9.403822e-01 6.999986e-01
9.420785e-01 6.999987e-01
9.437305e-01 6.999989e-01
9.453393e-01 6.999990e-01
9.469060e-01 6.999991e-01
9.484313e-01 6.999992e-01
9.499163e-01 6.999993e-01
9.517172e-01 6.999993e-01
9.537995e-01 6.999994e-01
9.551413e-01 6.999995e-01
9.564469e-01 6.999996e-01
9.577174e-01 6.999996e-01
9.589534e-01 6.999997e-01
9.601558e-01 6.999997e-01
9.613253e-01 6.999997e-01
9.624629e-01 6.999998e-01
9.635692e-01 6.999998e-01
9.646450e-01 6.999998e-01
9.656911e-01 6.999998e-01
9.667081e-01 6.999998e-01
