Mr  xH
7.813022e-08 2.213573e-01
1.562604e-07 2.213801e-01
3.125209e-07 2.214072e-01
6.250417e-07 2.214502e-01
1.250083e-06 2.215185e-01
2.500167e-06 2.216268e-01
5.000334e-06 2.217989e-01
1.000067e-05 2.220719e-01
1.719914e-05 2.224242e-01
2.439761e-05 2.227712e-01
3.879455e-05 2.232341e-01
6.758843e-05 2.240268e-01
1.251762e-04 2.253427e-01
2.403517e-04 2.274809e-01
4.707027e-04 2.309049e-01
8.530151e-04 2.357360e-01
1.715487e-03 2.437045e-01
3.314756e-03 2.560087e-01
5.944316e-03 2.725927e-01
9.186666e-03 2.909904e-01
1.533109e-02 3.155531e-01
1.823316e-02 3.346007e-01
2.441587e-02 3.521509e-01
3.121241e-02 3.739421e-01
3.596374e-02 3.910494e-01
4.338744e-02 4.076684e-01
4.853971e-02 4.231459e-01
5.653544e-02 4.382019e-01
6.477154e-02 4.551183e-01
7.327260e-02 4.710418e-01
7.904963e-02 4.835312e-01
8.491254e-02 4.931363e-01
9.085434e-02 5.023614e-01
9.686856e-02 5.112513e-01
1.029491e-01 5.197776e-01
1.090904e-01 5.279275e-01
1.152870e-01 5.357439e-01
1.215341e-01 5.432378e-01
1.278269e-01 5.504199e-01
1.341610e-01 5.573006e-01
1.405323e-01 5.638902e-01
1.469368e-01 5.701985e-01
1.501469e-01 5.747325e-01
1.565948e-01 5.791519e-01
1.630670e-01 5.847999e-01
1.695603e-01 5.902000e-01
1.760715e-01 5.953613e-01
1.825978e-01 6.002927e-01
1.891364e-01 6.050032e-01
1.956845e-01 6.095018e-01
1.989621e-01 6.127331e-01
2.055197e-01 6.158720e-01
2.087997e-01 6.188869e-01
2.153620e-01 6.218150e-01
2.219246e-01 6.255548e-01
2.284853e-01 6.291260e-01
2.350423e-01 6.325363e-01
2.383179e-01 6.349865e-01
2.448653e-01 6.373635e-01
2.514044e-01 6.403990e-01
2.546716e-01 6.425793e-01
2.611951e-01 6.446920e-01
2.677063e-01 6.473872e-01
2.709549e-01 6.493206e-01
2.774443e-01 6.511918e-01
2.806853e-01 6.529894e-01
2.871503e-01 6.547280e-01
2.935974e-01 6.569431e-01
2.968113e-01 6.585303e-01
3.032288e-01 6.600640e-01
3.096253e-01 6.620184e-01
3.128182e-01 6.634191e-01
3.191812e-01 6.647718e-01
3.255205e-01 6.664941e-01
3.286779e-01 6.677276e-01
3.349797e-01 6.689181e-01
3.412554e-01 6.704349e-01
3.443867e-01 6.715219e-01
3.506218e-01 6.725707e-01
3.568288e-01 6.739057e-01
3.599178e-01 6.748615e-01
3.660809e-01 6.757834e-01
3.722140e-01 6.769578e-01
3.752730e-01 6.777994e-01
3.813599e-01 6.786107e-01
3.874151e-01 6.796433e-01
3.934380e-01 6.806238e-01
3.994281e-01 6.815545e-01
4.053849e-01 6.824386e-01
4.113077e-01 6.832775e-01
4.171962e-01 6.840734e-01
4.230499e-01 6.848291e-01
4.288683e-01 6.855458e-01
4.346511e-01 6.862253e-01
4.403979e-01 6.868702e-01
4.461083e-01 6.874811e-01
4.517819e-01 6.880600e-01
4.546003e-01 6.884739e-01
4.602183e-01 6.888713e-01
4.657988e-01 6.893765e-01
4.685797e-01 6.897378e-01
4.741037e-01 6.900844e-01
4.795895e-01 6.905239e-01
4.850371e-01 6.909392e-01
4.904462e-01 6.913308e-01
4.958167e-01 6.917010e-01
5.011483e-01 6.920494e-01
5.037947e-01 6.922972e-01
5.090678e-01 6.925337e-01
5.116946e-01 6.927602e-01
5.169089e-01 6.929761e-01
5.220839e-01 6.932486e-01
5.272195e-01 6.935040e-01
5.323157e-01 6.937445e-01
5.348440e-01 6.939154e-01
5.373722e-01 6.940251e-01
5.423892e-01 6.941837e-01
5.473666e-01 6.943853e-01
5.498354e-01 6.945298e-01
5.547532e-01 6.946690e-01
5.572022e-01 6.948048e-01
5.620605e-01 6.949365e-01
5.668791e-01 6.951076e-01
5.692686e-01 6.952332e-01
5.716580e-01 6.953159e-01
5.740277e-01 6.953980e-01
5.763973e-01 6.954794e-01
5.787471e-01 6.955604e-01
5.810970e-01 6.956409e-01
