#
# Uniform-density and polytropic Sun models
# source: Ryden calculation
#
# units:
#  R/Rsun - dimensionless
#  uniRho - density in g/cm^3, uniform-density model
#  uniP - pressure in atm, uniform-density model
#  uniT - temperature in K, uniform-density model
#  polyRho - density in g/cm^3, polytropic model
#  polyP - pressure in atm, polytropic model
#  polyT - temperature in K, polytropic model
# 
R/Rsun        uniRho      uniP         uniT          polyRho     polyP        polyT
0.45319       1.4098      0.10489E+10  0.55623E+07   2.9168      0.18766E+10  0.48486E+07
0.48091       1.4098      0.10147E+10  0.53811E+07   2.1602      0.12574E+10  0.43868E+07
0.50811       1.4098      0.97921E+09  0.51928E+07   1.5999      0.84254E+09  0.39689E+07
0.53475       1.4098      0.94253E+09  0.49983E+07   1.1848      0.56454E+09  0.35908E+07
0.56082       1.4098      0.90483E+09  0.47983E+07  0.87744      0.37824E+09  0.32488E+07
0.58627       1.4098      0.86630E+09  0.45940E+07  0.64977      0.25342E+09  0.29392E+07
0.61104       1.4098      0.82715E+09  0.43864E+07  0.48116      0.16977E+09  0.26591E+07
0.63509       1.4098      0.78759E+09  0.41766E+07  0.35628      0.11373E+09  0.24057E+07
0.65836       1.4098      0.74787E+09  0.39660E+07  0.26380      0.76183E+08  0.21764E+07
0.68080       1.4098      0.70820E+09  0.37556E+07  0.19532      0.51028E+08  0.19689E+07
0.70237       1.4098      0.66882E+09  0.35468E+07  0.14461      0.34177E+08  0.17812E+07
0.72302       1.4098      0.62995E+09  0.33406E+07  0.10705      0.22889E+08  0.16113E+07
0.74274       1.4098      0.59180E+09  0.31383E+07  0.79250E-01  0.15328E+08  0.14576E+07
0.76150       1.4098      0.55456E+09  0.29409E+07  0.58664E-01  0.10264E+08  0.13186E+07
0.77928       1.4098      0.51840E+09  0.27491E+07  0.43423E-01  0.68725E+07  0.11928E+07
0.79607       1.4098      0.48347E+09  0.25639E+07  0.32141E-01  0.46014E+07  0.10789E+07
0.81190       1.4098      0.44989E+09  0.23858E+07  0.23788E-01  0.30806E+07  0.97596E+06
0.82676       1.4098      0.41775E+09  0.22153E+07  0.17606E-01  0.20623E+07  0.88280E+06
0.84067       1.4098      0.38712E+09  0.20529E+07  0.13030E-01  0.13806E+07  0.79853E+06
0.85366       1.4098      0.35807E+09  0.18988E+07  0.96424E-02  0.92413E+06  0.72228E+06
0.86576       1.4098      0.33060E+09  0.17532E+07  0.71355E-02  0.61857E+06  0.65331E+06
