#
# Oxygen total opacity as a function of photon energy in gas of solar
# abundance with T = 2.1 × 10^6 K and ρ = 0.06 g cm^−3.
#
# Source: 
#  Dr. Franck Delahaye, LERMA - Observatoire de Paris, Meudon
#
# units:
#  E_photon - eV
#  kappa - a_o^2/atom (a_o = Bohr radius)
#
E_photon  kappa
   1.594523e+02     9.204300e-04
   1.598566e+02     9.847900e-04
   1.602591e+02     1.021100e-03
   1.606616e+02     1.042100e-03
   1.610623e+02     1.050000e-03
   1.614611e+02     1.043900e-03
   1.618599e+02     1.022400e-03
   1.622551e+02     9.861700e-04
   1.626503e+02     9.393300e-04
   1.630455e+02     1.144500e-03
   1.634389e+02     1.144100e-03
   1.638305e+02     1.171300e-03
   1.642220e+02     1.195400e-03
   1.646117e+02     1.213500e-03
   1.649997e+02     1.232400e-03
   1.653858e+02     1.292300e-03
   1.657737e+02     1.271200e-03
   1.661579e+02     1.238900e-03
   1.665422e+02     1.199300e-03
   1.669247e+02     1.155100e-03
   1.673071e+02     1.109792e-03
   1.676877e+02     1.064700e-03
   1.680665e+02     1.018000e-03
   1.684453e+02     9.772400e-04
   1.688223e+02     9.493100e-04
   1.691993e+02     9.304500e-04
   1.695745e+02     9.167100e-04
   1.699478e+02     9.035250e-04
   1.703212e+02     8.903400e-04
   1.706945e+02     8.798900e-04
   1.710660e+02     8.740256e-04
   1.714357e+02     8.681900e-04
   1.718054e+02     8.580300e-04
   1.721733e+02     8.486700e-04
   1.725412e+02     8.620800e-04
   1.729073e+02     8.567400e-04
   1.732715e+02     8.523500e-04
   1.736357e+02     8.487400e-04
   1.740000e+02     8.451300e-04
   1.743624e+02     8.420823e-04
   1.747230e+02     8.390500e-04
   1.750836e+02     8.363150e-04
   1.754442e+02     8.335800e-04
   1.758030e+02     8.310085e-04
   1.761599e+02     8.284500e-04
   1.765169e+02     8.259750e-04
   1.768738e+02     8.235000e-04
   1.772289e+02     8.210888e-04
   1.775823e+02     8.186900e-04
   1.779356e+02     8.163700e-04
   1.782889e+02     8.140500e-04
   1.786404e+02     8.117841e-04
   1.789900e+02     8.095300e-04
   1.793415e+02     8.072783e-04
   1.796894e+02     8.050500e-04
   1.800372e+02     8.027400e-04
   1.803851e+02     8.004300e-04
   1.807311e+02     7.979600e-04
   1.810771e+02     7.954900e-04
   1.814213e+02     7.928000e-04
   1.817655e+02     7.901100e-04
   1.821097e+02     7.871840e-04
   1.824466e+02     7.843200e-04
   1.827927e+02     7.812800e-04
   1.831387e+02     7.782400e-04
   1.834665e+02     7.751654e-04
   1.838125e+02     7.719200e-04
   1.841586e+02     7.684949e-04
   1.844864e+02     7.652500e-04
   1.848324e+02     7.616451e-04
   1.851602e+02     7.582300e-04
   1.855062e+02     7.545122e-04
   1.858341e+02     7.509900e-04
   1.861619e+02     7.474241e-04
   1.865079e+02     7.436600e-04
   1.868357e+02     7.400300e-04
   1.871635e+02     7.364000e-04
   1.874913e+02     7.328400e-04
   1.878192e+02     7.292800e-04
   1.881470e+02     7.257900e-04
   1.884748e+02     7.223000e-04
   1.888026e+02     7.188650e-04
   1.891304e+02     7.154300e-04
   1.894582e+02     7.120500e-04
   1.897860e+02     7.086700e-04
   1.901138e+02     7.053300e-04
   1.904417e+02     7.019900e-04
   1.907695e+02     6.985957e-04
   1.910791e+02     6.953900e-04
   1.914069e+02     6.921300e-04
   1.917347e+02     6.888700e-04
   1.920443e+02     6.857323e-04
   1.923721e+02     6.824100e-04
   1.926999e+02     6.791443e-04
   1.930095e+02     6.760600e-04
   1.933374e+02     6.728509e-04
   1.936470e+02     6.698200e-04
   1.939566e+02     6.668231e-04
   1.942844e+02     6.636500e-04
   1.945940e+02     6.606050e-04
   1.949036e+02     6.575600e-04
   1.952314e+02     6.544589e-04
   1.955410e+02     6.515300e-04
   1.958506e+02     6.485500e-04
   1.961602e+02     6.455700e-04
   1.964698e+02     6.426200e-04
   1.967794e+02     6.400700e-04
   1.971072e+02     6.370306e-04
   1.974168e+02     6.341600e-04
   1.977264e+02     6.312500e-04
   1.980360e+02     6.283400e-04
   1.983274e+02     6.255667e-04
   1.986370e+02     6.226200e-04
   1.989466e+02     6.198050e-04
   1.992562e+02     6.169900e-04
   1.995658e+02     6.142200e-04
   1.998754e+02     6.114500e-04
   2.001668e+02     6.088076e-04
   2.004764e+02     6.060000e-04
   2.007860e+02     6.032645e-04
   2.010774e+02     6.006900e-04
   2.013870e+02     5.980061e-04
   2.016784e+02     5.954800e-04
   2.019880e+02     5.929200e-04
   2.022976e+02     5.903600e-04
   2.025890e+02     5.878300e-04
   2.028804e+02     5.853000e-04
   2.031900e+02     5.827397e-04
   2.034814e+02     5.803300e-04
   2.037910e+02     5.777852e-04
   2.040824e+02     5.753900e-04
   2.043738e+02     5.730288e-04
   2.046834e+02     5.705200e-04
   2.049747e+02     5.681200e-04
   2.052661e+02     5.657200e-04
   2.055575e+02     5.633550e-04
   2.058489e+02     5.609900e-04
   2.061403e+02     5.587258e-04
   2.064499e+02     5.563200e-04
   2.067413e+02     5.540200e-04
   2.070327e+02     5.517200e-04
   2.073241e+02     5.494550e-04
   2.076155e+02     5.471900e-04
   2.079069e+02     5.449550e-04
   2.081982e+02     5.427200e-04
   2.084714e+02     5.405910e-04
   2.087628e+02     5.383200e-04
   2.090542e+02     5.361700e-04
   2.093456e+02     5.340200e-04
   2.096370e+02     5.319000e-04
   2.099284e+02     5.297800e-04
   2.102016e+02     5.277623e-04
   2.104929e+02     5.256100e-04
   2.107843e+02     5.234784e-04
   2.110575e+02     5.214800e-04
   2.113489e+02     5.194500e-04
   2.116403e+02     5.174200e-04
   2.119135e+02     5.154748e-04
   2.122049e+02     5.134000e-04
   2.124780e+02     5.114839e-04
   2.127694e+02     5.094400e-04
   2.130426e+02     5.075529e-04
   2.133340e+02     5.055400e-04
   2.136072e+02     5.036200e-04
   2.138804e+02     5.017000e-04
   2.141717e+02     4.997387e-04
   2.144449e+02     4.979000e-04
   2.147363e+02     4.959645e-04
   2.150095e+02     4.941500e-04
   2.152827e+02     4.923000e-04
   2.155558e+02     4.904500e-04
   2.158472e+02     4.885610e-04
   2.161204e+02     4.867900e-04
   2.163936e+02     4.849850e-04
   2.166668e+02     4.831800e-04
   2.169400e+02     4.814050e-04
   2.172131e+02     4.796300e-04
   2.174863e+02     4.778800e-04
   2.177595e+02     4.761300e-04
   2.180509e+02     4.743545e-04
   2.183241e+02     4.726900e-04
   2.185972e+02     4.709366e-04
   2.188522e+02     4.693000e-04
   2.191254e+02     4.676200e-04
   2.193986e+02     4.659400e-04
   2.196717e+02     4.642800e-04
   2.199449e+02     4.626200e-04
   2.202181e+02     4.609850e-04
   2.204913e+02     4.593500e-04
   2.207644e+02     4.576741e-04
   2.210194e+02     4.561100e-04
   2.212926e+02     4.545100e-04
   2.215658e+02     4.529100e-04
   2.218389e+02     4.512755e-04
   2.220939e+02     4.497500e-04
   2.223671e+02     4.481850e-04
   2.226403e+02     4.466200e-04
   2.228952e+02     4.451283e-04
   2.231684e+02     4.435300e-04
   2.234234e+02     4.420528e-04
   2.236966e+02     4.404700e-04
   2.239515e+02     4.390121e-04
   2.242247e+02     4.374500e-04
   2.244797e+02     4.360066e-04
   2.247528e+02     4.344600e-04
   2.250078e+02     4.330407e-04
   2.252810e+02     4.315200e-04
   2.255360e+02     4.301152e-04
   2.258091e+02     4.286100e-04
   2.260641e+02     4.271800e-04
   2.263191e+02     4.257500e-04
   2.265923e+02     4.242966e-04
   2.268472e+02     4.229400e-04
   2.271022e+02     4.215979e-04
   2.273754e+02     4.201600e-04
   2.276303e+02     4.187850e-04
   2.278853e+02     4.174100e-04
   2.281403e+02     4.160550e-04
   2.283952e+02     4.147000e-04
   2.286684e+02     4.133086e-04
   2.289234e+02     4.120100e-04
   2.291783e+02     4.106850e-04
   2.294333e+02     4.093600e-04
   2.296883e+02     4.080450e-04
   2.299432e+02     4.067300e-04
   2.301982e+02     4.054300e-04
   2.304532e+02     4.041300e-04
   2.307081e+02     4.028400e-04
   2.309631e+02     4.015500e-04
   2.312181e+02     4.002800e-04
   2.314730e+02     3.990100e-04
   2.317280e+02     3.977350e-04
   2.319830e+02     3.964600e-04
   2.322379e+02     3.952050e-04
   2.324929e+02     3.939500e-04
   2.327479e+02     3.926641e-04
   2.329846e+02     3.914700e-04
   2.332396e+02     3.902400e-04
   2.334946e+02     3.890100e-04
   2.337495e+02     3.878000e-04
   2.340045e+02     3.865900e-04
   2.342412e+02     3.854344e-04
   2.344962e+02     3.841900e-04
   2.347512e+02     3.829559e-04
   2.349879e+02     3.818100e-04
   2.352429e+02     3.806400e-04
   2.354979e+02     3.794700e-04
   2.357346e+02     3.783578e-04
   2.359896e+02     3.771600e-04
   2.362445e+02     3.759778e-04
   2.364813e+02     3.748800e-04
   2.367363e+02     3.737133e-04
   2.369730e+02     3.726300e-04
   2.372280e+02     3.714685e-04
   2.374647e+02     3.703900e-04
   2.377197e+02     3.692441e-04
   2.379565e+02     3.681800e-04
   2.382114e+02     3.670496e-04
   2.384482e+02     3.660000e-04
   2.387032e+02     3.648748e-04
   2.389399e+02     3.638300e-04
   2.391949e+02     3.627256e-04
   2.394316e+02     3.617000e-04
   2.396684e+02     3.606793e-04
   2.399233e+02     3.595800e-04
   2.401601e+02     3.585350e-04
   2.403969e+02     3.574900e-04
   2.406518e+02     3.564115e-04
   2.408886e+02     3.554100e-04
   2.411253e+02     3.543800e-04
   2.413621e+02     3.533500e-04
   2.416171e+02     3.522922e-04
   2.418538e+02     3.513100e-04
   2.420906e+02     3.503000e-04
   2.423273e+02     3.492900e-04
   2.425641e+02     3.482950e-04
   2.428008e+02     3.473000e-04
   2.430558e+02     3.462733e-04
   2.432925e+02     3.453200e-04
   2.435293e+02     3.443450e-04
   2.437661e+02     3.433700e-04
   2.440028e+02     3.424000e-04
   2.442396e+02     3.414300e-04
   2.444763e+02     3.404700e-04
   2.447131e+02     3.395100e-04
   2.449498e+02     3.385600e-04
   2.451866e+02     3.376100e-04
   2.454233e+02     3.366800e-04
   2.456601e+02     3.357500e-04
   2.458968e+02     3.348250e-04
   2.461336e+02     3.339000e-04
   2.463704e+02     3.329800e-04
   2.466071e+02     3.320600e-04
   2.468439e+02     3.311136e-04
   2.470624e+02     3.302400e-04
   2.472992e+02     3.293400e-04
   2.475359e+02     3.284400e-04
   2.477727e+02     3.275500e-04
   2.480094e+02     3.266600e-04
   2.482462e+02     3.257396e-04
   2.484647e+02     3.248900e-04
   2.487015e+02     3.240150e-04
   2.489382e+02     3.231400e-04
   2.491750e+02     3.222352e-04
   2.493935e+02     3.214000e-04
   2.496303e+02     3.205400e-04
   2.498670e+02     3.196800e-04
   2.500856e+02     3.188592e-04
   2.503223e+02     3.179700e-04
   2.505591e+02     3.170912e-04
   2.507776e+02     3.162800e-04
   2.510144e+02     3.154450e-04
   2.512511e+02     3.146100e-04
   2.514697e+02     3.138132e-04
   2.517064e+02     3.129500e-04
   2.519250e+02     3.121580e-04
   2.521617e+02     3.113000e-04
   2.523803e+02     3.105224e-04
   2.526170e+02     3.096800e-04
   2.528356e+02     3.089072e-04
   2.530723e+02     3.080700e-04
   2.532909e+02     3.073068e-04
   2.535276e+02     3.064800e-04
   2.537462e+02     3.057216e-04
   2.539829e+02     3.049000e-04
   2.542015e+02     3.041464e-04
   2.544382e+02     3.033300e-04
   2.546568e+02     3.025550e-04
   2.548753e+02     3.017800e-04
   2.551121e+02     3.009896e-04
   2.553306e+02     3.002600e-04
   2.555674e+02     2.994696e-04
   2.557859e+02     2.987400e-04
   2.560044e+02     2.979900e-04
   2.562230e+02     2.972400e-04
   2.564597e+02     2.964600e-04
   2.566783e+02     2.957400e-04
   2.568968e+02     2.950296e-04
   2.571336e+02     2.942600e-04
   2.573521e+02     2.935250e-04
   2.575707e+02     2.927900e-04
   2.577892e+02     2.920600e-04
   2.580077e+02     2.913300e-04
   2.582445e+02     2.905812e-04
   2.584630e+02     2.898900e-04
   2.586816e+02     2.891750e-04
   2.589001e+02     2.884600e-04
   2.591187e+02     2.877500e-04
   2.593372e+02     2.870400e-04
   2.595740e+02     2.863068e-04
   2.597925e+02     2.856300e-04
   2.600111e+02     2.849300e-04
   2.602296e+02     2.842300e-04
   2.604481e+02     2.835350e-04
   2.606667e+02     2.828400e-04
   2.608852e+02     2.821500e-04
   2.611038e+02     2.814600e-04
   2.613223e+02     2.807800e-04
   2.615409e+02     2.801000e-04
   2.617594e+02     2.794250e-04
   2.619779e+02     2.787500e-04
   2.621965e+02     2.780800e-04
   2.624150e+02     2.774100e-04
   2.626336e+02     2.767450e-04
   2.628521e+02     2.760800e-04
   2.630707e+02     2.754200e-04
   2.632892e+02     2.747600e-04
   2.634895e+02     2.741335e-04
   2.637081e+02     2.734500e-04
   2.639266e+02     2.728000e-04
   2.641452e+02     2.721500e-04
   2.643637e+02     2.715050e-04
   2.645822e+02     2.708600e-04
   2.648008e+02     2.701922e-04
   2.650011e+02     2.695800e-04
   2.652197e+02     2.689500e-04
   2.654382e+02     2.683200e-04
   2.656567e+02     2.676678e-04
   2.658571e+02     2.670700e-04
   2.660756e+02     2.664550e-04
   2.662942e+02     2.658400e-04
   2.665127e+02     2.651983e-04
   2.667130e+02     2.646100e-04
   2.669316e+02     2.640050e-04
   2.671501e+02     2.634000e-04
   2.673687e+02     2.627687e-04
   2.675690e+02     2.621900e-04
   2.677875e+02     2.615639e-04
   2.679879e+02     2.609900e-04
   2.682064e+02     2.604000e-04
   2.684249e+02     2.598100e-04
   2.686253e+02     2.592457e-04
   2.688438e+02     2.586300e-04
   2.690624e+02     2.580196e-04
   2.692627e+02     2.574600e-04
   2.694812e+02     2.568548e-04
   2.696816e+02     2.563000e-04
   2.699001e+02     2.557000e-04
   2.701004e+02     2.551500e-04
   2.703190e+02     2.545552e-04
   2.705193e+02     2.540100e-04
   2.707379e+02     2.534152e-04
   2.709382e+02     2.528700e-04
   2.711567e+02     2.522857e-04
   2.713571e+02     2.517500e-04
   2.715756e+02     2.511657e-04
   2.717759e+02     2.506300e-04
   2.719945e+02     2.500509e-04
   2.721948e+02     2.495200e-04
   2.724133e+02     2.489461e-04
   2.726137e+02     2.484200e-04
   2.728140e+02     2.478987e-04
   2.730326e+02     2.473300e-04
   2.732329e+02     2.468135e-04
   2.734514e+02     2.462500e-04
   2.736518e+02     2.457100e-04
   2.738521e+02     2.451700e-04
   2.740706e+02     2.446117e-04
   2.742710e+02     2.441000e-04
   2.744713e+02     2.435930e-04
   2.746898e+02     2.430400e-04
   2.748902e+02     2.425100e-04
   2.750905e+02     2.419800e-04
   2.752908e+02     2.414826e-04
   2.755094e+02     2.409400e-04
   2.757097e+02     2.404250e-04
   2.759100e+02     2.399100e-04
   2.761104e+02     2.394222e-04
   2.763289e+02     2.388900e-04
   2.765292e+02     2.383850e-04
   2.767296e+02     2.378800e-04
   2.769299e+02     2.373750e-04
   2.771302e+02     2.368700e-04
   2.773488e+02     2.363483e-04
   2.775491e+02     2.358700e-04
   2.777494e+02     2.353750e-04
   2.779498e+02     2.348800e-04
   2.781501e+02     2.343850e-04
   2.783504e+02     2.338900e-04
   2.785690e+02     2.333787e-04
   2.787693e+02     2.329100e-04
   2.789696e+02     2.324200e-04
   2.791700e+02     2.319300e-04
   2.793703e+02     2.314450e-04
   2.795706e+02     2.309600e-04
   2.797709e+02     2.304800e-04
   2.799713e+02     2.300000e-04
   2.801716e+02     2.295200e-04
   2.803719e+02     2.290400e-04
   2.805723e+02     2.285700e-04
   2.807726e+02     2.281000e-04
   2.809729e+02     2.276250e-04
   2.811733e+02     2.271500e-04
   2.813736e+02     2.266850e-04
   2.815739e+02     2.262200e-04
   2.817743e+02     2.257550e-04
   2.819746e+02     2.252900e-04
   2.821749e+02     2.248350e-04
   2.823752e+02     2.243800e-04
   2.825756e+02     2.239250e-04
   2.827759e+02     2.234700e-04
   2.829762e+02     2.230150e-04
   2.831766e+02     2.225600e-04
   2.833769e+02     2.220938e-04
   2.835590e+02     2.216700e-04
   2.837594e+02     2.212200e-04
   2.839597e+02     2.207700e-04
   2.841600e+02     2.203300e-04
   2.843603e+02     2.198900e-04
