G,BP-RP,MG
20.0589,0.1551,5.4639
15.2714,0.1551,0.6764
20.5734,0.1567,5.9784
15.5633,0.1573,0.9683
15.1153,0.1583,0.5203
15.394,0.1585,0.799
19.3949,0.1591,4.7999
19.5273,0.1597,4.9323
17.3508,0.1614,2.7558
17.3901,0.1614,2.7951
15.8229,0.1615,1.2279
20.8382,0.1623,6.2432
15.262,0.1623,0.667
15.3372,0.1627,0.7422
15.2899,0.1633,0.6949
16.0549,0.164,1.4599
15.3079,0.1641,0.7129
20.1659,0.1657,5.5709
20.1893,0.166,5.5943
20.8079,0.1691,6.2129
20.0319,0.1694,5.4369
15.2605,0.1725,0.6655
20.5694,0.1735,5.9744
15.5373,0.1747,0.9423
15.2572,0.1753,0.6622
15.2964,0.1767,0.7014
15.2428,0.177,0.6478
20.6314,0.1781,6.0364
15.2771,0.1798,0.6821
15.3767,0.182,0.7817
15.2503,0.1832,0.6553
15.3313,0.1832,0.7363
16.7414,0.1837,2.1464
19.973,0.1846,5.378
18.8674,0.1862,4.2724
15.6665,0.1914,1.0715
15.1675,0.192,0.5725
15.2456,0.1921,0.6506
20.342,0.1931,5.747
20.323,0.1931,5.728
15.3553,0.1931,0.7603
19.4923,0.1973,4.8973
15.579,0.1975,0.984
14.9897,0.2018,0.3947
15.7669,0.2027,1.1719
15.2729,0.2027,0.6779
15.2654,0.2058,0.6704
20.0291,0.2075,5.4341
20.3288,0.2079,5.7338
15.3487,0.2081,0.7537
20.0225,0.2082,5.4275
15.4964,0.2093,0.9014
16.1866,0.2121,1.5916
20.8601,0.2133,6.2651
15.245,0.214,0.65
15.3092,0.2141,0.7142
18.8781,0.2149,4.2831
19.763,0.2168,5.168
19.5979,0.2177,5.0029
19.9587,0.2187,5.3637
15.5752,0.22,0.9802
20.4529,0.2201,5.8579
15.2374,0.2205,0.6424
19.7884,0.221,5.1934
15.3175,0.2215,0.7225
19.0168,0.2219,4.4218
20.2149,0.2249,5.6199
19.2204,0.2251,4.6254
15.5766,0.2266,0.9816
15.7169,0.2305,1.1219
19.5159,0.2336,4.9209
15.2473,0.2342,0.6523
16.1554,0.2354,1.5604
20.2248,0.2363,5.6298
15.2268,0.2373,0.6318
20.2808,0.2396,5.6858
19.6331,0.2405,5.0381
17.1362,0.2411,2.5412
20.6025,0.2412,6.0075
20.5278,0.2415,5.9328
19.7449,0.2422,5.1499
20.539,0.2434,5.944
19.8245,0.2434,5.2295
20.0937,0.2442,5.4987
16.1713,0.2473,1.5763
