#
# Zero-Age Main Sequence
#
# MIST Model Grid: MIST_v1.0_feh_p0.00_afe_p0.0_vvcrit0.4_EEPS
#
#Units:
#  Minit - initial mass in Msun
#  zamsT - ZAMS effective temperature in K
#  zamsL - ZAMS luminosity in Lsun
  Minit Teff         Lsun
  8.00  2.358251e+04  3.092099e+03
  9.00  2.508857e+04  4.551451e+03
 10.00  2.650424e+04  6.415567e+03
 11.00  2.776126e+04  8.603482e+03
 12.00  2.891955e+04  1.115533e+04
 13.00  2.998668e+04  1.401891e+04
 14.00  3.099326e+04  1.737970e+04
 15.00  3.193452e+04  2.104915e+04
 16.00  3.282938e+04  2.538358e+04
 17.00  3.364981e+04  2.993570e+04
 18.00  3.442285e+04  3.484023e+04
 19.00  3.516904e+04  4.058962e+04
 20.00  3.586536e+04  4.593056e+04
 22.00  3.714430e+04  5.912794e+04
 24.00  3.830123e+04  7.330452e+04
 26.00  3.934366e+04  8.953963e+04
 28.00  3.949753e+04  9.853808e+04
 30.00  4.041677e+04  1.162511e+05
 32.00  4.126308e+04  1.352345e+05
 34.00  4.204694e+04  1.554791e+05
 36.00  4.277606e+04  1.769635e+05
 38.00  4.345406e+04  1.995199e+05
 40.00  4.469123e+04  2.355293e+05
 45.00  4.604639e+04  3.002391e+05
 50.00  4.724869e+04  3.696856e+05
 55.00  4.830291e+04  4.445594e+05
 60.00  4.919657e+04  5.269657e+05
 65.00  5.004465e+04  6.081040e+05
 70.00  5.078421e+04  6.959913e+05
 75.00  5.142819e+04  7.915588e+05
 80.00  5.142400e+04  8.703528e+05
 85.00  5.125750e+04  9.561345e+05
 90.00  5.166644e+04  1.054909e+06
 95.00  5.173665e+04  1.149336e+06
100.00  5.199348e+04  1.249991e+06
105.00  5.215505e+04  1.352036e+06
110.00  5.246730e+04  1.459841e+06
115.00  5.303118e+04  1.573720e+06
120.00  5.321086e+04  1.682803e+06
125.00  5.374086e+04  1.803736e+06
130.00  5.421978e+04  1.922564e+06
135.00  5.471895e+04  2.045565e+06
140.00  5.518125e+04  2.170761e+06
145.00  5.557657e+04  2.297248e+06
150.00  5.596632e+04  2.423840e+06
175.00  5.704154e+04  3.055768e+06
200.00  5.772341e+04  3.707099e+06
225.00  5.812251e+04  4.371149e+06
250.00  5.851202e+04  5.056041e+06
275.00  5.881006e+04  5.753059e+06
300.00  5.907764e+04  6.464361e+06
