logT_1_zahb,logrho_1_zahb,logT_3_zahb,logrho_3_zahb,logT_10_zahb,logrho_10_zahb,logT_30_zahb,logrho_30_zahb,logT_1_heignite,logrho_1_heignite,logT_3_heignite,logrho_3_heignite,M_zams,logT_zams,logrho_zams,M_zahb,logT_zahb,logrho_zahb
6.227815856,-2.192408367,5.909782587,-2.726813924,5.825963934,-4.606622496,5.517399101,-6.712217021,6.153232578,-3.604101806,5.805675993,-3.159683,,,,,,
6.232483453,-2.180455314,5.915309478,-2.718318131,5.833217284,-4.585925696,5.520524812,-6.703171816,6.16094123,-3.586876884,5.809601596,-3.153583123,,,,,,
6.236617048,-2.169732863,5.920850477,-2.709699956,5.839957583,-4.565953025,5.523669649,-6.694059145,6.166154582,-3.575363037,5.812557244,-3.148975302,,,,,,
6.240200645,-2.16039061,5.924557374,-2.70396385,5.844891598,-4.551400123,5.527334686,-6.683540458,6.174088959,-3.558040372,5.814532186,-3.145904983,,,,,,
6.245594922,-2.146334332,5.929201955,-2.696794841,5.850617849,-4.534376263,5.531508347,-6.670823454,6.182365751,-3.539398503,5.817501363,-3.141302026,,,,,,
6.252891053,-2.12692321,5.933861136,-2.689558922,5.856996865,-4.515194158,5.537683468,-6.650524121,6.187968691,-3.526939374,5.821476615,-3.135118737,,,,,,
6.258450885,-2.111846081,5.938539991,-2.682330566,5.862345063,-4.498867566,5.543790463,-6.624844189,6.193677892,-3.51422166,5.826473556,-3.12736682,,,,,,
6.262176734,-2.101772523,5.943226165,-2.675046436,5.866483433,-4.486277966,5.547830199,-6.607503299,6.199497314,-3.501235488,5.831497135,-3.119521701,,,,,,
6.267839624,-2.086509977,5.94699195,-2.669207478,5.871749844,-4.470287984,5.551852051,-6.589387499,6.205431146,-3.48797045,5.834522666,-3.114795014,,,,,,
6.273643878,-2.070456165,5.951720403,-2.661894304,5.876681124,-4.45501598,5.555859737,-6.570622303,6.211483817,-3.474415543,5.837559988,-3.110077951,,,,,,
6.277538386,-2.0597349,5.956458445,-2.654520904,5.880034588,-4.444709064,5.561839339,-6.54264465,6.217659996,-3.460559108,5.841629499,-3.103735705,,,,,,
6.281467782,-2.048877002,5.960263152,-2.648615107,5.884015858,-4.432488974,5.569792742,-6.502308882,6.223964615,-3.44638877,5.845719855,-3.097358178,,,,,,
6.285433643,-2.03788078,5.964079703,-2.642689175,5.888694006,-4.418053998,5.575749624,-6.47035497,6.230402885,-3.431891396,5.849831808,-3.090944054,,,,,,
6.291425427,-2.021358253,5.968868845,-2.635272293,5.893824133,-4.40222454,5.579703529,-6.449639411,6.236980313,-3.417053021,5.853966149,-3.084491946,,,,,,
6.298276328,-2.002084108,5.973671037,-2.62778907,5.899170278,-4.385645535,5.583647666,-6.428829784,6.243702724,-3.401858759,5.858123717,-3.078000389,,,,,,
6.30386676,-1.986409794,5.977531835,-2.621788601,5.903353074,-4.372605352,5.587581193,-6.407974436,6.250576287,-3.38629274,5.861260067,-3.073085336,,,,,,
6.30954096,-1.970465989,5.981406113,-2.615765581,5.906966213,-4.361429181,5.593449952,-6.377627679,6.257607545,-3.370338023,5.863357147,-3.069808489,,,,,,
6.315303114,-1.954247639,5.98529427,-2.609719401,5.91195589,-4.346020961,5.599306363,-6.345475809,6.264803436,-3.353976474,5.866512061,-3.064893144,,,,,,
6.320455297,-1.939682664,5.989196718,-2.603649422,5.918033506,-4.327145684,5.603187443,-6.324819524,6.270339202,-3.341231429,5.870744867,-3.058273574,,,,,,
6.324951856,-1.927002034,5.993113883,-2.597554976,5.923045862,-4.311459742,5.607052105,-6.304284144,6.27405049,-3.33269487,5.875004806,-3.051607791,,,,,,
6.331762324,-1.907969417,5.997046207,-2.591435356,5.925746102,-4.303023717,5.61089914,-6.283891629,6.279648444,-3.319825031,5.879293021,-3.044893846,,,,,,
6.338784108,-1.887911804,6.000994148,-2.585289824,5.926972752,-4.299206758,5.614727371,-6.263660951,6.287245753,-3.301829191,5.883610729,-3.038129672,,,,,,
6.343512912,-1.874541599,6.004958181,-2.579117601,5.927794346,-4.296656337,5.618535693,-6.243608726,6.294963125,-3.283176187,5.887959236,-3.03131307,,,,,,
6.348302289,-1.860989558,6.0089388,-2.572917873,5.928413879,-4.29473099,5.622323048,-6.223749056,6.300855757,-3.268473635,5.892339942,-3.0244417,,,,,,
6.353153029,-1.847251434,6.012936522,-2.566689783,5.928827872,-4.293445967,5.626088461,-6.204094101,6.304805534,-3.258618531,5.896754352,-3.017513076,,,,,,
6.358911664,-1.83098412,6.016951885,-2.560432433,5.929139211,-4.292479036,5.629831,-6.184653839,6.310760857,-3.243746963,5.90009247,-3.012252636,,,,,,
6.363968762,-1.816509978,6.020985453,-2.554144877,5.929347015,-4.291834049,5.633549799,-6.165436399,6.318838701,-3.222844284,5.903446081,-3.007001955,,,,,,
6.367362107,-1.806862036,6.024024225,-2.549392097,5.92950308,-4.291349513,5.637244016,-6.146447928,6.327039373,-3.201099233,5.907952072,-2.999918241,,,,,,
6.372483828,-1.792388044,6.026055242,-2.546224698,5.929607185,-4.291026398,5.640912889,-6.127693229,6.333300929,-3.183888865,5.912497996,-2.992767164,,,,,,
6.379436739,-1.77251189,6.02910953,-2.541475469,5.929685316,-4.290783862,5.644555711,-6.109175772,6.337498198,-3.172354599,5.917085957,-2.985545355,,,,,,
6.38564934,-1.754607466,6.033201361,-2.535091129,5.92973742,-4.290622149,5.648171872,-6.090898222,6.341728998,-3.160587883,5.92171823,-2.978249201,,,,,,
6.391060659,-1.739010288,6.038347919,-2.527083405,5.92977651,-4.290500814,5.652990691,-6.067049709,6.345994373,-3.148584691,5.925225717,-2.97270142,,,,,,
6.39653071,-1.723164559,6.043527416,-2.518969498,5.929802575,-4.290419918,5.658973732,-6.03723883,6.350295496,-3.136341331,5.92875179,-2.967162639,,,,,,
6.402057062,-1.707061203,6.046649018,-2.514077655,5.929822126,-4.290359234,5.664876363,-6.008126327,6.354633657,-3.123854419,5.933506082,-2.959662814,,,,,,
6.407637054,-1.690690839,6.049783668,-2.509195562,5.929835162,-4.290318776,5.670697467,-5.979707831,6.361181596,-3.105038938,5.938314212,-2.952073543,,,,,,
6.411867844,-1.678105787,6.053986834,-2.50262593,5.929844939,-4.29028843,5.676436247,-5.951974273,6.367884682,-3.084860455,5.94317943,-2.944389656,,,,,,
6.414696348,-1.669714248,6.058214775,-2.496015041,5.929851458,-4.290268199,5.682092256,-5.924913466,6.372384265,-3.071367623,5.946875946,-2.938526149,,,,,,
6.418254182,-1.659148753,6.062468444,-2.489361313,5.929856347,-4.290253024,5.687665325,-5.898510603,6.376926988,-3.057615054,5.95059499,-2.932669915,,,,,,
6.422562152,-1.646226293,6.066748851,-2.482663073,5.929859606,-4.290242908,5.691789907,-5.878848923,6.381513899,-3.043599523,5.955619033,-2.924723766,,,,,,
6.429047244,-1.626830432,6.071057072,-2.475918549,5.929862051,-4.290235321,5.694514718,-5.866137926,6.386145972,-3.029317823,5.960713971,-2.91666086,,,,,,
6.436399008,-1.604147568,6.074310188,-2.4708069,5.92986368,-4.290230262,5.698564502,-5.847624863,6.390824101,-3.014766768,5.965884604,-2.908473422,,,,,,
6.442352785,-1.585735191,6.076486276,-2.467398138,5.929864903,-4.290226469,5.703890299,-5.823093341,6.395549091,-2.999943198,5.971136202,-2.900152875,,,,,,
6.446863101,-1.571555432,6.079761482,-2.462283641,5.929865718,-4.29022394,5.71173281,-5.788319347,6.400321652,-2.984843992,5.976474574,-2.891689734,,,,,,
