M_1_zahb,L_1_zahb,M_3_zahb,L_3_zahb,M_10_zahb,L_10_zahb,M_30_zahb,L_30_zahb
0.853058255,40.59165517,2.998449891,109.5453603,9.989032759,9612.388101,27.12592324,370022.4487
0.853058255,40.59165517,2.998449891,109.5453603,9.989032759,9612.388101,27.12592324,370022.4487
0.853058255,40.59165517,2.998449891,109.5453603,9.989032759,9612.388101,27.12592324,370022.4487
0.853058255,40.59165517,2.998449891,109.5453603,9.989032759,9612.388101,27.12592324,370022.4487
0.853058255,40.59165517,2.998449891,109.5453603,9.989032758,9612.388101,27.12592324,370022.4487
0.853058255,40.59165517,2.998449891,109.5453603,9.989032758,9612.388101,27.12592324,370022.4487
0.853058255,40.59165517,2.998449891,109.5453603,9.989032758,9612.388101,27.12592323,370022.4487
0.853058255,40.59165517,2.998449891,109.5453603,9.989032757,9612.388101,27.12592322,370022.4487
0.853058255,40.59165517,2.998449891,109.5453603,9.989032756,9612.388101,27.1259232,370022.4487
0.853058255,40.59165517,2.998449891,109.5453603,9.989032755,9612.388101,27.12592315,370022.4487
0.853058255,40.59165517,2.998449891,109.5453603,9.989032753,9612.388101,27.1259231,370022.4487
0.853058255,40.59165517,2.99844989,109.5453603,9.98903275,9612.388101,27.12592296,370022.4487
0.853058255,40.59165517,2.99844989,109.5453603,9.989032745,9612.388101,27.12592275,370022.4487
0.853058255,40.59165517,2.998449888,109.5453603,9.989032735,9612.388101,27.12592224,370022.4487
0.853058255,40.59165517,2.998449887,109.5453604,9.989032716,9612.388101,27.12592112,370022.4487
0.853058255,40.59165517,2.998449884,109.5453604,9.989032691,9612.388101,27.12591861,370022.4487
0.853058254,40.59165517,2.998449878,109.5453604,9.989032665,9612.388101,27.12591664,370022.4487
0.853058254,40.59165517,2.998449863,109.5453604,9.989032629,9612.388101,27.12591179,370022.4487
0.853058253,40.59165517,2.998449855,109.5453604,9.989032588,9612.388101,27.12590581,370022.4487
0.853058252,40.59165518,2.998449847,109.5453604,9.989032514,9612.388101,27.12589824,370022.4488
0.85305825,40.59165518,2.998449831,109.5453604,9.989032439,9612.388101,27.12588513,370022.4488
0.853058249,40.59165518,2.998449821,109.5453604,9.989032324,9612.388101,27.12586333,370022.4489
0.853058245,40.59165519,2.998449811,109.5453604,9.989032132,9612.388101,27.12581971,370022.449
0.853058242,40.5916552,2.998449799,109.5453604,9.989031941,9612.388101,27.12577678,370022.4491
0.853058235,40.59165521,2.998449787,109.5453604,9.989031614,9612.388101,27.1256866,370022.4494
0.853058229,40.59165522,2.998449763,109.5453605,9.989031232,9612.388101,27.12550556,370022.4499
0.853058225,40.59165522,2.998449751,109.5453605,9.989030791,9612.388101,27.12517296,370022.4509
0.853058222,40.59165523,2.998449739,109.5453605,9.98902984,9612.388101,27.12468017,370022.4524
0.853058215,40.59165524,2.998449719,109.5453605,9.98902909,9612.388102,27.12361301,370022.4553
0.853058211,40.59165524,2.99844971,109.5453605,9.989027325,9612.388102,27.12242345,370022.4585
0.853058207,40.59165525,2.9984497,109.5453605,9.98902487,9612.388103,27.12053226,370022.4632
0.8530582,40.59165525,2.998449694,109.5453605,9.989020976,9612.388104,27.11915494,370022.4665
0.853058193,40.59165526,2.998449688,109.5453605,9.989013242,9612.388106,27.11803907,370022.4689
