#
# Active sun light curves from Cycle 23 (Aug 1996 to Dec 2008)
# Data Source: SOHO data provided by Prof. Gibor Basri, UC Berkeley
#
# columns
#  col1: time in days
#  col 2-7: flux relative to mean flux
#
# time       segment1   segment2   segment3   segment4   segment5   segment6
80.302078  -0.024694   0.406837  -0.426817  -0.040466   0.259018   0.364506
80.510422  -0.040317   0.393224  -0.378782  -0.046706   0.263286   0.466514
80.718750  -0.055146   0.402749  -0.362873  -0.066847   0.294507   0.512004
80.927078  -0.067270   0.374258  -0.357914  -0.081420   0.303328   0.528502
81.135422  -0.072622   0.348365  -0.319916  -0.081831   0.285637   0.600517
81.343750  -0.085115   0.328982  -0.327563  -0.080550   0.252450   0.618625
81.552078  -0.088477   0.298059  -0.300336  -0.089532   0.233841   0.672626
81.760422  -0.089347   0.259435  -0.233752  -0.087702   0.199342   0.709617
81.968750  -0.088519   0.197649  -0.176233  -0.066978   0.152469   0.731838
82.177078  -0.094604   0.139225  -0.129431  -0.046682   0.087678   0.722694
82.385422  -0.088680   0.079870  -0.074995  -0.055414   0.019008   0.671208
82.593750  -0.071019  -0.003976  -0.036496  -0.022447   0.002217   0.618052
82.802078  -0.072521  -0.046545  -0.014746  -0.010210  -0.045538   0.596428
83.010422  -0.048542  -0.094438  -0.002003   0.005120  -0.082707   0.574446
83.218750  -0.033724  -0.135475  -0.003004   0.017798  -0.119644   0.554371
