#
# MIST PMS Evolutionary Track
# M=0.50 Msun
# Source File: 00050M.track.eep
# Starting Age: 100 kyr
# units:
#   age - kyr
#  Teff - K
#     L - Lsun
#
   age   logTe logL
   0.100 3.594 0.476
   0.105 3.594 0.465
   0.112 3.594 0.453
   0.118 3.594 0.444
   0.124 3.594 0.435
   0.131 3.594 0.427
   0.139 3.594 0.418
   0.145 3.594 0.413
   0.154 3.594 0.406
   0.162 3.594 0.401
   0.173 3.593 0.393
   0.183 3.593 0.387
   0.196 3.593 0.379
   0.205 3.593 0.374
   0.215 3.593 0.367
   0.229 3.593 0.358
   0.245 3.593 0.347
   0.254 3.593 0.339
   0.272 3.592 0.323
   0.285 3.592 0.312
   0.301 3.592 0.294
   0.315 3.591 0.277
   0.329 3.591 0.261
   0.345 3.591 0.239
   0.361 3.590 0.218
   0.378 3.590 0.197
   0.395 3.589 0.177
   0.415 3.589 0.155
   0.434 3.588 0.135
   0.456 3.587 0.114
   0.477 3.587 0.095
   0.501 3.586 0.074
   0.527 3.586 0.053
   0.554 3.585 0.033
   0.578 3.585 0.016
   0.607 3.584 -0.004
   0.641 3.583 -0.025
   0.669 3.583 -0.042
   0.705 3.582 -0.061
   0.737 3.582 -0.078
   0.777 3.581 -0.098
   0.813 3.580 -0.115
   0.849 3.580 -0.130
   0.899 3.579 -0.151
   0.938 3.579 -0.166
   0.995 3.578 -0.187
   1.039 3.577 -0.203
   1.103 3.577 -0.223
   1.153 3.576 -0.238
   1.206 3.576 -0.254
   1.280 3.575 -0.274
   1.339 3.575 -0.289
   1.402 3.574 -0.305
   1.473 3.574 -0.321
   1.559 3.573 -0.340
   1.632 3.573 -0.355
   1.717 3.572 -0.371
   1.819 3.572 -0.390
   1.905 3.572 -0.404
   2.002 3.571 -0.420
   2.097 3.571 -0.435
   2.223 3.570 -0.453
   2.339 3.570 -0.469
   2.452 3.570 -0.484
   2.569 3.569 -0.499
   2.735 3.569 -0.518
   2.865 3.569 -0.532
   3.003 3.568 -0.547
   3.161 3.568 -0.562
   3.351 3.567 -0.580
   3.511 3.567 -0.594
   3.695 3.567 -0.610
   3.873 3.567 -0.624
   4.107 3.566 -0.642
   4.322 3.566 -0.657
   4.530 3.566 -0.671
   4.765 3.566 -0.686
   5.052 3.565 -0.703
   5.294 3.565 -0.717
   5.569 3.565 -0.732
   5.836 3.565 -0.745
   6.185 3.565 -0.762
   6.505 3.565 -0.776
   6.814 3.565 -0.790
   7.247 3.565 -0.807
   7.590 3.564 -0.820
   7.948 3.564 -0.833
   8.452 3.564 -0.851
   8.847 3.564 -0.864
   9.404 3.564 -0.881
   9.843 3.564 -0.894
  10.342 3.564 -0.909
  10.947 3.564 -0.925
  11.502 3.564 -0.939
  12.034 3.564 -0.952
  12.733 3.564 -0.968
  13.376 3.564 -0.981
  14.154 3.564 -0.997
  14.867 3.564 -1.011
  15.557 3.564 -1.024
  16.525 3.564 -1.040
  17.287 3.564 -1.053
  18.359 3.564 -1.070
  19.206 3.564 -1.082
  20.403 3.564 -1.098
  21.352 3.564 -1.110
  22.431 3.564 -1.123
  23.741 3.564 -1.138
  24.943 3.564 -1.151
  26.499 3.565 -1.166
  27.733 3.565 -1.178
  29.147 3.565 -1.190
  30.863 3.565 -1.204
  32.443 3.565 -1.216
  34.372 3.566 -1.229
  36.145 3.566 -1.241
  37.863 3.566 -1.251
  40.304 3.567 -1.264
  42.253 3.567 -1.274
  44.493 3.567 -1.284
  47.235 3.568 -1.295
  49.583 3.568 -1.304
  52.299 3.569 -1.313
  54.964 3.569 -1.321
  58.804 3.570 -1.330
  61.931 3.571 -1.337
  65.302 3.572 -1.343
  68.949 3.572 -1.349
  72.910 3.573 -1.353
  77.273 3.574 -1.358
  80.868 3.575 -1.360
  86.115 3.576 -1.363
  90.000 3.577 -1.365
  96.548 3.578 -1.367
 101.509 3.579 -1.369
 107.080 3.580 -1.371
 113.460 3.581 -1.374
 120.955 3.581 -1.378
 130.159 3.581 -1.385
 135.718 3.581 -1.389
 142.094 3.580 -1.394
 149.411 3.580 -1.400
