#
# MIST PMS Evolutionary Track
# M=0.10 Msun
# Source File: 00010M.track.eep
# Starting Age: 100 kyr
# units:
#   age - kyr
#  Teff - K
#     L - Lsun
#
   age   logTe logL
   0.103 3.469 -0.854
   0.107 3.469 -0.858
   0.114 3.469 -0.866
   0.118 3.469 -0.871
   0.126 3.469 -0.879
   0.134 3.469 -0.888
   0.138 3.469 -0.892
   0.146 3.469 -0.901
   0.155 3.469 -0.909
   0.164 3.470 -0.918
   0.173 3.470 -0.926
   0.182 3.470 -0.935
   0.192 3.470 -0.943
   0.202 3.470 -0.951
   0.212 3.470 -0.960
   0.223 3.470 -0.968
   0.240 3.470 -0.981
   0.252 3.471 -0.989
   0.264 3.471 -0.998
   0.276 3.471 -1.006
   0.296 3.471 -1.019
   0.310 3.471 -1.027
   0.324 3.471 -1.036
   0.347 3.471 -1.048
   0.363 3.471 -1.056
   0.380 3.472 -1.064
   0.407 3.472 -1.077
   0.427 3.472 -1.085
   0.448 3.472 -1.093
   0.471 3.472 -1.100
   0.496 3.472 -1.108
   0.524 3.472 -1.116
   0.555 3.472 -1.123
   0.591 3.472 -1.130
   0.612 3.472 -1.134
   0.658 3.472 -1.141
   0.684 3.472 -1.144
   0.714 3.472 -1.148
   0.746 3.472 -1.151
   0.820 3.473 -1.158
   0.864 3.473 -1.162
   0.911 3.473 -1.165
   0.962 3.473 -1.169
   1.016 3.473 -1.173
   1.071 3.473 -1.178
   1.127 3.473 -1.182
   1.183 3.473 -1.187
   1.237 3.473 -1.192
   1.289 3.473 -1.197
   1.386 3.473 -1.207
   1.473 3.473 -1.217
   1.550 3.473 -1.227
   1.618 3.473 -1.237
   1.710 3.473 -1.251
   1.790 3.473 -1.266
   1.882 3.474 -1.285
   1.967 3.474 -1.303
   2.047 3.474 -1.321
   2.147 3.474 -1.342
   2.252 3.474 -1.363
   2.341 3.474 -1.380
   2.460 3.474 -1.401
   2.562 3.474 -1.418
   2.698 3.474 -1.439
   2.815 3.475 -1.456
   2.939 3.475 -1.473
   3.103 3.475 -1.494
   3.244 3.475 -1.511
   3.393 3.475 -1.528
   3.552 3.475 -1.545
   3.719 3.475 -1.562
   3.897 3.475 -1.579
   4.086 3.475 -1.596
   4.286 3.475 -1.612
   4.498 3.475 -1.629
   4.723 3.475 -1.646
   4.960 3.475 -1.663
   5.212 3.475 -1.679
   5.478 3.475 -1.696
   5.687 3.475 -1.709
   5.981 3.475 -1.725
   6.291 3.475 -1.742
   6.619 3.475 -1.758
   6.966 3.475 -1.774
   7.332 3.475 -1.791
   7.618 3.476 -1.803
   8.020 3.476 -1.819
   8.447 3.476 -1.835
   8.899 3.476 -1.851
   9.254 3.476 -1.863
   9.750 3.476 -1.879
  10.273 3.476 -1.895
  10.829 3.476 -1.911
  11.263 3.476 -1.923
  11.872 3.477 -1.938
  12.517 3.477 -1.954
  13.196 3.477 -1.970
  13.731 3.477 -1.982
  14.481 3.477 -1.997
  15.273 3.477 -2.013
  15.894 3.477 -2.025
  16.763 3.478 -2.040
  17.682 3.478 -2.056
  18.404 3.478 -2.067
  19.413 3.478 -2.083
  20.477 3.478 -2.098
  21.596 3.478 -2.114
  22.477 3.479 -2.125
  23.710 3.479 -2.141
  25.011 3.479 -2.156
  26.033 3.479 -2.168
  27.465 3.479 -2.183
  28.976 3.479 -2.199
  30.164 3.479 -2.210
  31.816 3.479 -2.226
  33.567 3.479 -2.241
  34.942 3.480 -2.253
  36.864 3.480 -2.269
  38.897 3.480 -2.284
  41.040 3.480 -2.300
  42.723 3.480 -2.311
  45.076 3.480 -2.327
  47.561 3.480 -2.343
  49.516 3.480 -2.354
  52.246 3.480 -2.370
  55.127 3.480 -2.386
  57.393 3.480 -2.398
  60.554 3.480 -2.414
  63.893 3.480 -2.429
  66.525 3.480 -2.441
  70.204 3.480 -2.457
  74.088 3.480 -2.474
  77.147 3.480 -2.486
  81.413 3.480 -2.501
  85.902 3.480 -2.518
  89.449 3.479 -2.534
  93.977 3.477 -2.556
  97.545 3.476 -2.571
 102.998 3.475 -2.590
 107.342 3.475 -2.605
 113.425 3.474 -2.625
 118.253 3.473 -2.639
 123.301 3.473 -2.654
 130.338 3.472 -2.674
 135.864 3.471 -2.688
 143.571 3.471 -2.707
 149.650 3.470 -2.721
 158.188 3.470 -2.740
 164.952 3.469 -2.753
 174.518 3.469 -2.771
 182.164 3.468 -2.784
 193.056 3.468 -2.802
 201.836 3.468 -2.815
 211.224 3.467 -2.828
 221.334 3.467 -2.842
 232.330 3.466 -2.856
 244.409 3.466 -2.869
 257.789 3.465 -2.883
 272.751 3.465 -2.896
 289.682 3.464 -2.910
 302.338 3.464 -2.919
 316.332 3.463 -2.928
 340.487 3.463 -2.941
 359.346 3.463 -2.949
 369.849 3.462 -2.954
 393.440 3.462 -2.962
 421.594 3.462 -2.970
 437.984 3.462 -2.974
 477.000 3.461 -2.981
 500.817 3.461 -2.985
 528.600 3.461 -2.988
 561.673 3.461 -2.991
 601.370 3.461 -2.994
 601.570 3.461 -2.994
 649.286 3.460 -2.997
 706.594 3.460 -2.999
 706.882 3.460 -2.999
 775.766 3.460 -3.000
 858.496 3.460 -3.001
 858.910 3.460 -3.001
 958.352 3.460 -3.002
 958.850 3.460 -3.002
1078.379 3.460 -3.002
1078.975 3.460 -3.002
1222.649 3.460 -3.003
1223.365 3.460 -3.003
1224.081 3.460 -3.003
1396.919 3.460 -3.003
1397.779 3.460 -3.003
1605.528 3.460 -3.003
1606.559 3.460 -3.003
