#
# MIST PMS Evolutionary Track
# M=4.00 Msun
# Source File: 00400M.track.eep
# Starting Age: 100 kyr
# units:
#   age - kyr
#  Teff - K
#     L - Lsun
#
   age   logTe logL
   0.100 3.696 1.928
   0.106 3.698 1.911
   0.112 3.699 1.897
   0.117 3.700 1.883
   0.123 3.701 1.869
   0.130 3.702 1.855
   0.136 3.703 1.841
   0.145 3.704 1.825
   0.153 3.705 1.811
   0.161 3.706 1.798
   0.170 3.707 1.786
   0.179 3.709 1.773
   0.188 3.710 1.761
   0.199 3.711 1.749
   0.210 3.712 1.739
   0.221 3.713 1.727
   0.231 3.714 1.720
   0.244 3.716 1.710
   0.258 3.717 1.700
   0.273 3.718 1.692
   0.289 3.720 1.685
   0.302 3.721 1.681
   0.320 3.723 1.676
   0.335 3.724 1.674
   0.357 3.726 1.674
   0.374 3.728 1.676
   0.398 3.731 1.683
   0.415 3.732 1.690
   0.437 3.735 1.703
   0.457 3.737 1.718
   0.479 3.740 1.739
   0.499 3.743 1.761
   0.517 3.746 1.781
   0.538 3.750 1.803
   0.558 3.753 1.824
   0.581 3.757 1.846
   0.603 3.762 1.868
   0.624 3.766 1.889
   0.644 3.771 1.910
   0.664 3.777 1.933
   0.682 3.782 1.952
   0.700 3.789 1.975
   0.715 3.795 1.993
   0.729 3.803 2.012
   0.743 3.810 2.030
   0.757 3.819 2.050
   0.768 3.826 2.066
   0.782 3.835 2.085
   0.793 3.842 2.102
   0.805 3.850 2.120
   0.816 3.858 2.137
   0.828 3.867 2.156
   0.839 3.875 2.174
   0.849 3.882 2.190
   0.861 3.891 2.209
   0.870 3.898 2.225
   0.882 3.908 2.245
   0.892 3.916 2.261
   0.902 3.924 2.278
   0.912 3.932 2.294
   0.922 3.940 2.311
   0.932 3.949 2.327
   0.942 3.957 2.343
   0.952 3.965 2.359
   0.962 3.974 2.375
   0.971 3.982 2.390
   0.981 3.991 2.405
   0.990 3.999 2.420
   1.002 4.010 2.437
   1.011 4.018 2.451
   1.020 4.026 2.463
   1.029 4.034 2.476
   1.040 4.044 2.490
   1.049 4.052 2.501
   1.060 4.062 2.514
   1.070 4.071 2.527
   1.079 4.079 2.536
   1.089 4.088 2.547
   1.099 4.097 2.557
   1.112 4.107 2.567
   1.122 4.116 2.574
   1.134 4.125 2.581
   1.147 4.134 2.584
   1.163 4.144 2.581
   1.185 4.151 2.559
   1.204 4.151 2.520
   1.214 4.133 2.460
   1.214 4.132 2.460
   1.216 4.133 2.463
   1.234 4.132 2.436
   1.258 4.128 2.394
   1.296 4.126 2.365
   1.336 4.132 2.376
   1.361 4.140 2.397
   1.381 4.148 2.419
   1.398 4.155 2.439
   1.417 4.164 2.461
   1.435 4.171 2.477
   1.465 4.180 2.489
   1.514 4.185 2.470
   1.554 4.182 2.435
   1.598 4.178 2.403
   1.672 4.175 2.382
