#
# MIST PMS Evolutionary Track
# M=1.00 Msun
# Source File: 00100M.track.eep
# Starting Age: 100 kyr
# units:
#   age - kyr
#  Teff - K
#     L - Lsun
#
   age   logTe logL
   0.106 3.645 1.040
   0.113 3.645 1.031
   0.117 3.645 1.027
   0.124 3.646 1.017
   0.131 3.646 1.008
   0.140 3.646 0.993
   0.148 3.647 0.979
   0.155 3.647 0.965
   0.161 3.647 0.951
   0.170 3.648 0.932
   0.179 3.648 0.910
   0.187 3.649 0.893
   0.196 3.649 0.875
   0.207 3.650 0.854
   0.216 3.650 0.836
   0.226 3.650 0.819
   0.237 3.650 0.801
   0.248 3.651 0.784
   0.260 3.651 0.766
   0.273 3.651 0.749
   0.287 3.651 0.731
   0.302 3.652 0.713
   0.317 3.652 0.695
   0.333 3.652 0.677
   0.351 3.652 0.659
   0.369 3.652 0.641
   0.384 3.652 0.628
   0.405 3.652 0.610
   0.427 3.652 0.592
   0.450 3.653 0.573
   0.469 3.653 0.560
   0.495 3.653 0.541
   0.522 3.653 0.523
   0.544 3.652 0.509
   0.575 3.652 0.490
   0.600 3.652 0.477
   0.634 3.652 0.458
   0.662 3.652 0.444
   0.700 3.652 0.425
   0.731 3.652 0.411
   0.774 3.652 0.392
   0.808 3.651 0.377
   0.856 3.651 0.358
   0.894 3.651 0.344
   0.948 3.651 0.324
   0.991 3.650 0.310
   1.036 3.650 0.295
   1.099 3.650 0.276
   1.149 3.649 0.261
   1.201 3.649 0.246
   1.276 3.649 0.226
   1.334 3.648 0.211
   1.396 3.648 0.196
   1.484 3.647 0.176
   1.553 3.647 0.161
   1.626 3.646 0.146
   1.703 3.646 0.131
   1.811 3.645 0.110
   1.896 3.645 0.095
   1.987 3.644 0.080
   2.082 3.644 0.064
   2.183 3.643 0.049
   2.324 3.642 0.028
   2.437 3.642 0.012
   2.556 3.641 -0.003
   2.680 3.641 -0.018
   2.812 3.640 -0.034
   2.952 3.639 -0.049
   3.098 3.639 -0.064
   3.305 3.638 -0.084
   3.471 3.638 -0.100
   3.647 3.637 -0.114
   3.831 3.637 -0.129
   4.025 3.636 -0.143
   4.230 3.636 -0.158
   4.447 3.635 -0.172
   4.677 3.635 -0.185
   4.918 3.635 -0.199
   5.174 3.634 -0.212
   5.444 3.634 -0.224
   5.729 3.634 -0.237
   6.029 3.634 -0.248
   6.346 3.634 -0.259
   6.797 3.635 -0.273
   7.157 3.635 -0.283
   7.535 3.636 -0.291
   7.935 3.637 -0.299
   8.357 3.637 -0.306
   8.799 3.639 -0.312
   9.265 3.640 -0.317
   9.756 3.641 -0.321
  10.267 3.643 -0.323
  10.806 3.645 -0.324
  11.375 3.648 -0.324
  11.971 3.650 -0.322
  12.592 3.653 -0.318
  13.240 3.657 -0.312
  13.912 3.661 -0.305
  14.607 3.665 -0.296
  15.324 3.669 -0.284
  16.062 3.674 -0.272
  16.819 3.679 -0.257
  17.332 3.682 -0.247
  18.101 3.688 -0.230
  18.870 3.693 -0.212
  19.380 3.697 -0.199
  20.135 3.702 -0.180
  20.875 3.708 -0.160
  21.599 3.713 -0.140
  22.306 3.718 -0.120
  22.997 3.724 -0.100
  23.674 3.728 -0.081
  24.554 3.735 -0.056
  25.200 3.739 -0.038
  26.048 3.745 -0.016
  26.895 3.750 0.003
  27.997 3.756 0.020
  29.177 3.761 0.023
  30.588 3.763 0.004
  31.774 3.763 -0.023
  33.139 3.762 -0.057
  34.175 3.761 -0.078
  36.225 3.759 -0.107
  37.892 3.758 -0.118
  40.296 3.757 -0.126
