#
# MIST PMS Isochrone
# t = 1 Myr
# Source File: MIST_v1.0_feh_p0.00_afe_p0.0_vvcrit0.4_full.iso
# Initial Mass Range: 0.1 to 6.0 Msun
# units:
#  Teff - K
#     L - Lsun
#
logTe logL
3.473 -1.172
3.473 -1.164
3.475 -1.138
3.476 -1.113
3.477 -1.090
3.479 -1.068
3.480 -1.046
3.482 -1.016
3.483 -0.991
3.486 -0.953
3.487 -0.932
3.488 -0.911
3.490 -0.877
3.491 -0.861
3.494 -0.830
3.497 -0.794
3.499 -0.768
3.502 -0.741
3.504 -0.718
3.506 -0.698
3.509 -0.677
3.510 -0.666
3.512 -0.653
3.514 -0.641
3.515 -0.628
3.517 -0.615
3.519 -0.602
3.520 -0.591
3.522 -0.577
3.523 -0.563
3.525 -0.548
3.528 -0.527
3.530 -0.511
3.532 -0.493
3.534 -0.476
3.535 -0.464
3.536 -0.461
3.536 -0.458
3.536 -0.455
3.537 -0.452
3.537 -0.450
3.537 -0.445
3.539 -0.432
3.542 -0.409
3.545 -0.390
3.548 -0.366
3.551 -0.350
3.555 -0.327
3.559 -0.304
3.563 -0.277
3.568 -0.250
3.572 -0.223
3.577 -0.192
3.582 -0.162
3.588 -0.129
3.593 -0.096
3.598 -0.064
3.602 -0.033
3.606 -0.011
3.610  0.018
3.613  0.040
3.618  0.072
3.621  0.099
3.625  0.126
3.630  0.157
3.634  0.186
3.639  0.219
3.642  0.244
3.646  0.272
3.649  0.300
3.653  0.326
3.655  0.343
3.658  0.367
3.660  0.387
3.663  0.410
3.668  0.448
3.669  0.460
3.699  0.759
3.708  0.865
3.715  0.953
3.720  1.016
3.726  1.100
3.730  1.163
3.737  1.258
3.742  1.348
3.747  1.425
3.753  1.498
3.758  1.570
3.764  1.638
3.770  1.691
3.778  1.752
3.786  1.803
3.794  1.846
3.804  1.888
3.813  1.920
3.822  1.949
3.832  1.978
3.842  2.008
3.851  2.035
3.861  2.064
3.871  2.092
3.881  2.120
3.891  2.149
3.900  2.173
3.909  2.197
3.920  2.226
3.930  2.250
3.939  2.275
3.949  2.299
3.959  2.322
3.969  2.346
3.978  2.369
3.988  2.391
3.998  2.413
4.010  2.439
4.019  2.458
4.028  2.477
4.037  2.495
4.048  2.516
4.057  2.533
4.068  2.553
4.079  2.572
4.087  2.587
4.097  2.603
4.107  2.619
4.118  2.636
4.128  2.648
4.139  2.662
4.149  2.673
4.160  2.679
4.169  2.672
4.172  2.645
4.165  2.608
4.154  2.578
4.154  2.580
4.155  2.575
4.155  2.550
4.156  2.539
4.167  2.574
4.176  2.605
4.185  2.634
4.193  2.659
4.203  2.688
4.214  2.716
4.223  2.734
4.231  2.733
4.231  2.718
4.230  2.704
4.233  2.712
