#
# MIST PMS Evolutionary Track
# M=0.25 Msun
# Source File: 00025M.track.eep
# Starting Age: 100 kyr
# units:
#   age - kyr
#  Teff - K
#     L - Lsun
#
   age   logTe logL
   0.104 3.526 -0.099
   0.108 3.526 -0.109
   0.115 3.526 -0.123
   0.120 3.526 -0.133
   0.128 3.526 -0.148
   0.136 3.525 -0.162
   0.142 3.525 -0.172
   0.151 3.525 -0.186
   0.158 3.525 -0.196
   0.168 3.525 -0.210
   0.175 3.525 -0.219
   0.187 3.525 -0.233
   0.195 3.525 -0.243
   0.209 3.524 -0.256
   0.218 3.524 -0.265
   0.229 3.524 -0.274
   0.248 3.524 -0.287
   0.262 3.524 -0.295
   0.270 3.524 -0.299
   0.287 3.524 -0.307
   0.308 3.524 -0.315
   0.319 3.524 -0.319
   0.346 3.524 -0.327
   0.361 3.524 -0.331
   0.378 3.524 -0.335
   0.396 3.524 -0.339
   0.436 3.524 -0.348
   0.457 3.524 -0.353
   0.479 3.524 -0.358
   0.500 3.524 -0.363
   0.543 3.523 -0.373
   0.563 3.523 -0.379
   0.601 3.523 -0.390
   0.634 3.523 -0.401
   0.665 3.523 -0.412
   0.705 3.523 -0.428
   0.740 3.523 -0.444
   0.781 3.523 -0.464
   0.819 3.523 -0.484
   0.854 3.523 -0.503
   0.899 3.522 -0.527
   0.937 3.522 -0.545
   0.987 3.522 -0.568
   1.030 3.522 -0.586
   1.076 3.522 -0.604
   1.137 3.522 -0.627
   1.189 3.522 -0.645
   1.245 3.522 -0.663
   1.304 3.521 -0.682
   1.367 3.521 -0.700
   1.451 3.521 -0.722
   1.523 3.521 -0.740
   1.599 3.521 -0.758
   1.680 3.521 -0.776
   1.766 3.521 -0.794
   1.833 3.520 -0.807
   1.929 3.520 -0.825
   2.030 3.520 -0.843
   2.137 3.520 -0.861
   2.251 3.520 -0.879
   2.372 3.520 -0.896
   2.500 3.520 -0.914
   2.601 3.520 -0.927
   2.742 3.520 -0.945
   2.893 3.519 -0.962
   3.052 3.519 -0.980
   3.220 3.519 -0.997
   3.353 3.519 -1.010
   3.540 3.519 -1.028
   3.738 3.519 -1.045
   3.949 3.519 -1.062
   4.114 3.519 -1.075
   4.346 3.519 -1.093
   4.589 3.519 -1.110
   4.783 3.519 -1.122
   5.055 3.519 -1.139
   5.343 3.519 -1.157
   5.570 3.518 -1.169
   5.888 3.518 -1.186
   6.225 3.518 -1.203
   6.578 3.518 -1.220
   6.859 3.518 -1.232
   7.253 3.518 -1.249
   7.670 3.518 -1.266
   7.998 3.518 -1.278
   8.456 3.518 -1.295
   8.942 3.518 -1.312
   9.322 3.518 -1.324
   9.856 3.518 -1.340
  10.421 3.519 -1.357
  10.867 3.519 -1.369
  11.489 3.519 -1.385
  12.141 3.519 -1.401
  12.838 3.519 -1.417
  13.386 3.519 -1.429
  14.153 3.519 -1.445
  14.959 3.519 -1.461
  15.598 3.519 -1.473
  16.487 3.519 -1.489
  17.431 3.520 -1.505
  18.428 3.520 -1.520
  19.212 3.520 -1.532
  20.310 3.520 -1.548
  21.468 3.520 -1.564
  22.685 3.520 -1.580
  23.649 3.520 -1.591
  24.996 3.521 -1.607
  26.417 3.521 -1.623
  27.921 3.521 -1.638
  29.106 3.521 -1.650
  30.759 3.521 -1.666
  32.506 3.521 -1.682
  34.357 3.521 -1.698
  35.817 3.521 -1.709
  37.852 3.521 -1.725
  40.013 3.521 -1.741
  41.720 3.521 -1.753
  44.105 3.522 -1.769
  46.633 3.522 -1.785
  49.317 3.522 -1.800
  51.434 3.522 -1.812
  54.401 3.522 -1.828
  57.547 3.522 -1.844
  60.032 3.522 -1.856
  63.514 3.522 -1.872
  67.226 3.522 -1.888
  70.168 3.522 -1.900
  74.311 3.521 -1.916
  78.748 3.521 -1.932
  82.283 3.521 -1.944
  87.295 3.521 -1.960
  91.300 3.521 -1.971
  97.043 3.521 -1.987
 101.687 3.521 -1.999
 106.660 3.521 -2.010
 113.887 3.521 -2.026
 119.845 3.521 -2.037
 126.346 3.521 -2.049
 133.544 3.521 -2.060
 141.592 3.521 -2.071
 147.562 3.521 -2.078
 157.673 3.521 -2.089
 165.411 3.521 -2.096
 174.176 3.521 -2.102
 184.335 3.521 -2.109
 196.402 3.521 -2.115
 211.150 3.521 -2.121
 220.004 3.521 -2.124
 242.104 3.521 -2.129
 256.436 3.521 -2.131
 273.650 3.521 -2.133
 273.736 3.521 -2.134
 294.427 3.521 -2.135
 319.276 3.521 -2.137
 349.120 3.521 -2.137
 349.269 3.521 -2.137
 385.141 3.521 -2.138
 385.320 3.521 -2.138
 428.438 3.521 -2.138
 480.223 3.521 -2.139
 480.481 3.521 -2.139
 542.726 3.521 -2.139
 543.035 3.521 -2.139
