#
# MIST PMS Evolutionary Track
# M=2.00 Msun
# Source File: 00200M.track.eep
# Starting Age: 100 kyr
# units:
#   age - kyr
#  Teff - K
#     L - Lsun
#
   age   logTe logL
   0.105 3.675 1.508
   0.110 3.676 1.492
   0.116 3.677 1.472
   0.121 3.678 1.456
   0.128 3.679 1.436
   0.134 3.679 1.420
   0.142 3.680 1.401
   0.148 3.681 1.385
   0.155 3.682 1.369
   0.165 3.683 1.349
   0.173 3.684 1.333
   0.181 3.684 1.317
   0.192 3.685 1.297
   0.202 3.686 1.281
   0.212 3.686 1.265
   0.223 3.687 1.249
   0.235 3.688 1.233
   0.247 3.689 1.217
   0.260 3.689 1.201
   0.273 3.690 1.185
   0.288 3.690 1.169
   0.303 3.691 1.152
   0.319 3.692 1.136
   0.337 3.692 1.120
   0.355 3.693 1.104
   0.374 3.693 1.088
   0.395 3.694 1.071
   0.416 3.695 1.055
   0.439 3.695 1.039
   0.464 3.696 1.022
   0.490 3.696 1.006
   0.517 3.697 0.990
   0.539 3.697 0.978
   0.569 3.698 0.962
   0.602 3.698 0.945
   0.636 3.699 0.930
   0.673 3.699 0.914
   0.702 3.700 0.902
   0.743 3.700 0.886
   0.786 3.701 0.870
   0.832 3.701 0.855
   0.869 3.702 0.843
   0.920 3.702 0.828
   0.975 3.703 0.814
   1.019 3.703 0.803
   1.080 3.704 0.788
   1.146 3.705 0.774
   1.198 3.705 0.764
   1.272 3.706 0.751
   1.351 3.707 0.739
   1.413 3.708 0.730
   1.502 3.709 0.718
   1.573 3.710 0.710
   1.674 3.711 0.701
   1.755 3.712 0.694
   1.870 3.713 0.687
   1.962 3.715 0.682
   2.060 3.716 0.678
   2.201 3.718 0.675
   2.315 3.720 0.675
   2.438 3.722 0.676
   2.570 3.725 0.679
   2.712 3.727 0.686
   2.860 3.730 0.695
   3.006 3.733 0.707
   3.147 3.736 0.723
   3.276 3.739 0.739
   3.428 3.743 0.763
   3.530 3.746 0.782
   3.678 3.750 0.814
   3.782 3.753 0.840
   3.898 3.757 0.871
   4.002 3.761 0.902
   4.099 3.764 0.931
   4.191 3.768 0.959
   4.296 3.772 0.990
   4.395 3.776 1.019
   4.506 3.781 1.050
   4.610 3.785 1.079
   4.706 3.790 1.106
   4.810 3.796 1.135
   4.906 3.801 1.162
   4.995 3.807 1.186
   5.088 3.814 1.211
   5.174 3.821 1.235
   5.246 3.829 1.254
   5.316 3.837 1.272
   5.386 3.845 1.290
   5.452 3.854 1.307
   5.512 3.863 1.322
   5.573 3.871 1.336
   5.636 3.880 1.350
   5.700 3.889 1.363
   5.765 3.897 1.375
   5.832 3.906 1.386
   5.914 3.916 1.397
   6.000 3.926 1.403
   6.094 3.934 1.400
   6.237 3.941 1.372
   6.330 3.940 1.339
   6.341 3.923 1.300
   6.341 3.923 1.300
   6.432 3.924 1.282
   6.535 3.921 1.244
   6.631 3.917 1.213
   6.802 3.913 1.175
   7.127 3.915 1.171
   7.364 3.922 1.197
   7.558 3.930 1.224
   7.634 3.934 1.236
   7.816 3.944 1.264
   7.917 3.949 1.278
   8.109 3.957 1.296
   8.361 3.964 1.300
   8.729 3.967 1.279
