Mass       Radius     X          Y          c12        n14        o16        mu
0.12418    0.12278    0.59031    0.39033    0.00026    0.09660    0.18020    0.67374
0.12522    0.12323    0.59120    0.38944    0.00025    0.09660    0.18020    0.67323
0.12627    0.12368    0.59209    0.38855    0.00025    0.09660    0.18020    0.67273
0.12733    0.12414    0.59297    0.38767    0.00025    0.09660    0.18020    0.67223
0.12839    0.12459    0.59386    0.38678    0.00025    0.09660    0.18020    0.67173
0.12946    0.12505    0.59474    0.38590    0.00025    0.09640    0.18020    0.67123
0.13054    0.12550    0.59562    0.38502    0.00025    0.09640    0.18020    0.67074
0.13162    0.12596    0.59650    0.38414    0.00025    0.09640    0.18020    0.67024
0.13271    0.12642    0.59738    0.38326    0.00025    0.09640    0.18000    0.66975
0.13381    0.12689    0.59826    0.38239    0.00025    0.09640    0.18000    0.66926
0.13492    0.12735    0.59913    0.38152    0.00025    0.09640    0.18000    0.66877
0.13603    0.12782    0.60001    0.38064    0.00025    0.09640    0.18000    0.66828
0.13715    0.12828    0.60088    0.37977    0.00025    0.09640    0.18000    0.66779
0.13828    0.12875    0.60175    0.37891    0.00025    0.09640    0.18000    0.66731
0.13942    0.12922    0.60262    0.37804    0.00024    0.09640    0.18000    0.66682
0.14056    0.12970    0.60348    0.37717    0.00024    0.09640    0.18000    0.66635
0.14171    0.13017    0.60435    0.37631    0.00024    0.09640    0.18000    0.66586
0.14287    0.13065    0.60521    0.37545    0.00024    0.09640    0.17980    0.66539
0.14404    0.13112    0.60607    0.37459    0.00024    0.09640    0.17980    0.66491
0.14522    0.13160    0.60693    0.37373    0.00024    0.09640    0.17980    0.66444
0.14640    0.13209    0.60779    0.37288    0.00025    0.09640    0.17980    0.66396
0.14760    0.13257    0.60864    0.37202    0.00025    0.09640    0.17980    0.66349
0.14880    0.13306    0.60950    0.37117    0.00025    0.09620    0.17980    0.66302
0.15001    0.13354    0.61035    0.37032    0.00025    0.09620    0.17980    0.66255
0.15122    0.13403    0.61120    0.36947    0.00025    0.09620    0.17980    0.66209
0.15245    0.13452    0.61205    0.36862    0.00026    0.09620    0.17980    0.66162
0.15369    0.13502    0.61289    0.36778    0.00027    0.09620    0.17960    0.66116
0.15493    0.13551    0.61374    0.36693    0.00027    0.09620    0.17960    0.66070
0.15618    0.13601    0.61458    0.36609    0.00028    0.09620    0.17960    0.66024
0.15744    0.13651    0.61542    0.36525    0.00029    0.09620    0.17960    0.65978
0.15872    0.13701    0.61626    0.36442    0.00031    0.09600    0.17960    0.65933
0.16000    0.13752    0.61709    0.36358    0.00033    0.09600    0.17960    0.65888
0.16129    0.13802    0.61793    0.36275    0.00035    0.09600    0.17960    0.65842
0.16258    0.13853    0.61876    0.36192    0.00037    0.09600    0.17960    0.65797
0.16389    0.13904    0.61959    0.36109    0.00040    0.09580    0.17960    0.65752
0.16521    0.13956    0.62042    0.36026    0.00044    0.09580    0.17940    0.65707
0.16654    0.14007    0.62125    0.35943    0.00048    0.09580    0.17940    0.65662
0.16787    0.14059    0.62207    0.35861    0.00054    0.09560    0.17940    0.65618
0.16922    0.14111    0.62289    0.35779    0.00060    0.09560    0.17940    0.65574
0.17058    0.14163    0.62371    0.35697    0.00066    0.09540    0.17940    0.65530
0.17195    0.14216    0.62453    0.35615    0.00074    0.09540    0.17940    0.65486
0.17332    0.14269    0.62535    0.35534    0.00084    0.09520    0.17940    0.65442
0.17471    0.14322    0.62616    0.35452    0.00094    0.09500    0.17940    0.65399
0.17611    0.14375    0.62697    0.35371    0.00106    0.09480    0.17940    0.65356
0.17752    0.14428    0.62778    0.35291    0.00120    0.09460    0.17920    0.65312
0.17894    0.14482    0.62859    0.35210    0.00135    0.09440    0.17920    0.65269
0.18036    0.14536    0.62940    0.35129    0.00153    0.09400    0.17920    0.65226
0.18181    0.14591    0.63020    0.35049    0.00172    0.09380    0.17920    0.65184
0.18326    0.14645    0.63100    0.34969    0.00194    0.09340    0.17920    0.65141
0.18472    0.14700    0.63180    0.34889    0.00218    0.09300    0.17920    0.65099
0.18619    0.14755    0.63259    0.34810    0.00244    0.09260    0.17920    0.65057
0.18768    0.14811    0.63339    0.34731    0.00274    0.09220    0.17920    0.65014
0.18917    0.14867    0.63418    0.34651    0.00306    0.09180    0.17900    0.64973
0.19068    0.14923    0.63497    0.34573    0.00342    0.09120    0.17900    0.64931
0.19220    0.14979    0.63576    0.34494    0.00380    0.09060    0.17900    0.64890
0.19373    0.15036    0.63654    0.34416    0.00422    0.09000    0.17900    0.64848
0.19527    0.15093    0.63732    0.34337    0.00466    0.08940    0.17900    0.64808
0.19683    0.15150    0.63810    0.34259    0.00514    0.08860    0.17900    0.64767
0.19839    0.15207    0.63888    0.34182    0.00566    0.08780    0.17900    0.64726
0.19997    0.15265    0.63966    0.34104    0.00622    0.08700    0.17900    0.64685
0.20156    0.15323    0.64043    0.34027    0.00682    0.08600    0.17900    0.64645
0.20316    0.15382    0.64120    0.33950    0.00744    0.08520    0.17880    0.64604
0.20478    0.15441    0.64197    0.33873    0.00810    0.08420    0.17880    0.64564
0.20641    0.15500    0.64273    0.33797    0.00880    0.08320    0.17880    0.64525
0.20805    0.15559    0.64349    0.33720    0.00954    0.08200    0.17880    0.64485
0.20971    0.15619    0.64425    0.33644    0.01032    0.08080    0.17880    0.64446
0.21137    0.15680    0.64501    0.33569    0.01112    0.07960    0.17880    0.64406
0.21306    0.15740    0.64577    0.33493    0.01196    0.07840    0.17880    0.64367
0.21475    0.15801    0.64652    0.33418    0.01284    0.07700    0.17880    0.64328
0.21646    0.15862    0.64727    0.33343    0.01376    0.07580    0.17860    0.64289
0.21818    0.15924    0.64802    0.33268    0.01470    0.07440    0.17860    0.64251
0.21992    0.15986    0.64876    0.33194    0.01566    0.07280    0.17860    0.64212
0.22167    0.16048    0.64950    0.33119    0.01666    0.07140    0.17860    0.64174
0.22343    0.16111    0.65024    0.33046    0.01768    0.07000    0.17860    0.64136
0.22521    0.16174    0.65098    0.32972    0.01872    0.06840    0.17860    0.64098
0.22700    0.16238    0.65171    0.32899    0.01978    0.06680    0.17860    0.64061
0.22881    0.16302    0.65244    0.32826    0.02080    0.06520    0.17860    0.64023
0.23064    0.16366    0.65317    0.32753    0.02200    0.06360    0.17840    0.63986
0.23247    0.16431    0.65389    0.32680    0.02300    0.06200    0.17840    0.63949
0.23433    0.16496    0.65461    0.32608    0.02420    0.06040    0.17840    0.63912
0.23619    0.16562    0.65533    0.32536    0.02540    0.05880    0.17840    0.63876
0.23808    0.16628    0.65604    0.32465    0.02640    0.05700    0.17840    0.63839
0.23998    0.16694    0.65676    0.32393    0.02760    0.05540    0.17840    0.63803
0.24190    0.16761    0.65746    0.32323    0.02880    0.05380    0.17840    0.63767
0.24383    0.16829    0.65817    0.32252    0.02980    0.05220    0.17840    0.63731
0.24578    0.16896    0.65887    0.32182    0.03100    0.05060    0.17820    0.63696
0.24774    0.16965    0.65957    0.32112    0.03220    0.04900    0.17820    0.63660
0.24973    0.17034    0.66026    0.32042    0.03320    0.04740    0.17820    0.63625
0.25173    0.17103    0.66095    0.31973    0.03440    0.04600    0.17820    0.63590
0.25374    0.17173    0.66164    0.31904    0.03560    0.04440    0.17820    0.63556
0.25578    0.17243    0.66232    0.31836    0.03660    0.04300    0.17820    0.63521
0.25783    0.17313    0.66300    0.31768    0.03760    0.04160    0.17820    0.63487
0.25989    0.17385    0.66368    0.31700    0.03880    0.04020    0.17800    0.63453
0.26198    0.17456    0.66435    0.31633    0.03980    0.03880    0.17800    0.63419
0.26408    0.17529    0.66501    0.31566    0.04080    0.03760    0.17800    0.63386
0.26620    0.17601    0.66568    0.31499    0.04180    0.03640    0.17800    0.63352
0.26835    0.17675    0.66634    0.31433    0.04280    0.03520    0.17800    0.63319
0.27050    0.17748    0.66699    0.31367    0.04380    0.03400    0.17800    0.63287
0.27268    0.17823    0.66764    0.31302    0.04460    0.03300    0.17800    0.63254
0.27487    0.17898    0.66829    0.31237    0.04560    0.03200    0.17800    0.63222
0.27709    0.17973    0.66893    0.31173    0.04640    0.03100    0.17780    0.63190
0.27932    0.18049    0.66957    0.31109    0.04740    0.03000    0.17780    0.63158
0.28158    0.18126    0.67020    0.31045    0.04820    0.02920    0.17780    0.63126
0.28385    0.18203    0.67083    0.30982    0.04900    0.02840    0.17780    0.63095
0.28614    0.18280    0.67145    0.30919    0.04980    0.02760    0.17780    0.63064
0.28845    0.18359    0.67207    0.30857    0.05040    0.02700    0.17780    0.63034
0.29078    0.18438    0.67268    0.30795    0.05120    0.02620    0.17780    0.63003
0.29313    0.18517    0.67329    0.30734    0.05200    0.02560    0.17760    0.62973
0.29550    0.18597    0.67390    0.30673    0.05260    0.02500    0.17760    0.62943
0.29789    0.18678    0.67450    0.30613    0.05320    0.02440    0.17760    0.62913
0.30030    0.18759    0.67509    0.30553    0.05380    0.02400    0.17760    0.62884
0.30273    0.18841    0.67568    0.30493    0.05440    0.02360    0.17760    0.62855
0.30518    0.18923    0.67627    0.30434    0.05500    0.02320    0.17760    0.62826
0.30765    0.19007    0.67685    0.30376    0.05560    0.02280    0.17760    0.62797
0.31014    0.19090    0.67742    0.30318    0.05600    0.02240    0.17740    0.62769
0.31265    0.19175    0.67799    0.30260    0.05660    0.02200    0.17740    0.62741
0.31518    0.19260    0.67855    0.30203    0.05700    0.02180    0.17740    0.62714
0.31773    0.19345    0.67911    0.30147    0.05740    0.02140    0.17740    0.62686
0.32030    0.19432    0.67966    0.30091    0.05800    0.02120    0.17740    0.62659
0.32290    0.19519    0.68021    0.30035    0.05840    0.02100    0.17740    0.62632
0.32551    0.19606    0.68076    0.29980    0.05860    0.02080    0.17740    0.62605
0.32814    0.19695    0.68129    0.29926    0.05900    0.02060    0.17720    0.62580
0.33080    0.19784    0.68182    0.29872    0.05940    0.02040    0.17720    0.62554
0.33347    0.19873    0.68235    0.29819    0.05980    0.02040    0.17720    0.62528
0.33617    0.19964    0.68287    0.29766    0.06000    0.02020    0.17720    0.62502
0.33888    0.20055    0.68338    0.29714    0.06040    0.02000    0.17720    0.62478
0.34162    0.20146    0.68389    0.29662    0.06060    0.01996    0.17720    0.62453
0.34438    0.20239    0.68440    0.29610    0.06080    0.01986    0.17720    0.62428
0.34715    0.20332    0.68489    0.29560    0.06100    0.01978    0.17700    0.62404
0.34995    0.20425    0.68539    0.29510    0.06140    0.01970    0.17700    0.62380
0.35277    0.20520    0.68587    0.29460    0.06160    0.01964    0.17700    0.62357
0.35561    0.20615    0.68635    0.29411    0.06180    0.01956    0.17700    0.62334
0.35846    0.20711    0.68683    0.29362    0.06180    0.01952    0.17700    0.62310
0.36134    0.20807    0.68729    0.29314    0.06200    0.01946    0.17700    0.62288
0.36424    0.20905    0.68776    0.29267    0.06220    0.01942    0.17700    0.62265
0.36715    0.21002    0.68821    0.29220    0.06240    0.01938    0.17680    0.62244
0.37009    0.21101    0.68866    0.29174    0.06260    0.01934    0.17680    0.62222
0.37304    0.21200    0.68911    0.29128    0.06260    0.01930    0.17680    0.62200
0.37602    0.21300    0.68954    0.29083    0.06280    0.01928    0.17680    0.62180
0.37901    0.21401    0.68997    0.29038    0.06280    0.01926    0.17680    0.62159
0.38202    0.21503    0.69040    0.28994    0.06300    0.01924    0.17680    0.62138
0.38505    0.21605    0.69082    0.28950    0.06300    0.01920    0.17660    0.62118
0.38810    0.21708    0.69123    0.28907    0.06320    0.01920    0.17660    0.62099
0.39117    0.21811    0.69164    0.28865    0.06320    0.01918    0.17660    0.62079
0.39425    0.21916    0.69204    0.28823    0.06340    0.01916    0.17660    0.62060
0.39735    0.22021    0.69244    0.28782    0.06340    0.01914    0.17660    0.62041
0.40047    0.22126    0.69282    0.28741    0.06340    0.01914    0.17660    0.62022
0.40360    0.22233    0.69321    0.28701    0.06360    0.01912    0.17660    0.62004
0.40675    0.22340    0.69358    0.28661    0.06360    0.01910    0.17640    0.61986
0.40991    0.22447    0.69395    0.28622    0.06360    0.01910    0.17640    0.61969
0.41309    0.22556    0.69431    0.28583    0.06360    0.01908    0.17640    0.61952
0.41629    0.22665    0.69467    0.28545    0.06380    0.01908    0.17640    0.61934
0.41950    0.22775    0.69502    0.28507    0.06380    0.01908    0.17640    0.61918
0.42272    0.22885    0.69537    0.28470    0.06380    0.01906    0.17640    0.61901
0.42596    0.22997    0.69570    0.28434    0.06380    0.01906    0.17640    0.61886
0.42921    0.23108    0.69604    0.28398    0.06380    0.01906    0.17620    0.61870
0.43247    0.23221    0.69636    0.28362    0.06380    0.01904    0.17620    0.61855
0.43575    0.23334    0.69668    0.28327    0.06380    0.01904    0.17620    0.61839
0.43904    0.23448    0.69699    0.28293    0.06380    0.01904    0.17620    0.61825
0.44233    0.23563    0.69730    0.28259    0.06400    0.01902    0.17620    0.61810
0.44565    0.23678    0.69760    0.28225    0.06400    0.01902    0.17620    0.61796
0.44897    0.23793    0.69790    0.28192    0.06400    0.01902    0.17620    0.61782
0.45229    0.23910    0.69819    0.28160    0.06400    0.01902    0.17600    0.61769
0.45564    0.24027    0.69847    0.28128    0.06400    0.01900    0.17600    0.61755
0.45898    0.24145    0.69874    0.28096    0.06400    0.01900    0.17600    0.61743
0.46234    0.24263    0.69901    0.28065    0.06400    0.01900    0.17600    0.61730
0.46570    0.24382    0.69928    0.28034    0.06400    0.01900    0.17600    0.61718
0.46907    0.24501    0.69954    0.28004    0.06400    0.01900    0.17600    0.61706
0.47245    0.24621    0.69979    0.27974    0.06400    0.01898    0.17600    0.61694
0.47584    0.24742    0.70004    0.27944    0.06400    0.01898    0.17580    0.61683
0.47923    0.24863    0.70028    0.27915    0.06400    0.01898    0.17580    0.61672
0.48262    0.24985    0.70051    0.27886    0.06400    0.01898    0.17580    0.61661
0.48602    0.25107    0.70074    0.27858    0.06400    0.01898    0.17580    0.61650
0.48942    0.25230    0.70096    0.27830    0.06400    0.01898    0.17580    0.61640
0.49283    0.25354    0.70118    0.27802    0.06400    0.01896    0.17580    0.61630
0.49624    0.25478    0.70139    0.27774    0.06400    0.01896    0.17580    0.61621
0.49964    0.25602    0.70160    0.27747    0.06400    0.01896    0.17560    0.61611
0.50306    0.25727    0.70180    0.27720    0.06400    0.01896    0.17560    0.61602
0.50648    0.25853    0.70200    0.27694    0.06400    0.01896    0.17560    0.61593
0.50989    0.25979    0.70219    0.27668    0.06400    0.01896    0.17560    0.61585
0.51331    0.26106    0.70238    0.27642    0.06400    0.01894    0.17560    0.61576
0.51672    0.26233    0.70256    0.27617    0.06400    0.01894    0.17560    0.61568
0.52014    0.26361    0.70274    0.27592    0.06400    0.01894    0.17560    0.61560
0.52356    0.26489    0.70292    0.27568    0.06400    0.01894    0.17540    0.61552
0.52697    0.26618    0.70308    0.27544    0.06380    0.01894    0.17540    0.61545
0.53039    0.26747    0.70325    0.27521    0.06380    0.01894    0.17540    0.61538
0.53380    0.26877    0.70341    0.27498    0.06380    0.01892    0.17540    0.61530
0.53721    0.27008    0.70357    0.27476    0.06380    0.01892    0.17540    0.61523
0.54063    0.27139    0.70373    0.27455    0.06380    0.01892    0.17540    0.61516
0.54404    0.27270    0.70388    0.27435    0.06380    0.01892    0.17520    0.61509
0.54745    0.27402    0.70403    0.27416    0.06380    0.01892    0.17520    0.61503
0.55086    0.27535    0.70418    0.27397    0.06380    0.01892    0.17520    0.61496
0.55426    0.27668    0.70433    0.27380    0.06380    0.01890    0.17520    0.61489
0.55766    0.27802    0.70448    0.27363    0.06380    0.01890    0.17520    0.61482
0.56106    0.27937    0.70463    0.27348    0.06380    0.01890    0.17520    0.61475
0.56445    0.28072    0.70478    0.27333    0.06380    0.01890    0.17520    0.61468
0.56784    0.28207    0.70492    0.27319    0.06380    0.01890    0.17500    0.61461
0.57122    0.28343    0.70507    0.27306    0.06380    0.01890    0.17500    0.61454
0.57460    0.28479    0.70522    0.27294    0.06380    0.01888    0.17500    0.61447
0.57797    0.28616    0.70536    0.27282    0.06380    0.01888    0.17500    0.61440
0.58133    0.28754    0.70551    0.27272    0.06380    0.01888    0.17500    0.61432
0.58468    0.28892    0.70565    0.27262    0.06380    0.01888    0.17500    0.61426
0.58803    0.29030    0.70580    0.27252    0.06380    0.01888    0.17500    0.61418
0.59136    0.29169    0.70595    0.27244    0.06380    0.01888    0.17500    0.61411
0.59469    0.29308    0.70609    0.27235    0.06380    0.01888    0.17480    0.61404
0.59800    0.29447    0.70623    0.27227    0.06380    0.01886    0.17480    0.61397
0.60130    0.29587    0.70637    0.27220    0.06360    0.01886    0.17480    0.61389
0.60459    0.29727    0.70652    0.27213    0.06360    0.01886    0.17480    0.61382
0.60787    0.29868    0.70666    0.27206    0.06360    0.01886    0.17480    0.61375
0.61113    0.30009    0.70679    0.27199    0.06360    0.01886    0.17480    0.61368
0.61438    0.30150    0.70693    0.27193    0.06360    0.01886    0.17480    0.61361
0.61761    0.30291    0.70706    0.27187    0.06360    0.01886    0.17460    0.61354
0.62083    0.30433    0.70720    0.27181    0.06360    0.01884    0.17460    0.61347
0.62404    0.30575    0.70733    0.27175    0.06360    0.01884    0.17460    0.61341
0.62724    0.30718    0.70746    0.27169    0.06360    0.01884    0.17460    0.61334
0.63041    0.30860    0.70758    0.27163    0.06360    0.01884    0.17460    0.61328
0.63357    0.31003    0.70771    0.27158    0.06360    0.01884    0.17460    0.61321
0.63672    0.31146    0.70783    0.27152    0.06360    0.01884    0.17460    0.61315
0.63985    0.31290    0.70795    0.27147    0.06360    0.01884    0.17460    0.61309
0.64296    0.31434    0.70807    0.27142    0.06360    0.01884    0.17440    0.61303
0.64606    0.31578    0.70819    0.27136    0.06360    0.01882    0.17440    0.61297
0.64913    0.31722    0.70830    0.27131    0.06360    0.01882    0.17440    0.61291
0.65220    0.31866    0.70841    0.27126    0.06360    0.01882    0.17440    0.61286
0.65525    0.32011    0.70852    0.27121    0.06360    0.01882    0.17440    0.61280
0.65828    0.32156    0.70863    0.27116    0.06360    0.01882    0.17440    0.61275
0.66129    0.32302    0.70874    0.27111    0.06360    0.01882    0.17440    0.61269
0.66429    0.32447    0.70884    0.27106    0.06360    0.01882    0.17440    0.61264
0.66726    0.32593    0.70894    0.27101    0.06360    0.01880    0.17440    0.61259
0.67023    0.32739    0.70904    0.27096    0.06340    0.01880    0.17420    0.61254
0.67317    0.32885    0.70914    0.27091    0.06340    0.01880    0.17420    0.61249
0.67610    0.33032    0.70924    0.27086    0.06340    0.01880    0.17420    0.61244
0.67901    0.33179    0.70933    0.27081    0.06340    0.01880    0.17420    0.61239
0.68190    0.33326    0.70942    0.27076    0.06340    0.01880    0.17420    0.61235
0.68478    0.33473    0.70951    0.27071    0.06340    0.01880    0.17420    0.61230
0.68764    0.33620    0.70960    0.27067    0.06340    0.01880    0.17420    0.61226
0.69048    0.33768    0.70969    0.27062    0.06340    0.01878    0.17420    0.61221
0.69330    0.33916    0.70978    0.27057    0.06340    0.01878    0.17400    0.61217
0.69610    0.34065    0.70986    0.27052    0.06340    0.01878    0.17400    0.61213
0.69888    0.34213    0.70995    0.27047    0.06340    0.01878    0.17400    0.61208
0.70165    0.34362    0.71003    0.27043    0.06340    0.01878    0.17400    0.61204
0.70441    0.34511    0.71011    0.27038    0.06340    0.01878    0.17400    0.61200
0.70714    0.34660    0.71019    0.27033    0.06340    0.01878    0.17400    0.61196
0.70985    0.34810    0.71027    0.27028    0.06340    0.01878    0.17400    0.61192
0.71255    0.34960    0.71035    0.27024    0.06340    0.01876    0.17400    0.61188
0.71523    0.35110    0.71042    0.27019    0.06340    0.01876    0.17400    0.61185
0.71789    0.35260    0.71050    0.27014    0.06340    0.01876    0.17380    0.61181
0.72053    0.35410    0.71057    0.27010    0.06340    0.01876    0.17380    0.61177
0.72316    0.35561    0.71065    0.27005    0.06340    0.01876    0.17380    0.61174
0.72577    0.35712    0.71072    0.27000    0.06340    0.01876    0.17380    0.61170
0.72836    0.35864    0.71079    0.26996    0.06340    0.01876    0.17380    0.61167
0.73093    0.36015    0.71086    0.26991    0.06340    0.01876    0.17380    0.61163
0.73348    0.36167    0.71093    0.26987    0.06340    0.01876    0.17380    0.61160
0.73602    0.36319    0.71100    0.26982    0.06340    0.01874    0.17380    0.61156
0.73854    0.36472    0.71106    0.26977    0.06320    0.01874    0.17380    0.61153
0.74104    0.36624    0.71113    0.26973    0.06320    0.01874    0.17380    0.61150
0.74352    0.36777    0.71120    0.26968    0.06320    0.01874    0.17360    0.61147
0.74599    0.36930    0.71126    0.26964    0.06320    0.01874    0.17360    0.61144
0.74844    0.37084    0.71132    0.26959    0.06320    0.01874    0.17360    0.61141
0.75087    0.37237    0.71139    0.26955    0.06320    0.01874    0.17360    0.61137
0.75328    0.37391    0.71145    0.26950    0.06320    0.01874    0.17360    0.61134
0.75567    0.37545    0.71151    0.26946    0.06320    0.01874    0.17360    0.61131
0.75805    0.37700    0.71157    0.26941    0.06320    0.01872    0.17360    0.61129
0.76041    0.37855    0.71163    0.26937    0.06320    0.01872    0.17360    0.61126
0.76275    0.38010    0.71170    0.26932    0.06320    0.01872    0.17360    0.61122
0.76508    0.38165    0.71175    0.26928    0.06320    0.01872    0.17340    0.61120
0.76739    0.38320    0.71181    0.26923    0.06320    0.01872    0.17340    0.61117
0.76968    0.38476    0.71187    0.26919    0.06320    0.01872    0.17340    0.61114
0.77195    0.38632    0.71193    0.26914    0.06320    0.01872    0.17340    0.61111
0.77421    0.38789    0.71199    0.26910    0.06320    0.01872    0.17340    0.61108
0.77645    0.38945    0.71204    0.26905    0.06320    0.01872    0.17340    0.61106
0.77867    0.39102    0.71210    0.26901    0.06320    0.01870    0.17340    0.61103
0.78087    0.39259    0.71216    0.26897    0.06320    0.01870    0.17340    0.61100
0.78306    0.39417    0.71221    0.26892    0.06320    0.01870    0.17340    0.61098
0.78523    0.39574    0.71227    0.26888    0.06320    0.01870    0.17340    0.61095
0.78739    0.39732    0.71232    0.26883    0.06320    0.01870    0.17320    0.61092
0.78953    0.39891    0.71238    0.26879    0.06320    0.01870    0.17320    0.61089
0.79165    0.40049    0.71243    0.26874    0.06320    0.01870    0.17320    0.61087
0.79376    0.40208    0.71248    0.26870    0.06320    0.01870    0.17320    0.61085
0.79584    0.40367    0.71254    0.26866    0.06320    0.01870    0.17320    0.61082
0.79792    0.40526    0.71259    0.26861    0.06300    0.01868    0.17320    0.61079
0.79997    0.40686    0.71264    0.26857    0.06300    0.01868    0.17320    0.61077
0.80201    0.40846    0.71270    0.26853    0.06300    0.01868    0.17320    0.61074
0.80403    0.41006    0.71275    0.26848    0.06300    0.01868    0.17320    0.61072
0.80604    0.41167    0.71280    0.26844    0.06300    0.01868    0.17320    0.61069
0.80803    0.41327    0.71285    0.26839    0.06300    0.01868    0.17300    0.61067
0.81001    0.41489    0.71290    0.26835    0.06300    0.01868    0.17300    0.61065
0.81196    0.41650    0.71295    0.26831    0.06300    0.01868    0.17300    0.61062
0.81391    0.41812    0.71300    0.26826    0.06300    0.01868    0.17300    0.61060
0.81583    0.41974    0.71305    0.26822    0.06300    0.01868    0.17300    0.61057
0.81774    0.42136    0.71310    0.26818    0.06300    0.01866    0.17300    0.61055
0.81964    0.42298    0.71315    0.26813    0.06300    0.01866    0.17300    0.61053
0.82152    0.42461    0.71320    0.26809    0.06300    0.01866    0.17300    0.61050
0.82338    0.42624    0.71325    0.26805    0.06300    0.01866    0.17300    0.61048
0.82523    0.42788    0.71330    0.26801    0.06300    0.01866    0.17300    0.61046
0.82707    0.42951    0.71335    0.26796    0.06300    0.01866    0.17300    0.61043
0.82888    0.43115    0.71340    0.26792    0.06300    0.01866    0.17280    0.61041
0.83068    0.43279    0.71345    0.26788    0.06300    0.01866    0.17280    0.61038
0.83247    0.43444    0.71349    0.26783    0.06300    0.01866    0.17280    0.61037
0.83425    0.43609    0.71354    0.26779    0.06300    0.01866    0.17280    0.61034
0.83601    0.43774    0.71359    0.26775    0.06300    0.01864    0.17280    0.61032
0.83775    0.43939    0.71364    0.26771    0.06300    0.01864    0.17280    0.61029
0.83948    0.44105    0.71369    0.26766    0.06300    0.01864    0.17280    0.61027
0.84119    0.44271    0.71373    0.26762    0.06300    0.01864    0.17280    0.61025
0.84289    0.44438    0.71378    0.26758    0.06300    0.01864    0.17280    0.61023
0.84458    0.44604    0.71383    0.26753    0.06300    0.01864    0.17280    0.61021
0.84625    0.44771    0.71387    0.26749    0.06300    0.01864    0.17280    0.61019
0.84790    0.44938    0.71392    0.26745    0.06300    0.01864    0.17260    0.61016
0.84954    0.45106    0.71397    0.26741    0.06300    0.01864    0.17260    0.61014
0.85117    0.45274    0.71401    0.26736    0.06300    0.01864    0.17260    0.61012
0.85278    0.45442    0.71406    0.26732    0.06280    0.01862    0.17260    0.61010
0.85438    0.45610    0.71411    0.26728    0.06280    0.01862    0.17260    0.61007
0.85596    0.45779    0.71415    0.26724    0.06280    0.01862    0.17260    0.61005
0.85754    0.45948    0.71420    0.26719    0.06280    0.01862    0.17260    0.61003
0.85909    0.46117    0.71425    0.26715    0.06280    0.01862    0.17260    0.61001
0.86064    0.46287    0.71429    0.26711    0.06280    0.01862    0.17260    0.60999
0.86217    0.46457    0.71434    0.26707    0.06280    0.01862    0.17260    0.60996
0.86368    0.46627    0.71438    0.26702    0.06280    0.01862    0.17260    0.60995
0.86519    0.46798    0.71443    0.26698    0.06280    0.01862    0.17260    0.60992
0.86668    0.46968    0.71448    0.26694    0.06280    0.01862    0.17240    0.60990
0.86816    0.47140    0.71452    0.26690    0.06280    0.01862    0.17240    0.60988
0.86961    0.47311    0.71457    0.26685    0.06280    0.01860    0.17240    0.60986
0.87107    0.47483    0.71461    0.26681    0.06280    0.01860    0.17240    0.60984
0.87251    0.47655    0.71466    0.26677    0.06280    0.01860    0.17240    0.60981
0.87393    0.47827    0.71470    0.26673    0.06280    0.01860    0.17240    0.60980
0.87534    0.48000    0.71475    0.26668    0.06280    0.01860    0.17240    0.60977
0.87674    0.48173    0.71479    0.26664    0.06280    0.01860    0.17240    0.60975
0.87813    0.48346    0.71484    0.26660    0.06280    0.01860    0.17240    0.60973
0.87950    0.48520    0.71489    0.26655    0.06280    0.01860    0.17240    0.60971
0.88086    0.48694    0.71493    0.26651    0.06280    0.01860    0.17240    0.60969
0.88221    0.48868    0.71498    0.26647    0.06280    0.01860    0.17240    0.60966
0.88354    0.49043    0.71502    0.26643    0.06280    0.01860    0.17220    0.60965
0.88487    0.49217    0.71507    0.26638    0.06280    0.01860    0.17220    0.60962
0.88618    0.49392    0.71511    0.26634    0.06280    0.01858    0.17220    0.60960
0.88748    0.49568    0.71516    0.26630    0.06280    0.01858    0.17220    0.60958
0.88877    0.49744    0.71520    0.26626    0.06280    0.01858    0.17220    0.60956
0.89005    0.49920    0.71525    0.26621    0.06280    0.01858    0.17220    0.60954
0.89131    0.50096    0.71529    0.26617    0.06280    0.01858    0.17220    0.60952
0.89256    0.50273    0.71533    0.26613    0.06280    0.01858    0.17220    0.60950
0.89381    0.50450    0.71538    0.26609    0.06280    0.01858    0.17220    0.60948
0.89503    0.50627    0.71542    0.26604    0.06280    0.01858    0.17220    0.60946
0.89625    0.50804    0.71547    0.26600    0.06280    0.01858    0.17220    0.60944
0.89746    0.50982    0.71551    0.26596    0.06280    0.01858    0.17220    0.60942
0.89865    0.51160    0.71556    0.26591    0.06280    0.01858    0.17220    0.60939
0.89983    0.51339    0.71560    0.26587    0.06280    0.01858    0.17220    0.60938
0.90101    0.51518    0.71565    0.26583    0.06260    0.01856    0.17200    0.60935
0.90217    0.51697    0.71570    0.26579    0.06260    0.01856    0.17200    0.60933
0.90332    0.51876    0.71574    0.26574    0.06260    0.01856    0.17200    0.60931
0.90446    0.52056    0.71579    0.26570    0.06260    0.01856    0.17200    0.60929
0.90559    0.52236    0.71583    0.26566    0.06260    0.01856    0.17200    0.60927
