Mass       Radius     X          Y          c12        n14        o16        mu
0.00095    0.02073    0.35219    0.62802    0.00047    0.10760    0.17480    0.84280
0.00099    0.02102    0.35257    0.62764    0.00047    0.10760    0.17480    0.84246
0.00103    0.02131    0.35295    0.62726    0.00047    0.10760    0.17480    0.84212
0.00108    0.02161    0.35335    0.62686    0.00047    0.10740    0.17480    0.84177
0.00112    0.02191    0.35375    0.62646    0.00047    0.10740    0.17500    0.84141
0.00117    0.02221    0.35417    0.62605    0.00046    0.10740    0.17500    0.84104
0.00122    0.02252    0.35459    0.62562    0.00046    0.10740    0.17500    0.84067
0.00127    0.02283    0.35502    0.62519    0.00046    0.10720    0.17500    0.84029
0.00132    0.02314    0.35546    0.62475    0.00046    0.10720    0.17520    0.83990
0.00137    0.02345    0.35591    0.62430    0.00046    0.10720    0.17520    0.83951
0.00143    0.02377    0.35637    0.62384    0.00046    0.10700    0.17520    0.83910
0.00149    0.02409    0.35684    0.62338    0.00046    0.10700    0.17520    0.83869
0.00154    0.02442    0.35732    0.62290    0.00046    0.10700    0.17540    0.83826
0.00161    0.02474    0.35781    0.62241    0.00046    0.10700    0.17540    0.83783
0.00167    0.02507    0.35830    0.62191    0.00046    0.10680    0.17540    0.83741
0.00174    0.02540    0.35881    0.62141    0.00046    0.10680    0.17560    0.83696
0.00180    0.02574    0.35933    0.62089    0.00046    0.10680    0.17560    0.83650
0.00187    0.02608    0.35986    0.62036    0.00046    0.10660    0.17560    0.83604
0.00195    0.02642    0.36040    0.61982    0.00046    0.10660    0.17580    0.83557
0.00202    0.02676    0.36094    0.61928    0.00046    0.10660    0.17580    0.83510
0.00210    0.02710    0.36150    0.61872    0.00046    0.10640    0.17580    0.83461
0.00218    0.02745    0.36207    0.61815    0.00046    0.10640    0.17600    0.83411
0.00226    0.02780    0.36265    0.61758    0.00045    0.10640    0.17600    0.83361
0.00235    0.02815    0.36324    0.61699    0.00045    0.10620    0.17600    0.83310
0.00243    0.02851    0.36383    0.61639    0.00045    0.10620    0.17620    0.83258
0.00252    0.02887    0.36444    0.61579    0.00045    0.10620    0.17620    0.83206
0.00262    0.02923    0.36506    0.61517    0.00045    0.10600    0.17620    0.83152
0.00271    0.02959    0.36569    0.61454    0.00045    0.10600    0.17640    0.83097
0.00281    0.02995    0.36632    0.61391    0.00045    0.10580    0.17640    0.83043
0.00291    0.03032    0.36697    0.61326    0.00045    0.10580    0.17640    0.82987
0.00302    0.03068    0.36763    0.61261    0.00045    0.10580    0.17660    0.82930
0.00313    0.03105    0.36829    0.61194    0.00045    0.10560    0.17660    0.82874
0.00324    0.03143    0.36897    0.61127    0.00045    0.10560    0.17660    0.82815
0.00335    0.03180    0.36966    0.61058    0.00045    0.10560    0.17680    0.82756
0.00347    0.03218    0.37035    0.60989    0.00045    0.10540    0.17680    0.82697
