Age,Mass,14Nsurf
289901723.1,2.999022812,7.02E-04
292147732.5,2.999009523,7.02E-04
294384304.9,2.998996112,7.03E-04
296611365.6,2.998982577,7.03E-04
298828140,2.998968913,7.03E-04
301024600.1,2.998955168,7.03E-04
303214223.3,2.998941282,7.04E-04
305386863.1,2.998927314,7.04E-04
307536921,2.998913262,7.04E-04
309668519.4,2.998899138,7.05E-04
311784759,2.998884913,7.05E-04
313878018.2,2.998870613,7.05E-04
315955528,2.998856226,7.05E-04
318011896.9,2.998841754,7.06E-04
320051180.7,2.998827196,7.06E-04
322068490.2,2.998812571,7.06E-04
324065906,2.998797873,7.06E-04
326039107,2.998783129,7.07E-04
327997862.1,2.998768272,7.07E-04
329934777.3,2.998753352,7.07E-04
331860429.5,2.998738297,7.08E-04
333770578.2,2.998723122,7.08E-04
335672290.4,2.998707796,7.08E-04
337564525.6,2.998692287,7.08E-04
339461400.7,2.998676509,7.09E-04
341368865.3,2.998660389,7.09E-04
343299034.5,2.998643804,7.09E-04
345276754.3,2.998626539,7.10E-04
347335234.1,2.99860826,7.10E-04
349527020.9,2.99858843,7.10E-04
351791909.5,2.998567559,7.10E-04
353678637.6,2.998549865,7.11E-04
354889746.3,2.998538348,7.11E-04
355696936.8,2.998530611,7.11E-04
356270210.2,2.998525084,7.11E-04
356686512,2.998521055,7.11E-04
357012039.9,2.998517896,7.11E-04
357272452.2,2.998515363,7.11E-04
357485263.3,2.99851329,7.11E-04
357662297.2,2.998511563,7.11E-04
357811332.1,2.998510106,7.11E-04
357931702,2.998508927,7.11E-04
358034463.7,2.998507919,7.11E-04
358123677.6,2.998507042,7.11E-04
358201076.6,2.998506279,7.11E-04
358267708.1,2.998505621,7.11E-04
358324892.4,2.998505053,7.11E-04
358374550.6,2.998504559,7.11E-04
358417878.7,2.998504126,7.11E-04
358456386.8,2.998503739,7.11E-04
358490636.3,2.998503393,7.11E-04
358520977.4,2.998503084,7.11E-04
358547887.8,2.998502809,7.11E-04
358572340.1,2.998502557,7.11E-04
358594643,2.998502325,7.11E-04
358615417.3,2.998502109,7.11E-04
358634145.7,2.998501913,7.11E-04
358650609.7,2.998501741,7.11E-04
358664188.1,2.998501599,7.11E-04
358675775.8,2.99850148,7.11E-04
358687021.7,2.998501366,7.11E-04
358697732,2.998501258,7.11E-04
358708088.2,2.998501156,7.11E-04
358718327.4,2.998501056,7.11E-04
358728767.6,2.998500955,7.11E-04
358739778.2,2.99850085,7.12E-04
358751702.8,2.998500737,7.12E-04
358764953.9,2.998500611,7.12E-04
358779606.9,2.99850047,7.12E-04
358795493.7,2.998500316,7.13E-04
358812400.9,2.998500148,7.13E-04
358830485,2.998499963,7.13E-04
358849934.7,2.998499759,7.14E-04
358871104.1,2.998499531,7.14E-04
358894226.3,2.998499275,7.14E-04
358919450.5,2.998498989,7.14E-04
358946860.8,2.998498671,7.15E-04
358976524.2,2.998498319,7.15E-04
359008331.8,2.998497933,7.15E-04
359042409.1,2.998497512,7.16E-04
359078791.3,2.998497054,7.16E-04
359117406.4,2.99849656,7.16E-04
359158185.7,2.998496029,7.16E-04
359201007.1,2.998495463,7.16E-04
359245629.4,2.998494864,7.16E-04
359301763.5,2.998494099,7.16E-04
359360054.8,2.998493292,7.16E-04
359420207.4,2.998492445,7.16E-04
359481687.1,2.998491567,7.16E-04
359544278.3,2.998490659,7.16E-04
359607206.4,2.998489734,7.16E-04
359670292.3,2.998488794,7.16E-04
359733241,2.998487843,7.16E-04
359795977.5,2.998486884,7.16E-04
359857577.2,2.99848593,7.16E-04
359918142.4,2.998484981,7.16E-04
359977512,2.998484039,7.16E-04
360035704.3,2.998483105,7.16E-04
360092518.4,2.998482184,7.16E-04
360147912.8,2.998481276,7.16E-04
360201723.8,2.998480383,7.16E-04
360253971.7,2.998479508,7.16E-04
360304771.6,2.998478648,7.16E-04
360354112.8,2.998477805,7.16E-04
360401843,2.998476981,7.16E-04
360447986.9,2.998476177,7.16E-04
360492796.4,2.998475389,7.16E-04
360536134.9,2.99847462,7.16E-04
360578212.5,2.998473867,7.16E-04
360618812.2,2.998473134,7.16E-04
360658121,2.998472418,7.16E-04
360696177.1,2.998471719,7.16E-04
360733038.5,2.998471037,7.16E-04
360768727.3,2.998470372,7.16E-04
360803213.4,2.998469724,7.16E-04
360836647.5,2.998469091,7.16E-04
360869070.1,2.998468472,7.16E-04
360900480.6,2.998467869,7.16E-04
360930909,2.998467281,7.16E-04
360960418.3,2.998466706,7.16E-04
360989044.7,2.998466145,7.16E-04
361016823.6,2.998465598,7.16E-04
361043909.3,2.99846506,7.16E-04
361070174.9,2.998464536,7.16E-04
361095581.3,2.998464026,7.16E-04
361120243.7,2.998463528,7.16E-04
361144231.7,2.998463041,7.16E-04
361167578.5,2.998462565,7.16E-04
361190290.4,2.998462099,7.16E-04
361212383.2,2.998461644,7.16E-04
361233906.8,2.998461198,7.16E-04
361254917.7,2.998460761,7.16E-04
361275384.6,2.998460333,7.16E-04
361295317.8,2.998459915,7.16E-04
361314775.8,2.998459505,7.16E-04
361333770.8,2.998459103,7.16E-04
361352331.5,2.998458709,7.16E-04
361370490.5,2.998458322,7.16E-04
361388296.2,2.998457941,7.16E-04
361405813.3,2.998457565,7.16E-04
361423196,2.998457191,7.16E-04
361440589.4,2.998456816,7.16E-04
361458088.7,2.998456438,7.16E-04
361475652.4,2.998456058,7.16E-04
361493294.3,2.998455676,7.16E-04
361511038.3,2.998455292,7.16E-04
361528913.5,2.998454905,7.16E-04
361547150.3,2.998454511,7.16E-04
361565972.1,2.998454106,7.16E-04
361585674.9,2.998453684,7.16E-04
361606760.7,2.998453235,7.16E-04
361628763.5,2.998452772,7.16E-04
361651063.3,2.998452308,7.16E-04
361673434.3,2.998451849,7.18E-04
361695832.3,2.998451396,7.20E-04
361718185.7,2.998450953,7.22E-04
361740485,2.998450519,7.24E-04
361762643.1,2.998450096,7.25E-04
361784555.3,2.998449688,7.27E-04
361806360.8,2.998449291,7.28E-04
361828041.4,2.998448906,7.29E-04
361849517,2.998448535,7.30E-04
361871108.8,2.998448171,7.30E-04
361892679.7,2.998447818,7.31E-04
361914368.2,2.998447473,7.32E-04
361936548.3,2.998447129,7.32E-04
361959322.4,2.998446786,7.33E-04
361982971.8,2.998446439,7.33E-04
362008048.8,2.998446081,7.34E-04
362035131.1,2.998445702,7.34E-04
362065348,2.998445288,7.34E-04
362098955.2,2.998444833,7.35E-04
362136248,2.998444327,7.35E-04
362172626.9,2.998443825,7.35E-04
362205111.9,2.998443362,7.35E-04
362233914,2.998442934,7.36E-04
362260358.8,2.998442524,7.36E-04
362285284.9,2.998442119,7.36E-04
362309518.6,2.998441706,7.36E-04
362333467.4,2.998441278,7.36E-04
362357681.1,2.998440825,7.36E-04
362382470.8,2.998440337,7.36E-04
362408280.4,2.998439805,7.37E-04
362435287.8,2.99843922,7.38E-04
362463811.1,2.998438573,7.41E-04
362493993.3,2.998437854,7.47E-04
362525986.5,2.998437054,7.60E-04
362559531.5,2.998436175,7.88E-04
362594537,2.998435213,8.31E-04
362630622.1,2.998434173,8.94E-04
362667633.7,2.998433055,9.68E-04
362705197.8,2.998431866,1.04E-03
362743324.1,2.998430602,1.12E-03
362781682.2,2.998429267,1.18E-03
362820219,2.998427863,1.24E-03
362858792.5,2.99842639,1.30E-03
362897402.6,2.998424844,1.34E-03
362936092.4,2.99842322,1.39E-03
362974725.3,2.998421521,1.43E-03
363013300.3,2.998419742,1.47E-03
363051744.8,2.998417884,1.50E-03
363090217.2,2.998415935,1.53E-03
363128590,2.998413897,1.56E-03
363166908.3,2.998411763,1.58E-03
363205267,2.998409524,1.61E-03
363243492,2.998407184,1.62E-03
363281908.3,2.998404718,1.65E-03
363320360.5,2.99840213,1.68E-03
363358884.1,2.998399412,1.72E-03
363397516.3,2.998396553,1.75E-03
363437121.4,2.998393479,1.81E-03
363475561,2.99839035,1.84E-03
363515246.4,2.998386964,1.89E-03
363554516.3,2.99838345,1.94E-03
363593314.1,2.998379812,1.98E-03
363631807.8,2.998376022,2.01E-03
363671807.8,2.998371894,2.04E-03
363710047.3,2.998367759,2.08E-03
363749591,2.998363269,2.10E-03
363788422.1,2.998358647,2.13E-03
363827554.4,2.998353763,2.16E-03
363866192.5,2.998348703,2.18E-03
363905305.6,2.998343333,2.20E-03
363943531,2.998337826,2.22E-03
363981745.3,2.998332053,2.24E-03
364020431.2,2.998325921,2.25E-03
364058517.5,2.99831959,2.27E-03
364096904.3,2.998312894,2.28E-03
364134590.2,2.998306001,2.29E-03
364172987.7,2.99829863,2.30E-03
364211409.6,2.99829089,2.31E-03
364249534.4,2.998282831,2.32E-03
364288061.2,2.998274289,2.33E-03
364328057.5,2.998264971,2.34E-03
364371822.8,2.998254266,2.35E-03
364423994.8,2.998240933,2.35E-03
364437307.6,2.998237481,2.35E-03
364449529.8,2.998234318,2.35E-03
364461067.4,2.998231345,2.35E-03
364472298.1,2.99822847,2.35E-03
364483485.3,2.998225629,2.35E-03
364494862.5,2.998222764,2.35E-03
364506704.8,2.998219811,2.35E-03
364519169.7,2.998216733,2.35E-03
364532534.9,2.998213467,2.35E-03
364546941.9,2.998209981,2.35E-03
364562629.1,2.998206227,2.35E-03
364579818.4,2.998202159,2.35E-03
364598465.7,2.998197794,2.35E-03
364619071.7,2.998193027,2.35E-03
364641585.3,2.998187878,2.35E-03
364665822.8,2.998182403,2.35E-03
364691782.8,2.998176611,2.35E-03
364719278.1,2.998170554,2.35E-03
364747812,2.998164349,2.35E-03
364777952.2,2.998157884,2.35E-03
364809526.5,2.998151199,2.35E-03
364842500,2.998144317,2.35E-03
364877146.6,2.998137182,2.35E-03
364914179.8,2.998129665,2.35E-03
364953366.1,2.998121819,2.35E-03
364995609.4,2.998113478,2.35E-03
365197101.6,2.998075114,2.35E-03
365421928.3,2.998034579,2.35E-03
365623869.5,2.998000116,2.35E-03
365805576.2,2.997970782,2.35E-03
365975418.7,2.997944851,2.35E-03
366135769.6,2.997921698,2.35E-03
366289020.6,2.997900772,2.35E-03
366434988.9,2.997881929,2.35E-03
366575907.6,2.99786473,2.35E-03
366711882,2.997849041,2.35E-03
366844228.2,2.997834606,2.35E-03
366973441.5,2.997821283,2.35E-03
367099886.1,2.997808961,2.35E-03
367224210.6,2.997797508,2.35E-03
367348132.7,2.997786717,2.35E-03
367471017.6,2.997776608,2.35E-03
367594503.5,2.997767002,2.35E-03
367718361.5,2.997757899,2.35E-03
367843126.4,2.997749229,2.35E-03
