Age,Mass,14Nsurf
3516440.971,2.999986812,7.37E-04
3618531.193,2.999986529,7.37E-04
3723453.753,2.999986239,7.37E-04
3831132.789,2.999985941,7.37E-04
3942716.42,2.999985633,7.37E-04
4057395.632,2.999985317,7.37E-04
4174325.156,2.999984995,7.37E-04
4296253.415,2.99998466,7.37E-04
4420523.382,2.999984318,7.37E-04
4549212.389,2.999983965,7.37E-04
4680642.798,2.999983605,7.37E-04
4817443.257,2.999983231,7.37E-04
4954932.647,2.999982855,7.37E-04
5101465.327,2.999982455,7.37E-04
5247998.008,2.999982055,7.37E-04
5400729.378,2.999981639,7.37E-04
5558938.556,2.999981208,7.37E-04
5717147.735,2.999980777,7.37E-04
5885274.352,2.99998032,7.37E-04
6057492.925,2.999979852,7.37E-04
6229711.498,2.999979383,7.37E-04
6411946.797,2.999978889,7.37E-04
6600973.87,2.999978375,7.37E-04
6790000.942,2.999977862,7.37E-04
6982932.84,2.999977339,7.37E-04
7192127.406,2.999976771,7.37E-04
7401321.972,2.999976204,7.37E-04
7610516.538,2.999975637,7.37E-04
7831918.023,2.999975037,7.37E-04
8065311.226,2.999974404,7.37E-04
8298704.43,2.999973772,7.37E-04
8532097.634,2.999973139,7.37E-04
8781067.535,2.999972464,7.37E-04
9043497.959,2.999971753,7.37E-04
9305928.383,2.999971042,7.37E-04
9568358.808,2.999970331,7.37E-04
9841299.306,2.999969591,7.37E-04
10138567.16,2.999968785,7.37E-04
10435835,2.999967979,7.37E-04
10733102.85,2.999967173,7.37E-04
11030370.7,2.999966367,7.37E-04
11361729.04,2.999965467,7.37E-04
11700798.83,2.999964547,7.37E-04
12039868.62,2.999963626,7.37E-04
12378938.41,2.999962706,7.37E-04
12722814.52,2.999961772,7.37E-04
13112047.49,2.999960713,7.37E-04
13501280.46,2.999959654,7.37E-04
13890513.43,2.999958596,7.37E-04
14279746.4,2.999957537,7.37E-04
14678734.73,2.999956451,7.37E-04
15128157.66,2.999955225,7.37E-04
15577580.59,2.999953998,7.37E-04
16027003.51,2.999952772,7.37E-04
16476426.44,2.999951546,7.37E-04
16928341.35,2.999950313,7.37E-04
17449985.14,2.999948884,7.37E-04
17971628.93,2.999947455,7.37E-04
18493272.71,2.999946026,7.37E-04
19014916.5,2.999944597,7.37E-04
19536560.29,2.999943168,7.37E-04
20121747.67,2.999941559,7.37E-04
20730045.06,2.999939884,7.37E-04
21338342.45,2.999938209,7.37E-04
21946639.84,2.999936534,7.37E-04
22554937.24,2.999934859,7.37E-04
23191107.7,2.999933104,7.37E-04
23899642.41,2.999931139,7.37E-04
24608177.13,2.999929175,7.37E-04
25316711.85,2.999927211,7.37E-04
26025246.56,2.999925247,7.37E-04
26738677.25,2.999923268,7.37E-04
27555864.25,2.999920985,7.37E-04
28373051.25,2.999918701,7.37E-04
29190238.25,2.999916417,7.37E-04
30007425.25,2.999914134,7.37E-04
30855550.73,2.999911757,7.37E-04
31785270.6,2.999909136,7.37E-04
32714990.48,2.999906515,7.37E-04
33644710.35,2.999903893,7.37E-04
