Age,Mass,14Nsurf
32439.3532,29.98789361,7.37E-04
33491.16552,29.98770692,7.37E-04
34577.42279,29.98751493,7.37E-04
35698.81578,29.98731709,7.37E-04
36856.60126,29.98711301,7.37E-04
38052.33338,29.98690239,7.37E-04
39286.41235,29.98668502,7.37E-04
40560.65669,29.98646063,7.37E-04
41875.8885,29.98622909,7.37E-04
43234.3529,29.98598994,7.37E-04
44636.61865,29.98574302,7.37E-04
46084.31438,29.9854881,7.37E-04
47578.88417,29.98522494,7.37E-04
49121.8483,29.98495323,7.37E-04
50715.3392,29.98467258,7.37E-04
52359.88688,29.9843829,7.37E-04
54058.25584,29.98408375,7.37E-04
55811.62479,29.98377486,7.37E-04
57621.79444,29.9834559,7.37E-04
59490.54168,29.98312662,7.37E-04
61419.72377,29.98278672,7.37E-04
63411.87649,29.98243557,7.37E-04
65468.2981,29.98207298,7.37E-04
67591.75983,29.98169852,7.37E-04
69783.88685,29.98131191,7.37E-04
72047.13896,29.98091262,7.37E-04
74383.65039,29.98050041,7.37E-04
76796.07713,29.98007477,7.37E-04
79286.73077,29.97963511,7.37E-04
81858.02372,29.97918114,7.37E-04
84512.78977,29.97871229,7.37E-04
87253.4648,29.9782282,7.37E-04
90083.33222,29.9777282,7.37E-04
93004.6823,29.97721195,7.37E-04
96020.98527,29.97667859,7.37E-04
99134.89852,29.97612796,7.37E-04
102349.8692,29.97555926,7.37E-04
105668.9902,29.97497192,7.37E-04
109095.7106,29.97436535,7.37E-04
112633.4798,29.97373891,7.37E-04
116286.2378,29.97309182,7.37E-04
120057.1796,29.97242343,7.37E-04
123950.4078,29.97173317,7.37E-04
127969.7267,29.97102018,7.37E-04
132119.5587,29.9702838,7.37E-04
136403.8922,29.96952304,7.37E-04
140827.3492,29.96873708,7.37E-04
145393.8467,29.96792543,7.37E-04
150108.6036,29.96708685,7.37E-04
154975.7997,29.96622082,7.37E-04
160000.9891,29.96532591,7.37E-04
165188.9451,29.96440144,7.37E-04
170545.2238,29.96344634,7.37E-04
176074.8631,29.9624596,7.37E-04
181784.2794,29.96143988,7.37E-04
187677.9643,29.96038672,7.37E-04
193763.1778,29.95929823,7.37E-04
200045.0651,29.95817353,7.37E-04
206530.6791,29.95701138,7.37E-04
213226.4218,29.95581037,7.37E-04
220139.1412,29.95456936,7.37E-04
227276.1655,29.95328684,7.37E-04
234645.0756,29.95196089,7.37E-04
242250.7588,29.95059105,7.37E-04
250104.5763,29.94917494,7.37E-04
258212.4953,29.94771106,7.37E-04
266581.9486,29.94619816,7.37E-04
275222.6897,29.94463422,7.37E-04
284144.4338,29.94301715,7.37E-04
293353.1183,29.94134581,7.37E-04
302860.7064,29.93961766,7.37E-04
312676.1085,29.93783074,7.37E-04
322809.0276,29.93598308,7.37E-04
333269.8149,29.93407244,7.37E-04
344069.2105,29.9320966,7.37E-04
355220.7173,29.93005247,7.37E-04
366731.6424,29.92793872,7.37E-04
378614.9035,29.92575235,7.37E-04
390880.5663,29.92349088,7.37E-04
403541.3181,29.92115169,7.37E-04
416615.4425,29.9187309,7.37E-04
430108.442,29.91622684,7.37E-04
444041.2864,29.91363513,7.37E-04
458423.9613,29.91095288,7.37E-04
473268.193,29.90817769,7.37E-04
488595.3415,29.90530483,7.37E-04
504420.5452,29.90233047,7.37E-04
520756.6621,29.899251,7.37E-04
537612.8774,29.89606446,7.37E-04
555014.3438,29.89276484,7.37E-04
572984.1898,29.88934647,7.37E-04
591530.8431,29.88580658,7.37E-04
610671.8042,29.88214103,7.37E-04
630432.6126,29.87834327,7.37E-04
650841.2906,29.87440641,7.37E-04
671893.2555,29.87033005,7.37E-04
693627.461,29.86610503,7.37E-04
716062.3532,29.8617258,7.37E-04
739224.4444,29.85718545,7.37E-04
763125.469,29.85247926,7.37E-04
787795.1974,29.84759943,7.37E-04
813274.5561,29.84253572,7.37E-04
839562.6403,29.83728573,7.37E-04
866708.0387,29.83183667,7.37E-04
894728.5157,29.82618196,7.37E-04
923644.8772,29.82031472,7.37E-04
953501.4532,29.81422211,7.37E-04
984311.9085,29.80789787,7.37E-04
1016108.026,29.80133157,7.37E-04
1048946.103,29.79450708,7.37E-04
1082844.441,29.78741615,7.37E-04
1117832.702,29.78004751,7.37E-04
1153955.236,29.77238646,7.37E-04
1191255.952,29.76441771,7.37E-04
1229766.356,29.75612833,7.37E-04
1269520.594,29.7475041,7.37E-04
1310562.668,29.73852799,7.37E-04
1352938.905,29.7291818,7.37E-04
1396676.857,29.71945099,7.37E-04
1441839.35,29.70931197,7.37E-04
1488466.55,29.69874584,7.37E-04
1536613.454,29.68772979,7.37E-04
1586314.21,29.67624312,7.37E-04
1637618.255,29.6642623,7.37E-04
1690576.683,29.65176133,7.37E-04
1745235.153,29.63871502,7.37E-04
1801648.961,29.62509476,7.37E-04
1859867.478,29.61087054,7.37E-04
1919943.753,29.59601155,7.37E-04
1981932.952,29.58048361,7.37E-04
2045895.718,29.56424976,7.37E-04
2111892.186,29.5472719,7.37E-04
2179975.075,29.52951021,7.37E-04
2250211.327,29.51092114,7.37E-04
2322654.851,29.49146035,7.37E-04
2397351.935,29.47108193,7.37E-04
2474376.058,29.44973253,7.37E-04
2553778.302,29.42736181,7.37E-04
2635609.937,29.40391509,7.37E-04
2719927.514,29.37933376,7.37E-04
2806822.656,29.35354745,7.37E-04
2896302.207,29.32650164,7.37E-04
2988399.635,29.29813437,7.37E-04
3083139.903,29.2683834,7.37E-04
3180530.467,29.23718935,7.37E-04
3280563.626,29.204496,7.37E-04
3383203.289,29.17025567,7.37E-04
3488374.978,29.13443466,7.37E-04
3595983.602,29.09700961,7.37E-04
3705972.594,29.05795288,7.37E-04
3818185.889,29.01728417,7.37E-04
3932333.009,28.97508556,7.37E-04
3977344.38,28.95822246,7.37E-04
4022606.734,28.94114147,7.37E-04
4068026.458,28.92387935,7.37E-04
4113619.626,28.90643171,7.37E-04
4159350.928,28.88881446,7.37E-04
4205185.886,28.8710441,7.37E-04
4251072.805,28.85314465,7.37E-04
4297014.937,28.83511927,7.37E-04
4342872.922,28.81702838,7.37E-04
4388693.385,28.79886015,7.37E-04
4434364.315,28.78066658,7.37E-04
4479878.213,28.76245891,7.37E-04
4525180.827,28.74426789,7.37E-04
4570234.926,28.72611862,7.37E-04
4614909.743,28.70807457,7.37E-04
4659221.956,28.69014045,7.37E-04
4703083.8,28.67236411,7.37E-04
4746506.397,28.65475332,7.37E-04
4789355.207,28.63737706,7.37E-04
4831597.874,28.6202602,7.37E-04
4873174.755,28.60344048,7.37E-04
4914102.877,28.58692332,7.37E-04
4954311.007,28.57075021,7.37E-04
4993836.125,28.55491836,7.37E-04
5032648.755,28.53945099,7.37E-04
5070763.473,28.52435268,7.37E-04
5108126.442,28.50965451,7.37E-04
5144730.2,28.49536831,7.37E-04
5180704.718,28.48145156,7.37E-04
5215807.464,28.46800474,7.37E-04
5250229.914,28.45495968,7.37E-04
5283927.423,28.44233845,7.37E-04
5316925.88,28.43013529,7.37E-04
5349155.771,28.41837738,7.37E-04
5380722.212,28.40702941,7.37E-04
5411680.027,28.39607123,7.37E-04
5441825.855,28.38557465,7.37E-04
5471427.784,28.37544485,7.37E-04
5500377.657,28.36571653,7.37E-04
5528779.572,28.35635134,7.37E-04
5556579.898,28.34736542,7.37E-04
5584083.271,28.33865525,7.37E-04
5611771.694,28.33006988,7.37E-04
5639037.316,28.32179613,7.37E-04
5666192.39,28.31373822,7.37E-04
5693488.871,28.30581458,7.37E-04
5721352.604,28.29790082,7.37E-04
5750645.83,28.28975076,7.37E-04
5783507.184,28.28076705,7.37E-04
5819608.29,28.2709408,7.37E-04
5842658.748,28.26454215,7.37E-04
5854833.239,28.26103477,7.37E-04
5862264.951,28.25879895,7.37E-04
5867347.819,28.25720357,7.37E-04
5871053.781,28.25599098,7.37E-04
5873802.064,28.25505173,7.37E-04
5875869.86,28.25431305,7.37E-04
