Age,Mass,14Nsurf
14690236.87,9.917614498,9.68E-04
15146091.38,9.913635513,9.93E-04
15613278.25,9.909416258,1.02E-03
16091743.77,9.904939332,1.05E-03
16581196.69,9.900189002,1.08E-03
17080818.89,9.895153885,1.11E-03
17191663.36,9.894010384,1.11E-03
17302936.31,9.892852598,1.12E-03
17414621.75,9.891680466,1.13E-03
17526706.79,9.890493912,1.14E-03
17639157.98,9.889293061,1.14E-03
17751971.96,9.888077727,1.15E-03
17865126.44,9.886847932,1.16E-03
17978594.78,9.885603738,1.16E-03
18092368.07,9.884345017,1.17E-03
18206398.04,9.88307211,1.18E-03
18320673.46,9.881784923,1.19E-03
18435150.78,9.880483742,1.19E-03
18549829.02,9.879168379,1.20E-03
18664663.06,9.877839155,1.21E-03
18779613.87,9.876496327,1.22E-03
18894671.42,9.875139791,1.22E-03
19009771.44,9.873770159,1.23E-03
19124884.96,9.872387634,1.24E-03
19239937.58,9.870992953,1.25E-03
19354921.93,9.869585963,1.25E-03
19469817.12,9.868166886,1.26E-03
19584527.03,9.86673674,1.27E-03
19699032.05,9.865295657,1.28E-03
19813252.87,9.863844566,1.28E-03
19927189.16,9.862383421,1.29E-03
20040723.67,9.860913583,1.30E-03
20153878.38,9.859434805,1.31E-03
20266533.65,9.857948636,1.31E-03
20378659.17,9.856455465,1.32E-03
20490204.76,9.854955979,1.33E-03
20601084.58,9.853451371,1.34E-03
20711279.38,9.851941943,1.34E-03
20820766.29,9.850428179,1.35E-03
20929444.58,9.848911578,1.36E-03
21037414.04,9.847390874,1.36E-03
21144626.07,9.845866738,1.37E-03
21251076.3,9.844339613,1.38E-03
21356663.61,9.84281085,1.39E-03
21461471.04,9.841279651,1.39E-03
21565409.1,9.839747429,1.40E-03
21668432.58,9.83821504,1.41E-03
21770560.57,9.836682315,1.41E-03
21871844.77,9.835148804,1.42E-03
21972237.53,9.833615381,1.43E-03
22071729.36,9.83208237,1.43E-03
22170320.22,9.830550016,1.44E-03
22268015.46,9.829018435,1.44E-03
22364871.32,9.827486709,1.45E-03
22460994.16,9.825953495,1.46E-03
22556494.76,9.824417071,1.46E-03
22650906.97,9.822884978,1.47E-03
22745265.24,9.821340306,1.48E-03
22838915.01,9.819793836,1.48E-03
22932193.45,9.818239667,1.49E-03
23025561.35,9.816669852,1.49E-03
23119040.14,9.815083378,1.50E-03
23213103.7,9.813471444,1.50E-03
23308045.04,9.811827851,1.51E-03
23404674.73,9.810136691,1.52E-03
23503593.41,9.808384695,1.52E-03
23605561.05,9.806554238,1.53E-03
23709664.17,9.804656061,1.54E-03
23808931.86,9.802813271,1.54E-03
23889670.24,9.801284427,1.55E-03
23948752.62,9.800144531,1.55E-03
23992348.99,9.799288976,1.55E-03
24025190.42,9.798633739,1.56E-03
24050368.64,9.798122908,1.56E-03
24070628.07,9.797705744,1.56E-03
24087186.23,9.797359772,1.56E-03
24100655.22,9.797073798,1.56E-03
24111979.79,9.796829904,1.56E-03
24121615.08,9.796619434,1.56E-03
24129872.82,9.796436456,1.56E-03
24136990.28,9.796276423,1.56E-03
24143149.26,9.796135838,1.56E-03
24148490.22,9.796012012,1.56E-03
24153130.63,9.79590268,1.56E-03
24157146.13,9.795806444,1.56E-03
24160647.96,9.795721066,1.56E-03
24163721.69,9.795644846,1.56E-03
24166419.01,9.795576779,1.56E-03
24168768.63,9.795516338,1.56E-03
24170826.54,9.795462399,1.56E-03
24172641.47,9.795413945,1.56E-03
24174247.11,9.795370303,1.56E-03
24175641.56,9.795331593,1.56E-03
24176868.16,9.795296943,1.56E-03
24177945.52,9.795265955,1.56E-03
24178893.14,9.795238243,1.56E-03
24179727.62,9.795213469,1.56E-03
24180473.13,9.795191051,1.56E-03
24181130.84,9.79517107,1.56E-03
24181741.15,9.7951524,1.56E-03
24182307.14,9.795135037,1.56E-03
24182856.61,9.79511821,1.56E-03
24183439.35,9.795100498,1.57E-03
24184012.63,9.795083316,1.57E-03
24184566.58,9.795066983,1.57E-03
24185096.25,9.795051674,1.57E-03
24185605.13,9.795037254,1.57E-03
24186914.43,9.79500166,1.57E-03
24188164.38,9.794969687,1.57E-03
24189383.54,9.79494018,1.57E-03
24190578.29,9.794912555,1.57E-03
24191751.39,9.794886289,1.57E-03
24192905.2,9.794860911,1.57E-03
24194043.45,9.794836038,1.57E-03
24195170.44,9.794811376,1.57E-03
24196292.64,9.794786658,1.57E-03
24197414.14,9.79476173,1.57E-03
24198538.38,9.794736499,1.57E-03
24199666.35,9.794710956,1.57E-03
24200796.92,9.794685167,1.57E-03
24201928.74,9.79465921,1.57E-03
24203059.35,9.794633201,1.57E-03
24204186.15,9.794607254,1.57E-03
24205306.6,9.794581481,1.57E-03
24206418.38,9.794555984,1.57E-03
24207519.45,9.79453085,1.57E-03
24208607.94,9.794506154,1.57E-03
24209682.19,9.794481966,1.57E-03
24210741.09,9.794458332,1.57E-03
24211783.57,9.794435292,1.57E-03
24212808.47,9.794412893,1.57E-03
24213815.33,9.794391148,1.57E-03
24214803.19,9.79437009,1.57E-03
24215772.04,9.794349717,1.57E-03
24216720.97,9.794330057,1.57E-03
24217650.27,9.794311093,1.57E-03
24218559.19,9.794292848,1.57E-03
24219448.21,9.794275298,1.57E-03
24220317.24,9.794258437,1.57E-03
24221166.35,9.794242264,1.57E-03
24221996.13,9.794226747,1.57E-03
24222806.95,9.794211872,1.57E-03
24223598.16,9.794197645,1.57E-03
24224370.01,9.794184044,1.57E-03
24225122.32,9.794171057,1.57E-03
24225855.01,9.794158673,1.57E-03
24226567.84,9.794146885,1.57E-03
24227261,9.794135672,1.57E-03
24227937.18,9.794124975,1.57E-03
24228597.38,9.794114766,1.57E-03
24229241.37,9.794105035,1.57E-03
24229869.11,9.794095768,1.57E-03
24230480.81,9.79408695,1.57E-03
24231076.78,9.794078565,1.57E-03
24231657.34,9.794070593,1.57E-03
24232222.89,9.794063016,1.57E-03
24232773.75,9.794055817,1.57E-03
24233310.41,9.794048978,1.57E-03
24233833.23,9.794042483,1.57E-03
24234342.56,9.794036271,1.57E-03
24234838.81,9.794029444,1.57E-03
24235322.38,9.794021631,1.57E-03
24235793.67,9.79401281,1.57E-03
24236253.04,9.794002964,1.57E-03
24236700.92,9.793992074,1.57E-03
24237137.63,9.793980141,1.57E-03
24237563.56,9.793967168,1.57E-03
24237979.11,9.793953875,1.57E-03
24238384.57,9.793940756,1.57E-03
24238780.3,9.793927809,1.57E-03
24239166.58,9.79391503,1.57E-03
24239543.63,9.793902419,1.57E-03
24239911.68,9.793889975,1.57E-03
24240270.89,9.793877698,1.57E-03
24240621.59,9.793865585,1.57E-03
24240963.91,9.793853638,1.57E-03
24241297.97,9.793841858,1.57E-03
24241623.94,9.793830245,1.57E-03
24241941.92,9.793818802,1.57E-03
24242252.04,9.793807529,1.57E-03
24242554.37,9.793796429,1.57E-03
24242849.07,9.793785501,1.57E-03
24243136.27,9.793774748,1.57E-03
24243416.1,9.793764168,1.57E-03
24243688.72,9.793753761,1.57E-03
24243954.25,9.793743527,1.57E-03
24244212.82,9.793733466,1.57E-03
24244464.64,9.793723575,1.57E-03
24244709.85,9.793713853,1.57E-03
24244948.6,9.793704297,1.57E-03
24245181.1,9.793694905,1.57E-03
24245407.55,9.793685672,1.57E-03
24245628.1,9.793676598,1.57E-03
24245842.78,9.793667682,1.57E-03
24246051.91,9.793658918,1.57E-03
24246255.47,9.793650307,1.57E-03
24246453.72,9.793641844,1.57E-03
24246646.8,9.793633527,1.57E-03
24246834.78,9.793625364,1.57E-03
24247017.88,9.793617383,1.57E-03
24247196.12,9.793609616,1.57E-03
24247369.72,9.793602022,1.57E-03
24247538.82,9.793594579,1.57E-03
24247703.55,9.793587281,1.57E-03
24247864.04,9.793580125,1.57E-03
24248020.41,9.793573109,1.57E-03
24248172.82,9.793566229,1.57E-03
24248321.47,9.79355948,1.57E-03
24248466.51,9.793552859,1.57E-03
24248608.08,9.793546362,1.57E-03
24248746.35,9.793539986,1.57E-03
24248881.5,9.793533725,1.57E-03
24249013.73,9.793527576,1.57E-03
24249143.27,9.79352153,1.57E-03
24249270.31,9.793515582,1.57E-03
24249395.08,9.793509726,1.57E-03
24249517.89,9.793503952,1.57E-03
24249639.1,9.793498248,1.57E-03
24249759.12,9.793492598,1.57E-03
24249878.65,9.793486976,1.57E-03
24249999.13,9.793481321,1.57E-03
24250123.23,9.793475521,1.57E-03
24250254.29,9.793469436,1.57E-03
24250395.02,9.793462974,1.57E-03
24250546.95,9.793456106,1.57E-03
24250711.3,9.793448838,1.57E-03
24250893.89,9.793440986,1.57E-03
24251163.61,9.79342979,1.58E-03
24251501.32,9.793416275,1.58E-03
24251843.76,9.793403275,1.59E-03
24252206.58,9.793390214,1.61E-03
24252611.78,9.793376237,1.66E-03
24253030.01,9.793361963,1.74E-03
24253356.12,9.793350388,1.85E-03
24253593.11,9.793341341,1.96E-03
24253779.29,9.793333605,2.06E-03
24253935.21,9.793326519,2.14E-03
24254071.97,9.793319707,2.23E-03
24254196.24,9.793312913,2.30E-03
24254312.32,9.793305939,2.36E-03
24254423.56,9.793298594,2.41E-03
24254532.59,9.793290681,2.46E-03
24254641.91,9.79328195,2.50E-03
24254753.97,9.793272109,2.53E-03
24254871.73,9.793260721,2.56E-03
24254998.73,9.79324721,2.59E-03
24255140.17,9.79323064,2.61E-03
24255304.66,9.793209416,2.64E-03
24255504.35,9.793181053,2.66E-03
24255766.59,9.793140001,2.70E-03
24256146.76,9.793074414,2.74E-03
24256807.98,9.792948582,2.81E-03
24258239.6,9.792648747,2.91E-03
24260643.23,9.792100612,3.02E-03
24263400.82,9.791414776,3.13E-03
24266600.81,9.790542843,3.23E-03
24271207.92,9.789165421,3.30E-03
24288226.85,9.783656981,3.35E-03
24291162.43,9.782689262,3.35E-03
24294623.34,9.781548741,3.35E-03
24298436.44,9.78029412,3.35E-03
24302533.4,9.778949304,3.35E-03
24306555.27,9.777632918,3.35E-03
24310682.94,9.776285989,3.35E-03
24314848.33,9.774931001,3.35E-03
24319108.08,9.773549734,3.35E-03
24323426.48,9.772153985,3.35E-03
24327801.43,9.770744636,3.35E-03
24332208.62,9.769329609,3.35E-03
24336639.78,9.767911731,3.35E-03
24341101.56,9.766488895,3.35E-03
24345555.48,9.76507353,3.35E-03
24350120.94,9.763627718,3.35E-03
24354823.76,9.762143633,3.35E-03
24359511.17,9.76066953,3.35E-03
24364157.6,9.75921345,3.35E-03
24368708.29,9.757792508,3.35E-03
24373240.61,9.756382526,3.35E-03
24377836.19,9.754958112,3.35E-03
24382459.74,9.753530294,3.35E-03
24387097.45,9.752103386,3.35E-03
24391770.87,9.750670847,3.35E-03
24396367.65,9.749266985,3.35E-03
24400946.75,9.747873687,3.35E-03
24578860.64,9.697767318,3.35E-03
24733325.65,9.660771057,3.35E-03
24878793.44,9.631275247,3.35E-03
25038239.57,9.603915354,3.35E-03
25251690.48,9.572844493,3.35E-03
25629264.46,9.525272456,3.35E-03
25954846.05,9.485474494,3.35E-03
26017972.15,9.477135355,3.35E-03
26033439.92,9.474835055,3.35E-03
26041402.2,9.473518905,3.35E-03
26044665.06,9.472940842,3.35E-03
26046297.2,9.472642954,3.35E-03
26047480.85,9.472426333,3.35E-03
26048420.71,9.472255818,3.35E-03
26049255.54,9.472106671,3.35E-03
26050052.35,9.471966947,3.35E-03
26050843.57,9.471830995,3.35E-03
26051645.36,9.471696086,3.35E-03
26052468.7,9.47156046,3.35E-03
26053324.28,9.471422506,3.35E-03
26054221.77,9.471280829,3.35E-03
26055173.44,9.471133711,3.35E-03
26056190.48,9.470979678,3.35E-03
26057290.26,9.470816399,3.35E-03
26058493.84,9.47064112,3.35E-03
26059820.17,9.470451439,3.35E-03
26061296.21,9.470243688,3.35E-03
26062957.12,9.470006705,3.35E-03
26064837.84,9.469725695,3.35E-03
26067001.91,9.469407035,3.35E-03
26069553.44,9.469048365,3.35E-03
26072667.39,9.468633609,3.35E-03
26076661.46,9.468131225,3.35E-03
26082265.68,9.467468309,3.35E-03
26091430.3,9.466454179,3.35E-03
26109088.34,9.464631181,3.35E-03
26139618.34,9.461668811,3.35E-03
26185309.43,9.45746991,3.35E-03
26259030.06,9.451018063,3.35E-03
26453748.58,9.434604643,3.35E-03
26526618.56,9.428374162,3.35E-03
26570178.57,9.424549761,3.35E-03
26603011.21,9.421590267,3.35E-03
26627946.18,9.419282742,3.35E-03
26649197.63,9.417261489,3.35E-03
26668316.55,9.41539068,3.35E-03
26684270.69,9.413787468,3.35E-03
26698030.15,9.412366076,3.35E-03
26710100.07,9.411082936,3.35E-03
26720637.21,9.409930537,3.35E-03
26729690.65,9.408912087,3.35E-03
26737533.51,9.408015958,3.35E-03
26744366.73,9.407229243,3.35E-03
26750374.13,9.406523023,3.35E-03
26755643.76,9.405888521,3.35E-03
26760286.2,9.405315781,3.35E-03
26764391.01,9.40479679,3.35E-03
26768052.59,9.404322429,3.35E-03
26771335.71,9.403886492,3.35E-03
26774291.29,9.403484592,3.35E-03
26776958.9,9.403113315,3.35E-03
26779373.68,9.402769518,3.35E-03
26781580.16,9.402448477,3.35E-03
26783619.88,9.402145613,3.35E-03
26785575.36,9.401849847,3.35E-03
26787576.02,9.401542893,3.35E-03
26789705.66,9.40121397,3.35E-03
26792035.48,9.400856355,3.35E-03
26795769.38,9.400300452,3.35E-03
26799920.72,9.399723782,3.35E-03
26803807.65,9.399233404,3.35E-03
26808390.53,9.398690439,3.35E-03
26812948.9,9.398104193,3.35E-03
26835312.91,9.394681667,3.35E-03
26859032.27,9.390761346,3.35E-03
26865682.42,9.389552767,3.35E-03
26866503.86,9.389394529,3.35E-03
26867216.27,9.389254414,3.35E-03
26867877.33,9.389121544,3.35E-03
26868500.97,9.388992993,3.35E-03
26869093.89,9.388867159,3.35E-03
26869682.28,9.388738286,3.35E-03
26870302.61,9.38859784,3.35E-03
26871020.86,9.388429562,3.35E-03
26872047.97,9.3881808,3.35E-03
26873583.25,9.387801778,3.35E-03
26874856.37,9.387491323,3.35E-03
26876017.23,9.387215792,3.35E-03
26877293.87,9.3869208,3.35E-03
26878831.15,9.386573074,3.35E-03
26880457.15,9.386207652,3.35E-03
26881813.52,9.385898251,3.35E-03
26882898.89,9.385643791,3.35E-03
26883820.75,9.385420486,3.35E-03
26884650.91,9.385212269,3.35E-03
26885428.01,9.385010244,3.35E-03
26886177.15,9.384808256,3.35E-03
26886916.88,9.384601313,3.35E-03
26887661.13,9.384385316,3.35E-03
26888421.03,9.384156463,3.35E-03
26889204.7,9.383911643,3.35E-03
26890018.21,9.383648086,3.35E-03
26890864.88,9.383363637,3.35E-03
26891745.87,9.383056871,3.35E-03
26892661.11,9.382726681,3.35E-03
26893609.55,9.382372296,3.35E-03
26894589.98,9.381993012,3.35E-03
26895601.44,9.381588061,3.35E-03
26896642.58,9.381156843,3.35E-03
26897712.32,9.380698691,3.36E-03
26898809.24,9.380213073,3.36E-03
26899931.98,9.379699451,3.36E-03
26901078.88,9.37915769,3.36E-03
26902248.72,9.378587084,3.36E-03
26903439.45,9.37798785,3.36E-03
26904648.76,9.377360194,3.37E-03
26905874.73,9.376704207,3.37E-03
26907115.29,9.376020185,3.37E-03
26908367.8,9.37530888,3.37E-03
26909629.44,9.37457129,3.37E-03
26910898.04,9.373808259,3.37E-03
26912170.79,9.373021176,3.37E-03
26913444.4,9.372211456,3.38E-03
26914715.64,9.371381503,3.38E-03
26915981.57,9.370532832,3.38E-03
