#
# Pleiades Cluster Gaia EDR3 Data
# Source: Heyl et al. 2021, arXiv:2110.03837
#
# parallax error (sig_p/p)<0.02
# Column 1: BP-RP
# Column 2: absolute G magnitude
# Column 3: parallax [mas] -- not used in plot
#
  BP-RP          MG          par
  1.0158  5.36514378  7.42999983
  0.994499981  5.49140882  7.82999992
  1.29120004  5.25369024  6.90999985
  1.0036  5.42803764  7.36999989
  0.999100029  5.47830772  7.48000002
  1.09119999  5.49650288  7.46999979
  1.06340003  5.42909575  7.17000008
  1.00969994  5.56840897  7.59000015
  1.02540004  5.54679966  7.51000023
  0.997799993  5.47838354  7.26000023
  0.99849999  5.57810879  7.59000015
  1.0079  5.56010246  7.46999979
  1.03349996  5.59224606  7.57999992
  1.05780005  5.50957203  7.26999998
  0.999599993  5.59940958  7.55999994
  1.05280006  5.5227375  7.28999996
  1.00940001  5.5597887  7.36000013
  1.02310002  5.56398058  7.34000015
  1.05209994  5.54333067  7.1500001
  1.00539994  5.61682224  7.38999987
  1.07959998  5.64940262  7.46999979
  1.0654  5.64822292  7.38999987
  1.04209995  5.6357193  7.32999992
  1.06900001  5.72682285  7.61000013
  1.08070004  5.5964303  7.1500001
  1.01989996  5.64267635  7.21000004
  1.24020004  5.59018517  7.01999998
  1.05400002  5.79563475  7.55000019
  1.08679998  5.79200268  7.46999979
  1.02699995  5.70016479  7.15999985
  1.1085  5.79186487  7.44000006
  1.09619999  5.83328009  7.57000017
  1.07599998  5.85788012  7.57000017
  1.04779994  5.78097248  7.26999998
  1.06480002  5.83959389  7.46000004
  1.10800004  5.84703732  7.36999989
  1.27170002  5.88870907  7.48999977
  1.10220003  6.00002337  7.63000011
  1.17120004  5.97728634  7.30999994
  1.29470003  6.03438139  7.44999981
  1.11140001  6.03904438  7.42999983
  1.12339997  6.03691959  7.42000008
  1.21060002  6.04383755  7.28999996
  1.14549994  6.11189938  7.51000023
  1.11140001  6.00664806  7.11000013
  1.24860001  6.08354473  7.19000006
  1.13569999  6.13315678  7.28000021
  1.18009996  6.26999664  7.73000002
  1.16480005  6.16085625  7.28000021
  1.27810001  6.19418907  7.36000013
  1.23959994  6.15177631  7.21000004
  1.17999995  6.14604473  7.19000006
  1.18200004  6.28953505  7.55000019
  1.62300003  6.19409132  7.13999987
  1.31589997  6.17258596  6.98999977
  1.20120001  6.27965546  7.32000017
  1.23399997  6.32890797  7.48000002
  1.41939998  6.29608917  7.36000013
  1.19780004  6.21287632  7.03000021
  1.21860003  6.40066671  7.63999987
  1.21570003  6.32633638  7.3499999
  1.22280002  6.37850761  7.48000002
  1.20809996  6.38535833  7.4000001
  1.53799999  6.38235664  7.28000021
  1.23080003  6.41571999  7.32999992
  1.27839994  6.59900904  7.82999992
  1.71309996  6.4886446  7.42999983
  1.34370005  6.52213764  7.36999989
  1.26590002  6.5402441  7.42999983
  1.30700004  6.51018715  7.30999994
  1.26230001  6.52001953  7.32999992
  1.26170003  6.56791973  7.42000008
  1.48329997  6.44847727  6.98000002
  1.35959995  6.61918926  7.51999998
  1.31910002  6.60599422  7.46000004
  1.30209994  6.63150883  7.48999977
  1.27079999  6.57958555  7.21999979
  1.3319  6.72553205  7.69000006
  1.32819998  6.68290615  7.5
  1.28079998  6.60118628  7.21999979
  1.30879998  6.65945864  7.4000001
  1.33019996  6.67283678  7.3499999
  1.35300004  6.76116753  7.5999999
  1.33130002  6.67227268  7.26999998
  1.35160005  6.70458889  7.36000013
  1.30869997  6.64204788  7.13000011
  1.38199997  6.72903681  7.3499999
  1.36559999  6.76979446  7.46000004
  1.36059999  6.79498959  7.51999998
  1.33889997  6.7486887  7.36000013
  1.36199999  6.7787652  7.44000006
  1.39330006  6.79019117  7.40999985
  1.36230004  6.76313782  7.28999996
  1.36319995  6.83318901  7.51999998
  1.37300003  6.79103708  7.3499999
  1.43640006  6.83238697  7.30999994
  1.69990003  6.92957544  7.61999989
  1.40149999  6.89241886  7.42000008
  1.47720003  6.87401962  7.32999992
  1.39380002  6.90239096  7.40999985
  1.58440006  6.89523649  7.3499999
  1.67449999  6.89347649  7.21000004
  1.46319997  6.93295574  7.32000017
  1.4382  6.9768815  7.44999981
  1.44669998  7.0327816  7.38000011
  1.46529996  7.08270741  7.48000002
  1.45350003  7.03793812  7.28999996
  1.43359995  7.02548552  7.21999979
  1.46430004  7.15549946  7.51000023
  1.46969998  7.14590263  7.46999979
  1.75339997  7.01358604  7.01999998
  1.50250006  7.20736647  7.63999987
  1.52980006  7.17545843  7.4000001
  1.57809997  7.30110836  7.75
  1.55219996  7.20195818  7.4000001
  1.51279998  7.21789122  7.40999985
  1.50539994  7.2435813  7.44999981
  1.56270003  7.35220337  7.46999979
  1.59239995  7.37058926  7.51999998
  1.54750001  7.34453773  7.36999989
  1.57060003  7.40350628  7.5
  1.59949994  7.41453743  7.28999996
  1.5855  7.42137241  7.26999998
  1.67739999  7.42377663  7.21000004
  1.92589998  7.45255661  7.28000021
  1.59689999  7.46288681  7.30999994
  1.74580002  7.52666521  7.44000006
  1.63590002  7.57724571  7.57999992
  1.64100003  7.56102276  7.38999987
  1.64020002  7.54058599  7.21999979
  1.70360005  7.61082268  7.38999987
  2.00929999  7.65600586  7.5
  1.66359997  7.60479259  7.23999977
  1.71669996  7.64378834  7.36000013
  1.67809999  7.6094923  7.23999977
  1.71969998  7.76160812  7.75
  1.64779997  7.66981888  7.42000008
  1.6947  7.69838095  7.44999981
  2.0467  7.66981983  7.32999992
  1.70570004  7.72228098  7.44999981
  1.72249997  7.76433516  7.55000019
  1.67089999  7.62527657  7.03000021
  1.97889996  7.7029562  7.28000021
  1.70459998  7.78108883  7.51999998
  1.76750004  7.81806755  7.5999999
  1.71710002  7.71749306  7.23999977
  1.79879999  7.75878  7.34000015
  1.8326  7.74068308  7.26000023
  1.72780001  7.79901886  7.42000008
  1.71130002  7.72156429  7.15999985
  1.69369996  7.68539047  7.01000023
  1.73950005  7.80243778  7.36999989
  1.72909999  7.81338882  7.36000013
  1.85080004  7.86040878  7.48999977
  1.72669995  7.78548574  7.21999979
  1.73500001  7.79598999  7.25
  1.78569996  7.95249796  7.78000021
  1.76970005  7.78349161  7.13999987
  1.82809997  7.99488068  7.84000015
  1.84730005  7.88392258  7.38999987
  1.84290004  7.9013195  7.42000008
  1.77999997  7.93039417  7.46000004
  1.86319995  7.89618063  7.34000015
  1.78120005  7.92786455  7.44000006
  1.78600001  7.93461895  7.42000008
  1.87329996  7.96960926  7.48999977
  1.81120002  7.92921925  7.32999992
  1.81879997  7.90277672  7.21000004
  1.81760001  7.99418116  7.44999981
  1.82630002  7.98315859  7.4000001
  1.83249998  8.0114193  7.42000008
  1.83959997  8.02194405  7.42999983
  1.82560003  8.02045822  7.4000001
  1.82190001  8.00521946  7.32999992
  1.82980001  8.01661968  7.32999992
  1.84759998  8.01901436  7.30000019
  1.83539999  8.04612255  7.38999987
  1.81739998  8.03465557  7.32000017
  1.90260005  8.02675629  7.28000021
  1.85339999  8.07556534  7.44000006
  1.8592  8.07223797  7.36999989
  1.85329998  8.03189182  7.23000002
  1.85350001  8.05401421  7.30000019
  1.90919995  8.16116714  7.63999987
  1.90509999  8.11919403  7.46000004
  1.80429995  7.97908545  6.98999977
  1.90900004  8.17136765  7.5999999
