#
# Pleiades Rotation Data (Godoy-Rivera et al. 2021)
#
# Reduced to 3 columns:
#  Period = rotation period in days
#  GaiaDR2_ID = star ID in the Gaia DR2 catalog
#  BP-RP = observed Gaia B-R color index
#
Period   GaiaDR2_ID            BP-RP     
0.2858   65294807253267328     2.6645489 
0.7563   65244646332548352     2.698223  
0.8136   65275020341243520     2.762803  
5.6763   69814388455816960     1.564805  
0.2494   63585036608738048     3.184926  
2.3386   65196370900147968     1.0486097 
0.6325   65298483745290368     2.6823597 
2.7793   65295425728422528     0.8384485 
0.8002   65170016980919808     2.8170948 
1.78     65267078945207296     2.6714725 
0.7571   65163110673516928     2.915784  
0.4849   65196405259884544     2.7919922 
5.8883   65161976802151680     1.7275953 
0.2388   65161560188203776     3.2170334 
0.5888   69807963184755840     2.938613  
0.9368   63052048347383168     0.68634415
7.0949   65194584193758336     1.1299181 
0.3337   65169943964429952     3.2870226 
0.4623   64797523056344064     2.9776    
2.9317   63592767549850112     0.751853  
0.9335   64871740091177600     2.9538155 
0.3473   65297594689312768     2.6311283 
0.7676   64798038452412928     2.8487291 
0.2594   65195404530870144     2.669033  
2.0103   65280552259109760     2.799594  
0.3403   65165653294149760     3.1344852 
2.1851   65270450496044416     2.438326  
0.1903   65168844452782208     3.1548843 
0.8545   66802207632871808     2.5176582 
7.0681   69819404977607168     0.6286812 
1.1468   66798977817468288     2.7189217 
1.2481   69810093488518784     2.2304296 
1.8128   69819027020489088     0.69124794
0.941    65282098447322752     2.6450014 
1.2096   64768763955442944     2.814166  
0.2958   65175480179315840     2.8570576 
2.1929   65281239453865856     2.2249298 
0.3976   65281166437426176     1.6062174 
0.5883   64874454510493440     3.1653023 
0.3334   66804406656115328     2.8957634 
0.347    65216363971331072     2.7540264 
0.8158   65269935099961600     2.8627968 
0.8383   65277975278721152     0.7296572 
3.7965   65222518661019520     1.8322735 
0.1958   63593798341985152     3.4507618 
3.0876   64956127609464320     0.03437233
2.4271   65284228751087872     2.4765387 
0.4114   65279418387728896     2.4530563 
0.6841   64982344089813248     2.9091682 
0.5743   64857721317916032     3.0116816 
0.2184   65228772133391488     2.7209473 
3.9585   65201039527567232     1.7165222 
5.8529   66801795315987584     3.3416157 
0.3745   65280071222749824     2.5570307 
0.5785   64981137202021376     1.3969898 
0.4336   65216643145862144     2.520113  
0.728    65229184450247296     2.9053192 
9.8931   64856312568645248     1.774396  
1.1298   66800180408292992     2.4725904 
1.1297   66800244832257280     2.9857407 
7.0484   66799763794633856     1.3542929 
3.9299   64971933089093760     1.654356  
0.8677   64796045587678208     2.9858608 
0.4625   63485427727244544     2.8351517 
2.8527   64971177174850304     0.80635834
5.9772   66800592725150848     1.0632076 
0.5507   64984951133439232     3.0165892 
1.3879   65224442806459008     1.8048096 
0.3079   64795289673433728     3.200327  
5.5174   66807464672814336     2.5274477 
6.3758   66811450402457216     1.7055159 
0.3742   64952068862923520     3.4310913 
0.6772   64951626483855744     3.2811394 
0.3797   64981863053470592     3.2951422 
3.231    66788291938818304     0.82882595
