#
# Main-sequence Mass-Luminosity-Radius data from Eker et al. 2018, MNRAS, 479, 5491
# Derived from a CSV file provided by Eker to the authors.
#
# Columns are logarithmic mass, radius, gravity, and luminosity, with errors
# all in solar units
#
ID     logM       errM       logR       errR       logg       errg       logL       errL   
419    0.26482    0.04248    0.30320    0.01945    4.09700    0.05800    1.17345    0.04541
420    0.23805    0.04268    0.22531    0.02068    4.22600    0.05900    1.05569    0.04773
421   -0.00218    0.00131    0.04179    0.00276    4.35300    0.00600    0.03102    0.03499
422   -0.03198    0.00140   -0.01278    0.00403    4.43200    0.00800   -0.13167    0.04804
423    0.03687    0.00124    0.15238    0.00177    4.17000    0.00400    0.26611    0.03278
424   -0.08134    0.00136   -0.09707    0.00081    4.55100    0.00200   -0.53854    0.03099
425   -0.01909    0.00454    0.04179    0.00394    4.33600    0.00900   -0.07713    0.05741
426   -0.06601    0.01011   -0.07007    0.00510    4.51200    0.01400   -0.41406    0.04544
427    0.12872    0.00646    0.11760    0.00994    4.33200    0.02100    0.36227    0.05065
428    0.09202    0.00703    0.06070    0.00755    4.40900    0.01700    0.18435    0.04703
429    0.07555    0.00620    0.20303    0.00218    4.10800    0.00800    0.47337    0.02607
434    0.32325    0.02352    0.42325    0.03540    3.91500    0.07500    1.32969    0.08105
435   -0.33442    0.02345   -0.31876    0.01990    4.74100    0.04600   -1.50358    0.10918
436   -0.45469    0.02351   -0.42597    0.02316    4.83600    0.05200   -1.80330    0.11918
437    0.30103    0.00630    0.39568    0.00227    3.94800    0.00800    1.43799    0.03565
438    0.34792    0.00507    0.55522    0.00339    3.67600    0.00800    1.70976    0.03874
440    0.20602    0.00189    0.20548    0.00433    4.23300    0.00900    0.83339    0.03344
441   -0.30277    0.01657   -0.30452    0.01138    4.74500    0.02800   -1.47906    0.07243
442   -0.31785    0.01535   -0.31966    0.01179    4.76000    0.02800   -1.54042    0.07413
443   -0.38722    0.02436   -0.40012    0.02073    4.85100    0.04800   -1.76675    0.10971
444   -0.42481    0.02772   -0.40561    0.02100    4.82500    0.05000   -1.77983    0.11032
445   -0.03527    0.00330   -0.05552    0.00148    4.51400    0.00400   -0.14507    0.04593
446   -0.16431    0.00317   -0.19382    0.00407    4.66200    0.00900   -0.71523    0.04630
447    0.20493    0.00596    0.24155    0.00149    4.16000    0.00700    0.98375    0.05939
448    0.15198    0.00337    0.18865    0.00113    4.21300    0.00400    0.73849    0.06459
449    0.14239    0.00501    0.12937    0.00742    4.32200    0.01600    0.45436    0.04172
450    0.12840    0.00420    0.12189    0.00754    4.32300    0.01600    0.42319    0.04223
453    0.09202    0.00703    0.14582    0.00217    4.23900    0.00800    0.45742    0.04538
454    0.03583    0.00720    0.04060    0.00158    4.39300    0.00800    0.12812    0.04711
455    0.36829    0.00316    0.26928    0.00280    4.26800    0.00600    1.60265    0.03823
456    0.35411    0.00307    0.25720    0.00360    4.27800    0.00800    1.52885    0.04077
458    0.84510    0.00869    0.58195    0.00546    4.12000    0.01400    3.54270    0.10275
460   -0.42481    0.01964   -0.45905    0.01012    4.93200    0.02800   -1.80709    0.12568
464   -0.01412    0.00179   -0.01502    0.00270    4.45400    0.00500   -0.03065    0.04303
465    0.25285    0.02669    0.39270    0.01231    3.90600    0.03600    1.18144    0.13963
467    0.24551    0.01727    0.35603    0.00574    3.97200    0.02100    1.05358    0.03620
468    0.25285    0.01698    0.50379    0.00545    3.68400    0.02000    1.31818    0.03606
469    0.13354    0.02650    0.15897    0.00663    4.25400    0.03000    0.55553    0.05341
470    0.13290    0.03134    0.15320    0.02197    4.26500    0.05400    0.54611    0.08406
471    0.24846    0.02917    0.19866    0.01374    4.28900    0.04000    1.11009    0.08739
472    0.12352    0.02255    0.10653    0.01359    4.34900    0.03500    0.47206    0.08812
477   -0.25414    0.00078   -0.28483    0.00920    4.75400    0.01800   -1.34687    0.05607
478   -0.27165    0.00081   -0.34104    0.00667    4.84900    0.01300   -1.49735    0.05183
479    0.25888    0.02417    0.30341    0.00864    4.09000    0.03000    0.62419    0.02920
483    1.22084    0.02356    0.87379    0.00703    3.91200    0.02700    4.64231    0.07490
484    1.21157    0.02399    0.87379    0.00703    3.90200    0.02800    4.64231    0.07490
485    0.25648    0.00722    0.34537    0.00392    4.00400    0.01100    1.03820    0.05712
486    0.25382    0.00726    0.35698    0.00382    3.97800    0.01100    1.04905    0.05727
488    0.73560    0.00239    0.54481    0.01102    4.08400    0.02200    3.08937    0.07155
489    0.23980    0.00375    0.26788    0.00328    4.14200    0.00800    1.03844    0.04036
490    0.14860    0.00278    0.17289    0.00408    4.24100    0.00900    0.63639    0.04636
493    0.19312    0.00557    0.31639    0.00629    3.99900    0.01400    0.94287    0.03322
494    0.14829    0.00617    0.22063    0.00784    4.14500    0.01700    0.72803    0.03584
495    0.19285    0.02368    0.38543    0.00822    3.86000    0.02900    1.20248    0.04462
496    0.09621    0.02575    0.19756    0.00827    4.13900    0.03100    0.71199    0.04663
497    0.26951    0.01401    0.22531    0.00517    4.25700    0.01700    0.96252    0.03276
498    0.19866    0.01374    0.16732    0.00591    4.30200    0.01800    0.60783    0.11468
503    1.17609    0.00579    0.80346    0.00205    4.00800    0.00700    4.58221    0.03667
504    1.08279    0.02871    0.75740    0.00152    4.00600    0.02900    4.43157    0.06199
507    1.03635    0.00947    0.90233    0.00658    3.67000    0.01600    4.13102    0.04692
508    0.79470    0.00927    0.48714    0.00566    4.25900    0.01500    3.15089    0.04347
509    1.24846    0.00858    0.76230    0.00683    4.16200    0.01600    4.56385    0.02413
510    1.24871    0.00735    0.76462    0.00470    4.15800    0.01200    4.58521    0.01148
511   -0.02319    0.00550   -0.04769    0.00630    4.51100    0.01400   -0.25675    0.07370
512   -0.08566    0.00688   -0.07263    0.00719    4.49800    0.01600   -0.49480    0.03866
513    0.03862    0.02781    0.06483    0.02244    4.34700    0.05300    0.19696    0.05994
515    0.10755    0.00509    0.20844    0.00457    4.12900    0.01000    0.53553    0.03725
516   -0.03105    0.00327   -0.01144    0.00892    4.43000    0.01800   -0.17108    0.06700
517    0.24846    0.00172    0.46210    0.00719    3.76300    0.01400    1.19611    0.04012
518    0.22531    0.00155    0.36736    0.00820    3.92900    0.01600    1.05735    0.04140
519   -0.07624    0.00880   -0.07212    0.00615    4.50600    0.01500   -0.48276    0.06716
520   -0.14630    0.00791   -0.14267    0.01025    4.57700    0.02200   -0.82939    0.09461
521    0.33264    0.00404    0.32284    0.00620    4.12500    0.01300    1.35845    0.05233
522    0.12450    0.00326    0.12090    0.00329    4.32100    0.00700    0.43474    0.08737
523    0.30621    0.00429    0.19838    0.00413    4.34800    0.00900    1.16843    0.04685
524    0.04999    0.00387    0.11893    0.00495    4.25000    0.01100    0.21605    0.06781
525    0.26007    0.00477    0.34439    0.00197    4.01000    0.00600    1.22296    0.08138
526    0.24797    0.00491    0.29226    0.00222    4.10200    0.00700    1.06246    0.10729
527    0.13893    0.00284    0.20844    0.00134    4.16000    0.00400    0.55176    0.01717
528    0.13893    0.00284    0.20763    0.00135    4.16200    0.00400    0.56070    0.02013
529    0.10992    0.00573    0.21032    0.00161    4.12800    0.00700    0.55328    0.01715
530   -0.05998    0.00399   -0.04721    0.00145    4.47300    0.00500   -0.29215    0.01977
532    0.03060    0.00931   -0.02965    0.01162    4.52800    0.02500   -0.10258    0.03251
533    0.81111    0.02898    0.56972    0.00351    4.11000    0.03000    3.25428    0.04265
534    0.69897    0.03222    0.46805    0.00443    4.20100    0.03300    2.88818    0.04849
535    0.17667    0.00231    0.36661    0.00317    3.88200    0.00700    0.89983    0.08018
536    0.12808    0.00259    0.23198    0.00993    4.10200    0.02000    0.71072    0.08069
537    0.29469    0.01322    0.17869    0.00863    4.37600    0.02200    1.07015    0.07717
538    0.17696    0.02889    0.19005    0.00841    4.23500    0.03300    0.72361    0.08350
539    0.58365    0.03965    0.68958    0.01598    3.64300    0.05100    2.49942    0.11091
540    0.51733    0.04223    0.38952    0.01948    4.17700    0.05700    1.88344    0.11068
541    0.16997    0.00587    0.31323    0.00845    3.98200    0.01800    0.79226    0.04425
543    0.36624    0.00860    0.60173    0.00326    3.60100    0.01100    1.80279    0.05448
544    0.40364    0.00840    0.43265    0.00401    3.97700    0.01200    1.61208    0.05697
545    0.07737    0.00036    0.12090    0.00197    4.27400    0.00400    0.33211    0.01680
546    0.01452    0.00042    0.00087    0.00217    4.45100    0.00400   -0.01916    0.01956
547   -0.03245    0.00281    0.07664    0.00146    4.25300    0.00400    0.14967    0.03307
548   -0.06048    0.00200   -0.01323    0.00179    4.40400    0.00400   -0.09146    0.05045
549    1.19215    0.00564    0.80516    0.00748    4.02000    0.01600    4.46770    0.07306
550    1.13716    0.00640    0.76819    0.00963    4.03900    0.02000    4.31655    0.08000
551    0.36810    0.00279    0.51957    0.00499    3.76700    0.01000    1.65964    0.04156
552    0.36097    0.00473    0.47509    0.00509    3.84900    0.01100    1.62255    0.04084
553    0.41078    0.00843    0.32469    0.04133    4.20000    0.08300    1.65543    0.16699
554    0.39410    0.00876    0.30341    0.04341    4.22600    0.08700    1.62965    0.17033
557    0.09482    0.00279    0.12646    0.00389    4.28000    0.00800    0.36311    0.02615
558   -0.02411    0.00275   -0.01954    0.00545    4.45300    0.01100   -0.22539    0.04776
559    1.07177    0.00515    0.74225    0.00951    4.02600    0.02000    4.24635    0.08041
560    1.04403    0.00549    0.70157    0.01045    4.07900    0.02200    4.12775    0.08361
561    0.44044    0.00945    0.35353    0.00308    4.17200    0.01100    1.69411    0.04879
562    0.44963    0.00771    0.36135    0.00397    4.16500    0.01100    1.71265    0.05049
563    0.09342    0.01051    0.10312    0.00514    4.32600    0.01500    0.30083    0.07127
564   -0.04239    0.00958   -0.04287    0.00623    4.48200    0.01600   -0.43087    0.05285
565    0.37967    0.00399    0.41363    0.00218    3.99100    0.00600    1.64183    0.03260
566    0.27898    0.00366    0.25018    0.00244    4.21700    0.00600    1.18291    0.02926
567   -0.32883    0.00185   -0.35556    0.00197    4.82100    0.00400   -1.60012    0.09431
568   -0.41680    0.00113   -0.42713    0.00232    4.87600    0.00500   -1.81501    0.09883
571    0.77100    0.01472    0.70449    0.00515    3.80000    0.01800    3.30580    0.06079
572    0.27161    0.01394    0.20520    0.00812    4.30000    0.02100    1.00973    0.05887
573    0.17319    0.01166    0.31639    0.02934    3.97900    0.06000    0.80948    0.12121
575    0.41111    0.01652    0.26079    0.00715    4.32800    0.02200    1.59380    0.04676
576    0.30471    0.01809    0.23477    0.00632    4.27400    0.02200    1.29162    0.05390
577    0.12385    0.00294    0.20493    0.00406    4.15200    0.00900    0.60818    0.03766
578    0.12320    0.00262    0.19562    0.01107    4.17000    0.02200    0.58956    0.05168
579    0.15045    0.00215    0.29776    0.00175    3.99300    0.00400    0.73790    0.02707
580    0.09934    0.00173    0.16791    0.00502    4.20200    0.01000    0.49338    0.01828
581    0.10619    0.00150    0.09114    0.00218    4.36200    0.00500    0.40591    0.04406
582    0.09726    0.00146    0.07751    0.00193    4.38100    0.00400    0.36004    0.04397
583    0.55835    0.01321    0.51068    0.00670    3.97500    0.01900    2.50381    0.05827
584    0.23121    0.01020    0.14644    0.00620    4.37700    0.01600    1.29892    0.07312
585    0.30643    0.01415    0.36324    0.00527    4.01800    0.01800    1.57368    0.08446
586    0.20952    0.01555    0.14301    0.00687    4.36200    0.02100    0.97872    0.09455
