#
# Stars with well-determined mass-loss rates
# Source: Cranmer & Saar 2011
#
# Column 1: ID number: large negative integer = HIP,
#                      positive integer = HD,
#                      others explained in references
# Column 2: Teff [Kelvin]
# Column 3: log (L/L_sun)
# Column 4: log (Mdot) [units = Msun/Myr]
#
starID   Teff     logL    logMdot
115617    5560   -0.095  -8.22  
115842    25500   5.65    0.30   
118322    2865    4.10    -0.11  
119516    5440    1.766   -2.38  
120285    2160    4.90    -0.83  
121135    4925    2.158   -2.23  
122879    28000   5.52    0.48   
122956    4600    2.344   -2.03  
124268    2695    4.22    -0.36  
124897    4290    2.230   -3.60  
126327    2365    4.34    -0.72  
128033    2655    3.91    -0.70  
131873    4040    2.677   -4.01  
134453    2710    4.18    -0.74  
135148    4275    2.494   -1.83  
135591    35400   5.46    -0.81  
136543    2695    3.76    -0.55  
141826    2090    3.81    0.11   
144205    2670    4.05    -0.55  
148182    3010    3.59    -0.85  
148184    20000   3.80    -1.5   
149038    30900   5.78    0.52   
149404    32000   6.05    1.09   
149438    31900   4.39    -1.21  
149757    32300   5.05    -1.18  
150798    4150    3.740   -3.77  
151084    34000   6.14    1.00   
151804    33900   5.98    0.96   
152233    37500   5.74    0.51   
152234    26000   5.87    0.43   
152236    19200   6.08    1.12   
152249    31900   5.70    0.07   
152408    33900   5.98    1.30   
152424    30000   5.70    0.50   
152667    25000   5.75    0.75   
156014    3335    4.13    -0.32  
158377    2440    3.94    -0.64  
158427    20000   3.50    -1.6   
160435    2545    3.79    -0.18  
161511    2785    3.90    -0.42  
162211    6550    3.843   -2.00  
163758    37200   5.96    0.79   
164058    3985    2.728   -5.06  
164284    20000   3.90    -1.7   
164353    15500   4.30    -1.22  
164794    46400   6.02    0.54   
166937    11200   5.13    0.23   
169454    20700   5.91    0.73   
169689    4900    2.753   -4.68  
173291    2780    3.70    -0.59  
174325    2755    3.96    0.75   
176200    2700    3.90    -0.52  
177336    2525    4.15    -0.18  
177940    2230    4.65    -0.03  
180953    2960    3.73    -0.72  
183556    3090    4.10    -0.43  
184283    2790    4.16    -0.11  
185859    26000   5.54    -0.30  
18801     34200   5.88    0.92   
188915    2520    4.20    -0.33  
189256    2655    3.50    -0.64  
190066    21000   5.54    -0.15  
190429    41600   6.00    0.78   
190603    19200   5.54    0.79   
190606    2630    3.73    -0.62  
190864    39000   5.56    0.16   
191243    14500   5.30    -0.08  
191738    2600    3.58    -0.72  
192443    3100    3.92    -0.70  
192639    35000   5.68    0.80   
192660    30000   5.74    0.70   
192737    2480    3.87    -0.64  
193183    18500   5.00    -0.64  
193237    19700   5.93    1.30   
193514    36200   5.78    0.58   
193680    2650    3.87    0.00   
193682    40000   5.60    0.24   
195636    5370    1.793   -2.05  
198478    16200   5.25    0.08   
201091    4425   -0.815  -8.00  
202874    2990    4.04    -0.77  
203064    36000   5.52    0.12   
203133    2945    3.83    -0.64  
204172    28500   5.48    -0.24  
206165    18000   5.18    -0.30  
206362    2240    4.06    0.46   
206570    2950    4.22    -0.35  
206750    2675    4.12    0.15   
206939    3400    4.55    0.22   
207198    33500   5.46    0.22   
208512    2580    4.07    -0.46  
209100    4635   -0.636  -8.00  
209890    2925    3.21    -1.00  
209975    32200   5.58    0.14   
210809    31500   5.60    0.72   
210839    37500   5.88    0.59   
213087    27000   5.69    -0.15  
214680    36000   5.01    -1.22  
215484    2985    3.78    -0.64  
217086    39000   5.25    -0.68  
217476    5050    5.30    1.08   
222800    2365    4.34    -1.43  
223075    3125    3.93    -0.49  
224014    5130    5.38    0.50   
224090    2365    4.34    -0.21  
224855    3095    4.08    -0.89  
303308    44500   5.68    0.26   
