#
# Solar Spectrum
# Source:
#   Spectrum: ASTM E-490-000 Solar Spectrum
#   Blackbody: T=5772K
# Lam: wavelength in Angstroms
# Sun: Solar spectral irradiance in erg/s/cm^2/A
# bb5772: T=5772K black body irradiance in erg/s/cm^2/A
#
Lam      Sun          bb5772
  281.5  208.300003  652.870361
  282.5  294.100006  661.824341
  283.5  313.500000  670.795105
  284.5  235.300003  679.780945
  285.5  163.100006  688.781006
  286.5  322.700012  697.793213
  287.5  336.299988  706.816528
  288.5  322.200012  715.850159
  289.5  472.700012  724.891846
  290.5  601.299988  733.941101
  291.5  580.799988  742.996399
  292.5  521.900024  752.056458
  293.5  535.500000  761.119751
  294.5  508.799988  770.185059
  295.5  553.200012  779.251221
  296.5  509.600006  788.317322
  297.5  507.299988  797.381592
  298.5  465.500000  806.443176
  299.5  484.000000  815.500671
  300.5  420.000000  824.552795
  301.5  455.500000  833.598755
  302.5  489.000000  842.636841
  303.5  620.599976  851.666382
  304.5  602.500000  860.686401
  305.5  594.799988  869.694885
  306.5  555.700012  878.691101
  307.5  615.000000  887.674072
  308.5  611.400024  896.642944
  309.5  496.500000  905.59668
  310.5  622.400024  914.533569
  311.5  729.200012  923.452454
  312.5  655.900024  932.353088
  313.5  699.900024  941.234131
  314.5  662.900024  950.094238
  315.5  633.000000  958.933105
  316.5  633.200012  967.749146
  317.5  773.900024  976.541565
  318.5  664.900024  985.309448
  319.5  710.500000  994.051636
  320.5  805.099976  1002.7677
  321.5  699.500000  1011.45612
  322.5  688.599976  1020.11646
  323.5  661.299988  1028.74768
  324.5  760.799988  1037.34888
  325.5  875.799988  1045.91931
  326.5  979.500000  1054.45789
  327.5  952.700012  1062.96436
  328.5  917.599976  1071.43701
  329.5  1061.00000  1079.87585
  330.5  1016.00000  1088.27966
  331.5  965.700012  1096.64807
  332.5  954.900024  1104.97998
  333.5  921.599976  1113.27466
  334.5  958.900024  1121.53162
  335.5  943.400024  1129.74976
  336.5  809.500000  1137.92932
  337.5  841.799988  1146.06848
  338.5  921.500000  1154.16724
  339.5  958.099976  1162.22449
  340.5  1007.00000  1170.24023
  341.5  923.799988  1178.2135
  342.5  993.000000  1186.14368
  343.5  950.599976  1194.03027
  344.5  795.700012  1201.87244
  345.5  939.200012  1209.67004
  346.5  926.400024  1217.42212
  347.5  901.700012  1225.12866
  348.5  897.200012  1232.78857
  349.5  889.799988  1240.40161
  350.5  1050.00000  1247.96765
  351.5  979.500000  1255.4856
  352.5  907.900024  1262.95532
  353.5  1033.00000  1270.37622
  354.5  1111.00000  1277.74792
  355.5  1045.00000  1285.06995
  356.5  912.299988  1292.34229
  357.5  796.000000  1299.56409
  358.5  693.599976  1306.73486
  359.5  991.099976  1313.8551
  360.5  970.799988  1320.92297
  361.5  878.099976  1327.9397
  362.5  997.799988  1334.90393
  363.5  996.900024  1341.81567
  364.5  1013.00000  1348.6748
  365.5  1152.00000  1355.48047
  366.5  1233.00000  1362.23267
  367.5  1180.00000  1368.93152
  368.5  1101.00000  1375.57642
  369.5  1226.00000  1382.16687
  370.5  1139.00000  1388.703
  371.5  1175.00000  1395.18457
  372.5  1054.00000  1401.61072
  373.5  920.200012  1407.98242
  374.5  900.400024  1414.29883
  375.5  1062.00000  1420.55957
  376.5  1085.00000  1426.76465
  377.5  1282.00000  1432.91418
  378.5  1327.00000  1439.00745
  379.5  1066.00000  1445.04468
  380.5  1202.00000  1451.02576
  381.5  1082.00000  1456.95032
  382.5  791.299988  1462.81873
  383.5  684.099976  1468.63025
  384.5  959.700012  1474.38501
  385.5  1008.00000  1480.08337
  386.5  1007.00000  1485.72473
  387.5  1004.00000  1491.30884
  388.5  984.299988  1496.83655
  389.5  1174.       1502.30664
  390.5  1247.       1507.71985
  391.5  1342.       1513.07642
  392.5  1019.       1518.37549
  393.5  582.299988  1523.61768
  394.5  1026.       1528.80237
  395.5  1314.       1533.92993
  396.5  854.5       1539.00073
  397.5  928.799988  1544.01392
  398.5  1522.	     1548.97021
  399.5  1663.	     1553.86914
  400.5  1682.	     1558.71118
  401.5  1746.	     1563.49634
  402.5  1759.	     1568.22473
  403.5  1684.	     1572.89563
  404.5  1674.	     1577.51025
  405.5  1667.	     1582.06799
  406.5  1589.	     1586.56897
  407.5  1628.	     1591.01331
  408.5  1735.	     1595.40051
  409.5  1715.	     1599.73242
  410.5  1532.	     1604.00708
  411.5  1817.	     1608.22607
  412.5  1789.	     1612.38867
  413.5  1756.	     1616.49524
  414.5  1737.	     1620.54626
  415.5  1734.	     1624.54126
  416.5  1842.	     1628.48059
  417.5  1665.	     1632.3645
  418.5  1684.	     1636.19287
  419.5  1701.	     1639.96631
  420.5  1757.	     1643.68506
  421.5  1797.	     1647.34851
  422.5  1582.	     1650.95728
  423.5  1711.	     1654.51135
  424.5  1767.	     1658.0116
  425.5  1695.	     1661.4574
  426.5  1698.	     1664.84888
  427.5  1569.	     1668.18701
  428.5  1587.	     1671.47119
  429.5  1475.	     1674.70178
  430.5  1135.	     1677.87927
  431.5  1686.	     1681.00354
  432.5  1646.	     1684.07556
  433.5  1731.	     1687.09436
  434.5  1670.	     1690.06091
  435.5  1723.	     1692.97534
  436.5  1929.	     1695.83752
  437.5  1806.	     1698.64832
  438.5  1567.	     1701.40735
  439.5  1825.	     1704.11487
  440.5  1713.	     1706.77136
  441.5  1931.	     1709.37695
  442.5  1980.	     1711.93176
  443.5  1909.	     1714.4364
  444.5  1973.	     1716.89099
  445.5  1821.	     1719.29529
  446.5  1891.	     1721.65027
  447.5  2077.	     1723.95557
  448.5  1973.	     1726.21179
  449.5  2027.	     1728.4187
  450.5  2144.	     1730.57751
  451.5  2109.	     1732.68774
  452.5  1941.	     1734.74927
  453.5  1970.	     1736.76306
  454.5  1979.	     1738.72961
  455.5  2034.	     1740.6488
  456.5  2077.	     1742.52002
  457.5  2100.	     1744.34473
  458.5  1971.	     1746.12366
  459.5  2009.	     1747.85522
  460.5  2040.	     1749.54126
  461.5  2055.	     1751.18115
  462.5  2104.	     1752.77563
  463.5  2040.	     1754.32495
  464.5  1976.	     1755.82922
  465.5  2042.	     1757.28894
  466.5  1921.	     1758.70386
  467.5  2015.	     1760.07507
  468.5  1994.	     1761.40161
  469.5  1990.	     1762.6853
  470.5  1877.	     1763.92554
  471.5  2018.	     1765.12256
  472.5  2041.	     1766.27661
  473.5  1991.	     1767.38867
  474.5  2051.	     1768.45789
  475.5  2016.	     1769.48621
  476.5  1956.	     1770.4718
  477.5  2075.	     1771.41663
  478.5  2009.	     1772.32007
  479.5  2076.	     1773.18311
  480.5  2035.	     1774.00525
  481.5  2090.	     1774.78735
  482.5  2023.	     1775.52966
  483.5  2019.	     1776.23181
  484.5  1969.	     1776.89502
  485.5  1830.	     1777.51917
  486.5  1625.	     1778.10437
  487.5  1830.	     1778.65088
  488.5  1914.	     1779.1593
  489.5  1960.	     1779.62976
  490.5  2007.	     1780.0625
  491.5  1896.	     1780.45825
  492.5  1896.	     1780.81665
  493.5  1888.	     1781.13794
  494.5  2058.	     1781.42285
  495.5  1926.	     1781.67175
  496.5  2017.	     1781.88416
  497.5  2018.	     1782.06128
  498.5  1866.	     1782.20288
  499.5  1970.	     1782.30969
  500.5  1857.  1782.38123
  501.5  1812.  1782.41821
  502.5  1894.  1782.42151
  503.5  1934.  1782.39001
  504.5  1869.  1782.32556
  505.5  1993.  1782.22705
  506.5  1961.  1782.09546
  507.5  1906.  1781.93079
  508.5  1919.  1781.73389
  509.5  1916.  1781.50464
  510.5  1947.  1781.24316
  511.5  1997.  1780.9502
  512.5  1867.  1780.62524
  513.5  1861.  1780.26929
  514.5  1874.  1779.88269
  515.5  1900.  1779.4646
  516.5  1669.  1779.0166
  517.5  1726.  1778.53857
  518.5  1654.  1778.03027
  519.5  1828.  1777.49268
  520.5  1831.  1776.92578
  521.5  1906.  1776.32922
  522.5  1823.  1775.7041
  523.5  1894.  1775.05066
  524.5  1958.  1774.36865
  525.5  1930.  1773.65869
  526.5  1674.  1772.9209
  527.5  1828.  1772.1554
  528.5  1897.  1771.36292
  529.5  1918.  1770.54333
  530.5  1952.  1769.69739
  531.5  1963.  1768.82434
  532.5  1770.  1767.92542
  533.5  1923.  1767.00049
  534.5  1858.  1766.04944
  535.5  1990.  1765.07324
  536.5  1871.  1764.07166
  537.5  1882.  1763.04517
  538.5  1904.  1761.99414
  539.5  1832.  1760.91846
  540.5  1769.  1759.81824
  541.5  1881.  1758.69446
  542.5  1825.  1757.54663
  543.5  1879.  1756.37561
  544.5  1879.  1755.18079
  545.5  1901.  1753.9635
  546.5  1879.  1752.72327
  547.5  1833.  1751.45996
  548.5  1863.  1750.17505
  549.5  1895.  1748.86731
  550.5  1862.  1747.53821
  551.5  1871.  1746.18762
  552.5  1846.  1744.81519
  553.5  1882.  1743.42163
  554.5  1898.  1742.00732
  555.5  1897.  1740.57239
  556.5  1821.  1739.11682
  557.5  1846.  1737.64087
  558.5  1787.  1736.14526
  559.5  1808.  1734.62964
  560.5  1843.  1733.09448
  561.5  1824.  1731.53943
  562.5  1850.  1729.96558
  563.5  1861.  1728.37244
  564.5  1854.  1726.76135
  565.5  1798.  1725.1311
  566.5  1829.  1723.48279
  567.5  1887.  1721.81604
  568.5  1810.  1720.13171
  569.5  1860.  1718.42957
  570.5  1769.  1716.71021
  571.5  1823.  1714.97351
  572.5  1892.  1713.21973
  573.5  1876.  1711.4491
  574.5  1867.  1709.66125
  575.5  1830.  1707.85779
  576.5  1846.  1706.0376
  577.5  1857.  1704.20117
  578.5  1783.  1702.34949
  579.5  1828.  1700.48206
  580.5  1838.  1698.59863
  581.5  1853.  1696.7002
  582.5  1873.  1694.78662
  583.5  1857.  1692.8584
  584.5  1860.  1690.91541
  585.5  1783.  1688.9574
  586.5  1830.  1686.98547
  587.5  1848.  1684.99927
  588.5  1750.  1682.99939
  589.5  1612.  1680.98535
  590.5  1813.  1678.95789
  591.5  1787.  1676.91687
  592.5  1808.  1674.86292
  593.5  1796.  1672.79553
  594.5  1773.  1670.71545
  595.5  1782.  1668.62256
  596.5  1805.  1666.51758
  597.5  1780.  1664.39978
  598.5  1757.  1662.26953
  599.5  1774.  1660.12769
  600.5  1746.  1657.974
  601.5  1751.  1655.80823
  602.5  1719.  1653.63123
  603.5  1787.  1651.4425
  604.5  1776.  1649.24329
  605.5  1763.  1647.03223
  606.5  1759.  1644.81079
  607.5  1757.  1642.57874
  608.5  1743.  1640.33569
  609.5  1744.  1638.08252
  610.5  1703.  1635.81897
  611.5  1746.  1633.54553
  612.5  1705.  1631.26208
  613.5  1683.  1628.96899
  614.5  1713.  1626.66577
  615.5  1713.  1624.35315
  616.5  1609.  1622.03149
  617.5  1707.  1619.70068
  618.5  1724.  1617.36072
  619.5  1707.  1615.01172
  620.5  1734.  1612.6543
  621.5  1690.  1610.28796
  622.5  1713.  1607.91309
  623.5  1666.  1605.53027
  624.5  1656.  1603.13904
  625.5  1632.  1600.73999
  626.5  1697.  1598.33252
  627.5  1697.  1595.91797
  628.5  1697.  1593.49536
  629.5  1677.  1591.06506
  631.  1639.  1587.40613
  633.  1651.  1582.50244
  635.  1656.  1577.57117
  637.  1654.  1572.61328
  639.  1651.  1567.62964
  641.  1614.  1562.62158
  643.  1621.  1557.58948
  645.  1627.  1552.53479
  647.  1603.  1547.45825
  649.  1558.  1542.36084
  651.  1606.  1537.24377
  653.  1599.  1532.10718
  655.  1532.  1526.95251
  657.  1384.  1521.78027
  659.  1549.  1516.59143
  661.  1571.  1511.38708
  663.  1555.  1506.16785
  665.  1560.  1500.9342
  667.  1535.  1495.6875
  669.  1546.  1490.4281
  671.  1516.  1485.15662
  673.  1521.  1479.87427
  675.  1510.  1474.58142
  677.  1508.  1469.27893
  679.  1498.  1463.96765
  681.  1492.  1458.64771
  683.  1479.  1453.32056
  685.  1455.  1447.98621
  687.  1467.  1442.64563
  689.  1461.  1437.29919
  691.  1448.  1431.94751
  693.  1448.  1426.59143
  695.  1436.  1421.23157
  697.  1416.  1415.86829
  699.  1425.  1410.50232
  701.  1386.  1405.13416
  703.  1388.  1399.76416
  705.  1415.  1394.39307
  707.  1400.  1389.02161
  709.  1384.  1383.64978
  711.  1385.  1378.27832
  713.  1373.  1372.90833
  715.  1366.  1367.53906
  717.  1354.  1362.17175
  719.  1328.  1356.80713
  721.  1331.  1351.44458
  723.  1348.  1346.08569
  725.  1350.  1340.73035
  727.  1346.  1335.37903
  729.  1319.  1330.03223
  731.  1326.  1324.69006
  733.  1318.  1319.35339
  735.  1309.  1314.02209
  737.  1307.  1308.69678
  739.  1278.  1303.37793
  741.  1258.  1298.06567
  743.  1286.  1292.76062
  745.  1279.  1287.46289
  747.  1283.  1282.1731
  749.  1270.  1276.89111
  751.  1262.  1271.61755
  753.  1259.  1266.35278
  755.  1255.  1261.09668
  757.  1248.  1255.8501
  759.  1240.  1250.61316
  761.  1237.  1245.38586
  763.  1241.  1240.1687
  765.  1221.  1234.96204
  767.  1185.  1229.76575
  769.  1203.  1224.58057
  771.  1204.  1219.40637
  773.  1208.  1214.24365
