# Data from SB9: The ninth catalogue of spectroscopic binary orbits
# Pourbaix et al. 2004, A&A, 424, 727
# [sb9.astro.ulb.ac.be]
# Selection: binaries in which the primary is a G dwarf (G0V through G9V)
#
# column 1: SB9 ID number
# column 2: period (in days)
# column 3: error in period (in days), if available (0.000 if none given)
# column 4: periastron time (JD-2400000): unused by us
# column 5: error in periastron time: unused by us
# column 6: flag on periastron time: integer: unused by us
# column 7: eccentricity
# column 8: error in eccentricity, if available (0.000 if none given)
ID   P       errP T        errT f e      errEcc
1884   15.08227 0.00013 47457.266 0.017 0 0.325 0.003
1885   7.77561 0.00009 47601.295 0.006 0 0.0 0.000
1886   5.94023 0.00004 47655.397 0.003 0 0.0 0.000
1888   11.1385 0.0003 47706.316 0.013 0 0.0 0.000
1889   3.68061 0.00003 47576.814 0.003 0 0.0 0.000
1962   0.37031142 0.000 50321.74805571 0.0010 1 0 0.000
1963   0.3638384 0.000 48155.1751192 0.0008 1 0 0.000
1965   0.3581502 0.0000004 48417.7851751 0.0009 1 0 0.000
1989   0.329905 0.000 50960.1131 0.0005 1 0 0.000
2022   0.389998 0.000 51718.3951 0.0007 1 0 0.000
2030   0.366340 0.000 52061.1068 0.0022 1 0 0.000
2033   0.415568 0.000 52050.2364 0.0022 1 0 0.000
2058   6.9171 0.0001 50363.05 0.02 0 0 0.000
2124   0.82937122 0.000 49350.0278 0.000 1 0 0.000
2135   0.346503 0.000 51990.9912 0.0013 1 0 0.000
2407   1481 22 49353 76 0 0.33 0.15
2408   1564.4 12.8 48396.5 392.8 0 0.054 0.064
2409   1.8441701 0.0000012 46347.832 0.508 0 0.0025 0.0042
2463   2092.2 5.8 50585.1 7.5 0 0.765 0.013
2555   2059 22 46713 45 0 0.46 0.04
2556   4450.8 6.8 47679.7 5.4 0 0.683 0.007
2774   562.3 1 49064 1.50 0 0.470 0.017
2817   314.61 0.05 49540.3 1.9 0 0.201 0.007
2854   59.331 0.031 53442.09 0.61 0 0.237 0.018
2855   94.851 0.013 53555.40 0.13 0 0.5169 0.0099
3198   216.48 0.06 53845.3 1.0 0 0.261 0.007
3199   1413.7 2.5 51150.0 15.0 0 0.246 0.019
3202   60.58037 0.00030 54239.1125 0.0067 0 0.67827 0.00047
3205   206.088 0.018 54309.15 0.16 0 0.4126 0.0017
3206   2402.7 17.7 55181.29 0.67 0 0.8449 0.0036
3219   1426.71012 0.09079 53649.768 0.153 0 0.6159 0.0004
3220   12489.96477 85.32950 50832.574 0.471 0 0.8045 0.0009
3429   756.4 1.3 44488.1 7.2 0 0.316 0.019
3431   15.8724 0.0002 47989.040 0.060 0 0.326 0.005
3448   896.9000 1.4000 49164.000 18.000 0 0.117 0.020
3456   5551.0000 221.0000 46966.000 94.000 0 0.533 0.049
3459   2657.0000 26.0000 47203.000 18.000 0 0.481 0.029
3472   666.5 2.4 47653.3 2.4 0 0.304 0.021
3490   10.65940 0.00012 56233.3731 0.0062 0 0.3430 0.0013
3500   148.14 0.673 54885.52 1.68 0 0.430 0.0284
3503   170.304 0.013 52746.80 1.48 0 0.135 0.008
3509   257.31 0.22 56143.16 0.98 0 0.626 0.013
3510   211.76 0.17 56372.6 2.7 0 0.210 0.016
3513   3827.3 7.0 54923 12 0 0.3586 0.0056
3516   164.278 0.014 55873.96 0.12 0 0.5919 0.0026
3518   19.37128 0.00005 56938.5994 0.0211 0 0.1028 0.0009
3519   638.66616 0.00047 56903.4035 0.0026 0 0.1912 0.0018
3526   2443.16716 2.1 54775.5755 2.5 0 0.4999 0.0015
3530   4.23345 0.00000 57120.5074 0.0040 0 0.0000 0.0000
3547   553.206 0.037 57163.64 0.19 0 0.4276 0.0012
3564   205.800 0.025 53893.2 0.4 0 0.302 0.004
3565   1506.4 2.4 53071.4 2.7 0 0.459 0.006
3600   1223 30 50489 30 0 0.60 0.05
3613   1030.0 0.6 53542 5 0 0.125 0.004
3627   103.226 0.042 49672.0 5.7 0 0.141 0.044
3631   386.64 0.30 46161.5 4.3 0 0.186 0.018
3662   2533 5 54768 9 0 0.300 0.005
3701   18440 1576 47849 60 0 0.452 0.044
3702   111.1 0.000 58025.7 2.9 0 0.300 0.078
3705   30.427 0.006 58214.038 0.023 0 0.418 0.001
3707   9.6717 0.0008 58194.383 0.345 0 0.007 0.001
3710   21.8186 0.0015 58202.091 0.014 0 0.577 0.002
3711   21.0802 0.0030 58197.2344 0.0072 0 0.708 0.003
3718   22.49302 0.00005 58421.602 0.003 0 0.2886 0.0002
3719   312.279 0.039 50319.39 0.40 0 0.705 0.007
3818   9278 52 57073 60 0 0.401 0.017
3859   3751 6 54694 6 0 0.530 0.006
3871   3038 8 52430 13 0 0.538 0.024
3874   7960 210 52700 250 0 0.56 0.05
3875   5.837891 0.000008 49456.98 0.18 0 0.0144 0.0027
3876   204.256 0.010 50398.69 0.23 0 0.727 0.007
3878   8.43 0.87 51262.37 1.24 0 0.13 0.29
3879   46.1512 0.0002 54324.14 0.03 0 0.285 0.001
3880   562.1 0.4 53762.5 0.9 0 0.532 0.004
3890   7929.4 2500.2 62030.1 2501.4 0 0.685 0.067
3911   691.2 0.4 52380 5 0 0.198 0.007
3913   4410 10 55065 31 0 0.199 0.009
4009   53.6806 0.0029 58498.043 0.034 0 0.462 0.002
4015   354.88 0.05 58243.32 0.13 0 0.397 0.001
