ID F555W F439W Color errF555W errF439W errColor
200138 24.2498 24.6709  0.4211 0.2891 0.1062 0.3080
200137 24.9328 25.6489  0.7161 0.4407 0.2171 0.4913
200139 25.1938 24.7909 -0.4029 0.8539 0.1114 0.8611
200140 24.6418 25.5079  0.8661 0.4725 0.1754 0.5040
200141 21.7818 23.2879  1.5061 0.0442 0.0391 0.0590
200142 24.4368 24.4989  0.0621 0.3104 0.0937 0.3242
200143 24.9998 25.6429  0.6431 0.4921 0.2541 0.5538
200144 25.1068 25.2479  0.1411 0.4424 0.1200 0.4584
200146 24.3868 25.6269  1.2401 0.3135 0.2025 0.3732
200147 25.0228 25.9709  0.9481 0.5847 0.2904 0.6528
    30 17.0988 17.7379  0.6391 0.0181 0.0117 0.0216
    29 17.4598 18.0499  0.5901 0.0143 0.0121 0.0187
200148 24.7568 25.3839  0.6271 0.4573 0.1900 0.4952
200149 22.6038 24.3019  1.6981 0.0660 0.0660 0.0933
200151 24.9528 26.3129  1.3601 0.6280 0.2133 0.6632
    31 17.8868 18.5039  0.6171 0.0186 0.0130 0.0227
200152 24.8708 24.7719 -0.0989 0.4774 0.1470 0.4995
200153 24.7058 26.2599  1.5541 0.4006 0.2015 0.4484
200154 24.3278 25.7329  1.4051 0.3345 0.2609 0.4242
200155 24.8778 25.7909  0.9131 0.5695 0.2363 0.6166
200156 25.5708 25.5209 -0.0499 0.5618 0.1740 0.5881
200159 25.1158 26.1519  1.0361 0.5141 0.3021 0.5963
200158 24.5668 25.0789  0.5121 0.4031 0.1082 0.4174
200160 24.4678 26.1319  1.6641 0.2324 0.1960 0.3040
200162 20.1918 21.3019  1.1101 0.0233 0.0187 0.0299
200163 20.6988 22.1499  1.4511 0.0256 0.0232 0.0345
200164 22.7778 24.5939  1.8161 0.0739 0.0899 0.1164
200165 23.7488 24.6449  0.8961 0.2163 0.1449 0.2603
200166 25.0138 25.0029 -0.0109 0.5709 0.1287 0.5852
    32 18.2258 18.9099  0.6841 0.0169 0.0131 0.0214
200168 25.0128 25.3829  0.3701 0.4383 0.1545 0.4647
200169 24.8298 25.6659  0.8361 0.2210 0.2111 0.3056
200170 24.3908 25.7379  1.3471 0.2295 0.3050 0.3817
200171 24.9418 25.4919  0.5501 0.5477 0.1913 0.5801
200172 23.0878 24.6739  1.5861 0.0877 0.0857 0.1226
200173 24.5798 25.1439  0.5641 0.3584 0.1611 0.3929
200175 25.4248 25.6109  0.1861 0.7749 0.1965 0.7994
200177 24.3838 25.2879  0.9041 0.4020 0.2439 0.4702
200178 24.8128 25.6529  0.8401 0.5090 0.2247 0.5564
200180 23.9118 23.2549 -0.6569 0.2207 0.0611 0.2290
200181 24.4468 25.7079  1.2611 0.2631 0.1663 0.3113
200182 22.6358 24.2019  1.5661 0.0701 0.0680 0.0977
